sentence_id	token_id	token	surprisal
1	1	我	6.684779167175293
1	2	很	7.055859088897705
1	3	喜欢	3.5232324600219727
1	4	一	7.515518665313721
1	5	位	4.596033096313477
1	6	明星	13.047624588012695
1	7	。	3.5074713230133057
2	1	我	6.684779167175293
2	2	很	7.055859088897705
2	3	喜欢	3.5232324600219727
2	4	一	7.515518665313721
2	5	首	12.203920364379883
2	6	明星	13.93667221069336
2	7	。	3.132718801498413
3	1	我	6.684779167175293
3	2	很	7.055859088897705
3	3	喜欢	3.5232324600219727
3	4	一	7.515518665313721
3	5	首	12.203920364379883
3	6	歌曲	11.51207160949707
3	7	。	3.3942747116088867
4	1	我	6.684779167175293
4	2	很	7.055859088897705
4	3	喜欢	3.5232324600219727
4	4	一	7.515518665313721
4	5	位	4.596033096313477
4	6	歌曲	16.84051513671875
4	7	。	4.398022651672363
5	1	她	10.53546142578125
5	2	开车	16.631492614746094
5	3	去	6.172421932220459
5	4	了	3.810214042663574
5	5	一	5.557422161102295
5	6	家	4.30739688873291
5	7	店	11.53571605682373
5	8	。	3.2558858394622803
6	1	她	10.53546142578125
6	2	开车	16.631492614746094
6	3	去	6.172421932220459
6	4	了	3.810214042663574
6	5	一	5.557422161102295
6	6	座	9.632798194885254
6	7	店	12.035104751586914
6	8	。	2.993346929550171
7	1	她	10.53546142578125
7	2	开车	16.631492614746094
7	3	去	6.172421932220459
7	4	了	3.810214042663574
7	5	一	5.557422161102295
7	6	座	9.632798194885254
7	7	山	11.257736206054688
7	8	。	5.32216739654541
8	1	她	10.53546142578125
8	2	开车	16.631492614746094
8	3	去	6.172421932220459
8	4	了	3.810214042663574
8	5	一	5.557422161102295
8	6	家	4.30739688873291
8	7	山	15.942530632019043
8	8	。	4.79220724105835
9	1	他	5.92180061340332
9	2	有	5.913641452789307
9	3	一	3.096916437149048
9	4	双	9.487933158874512
9	5	手套	19.72726058959961
9	6	。	5.060786724090576
10	1	他	5.92180061340332
10	2	有	5.913641452789307
10	3	一	3.096916437149048
10	4	枚	10.698488235473633
10	5	手套	20.088716506958008
10	6	。	3.3382911682128906
11	1	他	5.92180061340332
11	2	有	5.913641452789307
11	3	一	3.096916437149048
11	4	枚	10.698488235473633
11	5	纽扣	15.435628890991211
11	6	。	6.562932014465332
12	1	他	5.92180061340332
12	2	有	5.913641452789307
12	3	一	3.096916437149048
12	4	双	9.487933158874512
12	5	纽扣	15.855646133422852
12	6	。	7.148134231567383
13	1	店长	18.7806396484375
13	2	拿	20.342144012451172
13	3	着	3.755544900894165
13	4	一	5.606539726257324
13	5	只	10.001598358154297
13	6	兔子	21.43232536315918
13	7	。	7.7140631675720215
14	1	店长	18.7806396484375
14	2	拿	20.342144012451172
14	3	着	3.755544900894165
14	4	一	5.606539726257324
14	5	根	12.22954273223877
14	6	兔子	21.54337501525879
14	7	。	7.972635269165039
15	1	店长	18.7806396484375
15	2	拿	20.342144012451172
15	3	着	3.755544900894165
15	4	一	5.606539726257324
15	5	根	12.22954273223877
15	6	萝卜	19.81096839904785
15	7	。	6.435337543487549
16	1	店长	18.7806396484375
16	2	拿	20.342144012451172
16	3	着	3.755544900894165
16	4	一	5.606539726257324
16	5	只	10.001598358154297
16	6	萝卜	19.243698120117188
16	7	。	6.412835121154785
17	1	他	5.92180061340332
17	2	认识	10.596050262451172
17	3	了	2.229001760482788
17	4	一	5.152105808258057
17	5	名	5.097414970397949
