sentence_id	token_id	token	surprisal
1	1	我	7.89858
1	2	很	6.71925
1	3	喜欢	4.56314
1	4	一	7.17359
1	5	位	4.05965
1	6	国内	11.5547
1	7	的	2.8521
1	8	明星	10.3036
1	9	。	1.72121
2	1	我	7.89858
2	2	很	6.71925
2	3	喜欢	4.56314
2	4	一	7.17359
2	5	首	11.2377
2	6	国内	13.7627
2	7	的	3.0606
2	8	明星	11.0639
2	9	。	1.59005
3	1	我	7.89858
3	2	很	6.71925
3	3	喜欢	4.56314
3	4	一	7.17359
3	5	首	11.2377
3	6	国内	13.7627
3	7	的	3.0606
3	8	歌曲	10.6038
3	9	。	1.31454
4	1	我	7.89858
4	2	很	6.71925
4	3	喜欢	4.56314
4	4	一	7.17359
4	5	位	4.05965
4	6	国内	11.5547
4	7	的	2.8521
4	8	歌曲	12.7301
4	9	。	1.38202
5	1	她	7.06943
5	2	开车	17.7577
5	3	去	8.15075
5	4	了	3.52726
5	5	一	5.00672
5	6	家	6.20244
5	7	郊外	17.3633
5	8	的	0.960778
5	9	店	9.45862
5	10	。	1.53146
6	1	她	7.06943
6	2	开车	17.7577
6	3	去	8.15075
6	4	了	3.52726
6	5	一	5.00672
6	6	座	6.37839
6	7	郊外	17.1297
6	8	的	0.401271
6	9	店	11.3889
6	10	。	1.4775
7	1	她	7.06943
7	2	开车	17.7577
7	3	去	8.15075
7	4	了	3.52726
7	5	一	5.00672
7	6	座	6.37839
7	7	郊外	17.1297
7	8	的	0.401271
7	9	山	11.1142
7	10	。	1.95437
8	1	她	7.06943
8	2	开车	17.7577
8	3	去	8.15075
8	4	了	3.52726
8	5	一	5.00672
8	6	家	6.20244
8	7	郊外	17.3633
8	8	的	0.960778
8	9	山	11.9083
8	10	。	2.15566
9	1	他	4.12783
9	2	有	11.0161
9	3	一	3.62733
9	4	双	11.3196
9	5	蓝色	11.5497
9	6	的	0.215776
9	7	手套	13.586
9	8	。	5.03582
10	1	他	4.12783
10	2	有	11.0161
10	3	一	3.62733
10	4	枚	7.17807
10	5	蓝色	11.6757
10	6	的	0.355625
10	7	手套	15.3863
10	8	。	4.70775
11	1	他	4.12783
11	2	有	11.0161
11	3	一	3.62733
11	4	枚	7.17807
11	5	蓝色	11.6757
11	6	的	0.355625
11	7	纽扣	19.7467
11	8	。	5.43661
12	1	他	4.12783
12	2	有	11.0161
12	3	一	3.62733
12	4	双	11.3196
12	5	蓝色	11.5497
12	6	的	0.215776
12	7	纽扣	19.8426
12	8	。	5.02264
13	1	店长	20.4876
13	2	拿	13.5364
13	3	着	1.87983
13	4	一	3.26574
13	5	只	5.86279
13	6	便宜	12.7286
13	7	的	0.906085
13	8	兔子	15.8199
13	9	。	10.3336
14	1	店长	20.4876
14	2	拿	13.5364
14	3	着	1.87983
14	4	一	3.26574
14	5	根	8.03476
14	6	便宜	12.2318
14	7	的	0.415078
14	8	兔子	14.8847
14	9	。	6.11123
15	1	店长	20.4876
15	2	拿	13.5364
15	3	着	1.87983
15	4	一	3.26574
15	5	根	8.03476
15	6	便宜	12.2318
15	7	的	0.415078
15	8	萝卜	12.503
15	9	。	6.6422
16	1	店长	20.4876
16	2	拿	13.5364
16	3	着	1.87983
16	4	一	3.26574
16	5	只	5.86279
16	6	便宜	12.7286
16	7	的	0.906085
16	8	萝卜	13.1637
16	9	。	10.4187
17	1	他	4.12783
17	2	认识	17.0641
17	3	了	3.09048
17	4	一	7.82264
17	5	名	5.76199
17	6	幸运	13.1636
17	7	的	0.0659794
17	8	男孩	12.8064
17	9	。	1.92715
18	1	他	4.12783
18	2	认识	17.0641
18	3	了	3.09048
18	4	一	7.82264
18	5	本	8.55306
18	6	幸运	14.3993
18	7	的	0.0717872
18	8	男孩	13.8987
18	9	。	2.11223
19	1	他	4.12783
19	2	认识	17.0641
19	3	了	3.09048
19	4	一	7.82264
19	5	本	8.55306
19	6	幸运	14.3993
19	7	的	0.0717872
19	8	小说	12.7012
19	9	。	2.01467
20	1	他	4.12783
20	2	认识	17.0641
20	3	了	3.09048
20	4	一	7.82264
20	5	名	5.76199
20	6	幸运	13.1636
20	7	的	0.0659794
20	8	小说	14.7467
20	9	。	1.88088
21	1	男人	16.9956
21	2	在	4.78656
21	3	扫描	19.5956
21	4	一	6.30443
21	5	篇	7.29155
21	6	很	9.07971
21	7	短	6.55584
21	8	的	0.0960583
21	9	文章	10.0191
21	10	。	17.1632
22	1	男人	16.9956
22	2	在	4.78656
22	3	扫描	19.5956
22	4	一	6.30443
22	5	张	5.91935
22	6	很	9.4668
22	7	短	8.08944
22	8	的	0.203407
22	9	文章	11.9051
22	10	。	17.7238
23	1	男人	16.9956
23	2	在	4.78656
23	3	扫描	19.5956
23	4	一	6.30443
23	5	张	5.91935
23	6	很	9.4668
23	7	短	8.08944
23	8	的	0.203407
23	9	图片	10.1291
23	10	。	18.3135
24	1	男人	16.9956
24	2	在	4.78656
24	3	扫描	19.5956
24	4	一	6.30443
24	5	篇	7.29155
24	6	很	9.07971
24	7	短	6.55584
24	8	的	0.0960583
24	9	图片	8.11101
24	10	。	17.5233
25	1	演员	16.2404
25	2	在	3.74753
25	3	看	12.4367
25	4	一	6.01807
25	5	张	6.00853
25	6	干净	14.1803
25	7	的	1.06603
25	8	旧	13.3244
25	9	照片	6.77412
25	10	。	19.1424
26	1	演员	16.2404
26	2	在	3.74753
26	3	看	12.4367
26	4	一	6.01807
26	5	位	4.5417
26	6	干净	14.562
26	7	的	0.971189
26	8	旧	14.1846
26	9	照片	10.8437
26	10	。	19.4145
27	1	演员	16.2404
27	2	在	3.74753
27	3	看	12.4367
27	4	一	6.01807
27	5	位	4.5417
27	6	干净	14.562
27	7	的	0.971189
27	8	老师	8.50816
27	9	。	17.2583
28	1	演员	16.2404
28	2	在	3.74753
28	3	看	12.4367
28	4	一	6.01807
28	5	张	6.00853
28	6	干净	14.1803
28	7	的	1.06603
28	8	老师	11.0714
28	9	。	16.8411
29	1	他	4.12783
29	2	在	5.54315
29	3	修理	19.8897
29	4	一	5.95015
29	5	辆	5.56173
29	6	倒霉	16.4751
29	7	的	0.0941248
29	8	汽车	6.20695
29	9	。	17.0364
30	1	他	4.12783
30	2	在	5.54315
30	3	修理	19.8897
30	4	一	5.95015
30	5	套	5.51109
30	6	倒霉	16.6783
30	7	的	0.168893
30	8	汽车	9.61614
30	9	。	15.8996
31	1	他	4.12783
31	2	在	5.54315
31	3	修理	19.8897
31	4	一	5.95015
31	5	套	5.51109
31	6	倒霉	16.6783
31	7	的	0.168893
31	8	系统	14.2231
31	9	。	18.1176
32	1	他	4.12783
32	2	在	5.54315
32	3	修理	19.8897
32	4	一	5.95015
32	5	辆	5.56173
32	6	倒霉	16.4751
32	7	的	0.0941248
32	8	系统	16.1828
32	9	。	18.5573
33	1	学生	14.6157
33	2	们	18.4319
33	3	在	4.61056
33	4	写	12.8776
33	5	一	4.97974
33	6	部	4.51951
33	7	精彩	10.5393
33	8	的	0.731087
33	9	电影	7.48953
33	10	。	17.9857
34	1	学生	14.6157
34	2	们	18.4319
34	3	在	4.61056
34	4	写	12.8776
34	5	一	4.97974
34	6	首	9.11742
34	7	精彩	11.1386
34	8	的	1.04941
34	9	电影	7.46623
34	10	。	17.9732
35	1	学生	14.6157
35	2	们	18.4319
35	3	在	4.61056
35	4	写	12.8776
35	5	一	4.97974
35	6	首	9.11742
35	7	精彩	11.1386
35	8	的	1.04941
35	9	戏曲	12.1129
35	10	。	19.0533
36	1	学生	14.6157
36	2	们	18.4319
36	3	在	4.61056
36	4	写	12.8776
36	5	一	4.97974
36	6	部	4.51951
36	7	精彩	10.5393
36	8	的	0.731087
36	9	戏曲	12.0435
36	10	。	19.084
37	1	我们	8.17582
37	2	在	5.05948
37	3	看	11.0396
37	4	一	6.4237
37	5	场	3.13691
37	6	神奇	12.7353
37	7	的	0.209377
37	8	他	14.4338
37	9	的	2.03321
37	10	表演	7.23385
37	11	。	2.21898
38	1	我们	8.17582
38	2	在	5.05948
38	3	看	11.0396
38	4	一	6.4237
38	5	块	9.65488
38	6	神奇	12.2706
38	7	的	0.207942
38	8	他	13.3413
38	9	的	2.37933
38	10	表演	9.69865
38	11	。	2.56996
39	1	我们	8.17582
39	2	在	5.05948
39	3	看	11.0396
39	4	一	6.4237
39	5	块	9.65488
39	6	神奇	12.2706
39	7	的	0.207942
39	8	他	13.3413
39	9	的	2.37933
39	10	场地	15.5828
39	11	。	2.45015
40	1	我们	8.17582
40	2	在	5.05948
40	3	看	11.0396
40	4	一	6.4237
40	5	场	3.13691
40	6	神奇	12.7353
40	7	的	0.209377
40	8	他	14.4338
40	9	的	2.03321
40	10	场地	14.4952
40	11	。	2.49608
41	1	他	4.12783
41	2	最	12.9329
41	3	喜欢	6.29789
41	4	一	8.79289
41	5	道	9.41075
41	6	美味	14.3692
41	7	的	0.933491
41	8	菜	13.7505
41	9	。	3.62762
42	1	他	4.12783
42	2	最	12.9329
42	3	喜欢	6.29789
42	4	一	8.79289
42	5	瓶	11.5838
42	6	美味	14.9777
42	7	的	0.819196
42	8	菜	12.7749
42	9	。	4.07104
43	1	他	4.12783
43	2	最	12.9329
43	3	喜欢	6.29789
43	4	一	8.79289
43	5	瓶	11.5838
43	6	美味	14.9777
43	7	的	0.819196
43	8	醋	16.5465
43	9	。	5.37593
44	1	他	4.12783
44	2	最	12.9329
44	3	喜欢	6.29789
44	4	一	8.79289
44	5	道	9.41075
44	6	美味	14.3692
44	7	的	0.933491
44	8	醋	16.6684
44	9	。	5.14029
45	1	她	7.06943
45	2	拿	13.9705
45	3	了	2.18369
45	4	一	2.47137
45	5	份	4.29881
45	6	今天	10.3081
45	7	的	0.830663
45	8	饭	12.4512
45	9	。	4.28036
46	1	她	7.06943
46	2	拿	13.9705
46	3	了	2.18369
46	4	一	2.47137
46	5	卷	15.1344
46	6	今天	11.629
46	7	的	1.72148
46	8	饭	11.1975
46	9	。	11.1819
47	1	她	7.06943
47	2	拿	13.9705
47	3	了	2.18369
47	4	一	2.47137
47	5	卷	15.1344
47	6	今天	11.629
47	7	的	1.72148
47	8	纸	14.2663
47	9	。	11.8089
48	1	她	7.06943
48	2	拿	13.9705
48	3	了	2.18369
48	4	一	2.47137
48	5	份	4.29881
48	6	今天	10.3081
48	7	的	0.830663
48	8	纸	14.6324
48	9	。	5.75908
49	1	学生	14.6157
49	2	们	18.4319
49	3	在	4.61056
49	4	写	12.8776
49	5	一	4.97974
49	6	部	4.51951
49	7	复杂	13.4102
49	8	的	0.441001
49	9	戏剧	9.41204
49	10	。	17.2711
50	1	学生	14.6157
50	2	们	18.4319
50	3	在	4.61056
50	4	写	12.8776
50	5	一	4.97974
50	6	篇	3.23609
50	7	复杂	12.6738
50	8	的	0.317212
50	9	戏剧	10.5279
50	10	。	17.4235
51	1	学生	14.6157
51	2	们	18.4319
51	3	在	4.61056
51	4	写	12.8776
51	5	一	4.97974
51	6	篇	3.23609
51	7	复杂	12.6738
51	8	的	0.317212
51	9	文章	6.81216
51	10	。	17.6351
52	1	学生	14.6157
52	2	们	18.4319
52	3	在	4.61056
52	4	写	12.8776
52	5	一	4.97974
52	6	部	4.51951
52	7	复杂	13.4102
52	8	的	0.441001
52	9	文章	8.99638
52	10	。	17.4338
53	1	这	6.25631
53	2	是	4.68234
53	3	一	4.51041
53	4	架	11.0182
53	5	红色	11.0841
53	6	的	0.892304
53	7	火车	11.8941
53	8	。	1.12721
54	1	这	6.25631
54	2	是	4.68234
54	3	一	4.51041
54	4	扇	11.9488
54	5	红色	10.8904
54	6	的	0.483309
54	7	火车	14.1103
54	8	。	1.1836
55	1	这	6.25631
55	2	是	4.68234
55	3	一	4.51041
55	4	扇	11.9488
55	5	红色	10.8904
55	6	的	0.483309
55	7	窗户	12.5037
55	8	。	1.31943
56	1	这	6.25631
56	2	是	4.68234
56	3	一	4.51041
56	4	架	11.0182
56	5	红色	11.0841
56	6	的	0.892304
56	7	窗户	14.4512
56	8	。	1.17662
57	1	老师	15.7666
57	2	在	5.12648
57	3	责备	18.1283
57	4	三	10.8154
57	5	名	2.12408
57	6	淘气	19.2564
57	7	的	1.31131
57	8	学生	5.82221
57	9	。	0.92337
58	1	老师	15.7666
58	2	在	5.12648
58	3	责备	18.1283
58	4	三	10.8154
58	5	只	6.51273
58	6	淘气	18.75
58	7	的	0.680674
58	8	学生	6.99659
58	9	。	1.21596
59	1	老师	15.7666
59	2	在	5.12648
59	3	责备	18.1283
59	4	三	10.8154
59	5	只	6.51273
59	6	淘气	18.75
59	7	的	0.680674
59	8	宠物	13.9065
59	9	。	2.54374
60	1	老师	15.7666
60	2	在	5.12648
60	3	责备	18.1283
60	4	三	10.8154
60	5	名	2.12408
60	6	淘气	19.2564
60	7	的	1.31131
60	8	宠物	14.8389
60	9	。	2.75935
61	1	她	7.06943
61	2	买	15.0487
61	3	过	5.33696
61	4	两	5.39848
61	5	杯	14.5371
61	6	热	12.3043
61	7	的	3.83186
61	8	咖啡	10.2231
61	9	。	1.27822
62	1	她	7.06943
62	2	买	15.0487
62	3	过	5.33696
62	4	两	5.39848
62	5	个	2.30192
62	6	热	13.0758
62	7	的	2.36328
62	8	咖啡	10.2265
62	9	。	1.72475
63	1	她	7.06943
63	2	买	15.0487
63	3	过	5.33696
63	4	两	5.39848
63	5	个	2.30192
63	6	热	13.0758
63	7	的	2.36328
63	8	杯子	16.2641
63	9	。	1.50372
64	1	她	7.06943
