sentence_id	token_id	token	surprisal
1	1	记者	8.05482180747
1	2	采访	9.32938935365
1	3	了	5.11993498466
1	4	研发	17.3804746556
1	5	产品	11.8321628945
1	6	。	4.55531020639
2	1	记者	8.05482180747
2	2	采访	9.32938935365
2	3	了	5.11993498466
2	4	研发	17.3804746556
2	5	产品	11.8321628945
2	6	的	3.84657690879
2	7	科学家	12.8383041962
2	8	。	5.51479610705
3	1	他	4.39275853651
3	2	认识	15.9718466284
3	3	了	4.91453357282
3	4	写	15.6118877787
3	5	书	10.861103298
3	6	。	3.98690500151
4	1	他	4.39275853651
4	2	认识	15.9718466284
4	3	了	4.91453357282
4	4	写	15.6118877787
4	5	书	10.861103298
4	6	的	3.83106657974
4	7	老师	13.6536650689
4	8	。	5.4102024639
5	1	他	4.39275853651
5	2	拍	17.62816772
5	3	下	8.52216755557
5	4	了	5.69196407361
5	5	获得	15.9333495932
5	6	大奖	11.8255658043
5	7	。	2.04890044686
6	1	他	4.39275853651
6	2	拍	17.62816772
6	3	下	8.52216755557
6	4	了	5.69196407361
6	5	获得	15.9333495932
6	6	大奖	11.8255658043
6	7	的	3.09951671254
6	8	艺术品	14.368927131
6	9	。	2.64787065881
7	1	我们	7.88578536368
7	2	参加	11.5742228673
7	3	了	3.38608126642
7	4	吸引	14.3956369352
7	5	学生	11.3110389734
7	6	。	5.31262335124
8	1	我们	7.88578536368
8	2	参加	11.5742228673
8	3	了	3.38608126642
8	4	吸引	14.3956369352
8	5	学生	11.3110389734
8	6	的	4.06967400931
8	7	活动	10.0212518873
8	8	。	2.19028395907
9	1	他	4.39275853651
9	2	想起	15.9718466284
9	3	了	2.70175367374
9	4	写	15.5446996955
9	5	过	5.23868994144
9	6	歌	16.9609029928
9	7	。	6.11452696753
10	1	他	4.39275853651
10	2	想起	15.9718466284
10	3	了	2.70175367374
10	4	写	15.5446996955
10	5	过	5.23868994144
10	6	歌	16.9609029928
10	7	的	5.29013712933
10	8	同学	13.633793515
10	9	。	5.70435200931
11	1	司机	17.2210146948
11	2	启动	14.0952389204
11	3	了	4.51117176588
11	4	装有	16.2799955924
11	5	音响	16.2649039948
11	6	。	7.86395707585
12	1	司机	17.2210146948
12	2	启动	14.0952389204
12	3	了	4.51117176588
12	4	装有	16.2799955924
12	5	音响	16.2649039948
12	6	的	5.38324754982
12	7	车	13.4059260857
12	8	。	4.22302753929
13	1	爸爸	14.0597377317
13	2	买	8.26998907843
13	3	了	3.16024417735
13	4	带	14.4009733969
13	5	家具	16.8308075103
13	6	。	5.33744169629
14	1	爸爸	14.0597377317
14	2	买	8.26998907843
14	3	了	3.16024417735
14	4	带	14.4009733969
14	5	家具	16.8308075103
14	6	的	4.6131083752
14	7	房子	12.4608275484
14	8	。	3.84343417924
15	1	他	4.39275853651
15	2	损失	17.7095402683
15	3	了	6.00756057021
15	4	买	15.5446996955
15	5	药	10.5643960714
15	6	。	7.88632390686
16	1	他	4.39275853651
16	2	损失	17.7095402683
16	3	了	6.00756057021
16	4	买	15.5446996955
16	5	药	10.5643960714
16	6	的	4.68128125595
16	7	现金	13.3373254902
16	8	。	3.4027573698
17	1	我	7.71951332837
17	2	拜访	14.489597811
17	3	了	3.17893442798
17	4	去	13.1564627028
17	5	过	6.71930383644
17	6	中国	7.38703343597
17	7	。	8.42531355903
18	1	我	7.71951332837
18	2	拜访	14.489597811
18	3	了	3.17893442798
18	4	去	13.1564627028
18	5	过	6.71930383644
18	6	中国	7.38703343597
18	7	的	3.6869746855
18	8	邻居	14.7017534169
18	9	。	6.14698484057
19	1	爷爷	19.8809986132
19	2	中止	15.8805036603
19	3	了	3.60076090557
19	4	引发	14.7736424488
19	5	争吵	19.0164018368
19	6	。	5.56439547062
20	1	爷爷	19.8809986132
20	2	中止	15.8805036603
20	3	了	3.60076090557
20	4	引发	14.7736424488
20	5	争吵	19.0164018368
20	6	的	5.56439547062
20	7	谈话	12.4977903644
20	8	。	2.15502308775
21	1	她	7.33709256502
21	2	提到	17.1296484044
21	3	了	2.87540505727
21	4	看	13.2268445883
21	5	着	5.44851363144
21	6	电视	5.29578470857
21	7	。	6.32683466721
22	1	她	7.33709256502
22	2	提到	17.1296484044
22	3	了	2.87540505727
22	4	看	13.2268445883
22	5	着	5.44851363144
22	6	电视	5.29578470857
22	7	的	5.28792485458
22	8	女儿	12.6147259101
22	9	。	5.31924371856
23	1	医生	14.7640464528
23	2	表扬	18.7029831911
23	3	了	1.63836592413
23	4	帮助	12.629226668
23	5	老人	10.3003955161
23	6	。	6.36362556186
