sentence_id	token_id	token	surprisal
1	1	那	9.873441696166992
1	2	家	10.986274719238281
1	3	亲切	18.56594467163086
1	4	的	0.4792788326740265
1	5	老板	11.850738525390625
1	6	投资	19.68419075012207
1	7	的	2.993314266204834
1	8	饭店	8.42638111114502
1	9	很	6.786233901977539
1	10	受	6.259739875793457
1	11	欢迎	1.9092278480529785
1	12	。	2.093034029006958
2	1	那	9.873441696166992
2	2	个	8.37681770324707
2	3	亲切	16.289461135864258
2	4	的	0.468274861574173
2	5	老板	14.503473281860352
2	6	投资	19.734973907470703
2	7	的	2.523193359375
2	8	饭店	9.85061264038086
2	9	很	5.914748668670654
2	10	受	6.779784202575684
2	11	欢迎	2.090547561645508
2	12	。	2.121034622192383
3	1	那	9.873441696166992
3	2	幅	12.366439819335938
3	3	聪明	14.950644493103027
3	4	的	0.3942614495754242
3	5	朋友	15.644326210021973
3	6	喜欢	12.739187240600586
3	7	的	6.710771083831787
3	8	画	10.557968139648438
3	9	吸引	11.897818565368652
3	10	了	3.658273935317993
3	11	我	4.879236221313477
3	12	。	1.221362590789795
4	1	那	9.873441696166992
4	2	个	8.37681770324707
4	3	聪明	14.338595390319824
4	4	的	0.2666914761066437
4	5	朋友	5.658849716186523
4	6	喜欢	12.750883102416992
4	7	的	7.066036224365234
4	8	画	15.53226089477539
4	9	吸引	12.154899597167969
4	10	了	5.376221656799316
4	11	我	3.0907108783721924
4	12	。	2.197593927383423
5	1	那	9.873441696166992
5	2	件	8.119921684265137
5	3	细心	17.539051055908203
5	4	的	0.31881818175315857
5	5	老师	8.235615730285645
5	6	收藏	15.856461524963379
5	7	的	1.5955339670181274
5	8	艺术品	11.40440559387207
5	9	获	17.417259216308594
5	10	了	3.3495395183563232
5	11	奖	11.189319610595703
5	12	。	1.3372975587844849
6	1	那	9.873441696166992
6	2	个	8.37681770324707
6	3	细心	14.862727165222168
6	4	的	0.5360355973243713
6	5	老师	7.154956817626953
6	6	收藏	16.961746215820312
6	7	的	1.8427536487579346
6	8	艺术品	12.434428215026855
6	9	获	18.3875789642334
6	10	了	3.1172051429748535
6	11	奖	10.280631065368652
6	12	。	1.7733646631240845
7	1	那	9.873441696166992
7	2	只	7.429704666137695
7	3	负责	12.810514450073242
7	4	的	2.8820550441741943
7	5	店长	21.291606903076172
7	6	喜欢	13.176155090332031
7	7	的	10.038694381713867
7	8	宠物	17.225757598876953
7	9	生病	17.916765213012695
7	10	了	4.371603012084961
7	11	。	3.3698863983154297
8	1	那	9.873441696166992
8	2	个	8.37681770324707
8	3	负责	13.317383766174316
8	4	的	2.639073371887207
8	5	店长	22.806861877441406
8	6	喜欢	13.906760215759277
8	7	的	5.968083381652832
8	8	宠物	18.89791488647461
8	9	生病	17.754533767700195
8	10	了	4.911914348602295
8	11	。	3.31125545501709
9	1	那	9.873441696166992
9	2	首	12.095913887023926
9	3	有名	17.572416305541992
9	4	的	0.06077062711119652
9	5	明星	15.089488983154297
9	6	唱	13.39120864868164
9	7	的	1.175760269165039
9	8	歌	2.2194364070892334
9	9	很	10.511004447937012
9	10	好听	16.805160522460938
9	11	。	2.5747954845428467
10	1	那	9.873441696166992
10	2	个	8.37681770324707
10	3	有名	15.401569366455078
10	4	的	0.11498107761144638
10	5	明星	12.991607666015625
10	6	唱	14.729345321655273
10	7	的	0.6666237711906433
10	8	歌	2.8158555030822754
10	9	很	9.154391288757324
10	10	好听	15.94045352935791
10	11	。	2.9133970737457275
11	1	那	9.873441696166992
11	2	所	10.348880767822266
11	3	富有	16.016212463378906
11	4	的	2.6877150535583496
11	5	老人	14.632192611694336
11	6	去	12.49254035949707
11	7	的	3.3959388732910156
11	8	学校	9.134353637695312
11	9	关闭	18.80072021484375
11	10	了	2.353098154067993
11	11	。	5.322855472564697
12	1	那	9.873441696166992
12	2	个	8.37681770324707
12	3	富有	14.708030700683594
12	4	的	7.17210578918457
12	5	老人	13.391988754272461
12	6	去	10.96164321899414
12	7	的	7.086131572723389
12	8	学校	10.688823699951172
12	9	关闭	17.636959075927734
12	10	了	3.518998861312866
12	11	。	4.806911468505859
13	1	那	9.873441696166992
13	2	件	8.119921684265137
13	3	紧张	19.486804962158203
13	4	的	0.44572579860687256
13	5	司机	21.207592010498047
13	6	带	9.103951454162598
13	7	的	4.736559867858887
13	8	行李	8.952401161193848
13	9	丢	12.883694648742676
13	10	了	0.30008843541145325
13	11	。	6.596811294555664
14	1	那	9.873441696166992
14	2	个	8.37681770324707
14	3	紧张	16.970958709716797
14	4	的	0.5305570363998413
14	5	司机	17.96764373779297
14	6	带	7.837082862854004
14	7	的	4.79585075378418
14	8	行李	9.103832244873047
14	9	丢	13.08549976348877
14	10	了	0.3396560847759247
14	11	。	6.197507381439209
15	1	那	9.873441696166992
15	2	本	8.404876708984375
15	3	有名	15.7708158493042
15	4	的	0.08752337843179703
15	5	作家	11.48425006866455
15	6	写	10.727459907531738
15	7	的	2.6859192848205566
15	8	书	6.375487804412842
15	9	很	8.179461479187012
15	10	受	3.8226799964904785
15	11	欢迎	0.7643321752548218
15	12	。	1.6374094486236572
16	1	那	9.873441696166992
16	2	个	8.37681770324707
16	3	有名	15.401569366455078
