sentence_id	token_id	token	surprisal
1	1	随着	10.0795
1	2	人民	10.0648
1	3	选择	13.3482
1	4	的	2.70379
1	5	政府	12.1361
1	6	发展	10.7119
1	7	，	0.724667
1	8	经济	7.68909
1	9	变	12.4793
1	10	好	6.82877
1	11	了	11.2178
1	12	。	0.688898
2	1	随着	10.0795
2	2	人民	10.0648
2	3	选择	13.3482
2	4	的	2.70379
2	5	政府	12.1361
2	6	发展	10.7119
2	7	。	11.3902
3	1	随着	10.0795
3	2	人民	10.0648
3	3	需要	9.76937
3	4	的	2.27615
3	5	互联网	17.577
3	6	的	2.62733
3	7	出现	11.9624
3	8	，	0.34051
3	9	生活	10.7674
3	10	质量	7.8876
3	11	提高	10.7855
3	12	了	0.999741
3	13	。	8.29583
4	1	随着	10.0795
4	2	人民	10.0648
4	3	需要	9.76937
4	4	的	2.27615
4	5	互联网	17.577
4	6	的	2.62733
4	7	出现	11.9624
4	8	。	9.41986
5	1	随着	10.0795
5	2	一阵	20.4196
5	3	司机	23.1397
5	4	播放	13.9805
5	5	的	11.1598
5	6	铃声	18.4188
5	7	，	7.18153
5	8	火车	14.4399
5	9	开	13.8566
5	10	了	1.32948
5	11	。	13.6656
6	1	随着	10.0795
6	2	一阵	20.4196
6	3	司机	23.1397
6	4	播放	13.9805
6	5	的	11.1598
6	6	铃声	18.4188
6	7	。	14.5233
7	1	随着	10.0795
7	2	我	8.40135
7	3	认识	10.0014
7	4	的	5.27815
7	5	他	14.4905
7	6	的	10.8095
7	7	年龄	16.5926
7	8	增长	10.5018
7	9	，	0.271811
7	10	他	5.48918
7	11	更	7.90855
7	12	有	6.46197
7	13	自信	11.5211
7	14	了	11.3997
7	15	。	0.14615
8	1	随着	10.0795
8	2	我	8.40135
8	3	认识	10.0014
8	4	的	5.27815
8	5	他	14.4905
8	6	的	10.8095
8	7	年龄	16.5926
8	8	增长	10.5018
8	9	。	8.83365
9	1	随着	10.0795
9	2	我	8.40135
9	3	不	8.65127
9	4	喜欢	6.61496
9	5	的	5.84464
9	6	冬天	14.1883
9	7	的	1.69887
9	8	到来	7.79769
9	9	，	0.0681691
9	10	树木	21.9183
9	11	凋零	21.8423
9	12	了	0.98198
9	13	。	3.4679
10	1	随着	10.0795
10	2	我	8.40135
10	3	不	8.65127
10	4	喜欢	6.61496
10	5	的	5.84464
10	6	冬天	14.1883
10	7	的	1.69887
10	8	到来	7.79769
10	9	。	9.10849
11	1	随着	10.0795
11	2	人民	10.0648
11	3	需要	9.76937
11	4	的	2.27615
11	5	科技	14.088
11	6	发展	6.64435
11	7	，	1.02313
11	8	电脑	13.5229
11	9	功能	11.9522
11	10	变得	10.0168
11	11	更	4.79089
11	12	多	3.61836
11	13	了	5.41578
11	14	。	0.333684
12	1	随着	10.0795
12	2	人民	10.0648
12	3	需要	9.76937
12	4	的	2.27615
12	5	科技	14.088
12	6	发展	6.64435
12	7	。	11.7906
13	1	自从	11.5384
13	2	见	16.9288
13	3	了	3.62063
13	4	我	7.39267
13	5	介绍	15.2836
13	6	的	3.49768
13	7	他	10.5396
13	8	，	6.85529
13	9	她	8.62298
13	10	一直	10.5725
13	11	在	3.57006
13	12	写信	16.4479
13	13	。	11.1329
14	1	自从	11.5384
14	2	见	16.9288
14	3	了	3.62063
14	4	我	7.39267
14	5	介绍	15.2836
14	6	的	3.49768
14	7	他	10.5396
14	8	。	13.45
15	1	自从	11.5384
15	2	修	20.2315
15	3	了	5.85489
15	4	村民	14.6279
15	5	需要	13.8432
15	6	的	7.61771
15	7	公路	11.7362
15	8	，	9.35923
15	9	农村	15.9848
15	10	经济	11.1397
15	11	变	21.5944
15	12	好	8.77922
15	13	了	15.8486
15	14	。	12.2543
16	1	自从	11.5384
16	2	修	20.2315
16	3	了	5.85489
16	4	村民	14.6279
16	5	需要	13.8432
16	6	的	7.61771
16	7	公路	11.7362
16	8	。	16.3015
17	1	自从	11.5384
17	2	离开	14.3873
17	3	她	11.3443
17	4	依赖	17.2977
17	5	的	1.74033
17	6	家乡	9.68412
17	7	，	8.77072
17	8	她	9.25001
17	9	一直	10.7881
17	10	想念	13.7647
17	11	父母	7.59586
17	12	。	14.5208
18	1	自从	11.5384
18	2	离开	14.3873
18	3	她	11.3443
18	4	依赖	17.2977
18	5	的	1.74033
18	6	家乡	9.68412
18	7	。	16.4792
19	1	自从	11.5384
19	2	老师	13.5609
19	3	称赞	16.8792
19	4	的	11.1334
19	5	他	8.36742
19	6	开始	12.5142
19	7	读书	10.7789
19	8	，	2.53678
19	9	他	4.18178
19	10	的	4.33921
19	11	成绩	12.1444
19	12	提高	15.1237
19	13	了	0.84666
19	14	。	7.59624
20	1	自从	11.5384
20	2	老师	13.5609
20	3	称赞	16.8792
20	4	的	11.1334
20	5	他	8.36742
20	6	开始	12.5142
20	7	读书	10.7789
20	8	。	9.59045
21	1	自从	11.5384
21	2	老师	13.5609
21	3	认可	15.9583
21	4	的	12.6192
21	5	他	5.91268
21	6	获得	12.0644
21	7	大奖	14.333
21	8	，	3.7853
21	9	他	5.20146
