sentence_id	token_id	token	surprisal
1	1	我	6.0542
1	2	很	6.60809
1	3	喜欢	3.012
1	4	一	6.34873
1	5	位	4.26029
1	6	让	10.3951
1	7	人	4.39168
1	8	开心	9.38916
1	9	的	0.222856
1	10	明星	14.2467
1	11	。	0.921841
2	1	我	6.0542
2	2	很	6.60809
2	3	喜欢	3.012
2	4	一	6.34873
2	5	首	10.2168
2	6	让	11.2599
2	7	人	4.8186
2	8	开心	9.90315
2	9	的	0.222007
2	10	明星	14.3029
2	11	。	0.795966
3	1	我	6.0542
3	2	很	6.60809
3	3	喜欢	3.012
3	4	一	6.34873
3	5	首	10.2168
3	6	让	11.2599
3	7	人	4.8186
3	8	开心	9.90315
3	9	的	0.222007
3	10	歌曲	10.0664
3	11	。	0.865678
4	1	我	6.0542
4	2	很	6.60809
4	3	喜欢	3.012
4	4	一	6.34873
4	5	位	4.26029
4	6	让	10.3951
4	7	人	4.39168
4	8	开心	9.38916
4	9	的	0.222856
4	10	歌曲	11.1047
4	11	。	0.938955
5	1	她	8.71203
5	2	开车	13.5328
5	3	去	6.2328
5	4	了	3.81994
5	5	一	3.43019
5	6	家	4.38997
5	7	受	10.1485
5	8	大家	9.40279
5	9	欢迎	9.37678
5	10	的	0.223046
5	11	店	15.8724
5	12	。	0.415148
6	1	她	8.71203
6	2	开车	13.5328
6	3	去	6.2328
6	4	了	3.81994
6	5	一	3.43019
6	6	座	5.52531
6	7	受	9.87498
6	8	大家	10.7075
6	9	欢迎	10.9778
6	10	的	0.367504
6	11	店	16.0132
6	12	。	0.504115
7	1	她	8.71203
7	2	开车	13.5328
7	3	去	6.2328
7	4	了	3.81994
7	5	一	3.43019
7	6	座	5.52531
7	7	受	9.87498
7	8	大家	10.7075
7	9	欢迎	10.9778
7	10	的	0.367504
7	11	山	16.0183
7	12	。	0.810222
8	1	她	8.71203
8	2	开车	13.5328
8	3	去	6.2328
8	4	了	3.81994
8	5	一	3.43019
8	6	家	4.38997
8	7	受	10.1485
8	8	大家	9.40279
8	9	欢迎	9.37678
8	10	的	0.223046
8	11	山	16.0867
8	12	。	0.825577
9	1	他	6.15281
9	2	有	7.45602
9	3	一	2.98356
9	4	双	11.6097
9	5	被	10.3845
9	6	我	7.80944
9	7	丢	10.9592
9	8	了	3.08227
9	9	的	0.448715
9	10	手套	13.2675
9	11	。	2.39931
10	1	他	6.15281
10	2	有	7.45602
10	3	一	2.98356
10	4	枚	10.6304
10	5	被	7.92497
10	6	我	9.75084
10	7	丢	10.569
10	8	了	3.07517
10	9	的	0.882426
10	10	手套	13.7907
10	11	。	3.02492
11	1	他	6.15281
11	2	有	7.45602
11	3	一	2.98356
11	4	枚	10.6304
11	5	被	7.92497
11	6	我	9.75084
11	7	丢	10.569
11	8	了	3.07517
11	9	的	0.882426
11	10	纽扣	17.0856
11	11	。	5.6687
12	1	他	6.15281
12	2	有	7.45602
12	3	一	2.98356
12	4	双	11.6097
12	5	被	10.3845
12	6	我	7.80944
12	7	丢	10.9592
12	8	了	3.08227
12	9	的	0.448715
12	10	纽扣	17.4855
12	11	。	4.79348
13	1	店长	19.3738
13	2	拿	16.2578
13	3	着	1.6856
13	4	一	4.29977
13	5	只	7.28335
13	6	已经	9.99432
13	7	成熟	11.7505
13	8	了	6.80296
13	9	的	0.17505
13	10	兔子	16.2283
13	11	。	2.78547
14	1	店长	19.3738
14	2	拿	16.2578
14	3	着	1.6856
14	4	一	4.29977
14	5	根	7.75858
14	6	已经	12.8542
14	7	成熟	10.4506
14	8	了	8.73023
14	9	的	0.13853
14	10	兔子	16.2617
14	11	。	3.07362
15	1	店长	19.3738
15	2	拿	16.2578
15	3	着	1.6856
15	4	一	4.29977
15	5	根	7.75858
15	6	已经	12.8542
15	7	成熟	10.4506
15	8	了	8.73023
15	9	的	0.13853
15	10	萝卜	18.1566
15	11	。	3.17748
16	1	店长	19.3738
16	2	拿	16.2578
16	3	着	1.6856
16	4	一	4.29977
16	5	只	7.28335
16	6	已经	9.99432
16	7	成熟	11.7505
16	8	了	6.80296
16	9	的	0.17505
16	10	萝卜	18.6228
16	11	。	2.90422
17	1	他	6.15281
17	2	认识	11.9949
17	3	了	3.50532
17	4	一	3.6251
17	5	名	5.3371
17	6	会	10.753
17	7	讲	10.8397
17	8	故事	8.69115
17	9	的	0.335628
17	10	男孩	10.7202
17	11	。	2.05312
18	1	他	6.15281
18	2	认识	11.9949
18	3	了	3.50532
18	4	一	3.6251
18	5	本	9.19306
18	6	会	10.5193
18	7	讲	9.20681
18	8	故事	8.38494
18	9	的	0.307732
18	10	男孩	12.2564
18	11	。	2.54321
19	1	他	6.15281
19	2	认识	11.9949
19	3	了	3.50532
19	4	一	3.6251
19	5	本	9.19306
19	6	会	10.5193
19	7	讲	9.20681
19	8	故事	8.38494
19	9	的	0.307732
19	10	小说	12.7234
19	11	。	2.71174
20	1	他	6.15281
20	2	认识	11.9949
20	3	了	3.50532
20	4	一	3.6251
20	5	名	5.3371
20	6	会	10.753
20	7	讲	10.8397
20	8	故事	8.69115
20	9	的	0.335628
20	10	小说	12.8835
20	11	。	2.459
21	1	男人	16.7445
21	2	在	5.0411
21	3	扫描	19.515
21	4	一	5.91667
21	5	篇	9.97346
21	6	登报	21.7965
21	7	了	10.1427
21	8	的	1.44237
21	9	文章	5.42751
21	10	。	1.02442
22	1	男人	16.7445
22	2	在	5.0411
22	3	扫描	19.515
22	4	一	5.91667
22	5	张	6.41412
22	6	登报	21.4596
22	7	了	11.5754
22	8	的	0.927531
22	9	文章	9.71983
22	10	。	1.44337
23	1	男人	16.7445
23	2	在	5.0411
23	3	扫描	19.515
23	4	一	5.91667
23	5	张	6.41412
23	6	登报	21.4596
23	7	了	11.5754
23	8	的	0.927531
23	9	图片	8.4355
23	10	。	2.28882
24	1	男人	16.7445
24	2	在	5.0411
24	3	扫描	19.515
24	4	一	5.91667
24	5	篇	9.97346
24	6	登报	21.7965
24	7	了	10.1427
24	8	的	1.44237
24	9	图片	6.92955
24	10	。	2.1738
25	1	演员	16.6743
25	2	在	5.10175
25	3	看	11.9504
25	4	一	5.6522
25	5	张	6.96558
25	6	唤起	22.0098
25	7	她	8.6177
25	8	回忆	15.9026
25	9	的	1.29955
25	10	旧	11.6691
25	11	照片	10.0725
25	12	。	14.5064
26	1	演员	16.6743
26	2	在	5.10175
26	3	看	11.9504
26	4	一	5.6522
26	5	位	3.16398
26	6	唤起	20.9543
26	7	她	8.99714
26	8	回忆	17.2311
26	9	的	0.184757
26	10	旧	13.1507
26	11	照片	12.0924
26	12	。	14.9024
27	1	演员	16.6743
27	2	在	5.10175
27	3	看	11.9504
27	4	一	5.6522
27	5	位	3.16398
27	6	唤起	20.9543
27	7	她	8.99714
27	8	回忆	17.2311
27	9	的	0.184757
27	10	老师	8.33577
27	11	。	14.8032
28	1	演员	16.6743
28	2	在	5.10175
28	3	看	11.9504
28	4	一	5.6522
28	5	张	6.96558
28	6	唤起	22.0098
28	7	她	8.6177
28	8	回忆	15.9026
28	9	的	1.29955
28	10	老师	8.47735
28	11	。	14.4208
29	1	他	6.15281
29	2	在	4.79368
29	3	修理	15.1885
29	4	一	5.21715
29	5	辆	5.7532
29	6	无法	18.1644
29	7	启动	17.7519
29	8	的	0.2302
29	9	汽车	7.9345
29	10	。	1.73566
30	1	他	6.15281
30	2	在	4.79368
30	3	修理	15.1885
30	4	一	5.21715
30	5	套	5.73401
30	6	无法	12.7621
30	7	启动	16.8414
30	8	的	0.242813
30	9	汽车	9.50324
30	10	。	2.10782
31	1	他	6.15281
31	2	在	4.79368
31	3	修理	15.1885
31	4	一	5.21715
31	5	套	5.73401
31	6	无法	12.7621
31	7	启动	16.8414
31	8	的	0.242813
31	9	系统	12.2563
31	10	。	1.40084
32	1	他	6.15281
32	2	在	4.79368
32	3	修理	15.1885
32	4	一	5.21715
32	5	辆	5.7532
32	6	无法	18.1644
32	7	启动	17.7519
32	8	的	0.2302
32	9	系统	13.1325
32	10	。	1.149
33	1	学生	13.1673
33	2	们	20.5842
33	3	在	6.89175
33	4	写	14.3958
33	5	一	5.14421
33	6	部	4.13437
33	7	长	13.974
33	8	一	9.79838
33	9	个	4.71592
33	10	小时	4.87543
33	11	的	0.0243728
33	12	电影	7.17364
33	13	。	15.0201
34	1	学生	13.1673
34	2	们	20.5842
34	3	在	6.89175
34	4	写	14.3958
34	5	一	5.14421
34	6	首	4.98309
34	7	长	12.5284
34	8	一	10.213
34	9	个	4.03227
34	10	小时	4.90104
34	11	的	0.417442
34	12	电影	7.5169
34	13	。	14.9641
35	1	学生	13.1673
35	2	们	20.5842
35	3	在	6.89175
35	4	写	14.3958
35	5	一	5.14421
35	6	首	4.98309
35	7	长	12.5284
35	8	一	10.213
35	9	个	4.03227
35	10	小时	4.90104
35	11	的	0.417442
35	12	戏曲	19.0048
35	13	。	16.8631
36	1	学生	13.1673
36	2	们	20.5842
36	3	在	6.89175
36	4	写	14.3958
36	5	一	5.14421
36	6	部	4.13437
36	7	长	13.974
36	8	一	9.79838
36	9	个	4.71592
36	10	小时	4.87543
36	11	的	0.0243728
36	12	戏曲	18.9283
36	13	。	16.9227
37	1	我们	6.95907
37	2	在	5.24034
37	3	看	6.49912
37	4	一	4.74181
37	5	场	6.51043
37	6	吸引	13.2546
37	7	了	8.19504
37	8	很多	7.98777
37	9	观众	5.92209
37	10	的	0.702164
37	11	表演	10.909
37	12	。	1.99537
38	1	我们	6.95907
38	2	在	5.24034
38	3	看	6.49912
38	4	一	4.74181
38	5	块	10.175
38	6	吸引	13.527
38	7	了	10.0623
38	8	很多	8.2045
38	9	观众	7.67749
38	10	的	0.734436
38	11	表演	11.1391
38	12	。	1.95588
39	1	我们	6.95907
39	2	在	5.24034
39	3	看	6.49912
39	4	一	4.74181
39	5	块	10.175
39	6	吸引	13.527
39	7	了	10.0623
39	8	很多	8.2045
39	9	观众	7.67749
39	10	的	0.734436
39	11	场地	17.1493
39	12	。	2.18037
40	1	我们	6.95907
40	2	在	5.24034
40	3	看	6.49912
40	4	一	4.74181
40	5	场	6.51043
40	6	吸引	13.2546
40	7	了	8.19504
40	8	很多	7.98777
40	9	观众	5.92209
40	10	的	0.702164
40	11	场地	18.5327
40	12	。	1.91398
41	1	他	6.15281
41	2	最	10.039
41	3	喜欢	4.65434
41	4	一	7.27135
41	5	道	10.8794
41	6	让	9.9287
41	7	人	3.10283
41	8	想念	13.1713
41	9	的	4.37556
41	10	菜	13.1
41	11	。	1.23659
42	1	他	6.15281
42	2	最	10.039
42	3	喜欢	4.65434
42	4	一	7.27135
42	5	瓶	12.1398
42	6	让	11.9923
42	7	人	2.61923
42	8	想念	13.8569
42	9	的	3.9883
42	10	菜	11.8449
42	11	。	1.04886
