sentence_id	token_id	token	surprisal
1	1	那	10.5927
1	2	位	5.87243
1	3	教授	7.28893
1	4	写	11.1522
1	5	了	1.23967
1	6	书	9.342
1	7	的	3.85007
1	8	内容	7.50396
1	9	。	2.055
2	1	那	10.5927
2	2	位	5.87243
2	3	教授	7.28893
2	4	打	13.3719
2	5	了	1.66231
2	6	书	8.70054
2	7	的	5.91713
2	8	内容	10.361
2	9	。	6.67818
3	1	弟弟	19.4423
3	2	启动	19.3705
3	3	了	2.20839
3	4	车	16.2582
3	5	。	5.24615
4	1	弟弟	19.4423
4	2	认识	15.4307
4	3	了	3.92513
4	4	车	15.5283
4	5	。	11.7693
5	1	他	4.12783
5	2	拿	15.7295
5	3	了	2.2226
5	4	桌子	13.4919
5	5	上	12.561
5	6	的	5.21303
5	7	筷子	16.5072
5	8	。	4.26716
6	1	他	4.12783
6	2	听	14.7519
6	3	了	1.26445
6	4	桌子	16.378
6	5	上	13.5501
6	6	的	2.45323
6	7	筷子	18.4965
6	8	。	1.55693
7	1	她	7.06943
7	2	终于	14.0456
7	3	实现	10.1213
7	4	了	0.491235
7	5	理想	11.983
7	6	。	3.94006
8	1	她	7.06943
8	2	终于	14.0456
8	3	购买	14.2169
8	4	了	0.479659
8	5	理想	15.6954
8	6	。	17.7303
9	1	我	7.89858
9	2	修理	20.6808
9	3	了	2.18236
9	4	这个	7.65281
9	5	电脑	11.6086
9	6	。	3.37071
10	1	我	7.89858
10	2	阅读	17.1506
10	3	了	1.92079
10	4	这个	6.08072
10	5	电脑	11.8728
10	6	。	4.3187
11	1	我	7.89858
11	2	邀请	14.8274
11	3	过	8.20185
11	4	我	4.89226
11	5	的	2.38751
11	6	朋友	4.78504
11	7	。	3.81901
12	1	我	7.89858
12	2	打开	16.7411
12	3	过	5.46882
12	4	我	5.39894
12	5	的	1.07983
12	6	朋友	7.84851
12	7	。	4.45456
13	1	记者	8.41261
13	2	采访	7.25276
13	3	了	0.510523
13	4	艺术家	17.0485
13	5	。	2.00181
14	1	记者	8.41261
14	2	制作	17.9647
14	3	了	2.69322
14	4	艺术家	16.6944
14	5	。	4.39931
15	1	他	4.12783
15	2	参与	15.5352
15	3	了	2.22205
15	4	战争	10.9331
15	5	。	3.4188
16	1	他	4.12783
16	2	建造	20.2448
16	3	了	1.86364
16	4	战争	17.6037
16	5	。	6.6579
17	1	她	7.06943
17	2	批评	10.9119
17	3	了	4.77006
17	4	儿子	15.0566
17	5	。	5.41917
18	1	她	7.06943
18	2	改正	22.21
18	3	了	2.29764
18	4	儿子	10.8055
18	5	。	2.77742
19	1	我	7.89858
19	2	结束	15.4302
19	3	了	0.796089
19	4	谈话	11.2392
19	5	。	3.04216
20	1	我	7.89858
20	2	表扬	17.9614
20	3	了	1.27195
20	4	谈话	16.4091
20	5	。	3.32409
21	1	他	4.12783
21	2	买	15.9602
21	3	了	1.22472
21	4	这些	11.0218
21	5	笔	10.961
21	6	。	2.55979
22	1	他	4.12783
22	2	种	18.6127
22	3	了	2.13953
