sentence_id	token_id	token	surprisal
1	1	他	4.39796
1	2	喜欢	14.3622
1	3	那	9.02366
1	4	家	5.69846
1	5	我	10.6569
1	6	采访	10.7359
1	7	过	7.25274
1	8	的	0.237655
1	9	老板	10.3038
1	10	投资	15.5488
1	11	的	9.28158
1	12	饭店	13.1454
1	13	。	0.937987
2	1	他	4.39796
2	2	喜欢	14.3622
2	3	那	9.02366
2	4	个	3.94787
2	5	我	10.4619
2	6	采访	10.689
2	7	过	7.2085
2	8	的	0.170907
2	9	老板	12.7296
2	10	投资	16.3938
2	11	的	3.92946
2	12	饭店	12.1938
2	13	。	1.73737
3	1	她	7.66365
3	2	在	4.95148
3	3	看	10.7193
3	4	那	8.92191
3	5	幅	9.10749
3	6	我	10.9642
3	7	介绍	11.962
3	8	的	0.315492
3	9	朋友	13.8734
3	10	喜欢	13.988
3	11	的	1.68176
3	12	画	10.793
3	13	。	12.7036
4	1	她	7.66365
4	2	在	4.95148
4	3	看	10.7193
4	4	那	8.92191
4	5	个	3.77615
4	6	我	9.87937
4	7	介绍	12.6105
4	8	的	0.291915
4	9	朋友	11.0937
4	10	喜欢	16.2317
4	11	的	3.91286
4	12	画	11.5078
4	13	。	12.4036
5	1	我	7.44964
5	2	欣赏	13.6252
5	3	那	8.08153
5	4	件	3.79292
5	5	我	9.80801
5	6	喜欢	7.45787
5	7	的	0.85241
5	8	老师	9.81611
5	9	收藏	18.001
5	10	的	1.89227
5	11	艺术品	10.7722
5	12	。	0.936171
6	1	我	7.44964
6	2	欣赏	13.6252
6	3	那	8.08153
6	4	个	3.48176
6	5	我	9.17485
6	6	喜欢	7.45562
6	7	的	0.858192
6	8	老师	10.2435
6	9	收藏	18.1113
6	10	的	1.66313
6	11	艺术品	10.9517
6	12	。	1.03722
7	1	他	4.39796
7	2	打	14.7282
7	3	了	2.15928
7	4	那	10.1452
7	5	只	8.17595
7	6	我	9.71631
7	7	认识	14.3909
7	8	的	0.843009
7	9	店长	22.039
7	10	喜欢	17.0737
7	11	的	5.92408
7	12	宠物	14.8184
7	13	。	12.4276
8	1	他	4.39796
8	2	打	14.7282
8	3	了	2.15928
8	4	那	10.1452
8	5	个	3.82771
8	6	我	10.7538
8	7	认识	13.0042
8	8	的	0.475453
8	9	店长	22.2883
8	10	喜欢	17.0863
8	11	的	6.3033
8	12	宠物	15.2549
8	13	。	12.3604
9	1	我	7.44964
9	2	在	5.57235
9	3	思念	16.3177
9	4	那	7.07392
9	5	首	10.8235
9	6	我	8.3676
9	7	见	15.3049
9	8	过	3.85022
9	9	的	0.521378
9	10	明星	12.0611
9	11	唱	17.1461
9	12	的	9.85487
9	13	歌	9.85839
9	14	。	1.36843
10	1	我	7.44964
10	2	在	5.57235
10	3	思念	16.3177
10	4	那	7.07392
10	5	个	3.44492
10	6	我	9.60442
10	7	见	13.9073
10	8	过	3.89721
10	9	的	0.499285
10	10	明星	12.7311
10	11	唱	18.1574
10	12	的	9.34167
10	13	歌	10.5041
10	14	。	1.71404
11	1	她	7.66365
11	2	拜访	17.2159
11	3	了	1.2582
11	4	那	9.19726
11	5	所	7.50149
11	6	我	10.4609
11	7	认识	12.3868
11	8	的	0.763457
11	9	老人	9.66435
11	10	去	11.9458
11	11	的	8.05032
11	12	学校	10.1428
11	13	。	1.38677
12	1	她	7.66365
12	2	拜访	17.2159
12	3	了	1.2582
12	4	那	9.19726
12	5	个	4.34854
12	6	我	9.97989
12	7	认识	12.2801
12	8	的	0.691624
12	9	老人	11.1597
12	10	去	12.3964
12	11	的	7.75127
12	12	学校	10.6227
12	13	。	1.52074
13	1	他	4.39796
13	2	检查	19.1173
13	3	了	1.28837
13	4	那	11.7447
13	5	件	4.92461
13	6	我	12.2344
13	7	采访	12.2621
13	8	过	8.5836
13	9	的	0.461719
13	10	司机	16.2794
13	11	带	14.0319
13	12	的	2.80384
13	13	行李	12.5606
13	14	。	0.92312
14	1	他	4.39796
14	2	检查	19.1173
14	3	了	1.28837
14	4	那	11.7447
14	5	个	4.79794
14	6	我	11.4561
14	7	采访	11.3353
14	8	过	8.04408
14	9	的	0.413135
14	10	司机	16.2173
14	11	带	14.3254
14	12	的	1.89309
14	13	行李	12.6968
14	14	。	1.14311
15	1	我	7.44964
15	2	听说	10.4692
15	3	过	5.79246
15	4	那	6.83418
15	5	本	6.20961
15	6	我	8.79707
15	7	喜欢	8.22435
15	8	的	0.923176
15	9	作家	10.4191
15	10	写	15.2356
15	11	的	8.11431
15	12	书	9.22217
15	13	。	2.54694
16	1	我	7.44964
16	2	听说	10.4692
16	3	过	5.79246
16	4	那	6.83418
16	5	个	3.15464
16	6	我	9.14613
16	7	喜欢	7.89619
16	8	的	0.848873
16	9	作家	10.9702
16	10	写	15.3617
16	11	的	8.07856
16	12	书	9.29914
16	13	。	2.59033
17	1	她	7.66365
17	2	撞	20.0767
17	3	了	2.61035
17	4	那	7.86724
17	5	辆	6.47924
17	6	我	13.9113
17	7	介绍	13.5035
17	8	的	0.260839
17	9	朋友	10.6071
17	10	开	16.9285
17	11	的	10.5738
17	12	车	8.14715
17	13	。	1.53086
18	1	她	7.66365
18	2	撞	20.0767
18	3	了	2.61035
18	4	那	7.86724
18	5	个	3.88447
18	6	我	10.6339
18	7	介绍	12.6033
18	8	的	0.281404
18	9	朋友	11.3838
18	10	开	17.2647
18	11	的	5.19138
18	12	车	10.051
18	13	。	0.535477
19	1	我们	7.55796
19	2	认可	17.8705
19	3	了	2.41775
19	4	那	7.3487
19	5	份	5.05378
19	6	他	8.72669
19	7	教	14.1087
19	8	的	2.05084
19	9	孩子	9.955
19	10	做	13.4447
19	11	的	3.91917
19	12	作业	16.3871
19	13	。	1.96553
20	1	我们	7.55796
20	2	认可	17.8705
20	3	了	2.41775
20	4	那	7.3487
20	5	个	4.0795
20	6	他	10.3136
20	7	教	13.064
20	8	的	2.06113
20	9	孩子	7.14188
20	10	做	13.5166
20	11	的	5.96589
20	12	作业	16.5735
20	13	。	1.91908
21	1	他们	7.34901
21	2	接受	10.6453
21	3	了	1.55241
21	4	那	10.3372
21	5	份	3.87717
21	6	我	11.0191
21	7	采访	9.58839
21	8	过	9.00316
21	9	的	0.405235
21	10	老板	18.1333
21	11	制定	16.5004
21	12	的	0.586579
21	13	合同	11.3669
21	14	。	0.455532
22	1	他们	7.34901
22	2	接受	10.6453
22	3	了	1.55241
22	4	那	10.3372
22	5	个	4.65838
22	6	我	10.1238
22	7	采访	9.76873
22	8	过	7.90359
22	9	的	0.250333
22	10	老板	14.9918
22	11	制定	19.7548
22	12	的	0.429609
22	13	合同	11.3527
22	14	。	0.875004
23	1	他	4.39796
23	2	离开	15.0051
23	3	了	4.37753
23	4	那	9.25425
23	5	间	8.68141
23	6	我	12.2254
23	7	尊敬	11.997
23	8	的	0.0476907
23	9	朋友	5.94344
23	10	开	18.5808
23	11	的	10.5778
23	12	工厂	11.7338
23	13	。	1.35585
24	1	他	4.39796
24	2	离开	15.0051
24	3	了	4.37753
24	4	那	9.25425
24	5	个	3.28381
24	6	我	11.3823
24	7	尊敬	12.7667
24	8	的	0.0535044
24	9	朋友	6.28254
24	10	开	18.5642
24	11	的	10.425
24	12	工厂	11.6589
24	13	。	1.50145
25	1	她	7.66365
25	2	找	17.1467
25	3	了	3.73384
25	4	那	9.22315
25	5	张	5.04615
25	6	我	9.14693
25	7	教	12.7372
25	8	的	2.34056
25	9	孩子	5.31584
25	10	照	17.5198
25	11	的	10.3442
25	12	照片	9.8706
25	13	。	0.925714
26	1	她	7.66365
26	2	找	17.1467
26	3	了	3.73384
26	4	那	9.22315
26	5	个	3.41991
26	6	我	10.2817
26	7	教	12.5653
26	8	的	1.45328
26	9	孩子	4.82126
26	10	照	17.402
26	11	的	10.3602
26	12	照片	10.2235
26	13	。	1.08866
27	1	我	7.44964
27	2	需要	8.33702
27	3	那	8.46121
27	4	台	10.2518
27	5	我们	11.6527
27	6	欣赏	13.9845
27	7	的	1.83153
27	8	老师	12.8618
27	9	用	9.44891
27	10	的	12.686
27	11	手机	13.4838
27	12	。	9.14942
28	1	我	7.44964
28	2	需要	8.33702
28	3	那	8.46121
28	4	个	3.39002
28	5	我们	11.1403
28	6	欣赏	14.9116
28	7	的	1.21997
28	8	老师	12.1013
