sentence_id	token_id	token	surprisal
1	1	我	7.71951332837
1	2	很	6.3400988171
1	3	喜欢	6.3860936345
1	4	一	9.54156302748
1	5	位	5.20490283091
1	6	国内	13.6313937655
1	7	的	4.68891471045
1	8	明星	14.1634845749
1	9	。	4.42981782434
2	1	我	7.71951332837
2	2	很	6.3400988171
2	3	喜欢	6.3860936345
2	4	一	9.54156302748
2	5	首	9.09461483971
2	6	国内	13.2511302756
2	7	的	4.68891471045
2	8	明星	14.1634845749
2	9	。	4.42981782434
3	1	我	7.71951332837
3	2	很	6.3400988171
3	3	喜欢	6.3860936345
3	4	一	9.54156302748
3	5	首	9.09461483971
3	6	国内	13.2511302756
3	7	的	4.68891471045
3	8	歌曲	13.241675398
3	9	。	2.85761218122
4	1	我	7.71951332837
4	2	很	6.3400988171
4	3	喜欢	6.3860936345
4	4	一	9.54156302748
4	5	位	5.20490283091
4	6	国内	13.6313937655
4	7	的	4.68891471045
4	8	歌曲	13.241675398
4	9	。	2.85761218122
5	1	她	7.33709256502
5	2	开车	18.2335906344
5	3	去	5.59995319493
5	4	了	5.06723247422
5	5	一	6.09724270475
5	6	家	6.54357685436
5	7	郊外	18.7978926045
5	8	的	3.70517556944
5	9	店	17.1490748711
5	10	。	5.5539750434
6	1	她	7.33709256502
6	2	开车	18.2335906344
6	3	去	5.59995319493
6	4	了	5.06723247422
6	5	一	6.09724270475
6	6	座	5.51811120359
6	7	郊外	17.9700908143
6	8	的	3.70517556944
6	9	店	17.1490748711
6	10	。	5.5539750434
7	1	她	7.33709256502
7	2	开车	18.2335906344
7	3	去	5.59995319493
7	4	了	5.06723247422
7	5	一	6.09724270475
7	6	座	5.51811120359
7	7	郊外	17.9700908143
7	8	的	3.70517556944
7	9	山	16.4247432384
7	10	。	7.1205943455
8	1	她	7.33709256502
8	2	开车	18.2335906344
8	3	去	5.59995319493
8	4	了	5.06723247422
8	5	一	6.09724270475
8	6	家	6.54357685436
8	7	郊外	18.7978926045
8	8	的	3.70517556944
8	9	山	16.4247432384
8	10	。	7.1205943455
9	1	他	4.39275853651
9	2	有	12.9894998435
9	3	一	4.88860923416
9	4	双	9.54937038975
9	5	蓝色	9.62818050678
9	6	的	1.60153448135
9	7	手套	18.3634089875
9	8	。	6.89859493127
10	1	他	4.39275853651
10	2	有	12.9894998435
10	3	一	4.88860923416
10	4	枚	7.85488522538
10	5	蓝色	17.9556178198
10	6	的	1.60153448135
10	7	手套	18.3634089875
10	8	。	6.89859493127
11	1	他	4.39275853651
11	2	有	12.9894998435
11	3	一	4.88860923416
11	4	枚	7.85488522538
11	5	蓝色	17.9556178198
11	6	的	1.60153448135
11	7	纽扣	22.7206750369
11	8	。	6.66640304335
12	1	他	4.39275853651
12	2	有	12.9894998435
12	3	一	4.88860923416
12	4	双	9.54937038975
12	5	蓝色	9.62818050678
12	6	的	1.60153448135
12	7	纽扣	22.7206750369
12	8	。	6.66640304335
13	1	店长	24.7037797905
13	2	拿	13.6422855462
13	3	着	3.26345088544
13	4	一	3.45640972831
13	5	只	4.8466397959
13	6	便宜	16.1544076941
13	7	的	2.66225922662
13	8	兔子	18.9299810359
13	9	。	6.62426955323
14	1	店长	24.7037797905
14	2	拿	13.6422855462
14	3	着	3.26345088544
14	4	一	3.45640972831
14	5	根	7.37577661465
14	6	便宜	15.2227478787
14	7	的	2.66225922662
14	8	兔子	18.9299810359
14	9	。	6.62426955323
15	1	店长	24.7037797905
15	2	拿	13.6422855462
15	3	着	3.26345088544
15	4	一	3.45640972831
15	5	根	7.37577661465
15	6	便宜	15.2227478787
15	7	的	2.66225922662
15	8	萝卜	18.6853003497
15	9	。	5.44891877835
16	1	店长	24.7037797905
16	2	拿	13.6422855462
16	3	着	3.26345088544
16	4	一	3.45640972831
16	5	只	4.8466397959
16	6	便宜	16.1544076941
16	7	的	2.66225922662
16	8	萝卜	18.6853003497
16	9	。	5.44891877835
17	1	他	4.39275853651
17	2	认识	15.9718466284
17	3	了	4.91453357282
17	4	一	6.09697506138
17	5	名	5.40939411007
17	6	幸运	17.0485006966
17	7	的	2.23885908848
17	8	男孩	16.9414955649
17	9	。	3.14971070995
18	1	他	4.39275853651
18	2	认识	15.9718466284
18	3	了	4.91453357282
18	4	一	6.09697506138
18	5	本	6.93758787683
18	6	幸运	17.3387025523
18	7	的	2.23885908848
18	8	男孩	16.9414955649
18	9	。	3.14971070995
19	1	他	4.39275853651
19	2	认识	15.9718466284
19	3	了	4.91453357282
19	4	一	6.09697506138
19	5	本	6.93758787683
19	6	幸运	17.3387025523
19	7	的	2.23885908848
19	8	小说	13.9947122994
19	9	。	5.37310420754
20	1	他	4.39275853651
20	2	认识	15.9718466284
20	3	了	4.91453357282
20	4	一	6.09697506138
20	5	名	5.40939411007
20	6	幸运	17.0485006966
20	7	的	2.23885908848
20	8	小说	13.9947122994
20	9	。	5.37310420754
21	1	男人	19.8809986132
21	2	在	6.13813290688
21	3	扫描	17.044900397
21	4	一	9.47347883009
21	5	篇	8.49821316405
21	6	很	9.94516332294
21	7	短	9.23249850081
21	8	的	3.34235487335
21	9	文章	12.6213384366
21	10	。	3.06025166355
22	1	男人	19.8809986132
22	2	在	6.13813290688
22	3	扫描	17.044900397
22	4	一	9.47347883009
22	5	张	7.12447290483
22	6	很	11.6567124314
22	7	短	9.23249850081
22	8	的	3.34235487335
22	9	文章	12.6213384366
22	10	。	3.06025166355
23	1	男人	19.8809986132
23	2	在	6.13813290688
23	3	扫描	17.044900397
23	4	一	9.47347883009
23	5	张	7.12447290483
23	6	很	11.6567124314
23	7	短	9.23249850081
23	8	的	3.34235487335
23	9	图片	13.8423200134
23	10	。	4.0089028733
24	1	男人	19.8809986132
24	2	在	6.13813290688
24	3	扫描	17.044900397
24	4	一	9.47347883009
24	5	篇	8.49821316405
24	6	很	9.94516332294
24	7	短	9.23249850081
24	8	的	3.34235487335
24	9	图片	13.8423200134
24	10	。	4.0089028733
25	1	演员	15.8364416485
25	2	在	5.75636367248
25	3	看	13.3595334052
25	4	一	6.30601724429
25	5	张	7.93258755069
25	6	干净	16.9331874598
25	7	的	3.78819711475
25	8	旧	12.2890149997
25	9	照片	10.0218815567
25	10	。	3.2985691136
26	1	演员	15.8364416485
26	2	在	5.75636367248
26	3	看	13.3595334052
26	4	一	6.30601724429
26	5	位	6.01301834737
26	6	干净	16.9165820568
26	7	的	3.78819711475
26	8	旧	12.2890149997
26	9	照片	10.0218815567
26	10	。	3.2985691136
27	1	演员	15.8364416485
27	2	在	5.75636367248
27	3	看	13.3595334052
27	4	一	6.30601724429
27	5	位	6.01301834737
27	6	干净	16.9165820568
27	7	的	3.78819711475
27	8	老师	13.553772055
27	9	。	5.4102024639
28	1	演员	15.8364416485
28	2	在	5.75636367248
28	3	看	13.3595334052
28	4	一	6.30601724429
28	5	张	7.93258755069
28	6	干净	16.9331874598
28	7	的	3.78819711475
28	8	老师	13.553772055
28	9	。	5.4102024639
29	1	他	4.39275853651
29	2	在	5.20848789099
29	3	修理	18.2848275673
29	4	一	9.62379626099
29	5	辆	7.34833110129
29	6	倒霉	19.8506258058
29	7	的	1.828837761
29	8	汽车	10.5707440857
29	9	。	5.58140424352
30	1	他	4.39275853651
30	2	在	5.20848789099
30	3	修理	18.2848275673
30	4	一	9.62379626099
30	5	套	6.8045541052
30	6	倒霉	19.1582439709
30	7	的	1.828837761
30	8	汽车	10.5707440857
30	9	。	5.58140424352
31	1	他	4.39275853651
31	2	在	5.20848789099
31	3	修理	18.2848275673
31	4	一	9.62379626099
31	5	套	6.8045541052
31	6	倒霉	19.1582439709
31	7	的	1.828837761
31	8	系统	12.0506663623
