sentence_id	token_id	token	surprisal
1	1	那	9.78565934382
1	2	家	9.8242913282
1	3	亲切	16.299999765
1	4	的	3.98369264773
1	5	老板	13.8962257486
1	6	投资	11.1508290201
1	7	的	4.36365793524
1	8	饭店	14.5278468377
1	9	很	10.2665062927
1	10	受	7.28106180478
1	11	欢迎	2.17061802216
1	12	。	1.48604281632
2	1	那	9.78565934382
2	2	个	8.58075974437
2	3	亲切	15.7128881303
2	4	的	3.98369264773
2	5	老板	13.8962257486
2	6	投资	11.1508290201
2	7	的	4.36365793524
2	8	饭店	14.5278468377
2	9	很	10.2665062927
2	10	受	7.28106180478
2	11	欢迎	2.17061802216
2	12	。	1.48604281632
3	1	那	9.78565934382
3	2	幅	15.3086352909
3	3	聪明	16.9101304177
3	4	的	2.2991931294
3	5	朋友	11.2339267842
3	6	喜欢	15.3585413059
3	7	的	4.61990503359
3	8	画	16.092076523
3	9	吸引	13.0356879677
3	10	了	2.78127288393
3	11	我	10.1000996451
3	12	。	5.07413568477
4	1	那	9.78565934382
4	2	个	8.58075974437
4	3	聪明	16.2280015948
4	4	的	2.2991931294
4	5	朋友	11.2339267842
4	6	喜欢	15.3585413059
4	7	的	4.61990503359
4	8	画	16.092076523
4	9	吸引	13.0356879677
4	10	了	2.78127288393
4	11	我	10.1000996451
4	12	。	5.07413568477
5	1	那	9.78565934382
5	2	件	6.79333773357
5	3	细心	20.0458903503
5	4	的	1.98932441136
5	5	老师	13.7522322932
5	6	收藏	15.1791972899
5	7	的	2.26547080786
5	8	艺术品	14.4770935717
5	9	获	13.742281465
5	10	了	9.34324838676
5	11	奖	14.7203098456
5	12	。	1.92731792279
6	1	那	9.78565934382
6	2	个	8.58075974437
6	3	细心	16.2280015948
6	4	的	1.98932441136
6	5	老师	13.7522322932
6	6	收藏	15.1791972899
6	7	的	2.26547080786
6	8	艺术品	14.4770935717
6	9	获	13.742281465
6	10	了	9.34324838676
6	11	奖	14.7203098456
6	12	。	1.92731792279
7	1	那	9.78565934382
7	2	只	8.2604463961
7	3	负责	9.59112758328
7	4	的	4.64331131463
7	5	店长	23.8141348044
7	6	喜欢	14.4533046996
7	7	的	4.61990503359
7	8	宠物	16.5720558324
7	9	生病	17.0571306008
7	10	了	3.2438757728
7	11	。	7.09929009005
8	1	那	9.78565934382
8	2	个	8.58075974437
8	3	负责	16.2280015948
8	4	的	4.64331131463
8	5	店长	23.8141348044
8	6	喜欢	14.4533046996
8	7	的	4.61990503359
8	8	宠物	16.5720558324
8	9	生病	17.0571306008
8	10	了	3.2438757728
8	11	。	7.09929009005
9	1	那	9.78565934382
9	2	首	9.09995809054
9	3	有名	10.9272228033
9	4	的	0.340748369213
9	5	明星	14.14002848
9	6	唱	15.4176489952
9	7	的	3.52963810662
9	8	歌	3.80178709558
9	9	很	11.8171047155
9	10	好听	22.1570958117
9	11	。	6.9880436883
10	1	那	9.78565934382
10	2	个	8.58075974437
10	3	有名	16.2280015948
10	4	的	0.340748369213
10	5	明星	14.14002848
10	6	唱	15.4176489952
10	7	的	3.52963810662
10	8	歌	3.80178709558
10	9	很	11.8171047155
10	10	好听	22.1570958117
10	11	。	6.9880436883
11	1	那	9.78565934382
11	2	所	12.3050009392
11	3	富有	15.3243341425
11	4	的	5.72026732536
11	5	老人	12.2198293338
11	6	去	12.3201807456
11	7	的	6.43044544641
11	8	学校	11.8910569123
11	9	关闭	15.1189568838
11	10	了	3.35356612323
11	11	。	5.70380147573
12	1	那	9.78565934382
12	2	个	8.58075974437
12	3	富有	14.5716798846
12	4	的	5.72026732536
12	5	老人	12.2198293338
12	6	去	12.3201807456
12	7	的	6.43044544641
12	8	学校	11.8910569123
12	9	关闭	15.1189568838
12	10	了	3.35356612323
12	11	。	5.70380147573
13	1	那	9.78565934382
13	2	件	6.79333773357
13	3	紧张	15.9760809269
13	4	的	2.78163790998
13	5	司机	15.034059963
13	6	带	13.2315978033
13	7	的	4.70083056831
13	8	行李	14.8525263154
13	9	丢	16.0754652941
13	10	了	2.24695348216
13	11	。	5.84857216026
14	1	那	9.78565934382
14	2	个	8.58075974437
14	3	紧张	14.4089553403
14	4	的	2.78163790998
14	5	司机	15.034059963
14	6	带	13.2315978033
14	7	的	4.70083056831
14	8	行李	14.8525263154
14	9	丢	16.0754652941
14	10	了	2.24695348216
14	11	。	5.84857216026
15	1	那	9.78565934382
15	2	本	8.2604463961
15	3	有名	17.7570576439
15	4	的	0.340748369213
15	5	作家	13.2715897967
15	6	写	10.440480705
15	7	的	3.33407318498
15	8	书	5.92731649611
15	9	很	12.120732197
15	10	受	7.28106180478
15	11	欢迎	2.17061802216
15	12	。	1.48604281632
16	1	那	9.78565934382
16	2	个	8.58075974437
16	3	有名	16.2280015948
16	4	的	0.340748369213
16	5	作家	13.2715897967
16	6	写	10.440480705
16	7	的	3.33407318498
16	8	书	5.92731649611
16	9	很	12.120732197
16	10	受	7.28106180478
16	11	欢迎	2.17061802216
16	12	。	1.48604281632
17	1	那	9.78565934382
17	2	辆	7.97287412875
17	3	熟悉	16.6429175108
17	4	的	2.44018674267
17	5	朋友	11.281297652
17	6	开	14.2768022387
17	7	的	4.88367272192
17	8	车	4.73467449103
17	9	坏	16.0050680911
17	10	了	3.19521949269
17	11	。	5.76479115371
18	1	那	9.78565934382
18	2	个	8.58075974437
18	3	熟悉	16.2280015948
18	4	的	2.44018674267
18	5	朋友	11.281297652
18	6	开	14.2768022387
18	7	的	4.88367272192
18	8	车	4.73467449103
18	9	坏	16.0050680911
18	10	了	3.19521949269
18	11	。	5.76479115371
19	1	那	9.78565934382
19	2	份	7.5277387354
19	3	淘气	22.7532095872
19	4	的	3.44891893589
19	5	孩子	11.3474136778
19	6	做	9.50878683992
19	7	的	4.16057206701
19	8	作业	14.9642772826
19	9	获	13.3725745657
19	10	了	9.34324838676
19	11	奖	14.7203098456
19	12	。	1.92731792279
20	1	那	9.78565934382
20	2	个	8.58075974437
20	3	淘气	16.2280015948
20	4	的	3.44891893589
20	5	孩子	11.3474136778
20	6	做	9.50878683992
20	7	的	4.16057206701
20	8	作业	14.9642772826
20	9	获	13.3725745657
20	10	了	9.34324838676
20	11	奖	14.7203098456
20	12	。	1.92731792279
21	1	那	9.78565934382
21	2	份	7.5277387354
21	3	严格	13.6013845155
21	4	的	3.52321378199
21	5	老板	13.6420621776
21	6	制定	12.6911206633
21	7	的	3.16387808399
21	8	合同	12.195961777
21	9	到期	12.3549013227
21	10	了	9.72071948672
21	11	。	5.65840603608
22	1	那	9.78565934382
22	2	个	8.58075974437
22	3	严格	16.2280015948
22	4	的	3.52321378199
22	5	老板	13.6420621776
22	6	制定	12.6911206633
22	7	的	3.16387808399
22	8	合同	12.195961777
22	9	到期	12.3549013227
22	10	了	9.72071948672
22	11	。	5.65840603608
23	1	那	9.78565934382
23	2	间	13.4831122534
23	3	负责	13.0091030954
23	4	的	4.64331131463
23	5	朋友	11.6395608201
23	6	开	14.2768022387
23	7	的	4.88367272192
23	8	工厂	12.3516455075
23	9	倒闭	9.00970532271
23	10	了	5.16183453159
23	11	。	1.34235523917
24	1	那	9.78565934382
24	2	个	8.58075974437
24	3	负责	16.2280015948
24	4	的	4.64331131463
24	5	朋友	11.6395608201
24	6	开	14.2768022387
24	7	的	4.88367272192
24	8	工厂	12.3516455075
24	9	倒闭	9.00970532271
24	10	了	5.16183453159
24	11	。	1.34235523917
25	1	那	9.78565934382
25	2	张	7.97287412875
25	3	聪明	17.1590051045
25	4	的	2.2991931294
25	5	孩子	11.3474136778
25	6	照	17.250993732
25	7	的	6.37986150915
25	8	照片	11.9967613643
25	9	丢	17.0046963945
25	10	了	2.24695348216
25	11	。	5.84857216026
26	1	那	9.78565934382
26	2	个	8.58075974437
26	3	聪明	16.2280015948
26	4	的	2.2991931294
26	5	孩子	11.3474136778
26	6	照	17.250993732
26	7	的	6.37986150915
26	8	照片	11.9967613643
26	9	丢	17.0046963945
26	10	了	2.24695348216
26	11	。	5.84857216026
27	1	那	9.78565934382
27	2	台	12.3050009392
27	3	负责	12.9731074933
27	4	的	4.64331131463
27	5	老师	13.9594059964
27	6	用	8.32568028385
27	7	的	5.30995907785
27	8	手机	14.6590212664
27	9	很	11.2375349549
27	10	好用	20.8832263481
27	11	。	7.0206459457
28	1	那	9.78565934382
28	2	个	8.58075974437
28	3	负责	16.2280015948
28	4	的	4.64331131463
28	5	老师	13.9594059964
28	6	用	8.32568028385
28	7	的	5.30995907785
28	8	手机	14.6590212664
28	9	很	11.2375349549
28	10	好用	20.8832263481
28	11	。	7.0206459457
29	1	那	9.78565934382
29	2	朵	18.8760119393
29	3	细心	17.6263492038
29	4	的	1.98932441136
29	5	邻居	14.436539272
29	6	种	11.9343416581
29	7	的	8.08189254865
29	8	花	14.512836869
29	9	很	11.900107204
29	10	好看	10.7963464193
29	11	。	2.05539039371
30	1	那	9.78565934382
30	2	个	8.58075974437
30	3	细心	16.2280015948
30	4	的	1.98932441136
30	5	邻居	14.436539272
30	6	种	11.9343416581
30	7	的	8.08189254865
30	8	花	14.512836869
