sentence_id	token_id	token	surprisal
1	1	我	7.44964
1	2	很	5.37567
1	3	喜欢	5.00038
1	4	一	7.04284
1	5	位	3.81954
1	6	让	10.4734
1	7	人	3.07995
1	8	开心	11.815
1	9	的	0.147553
1	10	明星	13.5036
1	11	。	2.2427
2	1	我	7.44964
2	2	很	5.37567
2	3	喜欢	5.00038
2	4	一	7.04284
2	5	首	8.52336
2	6	让	8.82561
2	7	人	3.02327
2	8	开心	11.2992
2	9	的	0.129632
2	10	明星	13.4147
2	11	。	1.96923
3	1	我	7.44964
3	2	很	5.37567
3	3	喜欢	5.00038
3	4	一	7.04284
3	5	首	8.52336
3	6	让	8.82561
3	7	人	3.02327
3	8	开心	11.2992
3	9	的	0.129632
3	10	歌曲	9.0262
3	11	。	1.50802
4	1	我	7.44964
4	2	很	5.37567
4	3	喜欢	5.00038
4	4	一	7.04284
4	5	位	3.81954
4	6	让	10.4734
4	7	人	3.07995
4	8	开心	11.815
4	9	的	0.147553
4	10	歌曲	11.3616
4	11	。	1.65684
5	1	她	7.66365
5	2	开车	18.642
5	3	去	7.2042
5	4	了	3.34224
5	5	一	5.0853
5	6	家	3.25643
5	7	受	11.0184
5	8	大家	14.5054
5	9	欢迎	2.59253
5	10	的	0.114347
5	11	店	12.7236
5	12	。	1.78009
6	1	她	7.66365
6	2	开车	18.642
6	3	去	7.2042
6	4	了	3.34224
6	5	一	5.0853
6	6	座	6.1718
6	7	受	10.1009
6	8	大家	16.6385
6	9	欢迎	2.45584
6	10	的	0.162552
6	11	店	12.2427
6	12	。	1.66351
7	1	她	7.66365
7	2	开车	18.642
7	3	去	7.2042
7	4	了	3.34224
7	5	一	5.0853
7	6	座	6.1718
7	7	受	10.1009
7	8	大家	16.6385
7	9	欢迎	2.45584
7	10	的	0.162552
7	11	山	14.6775
7	12	。	2.02457
8	1	她	7.66365
8	2	开车	18.642
8	3	去	7.2042
8	4	了	3.34224
8	5	一	5.0853
8	6	家	3.25643
8	7	受	11.0184
8	8	大家	14.5054
8	9	欢迎	2.59253
8	10	的	0.114347
8	11	山	15.7067
8	12	。	2.27895
9	1	他	4.39796
9	2	有	9.82054
9	3	一	4.53491
9	4	双	11.4255
9	5	被	8.10664
9	6	我	9.72796
9	7	丢	13.5938
9	8	了	3.55589
9	9	的	1.73199
9	10	手套	13.5349
9	11	。	9.4841
10	1	他	4.39796
10	2	有	9.82054
10	3	一	4.53491
10	4	枚	6.73731
10	5	被	8.8067
10	6	我	10.6604
10	7	丢	13.1702
10	8	了	3.27118
10	9	的	3.12503
10	10	手套	14.2152
10	11	。	3.43805
11	1	他	4.39796
11	2	有	9.82054
11	3	一	4.53491
11	4	枚	6.73731
11	5	被	8.8067
11	6	我	10.6604
11	7	丢	13.1702
11	8	了	3.27118
11	9	的	3.12503
11	10	纽扣	22.4607
11	11	。	3.76126
12	1	他	4.39796
12	2	有	9.82054
12	3	一	4.53491
12	4	双	11.4255
12	5	被	8.10664
12	6	我	9.72796
12	7	丢	13.5938
12	8	了	3.55589
12	9	的	1.73199
12	10	纽扣	22.4805
12	11	。	9.20118
13	1	店长	21.3537
13	2	拿	15.5044
13	3	着	2.17403
13	4	一	3.52945
13	5	只	6.91408
13	6	已经	11.3775
13	7	成熟	14.5343
13	8	了	5.69792
13	9	的	0.347244
13	10	兔子	17.0091
13	11	。	4.28798
14	1	店长	21.3537
14	2	拿	15.5044
14	3	着	2.17403
14	4	一	3.52945
14	5	根	7.45858
14	6	已经	11.9967
14	7	成熟	14.682
14	8	了	6.08905
14	9	的	0.262904
14	10	兔子	15.5941
14	11	。	5.19909
15	1	店长	21.3537
15	2	拿	15.5044
15	3	着	2.17403
15	4	一	3.52945
15	5	根	7.45858
15	6	已经	11.9967
15	7	成熟	14.682
15	8	了	6.08905
15	9	的	0.262904
15	10	萝卜	14.2964
15	11	。	4.83995
16	1	店长	21.3537
16	2	拿	15.5044
16	3	着	2.17403
16	4	一	3.52945
16	5	只	6.91408
16	6	已经	11.3775
16	7	成熟	14.5343
16	8	了	5.69792
16	9	的	0.347244
16	10	萝卜	14.9373
16	11	。	3.93702
17	1	他	4.39796
17	2	认识	16.2428
17	3	了	4.17527
17	4	一	8.01626
17	5	名	5.61435
17	6	会	13.1704
17	7	讲	8.2577
17	8	故事	9.03862
17	9	的	0.141328
17	10	男孩	11.5978
17	11	。	4.07395
18	1	他	4.39796
18	2	认识	16.2428
18	3	了	4.17527
18	4	一	8.01626
18	5	本	6.67803
18	6	会	12.7539
18	7	讲	9.3128
18	8	故事	9.86046
18	9	的	0.23323
18	10	男孩	12.3658
18	11	。	3.65466
19	1	他	4.39796
19	2	认识	16.2428
19	3	了	4.17527
19	4	一	8.01626
19	5	本	6.67803
19	6	会	12.7539
19	7	讲	9.3128
19	8	故事	9.86046
19	9	的	0.23323
19	10	小说	8.66727
19	11	。	3.30339
20	1	他	4.39796
20	2	认识	16.2428
20	3	了	4.17527
20	4	一	8.01626
20	5	名	5.61435
20	6	会	13.1704
20	7	讲	8.2577
20	8	故事	9.03862
20	9	的	0.141328
20	10	小说	10.9217
20	11	。	3.79947
21	1	男人	17.4355
21	2	在	4.84963
21	3	扫描	18.4138
21	4	一	7.91784
21	5	篇	7.916
21	6	登报	20.2254
21	7	了	11.4437
21	8	的	0.772036
21	9	文章	6.39897
21	10	。	12.6958
22	1	男人	17.4355
22	2	在	4.84963
22	3	扫描	18.4138
22	4	一	7.91784
22	5	张	5.0461
22	6	登报	18.9254
22	7	了	11.4787
22	8	的	0.808994
22	9	文章	8.51194
22	10	。	12.6271
23	1	男人	17.4355
23	2	在	4.84963
23	3	扫描	18.4138
23	4	一	7.91784
23	5	张	5.0461
23	6	登报	18.9254
23	7	了	11.4787
23	8	的	0.808994
23	9	图片	11.0848
23	10	。	13.3049
24	1	男人	17.4355
24	2	在	4.84963
24	3	扫描	18.4138
24	4	一	7.91784
24	5	篇	7.916
24	6	登报	20.2254
24	7	了	11.4437
24	8	的	0.772036
24	9	图片	8.44589
24	10	。	13.4261
25	1	演员	15.5973
25	2	在	3.92632
25	3	看	11.0375
25	4	一	5.88898
25	5	张	4.90418
25	6	唤起	20.4325
25	7	她	6.08694
25	8	回忆	13.3207
25	9	的	0.404008
25	10	旧	10.9549
25	11	照片	7.4936
25	12	。	12.0223
26	1	演员	15.5973
26	2	在	3.92632
26	3	看	11.0375
26	4	一	5.88898
26	5	位	4.02096
26	6	唤起	21.2465
26	7	她	5.55786
26	8	回忆	12.8909
26	9	的	0.366186
26	10	旧	10.8041
26	11	照片	10.31
26	12	。	11.8144
27	1	演员	15.5973
27	2	在	3.92632
27	3	看	11.0375
27	4	一	5.88898
27	5	位	4.02096
27	6	唤起	21.2465
27	7	她	5.55786
27	8	回忆	12.8909
27	9	的	0.366186
27	10	老师	8.20525
27	11	。	10.5085
28	1	演员	15.5973
28	2	在	3.92632
28	3	看	11.0375
28	4	一	5.88898
28	5	张	4.90418
28	6	唤起	20.4325
28	7	她	6.08694
28	8	回忆	13.3207
28	9	的	0.404008
28	10	老师	11.2103
28	11	。	10.777
29	1	他	4.39796
29	2	在	5.49197
29	3	修理	19.2174
29	4	一	7.8293
29	5	辆	4.32125
29	6	无法	15.9926
29	7	启动	15.6982
29	8	的	0.465851
29	9	汽车	5.88142
29	10	。	14.5852
30	1	他	4.39796
30	2	在	5.49197
30	3	修理	19.2174
30	4	一	7.8293
30	5	套	6.81657
30	6	无法	14.0942
30	7	启动	14.508
30	8	的	0.477295
30	9	汽车	7.43022
30	10	。	14.9637
31	1	他	4.39796
31	2	在	5.49197
31	3	修理	19.2174
31	4	一	7.8293
31	5	套	6.81657
31	6	无法	14.0942
31	7	启动	14.508
31	8	的	0.477295
31	9	系统	9.69911
31	10	。	14.1496
32	1	他	4.39796
32	2	在	5.49197
32	3	修理	19.2174
32	4	一	7.8293
32	5	辆	4.32125
32	6	无法	15.9926
32	7	启动	15.6982
32	8	的	0.465851
32	9	系统	12.5241
32	10	。	13.945
33	1	学生	14.6754
33	2	们	20.7314
33	3	在	5.17801
33	4	写	10.8751
33	5	一	3.85321
33	6	部	4.06583
33	7	长	12.7377
33	8	一	7.00598
33	9	个	6.26388
33	10	小时	4.08762
33	11	的	0.0230556
33	12	电影	7.67807
33	13	。	12.9578
34	1	学生	14.6754
34	2	们	20.7314
34	3	在	5.17801
34	4	写	10.8751
34	5	一	3.85321
34	6	首	7.15035
34	7	长	11.463
34	8	一	6.79795
34	9	个	6.16315
34	10	小时	3.69
34	11	的	0.0233276
34	12	电影	7.78102
34	13	。	12.8146
35	1	学生	14.6754
35	2	们	20.7314
35	3	在	5.17801
35	4	写	10.8751
35	5	一	3.85321
35	6	首	7.15035
35	7	长	11.463
35	8	一	6.79795
35	9	个	6.16315
35	10	小时	3.69
35	11	的	0.0233276
35	12	戏曲	15.2046
35	13	。	13.4676
36	1	学生	14.6754
36	2	们	20.7314
36	3	在	5.17801
36	4	写	10.8751
36	5	一	3.85321
36	6	部	4.06583
36	7	长	12.7377
36	8	一	7.00598
36	9	个	6.26388
36	10	小时	4.08762
36	11	的	0.0230556
36	12	戏曲	15.278
36	13	。	13.76
37	1	我们	7.55796
37	2	在	5.06328
37	3	看	10.636
37	4	一	6.29143
37	5	场	4.87806
37	6	吸引	12.878
37	7	了	5.15414
37	8	很多	7.21664
37	9	观众	3.43286
37	10	的	0.408163
37	11	表演	6.80105
37	12	。	3.46733
38	1	我们	7.55796
38	2	在	5.06328
38	3	看	10.636
38	4	一	6.29143
38	5	块	8.47736
38	6	吸引	14.365
38	7	了	4.53545
38	8	很多	6.98628
38	9	观众	4.3362
38	10	的	0.442785
38	11	表演	9.42946
38	12	。	4.35229
39	1	我们	7.55796
39	2	在	5.06328
39	3	看	10.636
39	4	一	6.29143
39	5	块	8.47736
39	6	吸引	14.365
39	7	了	4.53545
39	8	很多	6.98628
39	9	观众	4.3362
39	10	的	0.442785
39	11	场地	14.2514
39	12	。	3.89874
40	1	我们	7.55796
40	2	在	5.06328
40	3	看	10.636
40	4	一	6.29143
40	5	场	4.87806
40	6	吸引	12.878
40	7	了	5.15414
40	8	很多	7.21664
40	9	观众	3.43286
40	10	的	0.408163
40	11	场地	14.231
40	12	。	3.61518
41	1	他	4.39796
41	2	最	13.7007
41	3	喜欢	7.58274
41	4	一	8.73517
41	5	道	8.53719
41	6	让	9.85876
41	7	人	3.18561
41	8	想念	11.5287
41	9	的	3.72021
41	10	菜	12.3111
41	11	。	2.6404
42	1	他	4.39796
42	2	最	13.7007
42	3	喜欢	7.58274
42	4	一	8.73517
42	5	瓶	10.4501
42	6	让	9.87697
42	7	人	3.10782
42	8	想念	12.0271
42	9	的	3.66691
42	10	菜	11.4301
42	11	。	2.98386
43	1	他	4.39796
43	2	最	13.7007
43	3	喜欢	7.58274
43	4	一	8.73517
43	5	瓶	10.4501
43	6	让	9.87697
43	7	人	3.10782
43	8	想念	12.0271
43	9	的	3.66691
43	10	醋	16.6505
43	11	。	3.94966
44	1	他	4.39796
44	2	最	13.7007
44	3	喜欢	7.58274
44	4	一	8.73517
44	5	道	8.53719
44	6	让	9.85876
44	7	人	3.18561
44	8	想念	11.5287
44	9	的	3.72021
44	10	醋	17.0571
44	11	。	3.59812
45	1	她	7.66365
45	2	拿	13.0732
45	3	了	1.88841
45	4	一	2.94584
45	5	份	4.44864
45	6	被	9.04793
45	7	提供	17.3589
45	8	给	6.73027
45	9	客人	11.1606
45	10	的	0.090438
45	11	饭	11.658
45	12	。	11.2005
46	1	她	7.66365
46	2	拿	13.0732
46	3	了	1.88841
46	4	一	2.94584
46	5	卷	14.1516
46	6	被	9.95326
46	7	提供	18.1669
46	8	给	6.60205
46	9	客人	10.7328
46	10	的	2.54825
46	11	饭	11.8201
46	12	。	6.75087
47	1	她	7.66365
47	2	拿	13.0732
47	3	了	1.88841
47	4	一	2.94584
47	5	卷	14.1516
47	6	被	9.95326
47	7	提供	18.1669
47	8	给	6.60205
47	9	客人	10.7328
47	10	的	2.54825
47	11	纸	14.1619
47	12	。	5.95602
48	1	她	7.66365
48	2	拿	13.0732
48	3	了	1.88841
48	4	一	2.94584
48	5	份	4.44864
48	6	被	9.04793
48	7	提供	17.3589
48	8	给	6.73027
48	9	客人	11.1606
48	10	的	0.090438
48	11	纸	14.021
48	12	。	12.0443
49	1	学生	14.6754
49	2	们	20.7314
49	3	在	5.17801
49	4	写	10.8751
49	5	一	3.85321
49	6	部	4.06583
49	7	令	8.90234
49	8	人	0.508629
49	9	感动	6.37296
49	10	的	0.0500323
49	11	戏剧	10.5858
49	12	。	13.0644
50	1	学生	14.6754
50	2	们	20.7314
50	3	在	5.17801
50	4	写	10.8751
50	5	一	3.85321
50	6	篇	1.718
50	7	令	9.35882
50	8	人	0.623316
50	9	感动	6.54794
50	10	的	0.0637872
50	11	戏剧	11.3567
50	12	。	13.2344
51	1	学生	14.6754
51	2	们	20.7314
51	3	在	5.17801
51	4	写	10.8751
51	5	一	3.85321
51	6	篇	1.718
51	7	令	9.35882
51	8	人	0.623316
51	9	感动	6.54794
51	10	的	0.0637872
51	11	文章	6.30678
51	12	。	12.4413
52	1	学生	14.6754
52	2	们	20.7314
52	3	在	5.17801
52	4	写	10.8751
52	5	一	3.85321
52	6	部	4.06583
52	7	令	8.90234
52	8	人	0.508629
52	9	感动	6.37296
52	10	的	0.0500323
52	11	文章	6.68444
52	12	。	12.4064
53	1	这	6.14517
53	2	是	4.47615
53	3	一	4.13448
53	4	辆	11.3309
53	5	有	5.86342
53	6	历史	11.0491
53	7	的	1.912
53	8	火车	12.031
53	9	。	1.74818
54	1	这	6.14517
54	2	是	4.47615
54	3	一	4.13448
54	4	扇	10.8838
54	5	有	6.8272
54	6	历史	8.22497
54	7	的	1.75392
54	8	火车	15.7144
54	9	。	1.75809
55	1	这	6.14517
55	2	是	4.47615
55	3	一	4.13448
55	4	扇	10.8838
55	5	有	6.8272
55	6	历史	8.22497
55	7	的	1.75392
