sentence_id	token_id	token	surprisal
1	1	那	10.5927
1	2	位	5.87243
1	3	教授	7.28893
1	4	写	11.1522
1	5	了	1.23967
1	6	精彩	12.7473
1	7	的	0.260751
1	8	书	6.83847
1	9	的	9.27991
1	10	内容	7.08598
1	11	。	1.69917
2	1	那	10.5927
2	2	位	5.87243
2	3	教授	7.28893
2	4	打	13.3719
2	5	了	1.66231
2	6	精彩	11.4048
2	7	的	0.407236
2	8	书	8.51706
2	9	的	9.15113
2	10	内容	9.36204
2	11	。	2.33739
3	1	弟弟	19.4423
3	2	启动	19.3705
3	3	了	2.20839
3	4	昂贵	15.9946
3	5	的	0.286095
3	6	车	11.4893
3	7	。	3.55666
4	1	弟弟	19.4423
4	2	认识	15.4307
4	3	了	3.92513
4	4	昂贵	16.8126
4	5	的	0.247318
4	6	车	12.3221
4	7	。	5.08638
5	1	他	4.12783
5	2	拿	15.7295
5	3	了	2.2226
5	4	桌子	13.4919
5	5	上	12.561
5	6	的	5.21303
5	7	好看	15.9147
5	8	的	3.65301
5	9	筷子	16.069
5	10	。	12.3817
6	1	他	4.12783
6	2	听	14.7519
6	3	了	1.26445
6	4	桌子	16.378
6	5	上	13.5501
6	6	的	2.45323
6	7	好看	16.8754
6	8	的	4.04874
6	9	筷子	18.0304
6	10	。	1.18944
7	1	她	7.06943
7	2	终于	14.0456
7	3	实现	10.1213
7	4	了	0.491235
7	5	重要	13.0271
7	6	的	2.07849
7	7	理想	8.62641
7	8	。	2.84382
8	1	她	7.06943
8	2	终于	14.0456
8	3	购买	14.2169
8	4	了	0.479659
8	5	重要	13.0079
8	6	的	0.857833
8	7	理想	13.5
8	8	。	3.30213
9	1	我	7.89858
9	2	修理	20.6808
9	3	了	2.18236
9	4	这个	7.65281
9	5	新	7.10322
9	6	的	2.08456
9	7	电脑	9.47465
9	8	。	2.80951
10	1	我	7.89858
10	2	阅读	17.1506
10	3	了	1.92079
10	4	这个	6.08072
10	5	新	6.74836
10	6	的	1.71251
10	7	电脑	9.50712
10	8	。	3.36236
11	1	我	7.89858
11	2	邀请	14.8274
11	3	过	8.20185
11	4	我	4.89226
11	5	的	2.38751
11	6	优秀	12.6107
11	7	的	4.69987
11	8	朋友	4.28108
11	9	。	3.02838
12	1	我	7.89858
12	2	打开	16.7411
12	3	过	5.46882
12	4	我	5.39894
12	5	的	1.07983
12	6	优秀	13.5425
12	7	的	3.81909
12	8	朋友	6.50435
12	9	。	3.96293
13	1	记者	8.41261
13	2	采访	7.25276
13	3	了	0.510523
13	4	有名	17.1133
13	5	的	0.0458909
13	6	艺术家	13.5836
13	7	。	0.693257
14	1	记者	8.41261
14	2	制作	17.9647
14	3	了	2.69322
14	4	有名	15.6701
14	5	的	0.0525498
14	6	艺术家	15.1166
14	7	。	1.99891
15	1	他	4.12783
15	2	参与	15.5352
15	3	了	2.22205
15	4	危险	18.4426
15	5	的	2.15182
15	6	战争	7.30452
15	7	。	5.08113
16	1	他	4.12783
16	2	建造	20.2448
16	3	了	1.86364
