sentence_id	token_id	token	surprisal
1	1	随着	9.458612442016602
1	2	当地	8.972355842590332
1	3	的	2.9106850624084473
1	4	政府	8.126221656799316
1	5	发展	7.469289302825928
1	6	，	1.990214467048645
1	7	经济	6.301840782165527
1	8	变	16.34550666809082
1	9	好	8.233567237854004
1	10	了	6.735239505767822
1	11	。	1.4842150211334229
2	1	随着	9.458612442016602
2	2	当地	8.972355842590332
2	3	的	2.9106850624084473
2	4	政府	8.126221656799316
2	5	发展	7.469289302825928
2	6	。	8.356159210205078
3	1	随着	9.458612442016602
3	2	庞大	14.454063415527344
3	3	的	0.3484590947628021
3	4	互联网	17.583534240722656
3	5	的	5.628495216369629
3	6	出现	10.36663818359375
3	7	，	0.2653999924659729
3	8	生活	11.932250022888184
3	9	质量	4.311126232147217
3	10	提高	6.044991970062256
3	11	了	1.8972456455230713
3	12	。	5.329712390899658
4	1	随着	9.458612442016602
4	2	庞大	14.454063415527344
4	3	的	0.3484590947628021
4	4	互联网	17.583534240722656
4	5	的	5.628495216369629
4	6	出现	10.36663818359375
4	7	。	7.592792510986328
5	1	随着	9.458612442016602
5	2	一阵	17.543195724487305
5	3	很	10.982863426208496
5	4	响	14.168134689331055
5	5	的	2.840681552886963
5	6	铃声	15.592887878417969
5	7	，	0.657120943069458
5	8	火车	14.721833229064941
5	9	开	9.411506652832031
5	10	了	0.9169257283210754
5	11	。	6.561223983764648
6	1	随着	9.458612442016602
6	2	一阵	17.543195724487305
6	3	很	10.982863426208496
6	4	响	14.168134689331055
6	5	的	2.840681552886963
6	6	铃声	15.592887878417969
6	7	。	7.903377532958984
7	1	随着	9.458612442016602
7	2	不	9.717496871948242
7	3	自信	16.022462844848633
7	4	的	1.0979467630386353
7	5	他	10.097786903381348
7	6	的	3.267302989959717
7	7	年龄	8.681815147399902
7	8	增长	11.809704780578613
7	9	，	1.4620792865753174
7	10	他	5.005757808685303
7	11	更	9.618388175964355
7	12	有	4.731040000915527
7	13	自信	8.273082733154297
7	14	了	8.765432357788086
7	15	。	1.4351372718811035
8	1	随着	9.458612442016602
8	2	不	9.717496871948242
8	3	自信	16.022462844848633
8	4	的	1.0979467630386353
8	5	他	10.097786903381348
8	6	的	3.267302989959717
8	7	年龄	8.681815147399902
8	8	增长	11.809704780578613
8	9	。	6.331425666809082
9	1	随着	9.458612442016602
9	2	寒冷	17.653053283691406
9	3	的	0.903215229511261
9	4	冬天	10.695697784423828
9	5	的	7.087005138397217
9	6	到来	5.763688087463379
9	7	，	0.08855292201042175
9	8	树木	15.204798698425293
9	9	凋零	17.376266479492188
9	10	了	11.328154563903809
9	11	。	0.653456449508667
10	1	随着	9.458612442016602
10	2	寒冷	17.653053283691406
10	3	的	0.903215229511261
10	4	冬天	10.695697784423828
10	5	的	7.087005138397217
10	6	到来	5.763688087463379
10	7	。	7.574356555938721
11	1	随着	9.458612442016602
11	2	新兴	11.402177810668945
11	3	的	1.6443440914154053
11	4	科技	6.9465861320495605
11	5	发展	4.174259662628174
11	6	，	0.9215227961540222
11	7	电脑	13.088685989379883
11	8	功能	9.857184410095215
11	9	变得	12.05385971069336
11	10	更	5.3690996170043945
11	11	多	4.47799825668335
11	12	了	6.758330345153809
11	13	。	0.6107269525527954
12	1	随着	9.458612442016602
12	2	新兴	11.402177810668945
12	3	的	1.6443440914154053
12	4	科技	6.9465861320495605
12	5	发展	4.174259662628174
12	6	。	8.244475364685059
13	1	自从	10.819923400878906
13	2	见	16.68939781188965
13	3	了	6.427236557006836
13	4	聪明	15.937183380126953
13	5	的	1.1608586311340332
13	6	他	11.564654350280762
13	7	，	2.5298309326171875
13	8	她	5.037810325622559
13	9	一直	7.791495323181152
13	10	在	4.437912464141846
13	11	写信	18.581499099731445
13	12	。	3.917161464691162
14	1	自从	10.819923400878906
14	2	见	16.68939781188965
14	3	了	6.427236557006836
14	4	聪明	15.937183380126953
14	5	的	1.1608586311340332
14	6	他	11.564654350280762
14	7	。	8.011137008666992
15	1	自从	10.819923400878906
15	2	修	20.224733352661133
15	3	了	6.371438503265381
15	4	新	6.581567764282227
15	5	的	1.078261375427246
15	6	公路	7.047754287719727
15	7	，	2.4167661666870117
15	8	农村	10.502527236938477
15	9	经济	5.385426998138428
15	10	变	14.443181037902832
15	11	好	10.184986114501953
15	12	了	4.7240891456604
15	13	。	1.5654959678649902
16	1	自从	10.819923400878906
16	2	修	20.224733352661133
16	3	了	6.371438503265381
16	4	新	6.581567764282227
16	5	的	1.078261375427246
16	6	公路	7.047754287719727
16	7	。	9.807110786437988
17	1	自从	10.819923400878906
17	2	离开	14.71684741973877
17	3	美丽	14.93288516998291
17	4	的	0.2182707041501999
17	5	家乡	10.02828598022461
17	6	，	2.014967203140259
17	7	她	6.984419822692871
17	8	一直	6.858858108520508
17	9	想念	13.479665756225586
17	10	父母	8.38811206817627
17	11	。	1.3944740295410156
18	1	自从	10.819923400878906
18	2	离开	14.71684741973877
18	3	美丽	14.93288516998291
18	4	的	0.2182707041501999
18	5	家乡	10.02828598022461
18	6	。	8.814949035644531
19	1	自从	10.819923400878906
