sentence_id	token_id	token	surprisal
1	1	那	10.3293
1	2	家	7.15002
1	3	认识	17.1452
1	4	我	6.57206
1	5	的	1.39701
1	6	老板	9.62573
1	7	投资	14.48
1	8	的	8.25273
1	9	饭店	15.3588
1	10	很	11.5724
1	11	受	7.07677
1	12	欢迎	2.70177
1	13	。	1.23805
2	1	那	10.3293
2	2	个	6.28495
2	3	认识	14.5745
2	4	我	7.93663
2	5	的	1.67363
2	6	老板	12.567
2	7	投资	14.6784
2	8	的	8.12531
2	9	饭店	15.9671
2	10	很	11.2835
2	11	受	7.01893
2	12	欢迎	2.83287
2	13	。	1.42068
3	1	那	10.3293
3	2	幅	10.8501
3	3	帮助	16.5756
3	4	过	11.007
3	5	我	6.28075
3	6	的	1.01952
3	7	朋友	8.19536
3	8	喜欢	10.8441
3	9	的	11.0296
3	10	画	13.0619
3	11	吸引	17.151
3	12	了	1.01545
3	13	我	6.76673
3	14	。	2.4131
4	1	那	10.3293
4	2	个	6.28495
4	3	帮助	14.1684
4	4	过	10.8817
4	5	我	6.26578
4	6	的	0.787278
4	7	朋友	5.15115
4	8	喜欢	10.8499
4	9	的	10.3825
4	10	画	14.4196
4	11	吸引	17.3508
4	12	了	1.25208
4	13	我	6.27203
4	14	。	2.6298
5	1	那	10.3293
5	2	件	6.91922
5	3	教	14.8635
5	4	过	9.34866
5	5	我	5.25669
5	6	的	1.27969
5	7	老师	9.44671
5	8	收藏	15.9359
5	9	的	7.94119
5	10	艺术品	16.8444
5	11	获	15.6738
5	12	了	3.92794
5	13	奖	10.3324
5	14	。	0.600418
6	1	那	10.3293
6	2	个	6.28495
6	3	教	14.818
6	4	过	8.69333
6	5	我	4.98322
6	6	的	1.2007
6	7	老师	9.5507
6	8	收藏	16.1681
6	9	的	7.87758
6	10	艺术品	17.2542
6	11	获	15.9149
6	12	了	3.78891
6	13	奖	10.4254
6	14	。	0.680412
7	1	那	10.3293
7	2	只	8.42333
7	3	认识	14.1431
7	4	我	11.1411
7	5	的	1.74573
7	6	店长	22.9266
7	7	喜欢	17.9724
7	8	的	4.7586
7	9	宠物	17.4435
7	10	生病	18.4564
7	11	了	6.41043
7	12	。	1.59295
8	1	那	10.3293
8	2	个	6.28495
8	3	认识	14.5745
8	4	我	7.93663
8	5	的	1.67363
8	6	店长	23.0309
8	7	喜欢	13.7646
8	8	的	10.0959
8	9	宠物	18.7635
8	10	生病	17.893
8	11	了	4.36126
8	12	。	2.52071
9	1	那	10.3293
9	2	首	13.4301
9	3	热爱	12.9061
9	4	艺术	10.872
9	5	的	0.628237
9	6	明星	13.0143
9	7	唱	12.0758
9	8	的	8.52058
9	9	歌	8.62776
9	10	很	13.0105
9	11	好听	12.3847
9	12	。	1.26621
10	1	那	10.3293
10	2	个	6.28495
10	3	热爱	13.3607
10	4	艺术	11.0881
10	5	的	0.559265
10	6	明星	12.5338
10	7	唱	12.2617
10	8	的	7.99173
10	9	歌	8.92134
10	10	很	12.2387
10	11	好听	12.4266
10	12	。	1.16217
11	1	那	10.3293
11	2	所	10.5426
11	3	学习	11.6595
11	4	历史	9.99054
11	5	的	1.2062
11	6	老人	8.80602
11	7	去	12.4521
11	8	的	8.00606
11	9	学校	10.3038
11	10	关闭	19.2892
11	11	了	2.3085
11	12	。	4.29809
12	1	那	10.3293
12	2	个	6.28495
12	3	学习	12.9889
12	4	历史	10.2043
12	5	的	1.22705
12	6	老人	10.6998
12	7	去	12.0525
12	8	的	7.49937
12	9	学校	10.4327
12	10	关闭	19.6697
12	11	了	2.5467
12	12	。	3.82409
13	1	那	10.3293
13	2	件	6.91922
13	3	帮助	12.5673
13	4	过	11.2395
13	5	我	6.21557
13	6	的	0.854455
13	7	司机	15.0032
13	8	带	11.1264
13	9	的	10.8246
13	10	行李	16.0149
13	11	丢	14.4045
13	12	了	1.5715
13	13	。	5.57659
14	1	那	10.3293
14	2	个	6.28495
14	3	帮助	14.1684
14	4	过	10.8817
14	5	我	6.26578
14	6	的	0.787278
14	7	司机	15.0588
14	8	带	11.2601
14	9	的	10.6417
14	10	行李	16.3386
14	11	丢	14.7209
14	12	了	1.50792
14	13	。	5.8308
15	1	那	10.3293
15	2	本	9.17845
15	3	学习	12.8793
15	4	文学	10.2425
15	5	的	1.76244
15	6	作家	8.36107
15	7	写	9.96036
15	8	的	8.8169
15	9	书	8.53893
15	10	很	10.4815
15	11	受	6.59964
15	12	欢迎	3.15451
15	13	。	0.99544
16	1	那	10.3293
16	2	个	6.28495
16	3	学习	12.9889
16	4	文学	11.0941
16	5	的	1.81466
16	6	作家	8.22921
16	7	写	9.89202
16	8	的	8.65429
16	9	书	8.58693
16	10	很	10.3989
16	11	受	6.42224
16	12	欢迎	3.21121
16	13	。	1.2593
17	1	那	10.3293
17	2	辆	9.80383
17	3	支持	17.0031
17	4	环保	15.6227
17	5	的	1.64684
17	6	朋友	10.2645
17	7	开	13.8154
17	8	的	9.35956
17	9	车	8.15685
17	10	坏	16.6543
17	11	了	2.2931
17	12	。	3.67005
18	1	那	10.3293
18	2	个	6.28495
18	3	支持	13.5447
18	4	环保	13.7293
18	5	的	1.81116
18	6	朋友	10.875
18	7	开	14.6907
18	8	的	8.471
18	9	车	10.4392
18	10	坏	16.6747
18	11	了	2.36898
18	12	。	3.32247
19	1	那	10.3293
19	2	份	8.90756
19	3	喜欢	14.7333
19	4	书	9.81099
19	5	的	0.244483
19	6	孩子	11.9731
19	7	做	11.1563
19	8	的	7.89448
19	9	作业	14.0296
19	10	获	18.4382
19	11	了	4.11332
19	12	奖	9.9522
19	13	。	0.67426
20	1	那	10.3293
20	2	个	6.28495
20	3	喜欢	12.932
20	4	书	9.39421
20	5	的	0.218697
20	6	孩子	7.67061
20	7	做	10.8292
20	8	的	8.01964
20	9	作业	13.9558
20	10	获	18.8076
20	11	了	3.85781
20	12	奖	10.3147
20	13	。	0.793903
21	1	那	10.3293
21	2	份	8.90756
21	3	认识	14.1644
21	4	我	9.77427
21	5	的	1.96612
21	6	老板	15.3446
21	7	制定	17.5348
21	8	的	4.06933
21	9	合同	11.612
21	10	到期	17.0615
21	11	了	7.27484
21	12	。	1.22943
22	1	那	10.3293
22	2	个	6.28495
22	3	认识	14.5745
22	4	我	7.93663
22	5	的	1.67363
22	6	老板	12.567
22	7	制定	17.0632
22	8	的	8.86196
22	9	合同	13.1448
22	10	到期	19.1035
22	11	了	6.12759
22	12	。	2.70116
23	1	那	10.3293
23	2	间	12.381
23	3	帮助	14.1811
23	4	过	11.7407
23	5	我	6.50725
23	6	的	0.80754
23	7	朋友	5.78089
23	8	开	14.3726
23	9	的	9.35324
23	10	工厂	11.4035
23	11	倒闭	18.7211
23	12	了	5.02042
23	13	。	1.12533
24	1	那	10.3293
24	2	个	6.28495
24	3	帮助	14.1684
24	4	过	10.8817
24	5	我	6.26578
24	6	的	0.787278
24	7	朋友	5.15115
24	8	开	14.442
24	9	的	8.02012
24	10	工厂	9.4663
24	11	倒闭	18.0915
24	12	了	3.92068
24	13	。	1.69507
25	1	那	10.3293
25	2	张	8.40781
25	3	喜欢	13.0451
25	4	艺术	10.7865
25	5	的	0.75135
25	6	孩子	7.28412
25	7	照	14.6176
25	8	的	10.1589
25	9	照片	10.7085
25	10	丢	17.1374
25	11	了	1.72937
25	12	。	5.28423
26	1	那	10.3293
26	2	个	6.28495
26	3	喜欢	12.932
26	4	艺术	10.9132
26	5	的	0.648436
26	6	孩子	6.363
26	7	照	14.5484
26	8	的	9.88113
26	9	照片	11.3442
26	10	丢	17.2707
26	11	了	1.66721
26	12	。	5.23054
27	1	那	10.3293
27	2	台	10.8855
27	3	教	14.5604
27	4	过	9.75044
27	5	我	5.89943
27	6	的	1.53276
27	7	老师	10.5164
27	8	用	9.21471
27	9	的	9.49144
27	10	手机	13.6321
27	11	很	12.3555
27	12	好用	12.5551
27	13	。	2.39384
28	1	那	10.3293
28	2	个	6.28495
28	3	教	14.818
28	4	过	8.69333
28	5	我	4.98322
28	6	的	1.2007
28	7	老师	9.5507
28	8	用	8.97276
28	9	的	8.89459
28	10	手机	13.183
28	11	很	12.2047
28	12	好用	12.8064
28	13	。	2.69209
29	1	那	10.3293
29	2	朵	16.1308
29	3	关心	15.9428
29	4	他	6.72864
29	5	的	1.59038
29	6	邻居	11.2082
29	7	种	15.7767
29	8	的	8.59342
29	9	花	11.6047
29	10	很	10.7952
29	11	好看	10.5071
29	12	。	1.24533
30	1	那	10.3293
30	2	个	6.28495
30	3	关心	13.9322
30	4	他	7.32824
30	5	的	1.73552
30	6	邻居	12.0478
30	7	种	15.5139
30	8	的	7.96811
30	9	花	14.2372
30	10	很	9.43326
30	11	好看	11.9207
30	12	。	3.70585
31	1	那	10.3293
31	2	台	10.8855
31	3	鼓励	12.6136
31	4	她	8.33356
31	5	的	3.56645
31	6	科学家	10.8348
31	7	做	9.96347
31	8	的	3.94812
31	9	电视	9.59621
31	10	坏	19.3091
31	11	了	4.04392
31	12	。	2.88222
32	1	那	10.3293
32	2	个	6.28495
32	3	鼓励	13.14
32	4	她	7.38506
32	5	的	2.79836
32	6	科学家	9.50864
32	7	做	10.0789
32	8	的	5.09323
32	9	电视	10.8005
32	10	坏	18.8403
32	11	了	3.76706
32	12	。	3.24879
33	1	那	10.3293
33	2	栋	9.32579
33	3	认识	17.747
33	4	父亲	12.7132
33	5	的	0.939942
33	6	男人	10.2495
33	7	买	12.0123
33	8	的	10.3762
33	9	房子	7.79492
33	10	起火	17.2827
33	11	了	5.09614
33	12	。	1.60031
34	1	那	10.3293
34	2	个	6.28495
34	3	认识	14.5745
34	4	父亲	14.3045
34	5	的	1.34895
34	6	男人	9.0349
34	7	买	12.8214
34	8	的	9.90605
34	9	房子	8.29471
34	10	起火	17.64
34	11	了	4.8369
34	12	。	2.20077
35	1	那	10.3293
35	2	条	8.11974
35	3	关心	15.8286
35	4	我	7.60242
35	5	的	2.23246
35	6	朋友	6.56679
35	7	给	9.71584
35	8	的	12.6932
35	9	建议	15.2226
35	10	很	8.61883
35	11	真诚	13.6329
35	12	。	3.1057
36	1	那	10.3293
36	2	个	6.28495
36	3	关心	13.9322
36	4	我	6.49502
36	5	的	1.86132
36	6	朋友	5.30487
36	7	给	9.91647
36	8	的	12.038
36	9	建议	15.1157
36	10	很	8.62665
36	11	真诚	13.6341
36	12	。	3.20233
37	1	那	10.3293
37	2	支	10.976
37	3	教	16.1703
37	4	数学	15.3343
37	5	的	2.14762
37	6	老师	9.18186
37	7	用	8.49205
37	8	的	9.70331
37	9	笔	15.3165
37	10	坏	14.7329
37	11	了	7.51649
37	12	。	2.50286
38	1	那	10.3293
38	2	个	6.28495
38	3	教	14.818
38	4	数学	15.7688
38	5	的	1.71833
38	6	老师	9.72262
38	7	用	8.88413
38	8	的	8.8649
38	9	笔	16.4451
38	10	坏	13.1952
38	11	了	13.9806
38	12	。	5.22064
39	1	那	10.3293
39	2	只	8.42333
39	3	撞	18.7405
39	4	了	1.74062
39	5	我	7.37485
39	6	的	0.752541
39	7	女人	12.4417
39	8	丢	19.5431
39	9	的	9.24665
39	10	鞋子	18.682
39	11	被	12.9712
39	12	找到	10.353
39	13	了	3.96703
39	14	。	1.89005
40	1	那	10.3293
40	2	个	6.28495
40	3	撞	19.6956
40	4	了	3.10211
40	5	我	7.89689
40	6	的	0.967652
40	7	女人	8.85759
40	8	丢	17.1303
40	9	的	9.24137
40	10	鞋子	18.1818
40	11	被	11.4827
40	12	找到	10.41
40	13	了	3.37526
40	14	。	3.07565
41	1	那	10.3293
41	2	条	8.11974
41	3	打扰	19.0811
41	4	了	6.97735
41	5	我	7.91373
41	6	的	1.56571
41	7	邻居	11.7111
41	8	养	15.6107
41	9	的	9.71527
41	10	狗	10.8528
41	11	生病	16.3265
41	12	了	3.59954
41	13	。	1.90002
42	1	那	10.3293
42	2	个	6.28495
42	3	打扰	19.4967
42	4	了	5.55926
42	5	我	6.18242
42	6	的	1.13295
42	7	邻居	11.0395
42	8	养	15.7814
42	9	的	9.48051
42	10	狗	10.787
42	11	生病	15.7913
42	12	了	3.63436
42	13	。	3.31177
43	1	那	10.3293
43	2	座	9.03359
43	3	写	13.8598
43	4	过	4.64089
43	5	书	7.90648
43	6	的	0.245992
43	7	老人	8.48413
43	8	修	16.3499
43	9	的	10.3276
43	10	桥	14.6768
43	11	帮助	16.2922
43	12	了	6.98468
43	13	我	4.82054
43	14	。	3.96551
44	1	那	10.3293
44	2	个	6.28495
44	3	写	12.174
44	4	过	4.36053
44	5	书	7.42821
44	6	的	0.220675
44	7	老人	10.2699
44	8	修	16.9652
44	9	的	9.92062
44	10	桥	15.3492
44	11	帮助	16.205
44	12	了	6.8119
44	13	我	4.42843
44	14	。	3.92894
45	1	那	10.3293
45	2	篇	8.13708
45	3	获	14.1389
45	4	奖	9.02707
45	5	的	0.187255
45	6	学生	6.47552
45	7	准备	11.7231
45	8	的	11.5293
45	9	报告	12.9977
45	10	感动	17.447
45	11	了	3.836
45	12	我	5.82987
45	13	。	1.65477
46	1	那	10.3293
46	2	个	6.28495
46	3	获	15.381
46	4	奖	9.27735
46	5	的	0.133663
46	6	学生	5.49139
46	7	准备	11.1398
46	8	的	11.3903
46	9	报告	14.4463
46	10	感动	17.8776
46	11	了	3.81766
46	12	我	5.76297
46	13	。	1.83798
47	1	那	10.3293
47	2	封	12.0012
47	3	依赖	19.6451
47	4	我	6.84324
47	5	的	0.917517
47	6	朋友	7.49194
47	7	写	10.5142
47	8	的	8.4758
47	9	信	9.83078
47	10	很	11.5561
47	11	真诚	13.6074
47	12	。	2.09585
48	1	那	10.3293
48	2	个	6.28495
48	3	依赖	16.5397
48	4	我	6.34998
48	5	的	0.739211
48	6	朋友	6.06414
48	7	写	10.71
48	8	的	8.05622
48	9	信	11.363
48	10	很	11.3797
48	11	真诚	13.8377
48	12	。	2.63578
49	1	那	10.3293
49	2	堂	14.6774
49	3	教	14.1736
49	4	过	9.08509
49	5	我	5.25957
49	6	的	1.4028
49	7	老师	9.53259
49	8	教	12.0197
49	9	的	10.3212
49	10	课	13.3225
49	11	获	19.7647
49	12	了	3.89938
49	13	奖	11.0954
49	14	。	0.56228
50	1	那	10.3293
50	2	个	6.28495
50	3	教	14.818
50	4	过	8.69333
50	5	我	4.98322
50	6	的	1.2007
50	7	老师	9.5507
50	8	教	12.0719
50	9	的	9.44213
50	10	课	13.3407
50	11	获	19.9953
50	12	了	3.93004
50	13	奖	11.426
50	14	。	1.02604
51	1	那	10.3293
51	2	块	11.0798
51	3	喜欢	13.8844
51	4	音乐	11.055
51	5	的	0.506395
51	6	医生	11.8318
51	7	喜欢	10.6183
51	8	的	11.1096
51	9	手表	16.8091
51	10	丢	18.8298
51	11	了	2.08661
51	12	。	4.46551
52	1	那	10.3293
52	2	个	6.28495
52	3	喜欢	12.932
52	4	音乐	10.6092
52	5	的	0.539019
52	6	医生	10.4534
52	7	喜欢	10.5103
52	8	的	10.97
52	9	手表	17.0597
52	10	丢	18.9795
52	11	了	2.02954
52	12	。	4.69005
53	1	那	10.3293
53	2	篇	8.13708
53	3	获	14.1389
53	4	奖	9.02707
53	5	的	0.187255
53	6	学生	6.47552
53	7	写	10.9429
53	8	的	8.75243
53	9	论文	6.83482
53	10	感动	17.2334
53	11	了	1.52391
53	12	我	6.42023
53	13	。	2.10615
54	1	那	10.3293
54	2	个	6.28495
54	3	获	15.381
54	4	奖	9.27735
54	5	的	0.133663
54	6	学生	5.49139
54	7	写	12.072
54	8	的	8.72362
54	9	论文	7.09322
54	10	感动	17.4057
54	11	了	1.55816
54	12	我	6.46715
54	13	。	2.29256
55	1	那	10.3293
55	2	场	6.1405
55	3	参加	10.5536
55	4	过	6.87513
55	5	比赛	4.01531
55	6	的	0.0793348
55	7	演员	16.9728
55	8	准备	10.8278
55	9	的	12.5434
55	10	表演	9.02932
55	11	很	11.4741
55	12	受	6.83807
55	13	欢迎	2.18848
55	14	。	0.431439
56	1	那	10.3293
56	2	个	6.28495
56	3	参加	11.2402
56	4	过	5.95466
56	5	比赛	5.2234
56	6	的	0.0750966
56	7	演员	12.973
56	8	准备	10.7174
56	9	的	11.6311
56	10	表演	9.21644
56	11	很	12.4899
56	12	受	7.74893
56	13	欢迎	1.92049
56	14	。	0.811249
57	1	那	10.3293
57	2	间	12.381
57	3	救	16.0019
57	4	过	7.58451
57	5	我	5.29498
57	6	的	0.525442
57	7	警察	16.0141
57	8	工作	11.1496
57	9	的	11.6567
57	10	办公室	10.7806
57	11	起火	17.0926
57	12	了	3.64619
57	13	。	2.15536
58	1	那	10.3293
58	2	个	6.28495
58	3	救	15.9299
58	4	过	7.16133
58	5	我	4.68093
58	6	的	0.489475
58	7	警察	14.9585
58	8	工作	11.8521
58	9	的	11.4681
58	10	办公室	9.34164
58	11	起火	17.3295
58	12	了	3.47772
58	13	。	2.63273
59	1	那	10.3293
59	2	首	13.4301
59	3	打	11.9066
59	4	游戏	11.7957
59	5	的	0.406712
59	6	孩子	8.60385
59	7	写	10.2095
59	8	的	8.90083
59	9	诗	12.9583
59	10	很	11.5755
59	11	有趣	6.62955
59	12	。	1.21632
60	1	那	10.3293
60	2	个	6.28495
60	3	打	11.8891
60	4	游戏	10.3619
60	5	的	0.254482
60	6	孩子	7.16919
60	7	写	10.4128
60	8	的	8.66681
60	9	诗	13.8267
60	10	很	11.5376
60	11	有趣	6.53961
60	12	。	1.59112
61	1	那	10.3293
61	2	家	7.15002
61	3	依赖	16.5619
61	4	我	6.85048
61	5	的	0.804346
61	6	朋友	5.65071
61	7	去	10.9541
61	8	的	7.43083
61	9	银行	13.0198
61	10	帮助	11.0151
61	11	了	6.73447
61	12	我	5.45856
61	13	。	3.2701
62	1	那	10.3293
62	2	个	6.28495
62	3	依赖	16.5397
62	4	我	6.34998
62	5	的	0.739211
62	6	朋友	6.06414
62	7	去	10.9847
