sentence_id	token_id	token	surprisal
1	1	那	10.3126
1	2	家	9.37825
1	3	老板	7.40058
1	4	在	5.15011
1	5	市中心	12.1921
1	6	投资	10.3037
1	7	的	2.27151
1	8	饭店	8.67754
1	9	很	10.0263
1	10	受	7.0542
1	11	欢迎	2.89619
1	12	。	0.857033
2	1	那	10.3126
2	2	个	6.23213
2	3	老板	13.1006
2	4	在	5.43961
2	5	市中心	12.7834
2	6	投资	10.9241
2	7	的	1.68551
2	8	饭店	9.88902
2	9	很	9.04251
2	10	受	7.56629
2	11	欢迎	3.0618
2	12	。	1.09868
3	1	那	10.3126
3	2	幅	9.56725
3	3	朋友	19.84
3	4	非常	10.1979
3	5	喜欢	5.44022
3	6	的	4.98833
3	7	画	8.76694
3	8	吸引	11.9412
3	9	了	0.402855
3	10	我	6.9035
3	11	。	4.14939
4	1	那	10.3126
4	2	个	6.23213
4	3	朋友	10.8701
4	4	非常	8.71664
4	5	喜欢	5.00217
4	6	的	11.9404
4	7	画	13.1198
4	8	吸引	17.2487
4	9	了	3.23847
4	10	我	5.16356
4	11	。	3.21535
5	1	那	10.3126
5	2	件	8.43134
5	3	老师	13.9937
5	4	为	9.32424
5	5	他	6.27057
5	6	的	2.09667
5	7	学生	8.85151
5	8	收藏	14.4046
5	9	的	12.2939
5	10	艺术品	15.4838
5	11	获	16.1045
5	12	了	4.25808
5	13	奖	7.1807
5	14	。	1.28155
6	1	那	10.3126
6	2	个	6.23213
6	3	老师	10.9233
6	4	为	9.60461
6	5	他	5.6599
6	6	的	1.99303
6	7	学生	8.67085
6	8	收藏	14.4115
6	9	的	11.9164
6	10	艺术品	15.7561
6	11	获	16.555
6	12	了	4.11595
6	13	奖	7.22187
6	14	。	0.746296
7	1	那	10.3126
7	2	只	7.52895
7	3	店长	25.0573
7	4	特别	14.3941
7	5	喜欢	6.65284
7	6	的	3.28065
7	7	宠物	13.9567
7	8	生病	17.858
7	9	了	2.36629
7	10	。	1.95402
8	1	那	10.3126
8	2	个	6.23213
8	3	店长	22.1002
8	4	特别	13.6252
8	5	喜欢	6.14636
8	6	的	3.6428
8	7	宠物	14.2763
8	8	生病	18.0404
8	9	了	2.37111
8	10	。	2.0134
9	1	那	10.3126
9	2	首	14.5243
9	3	明星	14.4648
9	4	在	4.6658
9	5	商场	12.9885
9	6	唱	13.7622
9	7	的	6.13779
9	8	歌	9.69403
9	9	很	12.9746
9	10	好听	10.7216
9	11	。	0.965057
10	1	那	10.3126
10	2	个	6.23213
10	3	明星	13.7785
10	4	在	5.25694
10	5	商场	12.481
10	6	唱	13.2656
10	7	的	6.72384
10	8	歌	11.065
10	9	很	12.7521
10	10	好听	10.961
10	11	。	1.17281
11	1	那	10.3126
11	2	所	11.6129
11	3	老人	11.8365
11	4	在	4.83237
11	5	冬天	14.0202
11	6	去	9.32033
11	7	的	12.1311
11	8	学校	11.2861
11	9	关闭	18.013
11	10	了	2.77535
11	11	。	4.16655
12	1	那	10.3126
12	2	个	6.23213
12	3	老人	13.1196
12	4	在	5.19891
12	5	冬天	13.7006
12	6	去	9.02569
12	7	的	11.7764
12	8	学校	11.591
12	9	关闭	17.9306
12	10	了	2.72656
12	11	。	4.0433
13	1	那	10.3126
13	2	件	8.43134
13	3	司机	19.2816
13	4	给	6.25885
13	5	朋友	9.9197
13	6	带	8.36042
13	7	的	1.76908
13	8	行李	15.9865
13	9	丢	18.3575
13	10	了	1.05317
13	11	。	3.88338
14	1	那	10.3126
14	2	个	6.23213
14	3	司机	17.0705
14	4	给	7.21937
14	5	朋友	10.0832
14	6	带	7.87623
14	7	的	2.15277
14	8	行李	16.372
14	9	丢	18.3902
14	10	了	1.0375
14	11	。	3.95545
15	1	那	10.3126
15	2	本	11.3717
15	3	作家	12.88
15	4	为	7.88415
15	5	我	6.07723
15	6	写	6.24804
15	7	的	9.93439
15	8	书	10.1383
15	9	很	9.667
15	10	受	10.8824
15	11	欢迎	2.44064
15	12	。	1.2458
16	1	那	10.3126
16	2	个	6.23213
16	3	作家	13.0942
16	4	为	8.35903
16	5	我	5.12534
16	6	写	6.22416
16	7	的	9.59582
16	8	书	10.1184
16	9	很	9.58678
16	10	受	10.9008
16	11	欢迎	2.43902
16	12	。	1.25688
17	1	那	10.3126
17	2	辆	9.46734
17	3	朋友	18.2918
17	4	昨天	10.4208
17	5	开	11.5611
17	6	的	3.03863
17	7	车	5.12548
17	8	坏	17.6492
17	9	了	1.36542
17	10	。	2.31585
18	1	那	10.3126
18	2	个	6.23213
18	3	朋友	10.8701
18	4	昨天	11.3026
18	5	开	13.0344
18	6	的	5.08115
18	7	车	8.95575
18	8	坏	17.4133
18	9	了	1.35108
18	10	。	2.77896
19	1	那	10.3126
19	2	份	7.98595
19	3	孩子	14.6133
19	4	在	6.02913
19	5	学校	8.18304
19	6	做	6.67532
19	7	的	2.20383
19	8	作业	12.6475
19	9	获	16.6476
19	10	了	2.76416
19	11	奖	9.32386
19	12	。	0.59755
20	1	那	10.3126
20	2	个	6.23213
20	3	孩子	6.67055
20	4	在	5.19098
20	5	学校	7.88922
20	6	做	6.47628
20	7	的	7.94078
20	8	作业	14.3226
20	9	获	19.49
20	10	了	2.99451
20	11	奖	8.42204
20	12	。	0.760466
21	1	那	10.3126
21	2	份	7.98595
21	3	老板	15.7026
21	4	给	7.84469
21	5	员工	13.0083
21	6	制定	15.1987
21	7	的	1.58362
21	8	合同	8.22386
21	9	到期	16.7596
21	10	了	6.00378
21	11	。	1.03814
22	1	那	10.3126
22	2	个	6.23213
22	3	老板	13.1006
22	4	给	8.66513
22	5	员工	13.1782
22	6	制定	15.0006
22	7	的	5.52291
22	8	合同	11.0881
22	9	到期	17.329
22	10	了	5.76052
22	11	。	1.25841
23	1	那	10.3126
23	2	间	13.6915
23	3	朋友	10.8187
23	4	在	5.48525
23	5	公园	10.9529
23	6	旁边	11.3946
23	7	开	8.3302
23	8	的	8.27616
23	9	工厂	14.9184
23	10	倒闭	19.114
23	11	了	6.65207
23	12	。	0.753358
24	1	那	10.3126
24	2	个	6.23213
24	3	朋友	10.8701
24	4	在	5.57446
24	5	公园	10.8001
24	6	旁边	11.6238
24	7	开	8.84825
24	8	的	8.41066
24	9	工厂	14.4093
24	10	倒闭	19.2093
24	11	了	6.47809
24	12	。	0.91668
25	1	那	10.3126
25	2	张	10.5196
25	3	孩子	10.253
25	4	在	5.15134
25	5	公园	10.2498
