sentence_id	token_id	token	surprisal
1	1	那	7.49349
1	2	家	9.21012
1	3	亲切	22.6689
1	4	的	2.34517
1	5	老板	10.8592
1	6	投资	15.2159
1	7	的	8.85639
1	8	饭店	21.6735
1	9	很	9.70953
1	10	受	9.17198
1	11	欢迎	3.3239
1	12	。	3.6263
2	1	那	7.49349
2	2	个	6.91274
2	3	亲切	20.1305
2	4	的	3.72226
2	5	老板	15.9412
2	6	投资	16.1465
2	7	的	8.33757
2	8	饭店	23.2316
2	9	很	9.26925
2	10	受	10.4949
2	11	欢迎	3.33871
2	12	。	3.06885
3	1	那	7.49349
3	2	幅	12.0445
3	3	聪明	11.7204
3	4	的	1.25719
3	5	朋友	7.23415
3	6	喜欢	11.5993
3	7	的	11.9678
3	8	画	15.3036
3	9	吸引	17.7668
3	10	了	4.49274
3	11	我	5.53738
3	12	。	2.95823
4	1	那	7.49349
4	2	个	6.91274
4	3	聪明	13.8324
4	4	的	0.609604
4	5	朋友	7.58631
4	6	喜欢	11.6376
4	7	的	11.592
4	8	画	16.3768
4	9	吸引	18.0056
4	10	了	4.42743
4	11	我	5.28591
4	12	。	2.67483
5	1	那	7.49349
5	2	件	8.19546
5	3	细心	12.2471
5	4	的	0.410188
5	5	老师	11.1835
5	6	收藏	19.9144
5	7	的	4.04037
5	8	艺术品	21.1787
5	9	获	16.0079
5	10	了	2.72835
5	11	奖	9.48779
5	12	。	0.560446
6	1	那	7.49349
6	2	个	6.91274
6	3	细心	13.8056
6	4	的	0.244549
6	5	老师	10.1231
6	6	收藏	19.5052
6	7	的	3.54602
6	8	艺术品	20.73
6	9	获	16.0087
6	10	了	2.78296
6	11	奖	9.42305
6	12	。	0.509542
7	1	那	7.49349
7	2	只	6.84145
7	3	负责	15.4337
7	4	的	5.3101
7	5	店长	19.648
7	6	喜欢	13.3367
7	7	的	3.21858
7	8	宠物	14.9158
7	9	生病	16.8992
7	10	了	2.25874
7	11	。	2.28828
8	1	那	7.49349
8	2	个	6.91274
8	3	负责	12.0133
8	4	的	1.77014
8	5	店长	22.4697
8	6	喜欢	13.4018
8	7	的	1.79845
8	8	宠物	16.5301
8	9	生病	17.4792
8	10	了	2.44266
8	11	。	2.23731
9	1	那	7.49349
9	2	首	11.3522
9	3	有名	12.4632
9	4	的	0.0462827
9	5	明星	11.5825
9	6	唱	14.8893
9	7	的	7.36866
9	8	歌	13.9774
9	9	很	8.50513
9	10	好听	9.75536
9	11	。	1.40624
10	1	那	7.49349
10	2	个	6.91274
10	3	有名	14.0323
10	4	的	0.038482
10	5	明星	12.6863
