sentence_id	token_id	token	surprisal
1	1	他	6.15281
1	2	喜欢	10.3653
1	3	那	9.33378
1	4	家	7.76704
1	5	我	7.21306
1	6	采访	11.3901
1	7	过	5.16029
1	8	的	0.823944
1	9	老板	12.0471
1	10	投资	16.8868
1	11	的	9.26103
1	12	饭店	19.5687
1	13	。	3.13418
2	1	他	6.15281
2	2	喜欢	10.3653
2	3	那	9.33378
2	4	个	5.07369
2	5	我	8.12801
2	6	采访	11.2239
2	7	过	4.62102
2	8	的	1.28428
2	9	老板	13.6845
2	10	投资	18.0618
2	11	的	10.6663
2	12	饭店	20.136
2	13	。	3.63049
3	1	她	8.71203
3	2	在	4.73893
3	3	看	8.45577
3	4	那	7.38496
3	5	幅	7.78374
3	6	我	8.52981
3	7	介绍	15.3168
3	8	的	0.78901
3	9	朋友	10.0023
3	10	喜欢	20.8673
3	11	的	5.04529
3	12	画	16.6585
3	13	。	2.40811
4	1	她	8.71203
4	2	在	4.73893
4	3	看	8.45577
4	4	那	7.38496
4	5	个	6.17895
4	6	我	7.7773
4	7	介绍	15.8649
4	8	的	0.811141
4	9	朋友	9.09044
4	10	喜欢	21.0474
4	11	的	4.72211
4	12	画	16.3641
4	13	。	2.43422
5	1	我	6.0542
5	2	欣赏	14.4595
5	3	那	7.27602
5	4	件	3.74852
5	5	我	9.43671
5	6	喜欢	5.83852
5	7	的	0.48412
5	8	老师	13.0212
5	9	收藏	22.0189
5	10	的	1.79927
5	11	艺术品	20.2809
5	12	。	3.02238
6	1	我	6.0542
6	2	欣赏	14.4595
6	3	那	7.27602
6	4	个	7.04332
6	5	我	7.59767
6	6	喜欢	6.45993
6	7	的	0.503491
6	8	老师	11.0992
6	9	收藏	21.846
6	10	的	3.45432
6	11	艺术品	19.0617
6	12	。	2.74237
7	1	他	6.15281
7	2	打	11.0128
7	3	了	2.59783
7	4	那	8.32882
7	5	只	10.5593
7	6	我	8.37725
7	7	认识	11.1224
7	8	的	2.08155
7	9	店长	22.5648
7	10	喜欢	13.0582
7	11	的	1.63676
7	12	宠物	15.1178
7	13	。	9.10616
8	1	他	6.15281
8	2	打	11.0128
8	3	了	2.59783
8	4	那	8.32882
8	5	个	2.9571
8	6	我	9.3537
8	7	认识	9.22419
8	8	的	0.216692
8	9	店长	23.4483
8	10	喜欢	13.9111
8	11	的	5.19513
8	12	宠物	15.4019
8	13	。	4.3637
9	1	我	6.0542
9	2	在	5.79918
9	3	思念	22.6924
9	4	那	8.96088
9	5	首	11.1617
9	6	我	7.39115
9	7	见	10.7784
9	8	过	3.20067
9	9	的	0.680126
9	10	明星	13.8449
9	11	唱	20.2761
9	12	的	8.12218
9	13	歌	12.6992
9	14	。	1.47012
10	1	我	6.0542
10	2	在	5.79918
10	3	思念	22.6924
10	4	那	8.96088
10	5	个	6.76895
10	6	我	8.00982
10	7	见	9.70026
10	8	过	3.19013
10	9	的	0.668013
10	10	明星	14.1399
10	11	唱	20.8133
10	12	的	7.92801
10	13	歌	13.1716
10	14	。	1.60538
11	1	她	8.71203
11	2	拜访	12.3443
11	3	了	4.27645
11	4	那	7.90428
11	5	所	8.50918
11	6	我	6.99845
11	7	认识	8.4218
11	8	的	0.3189
11	9	老人	13.0429
11	10	去	14.0809
11	11	的	7.42489
11	12	学校	10.1908
11	13	。	2.46562
12	1	她	8.71203
12	2	拜访	12.3443
12	3	了	4.27645
12	4	那	7.90428
12	5	个	5.68469
12	6	我	6.9626
12	7	认识	7.8763
12	8	的	0.312294
12	9	老人	12.8706
12	10	去	13.7167
12	11	的	7.59007
12	12	学校	10.2621
12	13	。	2.96272
13	1	他	6.15281
13	2	检查	16.1615
13	3	了	2.33465
13	4	那	8.81844
13	5	件	3.91635
13	6	我	10.6817
13	7	采访	10.5079
13	8	过	4.1148
13	9	的	1.06336
13	10	司机	16.0288
13	11	带	16.7535
13	12	的	5.0769
