sentence_id	token_id	token	surprisal
1	1	随着	9.458612442016602
1	2	人民	8.515703201293945
1	3	选择	11.497795104980469
1	4	的	1.8321079015731812
1	5	政府	8.453527450561523
1	6	发展	8.062736511230469
1	7	，	2.952070951461792
1	8	经济	6.521039962768555
1	9	变	16.0057373046875
1	10	好	7.875601291656494
1	11	了	6.716965675354004
1	12	。	1.6006273031234741
2	1	随着	9.458612442016602
2	2	人民	8.515703201293945
2	3	选择	11.497795104980469
2	4	的	1.8321079015731812
2	5	政府	8.453527450561523
2	6	发展	8.062736511230469
2	7	。	8.945043563842773
3	1	随着	9.458612442016602
3	2	人民	8.515703201293945
3	3	需要	11.30171012878418
3	4	的	2.335397243499756
3	5	互联网	19.76262092590332
3	6	的	4.653086185455322
3	7	出现	9.726520538330078
3	8	，	0.47092679142951965
3	9	生活	10.833200454711914
3	10	质量	4.650632381439209
3	11	提高	5.856013298034668
3	12	了	3.1927270889282227
3	13	。	2.5144612789154053
4	1	随着	9.458612442016602
4	2	人民	8.515703201293945
4	3	需要	11.30171012878418
4	4	的	2.335397243499756
4	5	互联网	19.76262092590332
4	6	的	4.653086185455322
4	7	出现	9.726520538330078
4	8	。	6.129549980163574
5	1	随着	9.458612442016602
5	2	一阵	17.543195724487305
5	3	司机	20.54606056213379
5	4	播放	14.04924488067627
5	5	的	1.996114730834961
5	6	铃声	13.676332473754883
5	7	，	0.8671532869338989
5	8	火车	14.536141395568848
5	9	开	9.634672164916992
5	10	了	0.8801041841506958
5	11	。	6.638742446899414
6	1	随着	9.458612442016602
6	2	一阵	17.543195724487305
6	3	司机	20.54606056213379
6	4	播放	14.04924488067627
6	5	的	1.996114730834961
6	6	铃声	13.676332473754883
6	7	。	8.076231002807617
7	1	随着	9.458612442016602
7	2	我	10.37144660949707
7	3	认识	9.163667678833008
7	4	的	3.1444647312164307
7	5	他	9.516165733337402
7	6	的	3.6209402084350586
7	7	年龄	8.988173484802246
7	8	增长	11.141666412353516
7	9	，	1.6746277809143066
7	10	他	4.7456254959106445
7	11	更	9.172677993774414
7	12	有	5.004707336425781
7	13	自信	8.287187576293945
7	14	了	8.620406150817871
7	15	。	1.4328830242156982
8	1	随着	9.458612442016602
8	2	我	10.37144660949707
8	3	认识	9.163667678833008
8	4	的	3.1444647312164307
8	5	他	9.516165733337402
8	6	的	3.6209402084350586
8	7	年龄	8.988173484802246
8	8	增长	11.141666412353516
8	9	。	7.621509075164795
9	1	随着	9.458612442016602
9	2	我	10.37144660949707
9	3	不	7.131092548370361
9	4	喜欢	5.011460781097412
9	5	的	3.311878204345703
9	6	冬天	13.229876518249512
9	7	的	5.578769207000732
9	8	到来	6.437460422515869
9	9	，	0.23939909040927887
9	10	树木	19.196664810180664
9	11	凋零	17.631019592285156
9	12	了	10.867011070251465
9	13	。	0.6955130100250244
10	1	随着	9.458612442016602
10	2	我	10.37144660949707
10	3	不	7.131092548370361
10	4	喜欢	5.011460781097412
10	5	的	3.311878204345703
10	6	冬天	13.229876518249512
10	7	的	5.578769207000732
10	8	到来	6.437460422515869
10	9	。	5.383356094360352
11	1	随着	9.458612442016602
11	2	人民	8.515703201293945
