sentence_id	token_id	token	surprisal
1	1	那	7.3126373291015625
1	2	家	9.087579727172852
1	3	老板	11.202119827270508
1	4	投资	14.587702751159668
1	5	的	3.484480857849121
1	6	饭店	12.525321960449219
1	7	很	8.739660263061523
1	8	受	8.495001792907715
1	9	欢迎	3.50892972946167
1	10	。	5.395875453948975
2	1	那	7.3126373291015625
2	2	个	7.139135837554932
2	3	老板	13.288500785827637
2	4	投资	15.511992454528809
2	5	的	2.662410020828247
2	6	饭店	13.623347282409668
2	7	很	8.826760292053223
2	8	受	8.825481414794922
2	9	欢迎	2.8377108573913574
2	10	。	4.6742753982543945
3	1	那	7.3126373291015625
3	2	幅	11.694206237792969
3	3	朋友	7.713768005371094
3	4	喜欢	11.877732276916504
3	5	的	3.9589951038360596
3	6	画	14.84257698059082
3	7	吸引	14.888335227966309
3	8	了	3.324416399002075
3	9	我	5.104804992675781
3	10	。	6.1111297607421875
4	1	那	7.3126373291015625
4	2	个	7.139135837554932
4	3	朋友	7.304284572601318
4	4	喜欢	12.060196876525879
4	5	的	5.181661128997803
4	6	画	16.060794830322266
4	7	吸引	14.865391731262207
4	8	了	3.020146131515503
4	9	我	4.164819717407227
4	10	。	5.4655561447143555
5	1	那	7.3126373291015625
5	2	件	8.181801795959473
5	3	老师	18.353906631469727
5	4	收藏	17.104700088500977
5	5	的	1.8992382287979126
5	6	艺术品	16.525070190429688
5	7	获	15.882768630981445
5	8	了	4.025426387786865
5	9	奖	15.575094223022461
5	10	。	2.350593090057373
6	1	那	7.3126373291015625
6	2	个	7.139135837554932
6	3	老师	11.415291786193848
6	4	收藏	17.293777465820312
6	5	的	2.160372018814087
6	6	艺术品	16.672405242919922
6	7	获	16.44659423828125
6	8	了	4.817436218261719
6	9	奖	14.920348167419434
6	10	。	2.096576452255249
7	1	那	7.3126373291015625
7	2	只	6.700488090515137
7	3	店长	21.2464656829834
7	4	喜欢	13.171357154846191
7	5	的	4.465757369995117
7	6	宠物	15.503650665283203
7	7	生病	14.69820499420166
7	8	了	2.112295627593994
7	9	。	1.3865631818771362
8	1	那	7.3126373291015625
8	2	个	7.139135837554932
8	3	店长	19.231395721435547
8	4	喜欢	15.450812339782715
8	5	的	2.22066068649292
8	6	宠物	15.903499603271484
8	7	生病	14.555092811584473
8	8	了	4.262629985809326
8	9	。	1.7172694206237793
9	1	那	7.3126373291015625
9	2	首	11.526004791259766
9	3	明星	18.017684936523438
9	4	唱	13.648103713989258
9	5	的	2.702040195465088
9	6	歌	8.983901977539062
9	7	很	12.398219108581543
9	8	好听	14.556205749511719
9	9	。	5.299182891845703
10	1	那	7.3126373291015625
10	2	个	7.139135837554932
10	3	明星	13.994909286499023
10	4	唱	14.815363883972168
10	5	的	1.8609241247177124
10	6	歌	9.458697319030762
10	7	很	12.281469345092773
10	8	好听	14.437135696411133
10	9	。	5.430339336395264
11	1	那	7.3126373291015625
11	2	所	10.528809547424316
11	3	老人	15.341384887695312
11	4	去	11.689314842224121
11	5	的	4.893864154815674
11	6	学校	9.572282791137695
11	7	关闭	16.501874923706055
11	8	了	3.7285969257354736
11	9	。	4.300873279571533
12	1	那	7.3126373291015625
12	2	个	7.139135837554932
12	3	老人	13.033944129943848
12	4	去	11.771357536315918
12	5	的	6.469220161437988
12	6	学校	10.02782154083252
12	7	关闭	15.673562049865723
12	8	了	3.7148616313934326
12	9	。	4.538705348968506
13	1	那	7.3126373291015625
13	2	件	8.181801795959473
13	3	司机	18.206504821777344
13	4	带	10.019220352172852
13	5	的	7.465330123901367
13	6	行李	14.425293922424316
13	7	丢	12.166332244873047
13	8	了	0.3958231806755066
13	9	。	7.074967861175537
14	1	那	7.3126373291015625
14	2	个	7.139135837554932
14	3	司机	15.993889808654785
14	4	带	10.50862979888916
14	5	的	7.432854652404785
14	6	行李	14.409673690795898
14	7	丢	11.70479965209961
14	8	了	0.8247527480125427
14	9	。	7.274966239929199
15	1	那	7.3126373291015625
15	2	本	8.124296188354492
15	3	作家	14.931082725524902
15	4	写	9.93120288848877
15	5	的	0.7108152508735657
15	6	书	5.369612693786621
15	7	很	9.044232368469238
15	8	受	8.071871757507324
15	9	欢迎	1.9513335227966309
15	10	。	4.865047454833984
16	1	那	7.3126373291015625
16	2	个	7.139135837554932
16	3	作家	13.407832145690918
16	4	写	10.987177848815918
16	5	的	0.8538942933082581
16	6	书	6.153469562530518
16	7	很	8.311945915222168
16	8	受	8.240336418151855
16	9	欢迎	1.742307424545288
16	10	。	4.650012493133545
17	1	那	7.3126373291015625
17	2	辆	10.05974292755127
17	3	朋友	11.676742553710938
17	4	开	11.65884780883789
17	5	的	7.3521013259887695
17	6	车	4.855355739593506
17	7	坏	14.655633926391602
17	8	了	1.4237816333770752
17	9	。	4.7414231300354
18	1	那	7.3126373291015625
18	2	个	7.139135837554932
18	3	朋友	7.304284572601318
18	4	开	12.508061408996582
18	5	的	6.254105091094971
18	6	车	6.945802688598633
18	7	坏	16.373821258544922
18	8	了	1.2317514419555664
18	9	。	3.8183748722076416
19	1	那	7.3126373291015625
19	2	份	9.695184707641602
19	3	孩子	15.169953346252441
19	4	做	7.900907039642334
19	5	的	1.9500101804733276
19	6	作业	14.02793025970459
19	7	获	17.504499435424805
19	8	了	4.16831636428833
19	9	奖	13.96188735961914
19	10	。	3.2324111461639404
20	1	那	7.3126373291015625
20	2	个	7.139135837554932
20	3	孩子	5.632021427154541
20	4	做	8.661200523376465
20	5	的	2.58070969581604
20	6	作业	14.512555122375488
20	7	获	18.867555618286133
20	8	了	3.5748140811920166
20	9	奖	14.138504981994629
20	10	。	2.355147361755371
21	1	那	7.3126373291015625
21	2	份	9.695184707641602
21	3	老板	16.505666732788086
21	4	制定	16.179311752319336
21	5	的	2.792388916015625
21	6	合同	13.695268630981445
21	7	到期	19.208480834960938
21	8	了	5.508635997772217
21	9	。	7.858774185180664
22	1	那	7.3126373291015625
22	2	个	7.139135837554932
22	3	老板	13.288500785827637
22	4	制定	17.204120635986328
22	5	的	3.787104606628418
22	6	合同	13.88587474822998
22	7	到期	19.896984100341797
22	8	了	4.660661220550537
22	9	。	5.921306133270264
23	1	那	7.3126373291015625
23	2	间	13.492788314819336
23	3	朋友	9.90060043334961
23	4	开	11.821646690368652
23	5	的	5.900064945220947
23	6	工厂	13.838577270507812
23	7	倒闭	17.026119232177734
23	8	了	3.583134651184082
23	9	。	2.696934461593628
24	1	那	7.3126373291015625
24	2	个	7.139135837554932
24	3	朋友	7.304284572601318
24	4	开	12.508061408996582
24	5	的	6.254105091094971
24	6	工厂	14.318841934204102
24	7	倒闭	17.212324142456055
24	8	了	3.026080846786499
24	9	。	1.6865785121917725
25	1	那	7.3126373291015625
25	2	张	8.287511825561523
25	3	孩子	9.867505073547363
25	4	照	16.035907745361328
25	5	的	5.381887912750244
25	6	照片	10.665557861328125
25	7	丢	15.354286193847656
25	8	了	0.7631416320800781
25	9	。	4.4257354736328125
26	1	那	7.3126373291015625
26	2	个	7.139135837554932
26	3	孩子	5.632021427154541
26	4	照	16.3371639251709
26	5	的	6.492127418518066
26	6	照片	12.445137977600098
26	7	丢	15.177865028381348
26	8	了	0.7700696587562561
26	9	。	3.5902485847473145
27	1	那	7.3126373291015625
27	2	台	14.246732711791992
27	3	老师	10.895408630371094
27	4	用	8.698343276977539
27	5	的	4.653409957885742
27	6	手机	11.358777046203613
27	7	很	10.980921745300293
27	8	好用	17.0850830078125
27	9	。	4.755589962005615
28	1	那	7.3126373291015625
28	2	个	7.139135837554932
28	3	老师	11.415291786193848
28	4	用	9.336294174194336
28	5	的	3.8471052646636963
28	6	手机	11.871792793273926
28	7	很	11.171516418457031
28	8	好用	16.83723258972168
28	9	。	4.58384895324707
29	1	那	7.3126373291015625
29	2	朵	19.342166900634766
29	3	邻居	12.632247924804688
29	4	种	15.880413055419922
29	5	的	11.07734203338623
29	6	花	14.488665580749512
29	7	很	7.650425434112549
29	8	好看	13.595405578613281
29	9	。	5.074361324310303
30	1	那	7.3126373291015625
30	2	个	7.139135837554932
30	3	邻居	13.085071563720703
30	4	种	16.92460060119629
30	5	的	8.992842674255371
30	6	花	15.154780387878418
30	7	很	7.67973518371582
30	8	好看	13.729669570922852
30	9	。	4.3242316246032715
31	1	那	7.3126373291015625
31	2	台	14.246732711791992
31	3	科学家	13.562585830688477
31	4	做	11.728013038635254
31	5	的	5.3737921714782715
31	6	电视	12.882305145263672
31	7	坏	15.958198547363281
31	8	了	4.191067695617676
31	9	。	4.143486499786377
32	1	那	7.3126373291015625
32	2	个	7.139135837554932
32	3	科学家	13.993656158447266
32	4	做	10.441912651062012
32	5	的	4.815768241882324
32	6	电视	13.623149871826172
32	7	坏	16.44277000427246
32	8	了	3.8108794689178467
32	9	。	3.418067693710327
33	1	那	7.3126373291015625
33	2	栋	11.685580253601074
33	3	男人	10.727120399475098
33	4	买	10.972696304321289
33	5	的	5.211338996887207
33	6	房子	7.336727619171143
33	7	起火	14.32131290435791
33	8	了	4.067261695861816
33	9	。	2.2491989135742188
34	1	那	7.3126373291015625
34	2	个	7.139135837554932
34	3	男人	6.343381881713867
34	4	买	12.940448760986328
34	5	的	5.9091901779174805
34	6	房子	7.569093227386475
34	7	起火	15.407965660095215
34	8	了	2.9220504760742188
34	9	。	1.5302428007125854
35	1	那	7.3126373291015625
35	2	条	9.182947158813477
35	3	朋友	10.542816162109375
35	4	给	7.619110107421875
35	5	的	10.7867431640625
35	6	建议	9.06070613861084
35	7	很	9.349685668945312
35	8	真诚	14.694040298461914
35	9	。	3.6631052494049072
36	1	那	7.3126373291015625
36	2	个	7.139135837554932
36	3	朋友	7.304284572601318
36	4	给	7.537323951721191
36	5	的	10.378368377685547
36	6	建议	8.860650062561035
36	7	很	9.841737747192383
36	8	真诚	14.326297760009766
36	9	。	3.9102797508239746
37	1	那	7.3126373291015625
37	2	支	12.480785369873047
37	3	老师	9.998109817504883
37	4	用	8.685151100158691
37	5	的	4.321654796600342
37	6	笔	13.912593841552734
37	7	坏	11.813658714294434
37	8	了	2.384099006652832
37	9	。	5.572121620178223
38	1	那	7.3126373291015625
38	2	个	7.139135837554932
38	3	老师	11.415291786193848
38	4	用	9.336294174194336
38	5	的	3.8471052646636963
38	6	笔	14.038134574890137
38	7	坏	12.844751358032227
38	8	了	2.0834407806396484
38	9	。	4.095147609710693
39	1	那	7.3126373291015625
39	2	只	6.700488090515137
39	3	女人	16.93868064880371
39	4	丢	15.138311386108398
39	5	的	9.18027114868164
39	6	鞋子	13.407794952392578
39	7	被	8.216424942016602
39	8	找到	11.182305335998535
39	9	了	0.7190452218055725
39	10	。	1.5911798477172852
40	1	那	7.3126373291015625
40	2	个	7.139135837554932
40	3	女人	8.976685523986816
40	4	丢	15.310707092285156
40	5	的	6.670751571655273
40	6	鞋子	14.348237037658691
40	7	被	7.5188117027282715
40	8	找到	10.683183670043945
40	9	了	0.6052025556564331
40	10	。	1.9124891757965088
41	1	那	7.3126373291015625
41	2	条	9.182947158813477
41	3	邻居	12.838350296020508
41	4	养	14.658763885498047
41	5	的	3.154755115509033
41	6	狗	12.805418968200684
41	7	生病	15.10749626159668
41	8	了	2.285011053085327
41	9	。	3.8554344177246094
42	1	那	7.3126373291015625
42	2	个	7.139135837554932
42	3	邻居	13.085071563720703
42	4	养	15.050433158874512
42	5	的	3.2566957473754883
42	6	狗	12.74345874786377
42	7	生病	15.033011436462402
42	8	了	1.756198763847351
42	9	。	3.9645657539367676
43	1	那	7.3126373291015625
43	2	座	11.827424049377441
43	3	老人	12.64344596862793
43	4	修	15.431862831115723
43	5	的	1.6771928071975708
43	6	桥	11.952832221984863
43	7	帮助	15.626285552978516
43	8	了	5.994492530822754
43	9	我	3.9483299255371094
43	10	。	6.5217156410217285
44	1	那	7.3126373291015625
44	2	个	7.139135837554932
44	3	老人	13.033944129943848
44	4	修	16.973909378051758
44	5	的	3.3812992572784424
44	6	桥	13.863109588623047
44	7	帮助	15.864489555358887
44	8	了	5.267367839813232
44	9	我	3.4621307849884033
44	10	。	5.733845233917236
45	1	那	7.3126373291015625
45	2	篇	8.184793472290039
45	3	学生	13.413064002990723
45	4	准备	13.885987281799316
45	5	的	2.585192918777466
45	6	报告	9.625163078308105
45	7	感动	14.918965339660645
45	8	了	1.9296550750732422
45	9	我	4.515819549560547
45	10	。	5.88775110244751
46	1	那	7.3126373291015625
46	2	个	7.139135837554932
46	3	学生	10.596485137939453
46	4	准备	13.571859359741211
46	5	的	4.725857734680176
46	6	报告	12.401901245117188
46	7	感动	15.308127403259277
46	8	了	1.6085212230682373
46	9	我	4.037605285644531
46	10	。	5.571318626403809
47	1	那	7.3126373291015625
47	2	封	12.846224784851074
47	3	朋友	7.770627975463867
47	4	写	9.58728313446045
47	5	的	2.2786529064178467
47	6	信	10.436212539672852
47	7	很	5.546535015106201
47	8	真诚	14.384199142456055
47	9	。	4.122650623321533
48	1	那	7.3126373291015625
48	2	个	7.139135837554932
48	3	朋友	7.304284572601318
48	4	写	11.231804847717285
