sentence_id	token_id	token	surprisal
1	1	那	10.3126
1	2	家	9.37825
1	3	认识	17.0441
1	4	我	6.4347
1	5	的	0.631347
1	6	老板	8.72567
1	7	在	5.49792
1	8	市中心	12.4003
1	9	投资	10.9071
1	10	的	5.55992
1	11	饭店	9.09361
1	12	很	17.9397
1	13	受	10.3243
1	14	欢迎	1.95399
1	15	。	2.391
2	1	那	10.3126
2	2	个	6.23213
2	3	认识	14.2277
2	4	我	6.83564
2	5	的	0.714343
2	6	老板	11.6052
2	7	在	5.61509
2	8	市中心	12.6258
2	9	投资	11.3836
2	10	的	5.82945
2	11	饭店	9.68249
2	12	很	17.7379
2	13	受	9.99452
2	14	欢迎	2.12976
2	15	。	1.55031
3	1	那	10.3126
3	2	幅	9.56725
3	3	帮助	17.1354
3	4	过	8.80639
3	5	我	5.69507
3	6	的	0.999815
3	7	朋友	9.95602
3	8	非常	10.2325
3	9	喜欢	5.77654
3	10	的	12.198
3	11	画	11.1041
3	12	吸引	16.9147
3	13	了	2.37825
3	14	我	6.26555
3	15	。	2.58475
4	1	那	10.3126
4	2	个	6.23213
4	3	帮助	13.2709
4	4	过	8.99598
4	5	我	4.50992
4	6	的	0.789513
4	7	朋友	6.33036
4	8	非常	9.144
4	9	喜欢	5.20995
4	10	的	12.0817
4	11	画	12.7741
4	12	吸引	17.4209
4	13	了	2.90584
4	14	我	4.91704
4	15	。	2.99718
5	1	那	10.3126
5	2	件	8.43134
5	3	教	15.5833
5	4	过	6.04776
5	5	我	4.43181
5	6	的	0.762068
5	7	老师	9.90442
5	8	为	9.63554
5	9	他	5.16183
5	10	的	2.09859
5	11	学生	8.88508
5	12	收藏	14.4065
5	13	的	12.0028
5	14	艺术品	15.9081
5	15	获	16.732
5	16	了	4.05042
5	17	奖	7.30352
5	18	。	0.715572
6	1	那	10.3126
6	2	个	6.23213
6	3	教	14.8828
6	4	过	6.2271
6	5	我	4.11114
6	6	的	0.696507
6	7	老师	8.94014
6	8	为	9.67351
6	9	他	4.99223
6	10	的	2.0886
6	11	学生	8.83182
6	12	收藏	14.555
6	13	的	11.7256
6	14	艺术品	16.099
6	15	获	17.0331
6	16	了	3.84418
6	17	奖	7.33542
6	18	。	0.619368
7	1	那	10.3126
7	2	只	7.52895
7	3	认识	13.664
7	4	我	8.31532
7	5	的	1.45451
7	6	店长	24.987
7	7	特别	14.4986
7	8	喜欢	5.4531
7	9	的	7.80987
7	10	宠物	14.195
7	11	生病	18.9106
7	12	了	2.6663
7	13	。	2.22671
8	1	那	10.3126
8	2	个	6.23213
8	3	认识	14.2277
8	4	我	6.83564
8	5	的	0.714343
8	6	店长	26.0957
8	7	特别	12.6536
8	8	喜欢	5.87971
8	9	的	5.51833
8	10	宠物	14.4307
8	11	生病	19.3188
8	12	了	2.56493
8	13	。	2.25331
9	1	那	10.3126
9	2	首	14.5243
9	3	热爱	16.3734
9	4	艺术	9.90267
9	5	的	0.3547
9	6	明星	11.9115
9	7	在	5.4807
9	8	商场	12.6141
9	9	唱	13.0704
9	10	的	6.47707
9	11	歌	8.94254
9	12	很	13.3226
9	13	好听	11.0649
9	14	。	0.712955
10	1	那	10.3126
10	2	个	6.23213
10	3	热爱	13.4839
10	4	艺术	10.439
10	5	的	0.541087
10	6	明星	10.3858
10	7	在	5.87238
10	8	商场	12.5505
10	9	唱	12.7679
10	10	的	6.99477
10	11	歌	9.7622
10	12	很	13.2025
10	13	好听	11.1229
10	14	。	0.711788
11	1	那	10.3126
11	2	所	11.6129
11	3	学习	12.5219
11	4	历史	8.2428
11	5	的	1.262
11	6	老人	10.3024
11	7	在	5.81175
11	8	冬天	13.8662
11	9	去	10.1143
11	10	的	12.3887
11	11	学校	11.7457
11	12	关闭	17.9106
11	13	了	3.18982
11	14	。	3.64216
12	1	那	10.3126
12	2	个	6.23213
12	3	学习	13.0951
12	4	历史	8.98848
12	5	的	1.30578
12	6	老人	10.3061
12	7	在	5.98005
12	8	冬天	13.497
12	9	去	9.76725
12	10	的	12.1282
12	11	学校	11.6628
12	12	关闭	17.8356
12	13	了	3.13071
12	14	。	3.45792
13	1	那	10.3126
13	2	件	8.43134
13	3	帮助	13.0248
13	4	过	8.2154
13	5	我	4.55939
13	6	的	0.841998
13	7	司机	15.5931
13	8	给	9.19573
13	9	朋友	10.2928
13	10	带	6.87794
13	11	的	5.77477
13	12	行李	16.388
13	13	丢	18.1475
13	14	了	1.00092
13	15	。	3.60317
14	1	那	10.3126
14	2	个	6.23213
14	3	帮助	13.2709
14	4	过	8.99598
14	5	我	4.50992
14	6	的	0.789513
14	7	司机	14.3457
14	8	给	9.21728
14	9	朋友	10.7776
14	10	带	6.67704
14	11	的	6.8369
14	12	行李	17.2232
14	13	丢	18.273
14	14	了	1.01487
14	15	。	3.67721
15	1	那	10.3126
15	2	本	11.3717
15	3	学习	14.5669
15	4	文学	9.21066
15	5	的	1.41554
15	6	作家	8.59152
15	7	为	9.0028
15	8	我	6.59398
15	9	写	6.27159
15	10	的	10.0308
15	11	书	10.3904
15	12	很	9.71371
15	13	受	10.6092
15	14	欢迎	2.26265
15	15	。	1.01626
16	1	那	10.3126
16	2	个	6.23213
16	3	学习	13.0951
16	4	文学	9.94753
16	5	的	1.39069
16	6	作家	8.03759
16	7	为	9.22908
16	8	我	5.99576
16	9	写	6.15459
16	10	的	9.93425
16	11	书	10.2203
16	12	很	10.0074
16	13	受	10.6195
16	14	欢迎	2.27042
16	15	。	0.750484
17	1	那	10.3126
17	2	辆	9.46734
17	3	支持	19.0412
17	4	环保	15.0726
17	5	的	1.66963
17	6	朋友	15.2724
17	7	昨天	10.628
17	8	开	12.2639
17	9	的	8.75338
17	10	车	8.23057
17	11	坏	16.9159
17	12	了	2.47524
17	13	。	1.6898
18	1	那	10.3126
18	2	个	6.23213
18	3	支持	13.6929
18	4	环保	14.1735
18	5	的	1.36829
18	6	朋友	12.1947
18	7	昨天	11.3827
18	8	开	13.2407
18	9	的	8.67816
18	10	车	10.6373
18	11	坏	17.3712
18	12	了	2.46846
18	13	。	2.44965
19	1	那	10.3126
19	2	份	7.98595
19	3	喜欢	14.2452
19	4	书	7.68129
19	5	的	0.349325
19	6	孩子	14.3923
19	7	在	5.85132
19	8	学校	8.07042
19	9	做	7.11298
19	10	的	7.66351
19	11	作业	14.7084
19	12	获	18.9566
19	13	了	3.2463
19	14	奖	8.31269
19	15	。	1.22941
