sentence_id	token_id	token	surprisal
1	1	那	7.24113
1	2	位	8.13966
1	3	教授	12.4233
1	4	写	11.4801
1	5	了	1.83023
1	6	书	11.3855
1	7	的	10.7528
1	8	内容	8.29669
1	9	。	3.11242
2	1	那	7.24113
2	2	位	8.13966
2	3	教授	12.4233
2	4	打	11.5868
2	5	了	2.62331
2	6	书	6.54329
2	7	的	11.6959
2	8	内容	11.4417
2	9	。	2.45403
3	1	弟弟	18.5377
3	2	启动	21.6077
3	3	了	1.27244
3	4	车	12.3958
3	5	。	3.91693
4	1	弟弟	18.5377
4	2	认识	13.7283
4	3	了	4.18238
4	4	车	13.4302
4	5	。	10.0886
5	1	他	6.15281
5	2	拿	12.2599
5	3	了	3.849
5	4	桌子	8.60358
5	5	上	8.11409
5	6	的	1.51444
5	7	筷子	15.2798
5	8	。	9.07585
6	1	他	6.15281
6	2	听	11.8891
6	3	了	5.08838
6	4	桌子	13.0313
6	5	上	8.82174
6	6	的	0.960235
6	7	筷子	15.727
6	8	。	8.82106
7	1	她	8.71203
7	2	终于	11.9394
7	3	实现	16.7702
7	4	了	0.578987
7	5	理想	16.4056
7	6	。	5.43649
8	1	她	8.71203
8	2	终于	11.9394
8	3	购买	13.5624
8	4	了	1.33192
8	5	理想	17.3032
8	6	。	3.70069
9	1	我	6.0542
9	2	修理	17.7299
9	3	了	3.28386
9	4	这个	7.98381
9	5	电脑	11.5824
9	6	。	2.34541
10	1	我	6.0542
10	2	阅读	16.1058
10	3	了	2.25381
10	4	这个	7.69313
10	5	电脑	12.2484
10	6	。	4.03769
11	1	我	6.0542
11	2	邀请	15.1939
11	3	过	8.20926
11	4	我	2.84836
11	5	的	4.61674
11	6	朋友	5.38891
11	7	。	4.57889
12	1	我	6.0542
12	2	打开	16.1633
12	3	过	8.14668
12	4	我	6.94807
12	5	的	1.31952
12	6	朋友	12.4144
12	7	。	4.95099
13	1	记者	10.2074
13	2	采访	8.35926
13	3	了	4.34739
13	4	艺术家	18.4807
13	5	。	2.35015
14	1	记者	10.2074
14	2	制作	13.9469
14	3	了	5.91236
14	4	艺术家	15.7368
14	5	。	4.40008
15	1	他	6.15281
15	2	参与	12.2045
15	3	了	2.72693
15	4	战争	12.3877
15	5	。	3.34706
16	1	他	6.15281
16	2	建造	16.2516
16	3	了	2.59132
16	4	战争	14.8095
16	5	。	3.53041
17	1	她	8.71203
17	2	批评	11.6933
17	3	了	5.37027
17	4	儿子	10.6928
17	5	。	3.28039
18	1	她	8.71203
18	2	改正	16.6986
18	3	了	0.24805
18	4	儿子	14.3687
18	5	。	3.94266
19	1	我	6.0542
19	2	结束	16.6171
19	3	了	1.26523
19	4	谈话	12.2086
19	5	。	3.68682
20	1	我	6.0542
20	2	表扬	20.6321
20	3	了	0.313306
20	4	谈话	16.5247
20	5	。	2.01882
21	1	他	6.15281
21	2	买	14.9855
21	3	了	2.29715
21	4	这些	10.5506
21	5	笔	12.443
21	6	。	2.85081
22	1	他	6.15281
22	2	种	19.3123
22	3	了	2.94426
22	4	这些	7.58532
22	5	笔	15.7742
22	6	。	2.84648
23	1	他	6.15281
23	2	提出	10.3681
23	3	了	2.62471
23	4	很多	10.3614
23	5	问题	5.75657
23	6	。	1.47183
24	1	他	6.15281
24	2	申请	14.5287
24	3	了	5.41725
24	4	很多	10.0952
24	5	问题	10.463
24	6	。	1.39846
25	1	这	6.33297
25	2	款	14.301
25	3	药	9.86967
25	4	治疗	17.6265
25	5	了	4.7243
25	6	他	9.06434
25	7	的	2.74227
25	8	疾病	10.4503
25	9	。	6.04107
26	1	这	6.33297
26	2	款	14.301
26	3	药	9.86967
26	4	缓解	16.8729
26	5	了	1.54767
26	6	他	9.09333
26	7	的	1.64985
26	8	疾病	11.2819
26	9	。	4.90769
27	1	我	6.0542
27	2	看	8.4575
27	3	着	4.78514
27	4	奶奶	13.9307
27	5	的	11.667
27	6	面容	23.3177
27	7	。	3.94864
28	1	我	6.0542
28	2	听	10.696
28	3	着	6.03396
28	4	奶奶	14.3905
28	5	的	3.09889
28	6	面容	22.006
28	7	。	4.209
29	1	学者	16.6627
29	2	发现	10.7383
29	3	了	4.60043
29	4	这个	9.44762
29	5	规律	13.3981
29	6	。	6.98192
30	1	学者	16.6627
30	2	发明	12.8895
30	3	了	3.23904
30	4	这个	10.4823
30	5	规律	11.2204
30	6	。	0.955521
31	1	母亲	13.4871
31	2	准备	13.0702
31	3	了	5.29574
31	4	晚饭	15.6268
31	5	。	3.48572
32	1	母亲	13.4871
32	2	责备	21.0067
32	3	了	4.66143
32	4	晚饭	17.6757
32	5	。	4.08271
33	1	孩子	13.5484
33	2	培养	15.2142
33	3	了	2.26264
33	4	这个	10.1531
