sentence_id	token_id	token	surprisal
1	1	他	5.65708
1	2	喜欢	10.7144
1	3	那	8.42066
1	4	家	6.0882
1	5	认识	15.1969
1	6	我	4.73057
1	7	的	0.491008
1	8	老板	9.71395
1	9	投资	16.4494
1	10	的	8.58601
1	11	饭店	20.3988
1	12	。	2.70093
2	1	他	5.65708
2	2	喜欢	10.7144
2	3	那	8.42066
2	4	个	4.12564
2	5	认识	13.0873
2	6	我	5.58328
2	7	的	0.605201
2	8	老板	10.6703
2	9	投资	17.8848
2	10	的	8.19532
2	11	饭店	20.6906
2	12	。	2.69375
3	1	她	8.15034
3	2	在	4.822
3	3	看	9.48986
3	4	那	7.38894
3	5	幅	8.90013
3	6	帮助	11.9555
3	7	过	8.11191
3	8	我	3.8724
3	9	的	0.294828
3	10	朋友	5.11944
3	11	喜欢	18.7564
3	12	的	7.35712
3	13	画	15.8388
3	14	。	8.88839
4	1	她	8.15034
4	2	在	4.822
4	3	看	9.48986
4	4	那	7.38894
4	5	个	4.30342
4	6	帮助	11.662
4	7	过	8.16238
4	8	我	3.7224
4	9	的	0.295966
4	10	朋友	5.15375
4	11	喜欢	19.0829
4	12	的	6.802
4	13	画	16.7625
4	14	。	14.236
5	1	我	5.25122
5	2	欣赏	16.3488
5	3	那	7.81717
5	4	件	4.22078
5	5	教	17.7838
5	6	过	8.03846
5	7	我	3.65411
5	8	的	0.673425
5	9	老师	10.25
5	10	收藏	21.1945
5	11	的	3.97731
5	12	艺术品	18.0635
5	13	。	2.31221
6	1	我	5.25122
6	2	欣赏	16.3488
6	3	那	7.81717
6	4	个	4.236
6	5	教	17.4128
6	6	过	8.48138
6	7	我	3.65821
6	8	的	0.792463
6	9	老师	9.55454
6	10	收藏	21.2341
6	11	的	4.49118
6	12	艺术品	18.0881
6	13	。	1.97605
7	1	他	5.65708
7	2	打	11.2764
7	3	了	3.08776
7	4	那	7.72427
7	5	只	10.3056
7	6	认识	13.4325
7	7	我	5.20622
7	8	的	0.435026
7	9	店长	19.1645
7	10	喜欢	15.5022
7	11	的	11.6933
7	12	宠物	17.9035
7	13	。	2.35653
8	1	他	5.65708
8	2	打	11.2764
8	3	了	3.08776
8	4	那	7.72427
8	5	个	4.78276
8	6	认识	14.1158
8	7	我	5.56653
8	8	的	0.626662
8	9	店长	20.5896
8	10	喜欢	14.6991
8	11	的	1.87871
8	12	宠物	14.155
8	13	。	9.99324
9	1	我	5.25122
9	2	在	5.70997
9	3	思念	22.5842
9	4	那	9.06029
9	5	首	10.0684
9	6	热爱	15.8227
9	7	艺术	9.16898
9	8	的	0.537055
9	9	明星	10.5905
9	10	唱	13.7345
9	11	的	7.19112
9	12	歌	12.9746
9	13	。	1.65683
10	1	我	5.25122
10	2	在	5.70997
10	3	思念	22.5842
10	4	那	9.06029
10	5	个	3.81805
10	6	热爱	15.2013
10	7	艺术	9.78136
10	8	的	0.431013
10	9	明星	11.1971
10	10	唱	13.4626
10	11	的	7.00047
10	12	歌	13.4836
10	13	。	1.73747
11	1	她	8.15034
11	2	拜访	13.2045
11	3	了	2.27654
11	4	那	7.61515
11	5	所	10.0927
11	6	学习	12.9335
11	7	历史	11.468
11	8	的	3.0822
11	9	老人	11.1199
11	10	去	14.869
11	11	的	10.2173
11	12	学校	10.163
11	13	。	1.43124
12	1	她	8.15034
12	2	拜访	13.2045
12	3	了	2.27654
12	4	那	7.61515
12	5	个	3.88461
12	6	学习	14.6797
12	7	历史	10.1794
12	8	的	0.882206
12	9	老人	11.2074
12	10	去	11.8723
12	11	的	9.88861
12	12	学校	11.1439
12	13	。	2.37069
13	1	他	5.65708
13	2	检查	16.7207
13	3	了	1.00779
13	4	那	8.72056
13	5	件	4.329
13	6	帮助	11.9807
13	7	过	8.60093
13	8	我	4.3968
13	9	的	0.297758
13	10	司机	15.0415
13	11	带	16.399
13	12	的	5.62419
13	13	行李	14.7271
13	14	。	2.3406
14	1	他	5.65708
14	2	检查	16.7207
14	3	了	1.00779
14	4	那	8.72056
14	5	个	4.69488
14	6	帮助	11.7487
14	7	过	8.97377
14	8	我	4.5344
14	9	的	0.332675
14	10	司机	14.5961
14	11	带	16.127
14	12	的	6.09356
14	13	行李	15.0423
14	14	。	2.28636
15	1	我	5.25122
15	2	听说	10.5381
15	3	过	2.74393
15	4	那	6.09972
15	5	本	5.86898
15	6	学习	13.1979
15	7	文学	13.2884
15	8	的	6.43887
15	9	作家	10.8056
15	10	写	14.3674
15	11	的	6.14698
15	12	书	9.57071
15	13	。	1.47859
16	1	我	5.25122
16	2	听说	10.5381
16	3	过	2.74393
16	4	那	6.09972
16	5	个	4.50557
16	6	学习	14.9961
16	7	文学	14.5669
16	8	的	3.39443
16	9	作家	10.2335
16	10	写	12.7245
16	11	的	5.56819
16	12	书	12.4594
16	13	。	2.78322
17	1	她	8.15034
17	2	撞	17.8063
17	3	了	0.788261
17	4	那	7.30538
17	5	辆	6.36402
17	6	支持	13.436
17	7	环保	17.8045
17	8	的	1.49152
17	9	朋友	7.63323
17	10	开	13.938
17	11	的	7.59775
17	12	车	12.6224
17	13	。	2.84051
18	1	她	8.15034
18	2	撞	17.8063
18	3	了	0.788261
18	4	那	7.30538
18	5	个	4.17729
18	6	支持	11.6658
18	7	环保	16.6014
18	8	的	1.77766
18	9	朋友	7.24903
18	10	开	15.2422
18	11	的	7.71351
18	12	车	13.613
18	13	。	3.2917
19	1	我们	6.69848
19	2	认可	15.2839
19	3	了	3.61125
19	4	那	7.68544
19	5	份	7.44599
19	6	喜欢	15.5288
19	7	书	10.5538
19	8	的	0.221753
19	9	孩子	5.88643
19	10	做	12.2523
19	11	的	6.91244
19	12	作业	18.8636
19	13	。	1.69794
20	1	我们	6.69848
20	2	认可	15.2839
20	3	了	3.61125
20	4	那	7.68544
20	5	个	4.49174
20	6	喜欢	13.7826
20	7	书	10.7339
20	8	的	0.276903
20	9	孩子	5.28465
20	10	做	12.4989
20	11	的	6.85408
20	12	作业	19.1908
20	13	。	1.71293
21	1	他们	7.38809
21	2	接受	12.0238
21	3	了	1.84371
21	4	那	7.02216
21	5	份	6.6876
21	6	认识	15.1696
21	7	我	7.77248
21	8	的	0.962999
21	9	老板	14.8244
21	10	制定	19.223
21	11	的	0.631352
21	12	合同	13.8958
21	13	。	2.65231
22	1	他们	7.38809
22	2	接受	12.0238
22	3	了	1.84371
22	4	那	7.02216
22	5	个	5.91105
22	6	认识	13.5218
22	7	我	7.17857
22	8	的	0.846625
22	9	老板	12.8094
22	10	制定	21.242
22	11	的	0.656378
22	12	合同	14.0371
22	13	。	2.78758
23	1	他	5.65708
23	2	离开	10.8715
23	3	了	2.79832
23	4	那	8.24444
23	5	间	10.2613
23	6	帮助	14.0369
23	7	过	8.01784
23	8	我	4.36885
23	9	的	0.339837
23	10	朋友	4.67909
23	11	开	14.6258
23	12	的	7.72424
23	13	工厂	15.079
23	14	。	5.93823
24	1	他	5.65708
24	2	离开	10.8715
24	3	了	2.79832
24	4	那	8.24444
24	5	个	3.03408
24	6	帮助	12.6347
24	7	过	7.73136
24	8	我	4.40028
24	9	的	0.310359
24	10	朋友	4.75836
24	11	开	15.0053
24	12	的	7.73549
24	13	工厂	15.241
24	14	。	6.73855
25	1	她	8.15034
25	2	找	13.2226
25	3	了	4.3458
25	4	那	7.05324
25	5	张	6.10577
25	6	喜欢	14.3772
25	7	艺术	12.8398
25	8	的	0.658247
25	9	孩子	5.52713
25	10	照	18.0029
25	11	的	12.0504
25	12	照片	13.5378
25	13	。	2.99884
26	1	她	8.15034
26	2	找	13.2226
26	3	了	4.3458
26	4	那	7.05324
26	5	个	4.07843
26	6	喜欢	13.2803
26	7	艺术	11.9099
26	8	的	0.741933
26	9	孩子	5.79825
26	10	照	18.2755
26	11	的	12.0723
26	12	照片	13.8651
26	13	。	3.22109
27	1	我	5.25122
27	2	需要	7.4558
27	3	那	8.14444
27	4	台	11.8451
27	5	教	16.3233
27	6	过	9.70422
27	7	我	4.24949
27	8	的	1.23354
27	9	老师	9.02232
27	10	用	9.84024
27	11	的	7.90756
27	12	手机	14.3856
27	13	。	3.50881
28	1	我	5.25122
28	2	需要	7.4558
28	3	那	8.14444
28	4	个	4.50348
28	5	教	16.9057
28	6	过	7.65415
28	7	我	3.56554
28	8	的	1.08146
28	9	老师	9.19081
28	10	用	10.7327
28	11	的	7.92671
28	12	手机	14.3228
28	13	。	3.94104
29	1	他	5.65708
29	2	在	4.84551
29	3	画	15.6575
29	4	那	11.7259
29	5	朵	15.4062
29	6	关心	18.5299
29	7	他	5.35877
29	8	的	0.694868
29	9	邻居	9.99572
29	10	种	21.4485
29	11	的	3.59499
29	12	花	11.526
29	13	。	13.9684
30	1	他	5.65708
30	2	在	4.84551
30	3	画	15.6575
30	4	那	11.7259
30	5	个	4.0686
30	6	关心	14.9665
30	7	他	4.51614
30	8	的	0.604284
30	9	邻居	9.81434
30	10	种	22.1349
30	11	的	3.52134
30	12	花	11.6852
30	13	。	13.897
31	1	她	8.15034
31	2	在	4.822
31	3	介绍	12.343
31	4	那	8.24642
31	5	台	9.91482
31	6	鼓励	15.5952
31	7	她	9.93314
31	8	的	4.7338
31	9	科学家	13.6044
31	10	做	9.26969
31	11	的	1.58886
31	12	电视	10.7664
31	13	。	13.8394
32	1	她	8.15034
32	2	在	4.822
32	3	介绍	12.343
32	4	那	8.24642
32	5	个	4.03227
32	6	鼓励	13.9376
32	7	她	9.17995
32	8	的	4.66713
32	9	科学家	13.1585
32	10	做	8.14966
32	11	的	1.70066
32	12	电视	11.4196
32	13	。	13.7713
33	1	我	5.25122
33	2	见	11.1451
33	3	过	3.27636
33	4	那	5.65559
33	5	栋	9.07929
33	6	认识	15.637
33	7	父亲	9.96013
33	8	的	0.330196
33	9	男人	6.65342
33	10	买	11.2531
33	11	的	6.9713
33	12	房子	9.61915
33	13	。	1.77089
34	1	我	5.25122
34	2	见	11.1451
34	3	过	3.27636
34	4	那	5.65559
34	5	个	4.40341
34	6	认识	12.4568
34	7	父亲	12.867
34	8	的	0.59945
34	9	男人	6.36594
34	10	买	11.4696
34	11	的	6.889
34	12	房子	10.0708
34	13	。	2.05583
35	1	我	5.25122
35	2	拒绝	12.4703
35	3	了	3.52117
35	4	那	6.55445
35	5	条	6.18396
35	6	关心	17.1
35	7	我	5.60532
35	8	的	1.17695
35	9	朋友	7.55473
35	10	给	11.626
35	11	的	8.99035
35	12	建议	10.114
35	13	。	2.15252
36	1	我	5.25122
36	2	拒绝	12.4703
36	3	了	3.52117
36	4	那	6.55445
36	5	个	5.11062
36	6	关心	14.5585
36	7	我	5.73893
36	8	的	0.843549
36	9	朋友	7.45851
36	10	给	10.078
36	11	的	11.2695
36	12	建议	13.1882
36	13	。	4.21277
37	1	他	5.65708
37	2	在	4.84551
37	3	看	9.83316
37	4	那	7.56742
37	5	支	12.1932
37	6	我	8.83351
37	7	教	12.618
37	8	数学	18.0373
37	9	的	0.897004
37	10	老师	9.84305
37	11	用	15.3246
37	12	的	9.57282
37	13	笔	16.8133
37	14	。	10.3265
38	1	他	5.65708
38	2	在	4.84551
38	3	看	9.83316
38	4	那	7.56742
38	5	个	4.46446
38	6	我	8.46901
38	7	教	12.7481
38	8	数学	18.2314
38	9	的	0.820047
38	10	老师	10.245
38	11	用	16.0065
38	12	的	9.65846
38	13	笔	16.95
38	14	。	10.3631
39	1	她	8.15034
39	2	在	4.822
39	3	找	12.8035
39	4	那	8.3582
39	5	只	8.95457
39	6	撞	16.1707
39	7	了	4.91223
39	8	我	5.0438
39	9	的	0.642334
39	10	女人	6.48141
39	11	丢	14.4192
39	12	的	6.86889
39	13	鞋子	16.2172
39	14	。	2.46895
40	1	她	8.15034
40	2	在	4.822
40	3	找	12.8035
40	4	那	8.3582
40	5	个	4.4071
40	6	撞	19.4636
40	7	了	3.09958
40	8	我	4.47718
40	9	的	0.474305
40	10	女人	6.67268
40	11	丢	14.6696
40	12	的	7.40061
40	13	鞋子	16.3883
40	14	。	2.74367
41	1	我	5.25122
41	2	讨厌	11.4532
41	3	那	6.88825
41	4	条	5.85028
41	5	打扰	18.0203
41	6	了	6.91683
41	7	我	8.25899
41	8	的	1.68343
41	9	邻居	9.12055
41	10	养	15.9504
41	11	的	7.37626
41	12	狗	10.0631
41	13	。	1.46929
42	1	我	5.25122
42	2	讨厌	11.4532
42	3	那	6.88825
42	4	个	4.26112
42	5	打扰	20.9125
42	6	了	6.80556
42	7	我	4.76341
42	8	的	0.691892
42	9	邻居	8.92313
42	10	养	16.8595
42	11	的	7.20757
42	12	狗	10.0844
42	13	。	1.78408
43	1	他	5.65708
43	2	发现	9.14861
43	3	了	3.61464
43	4	那	8.43628
43	5	座	8.25911
43	6	写	13.5026
43	7	过	5.47216
43	8	书	8.18932
43	9	的	0.247865
43	10	老人	9.2049
43	11	修	17.0505
43	12	的	7.67325
43	13	桥	19.4389
43	14	。	6.18431
44	1	他	5.65708
44	2	发现	9.14861
44	3	了	3.61464
44	4	那	8.43628
44	5	个	4.63306
44	6	写	12.9989
44	7	过	3.66044
44	8	书	7.4417
44	9	的	0.266503
44	10	老人	11.1473
44	11	修	18.4352
44	12	的	5.85021
44	13	桥	15.5054
44	14	。	7.91545
45	1	她	8.15034
45	2	评价	13.9358
45	3	了	0.704016
45	4	那	7.66291
45	5	篇	6.13377
45	6	获	16.8655
45	7	奖	10.3997
45	8	的	0.164576
45	9	学生	9.84826
45	10	准备	13.5778
45	11	的	4.98342
45	12	报告	11.3108
45	13	。	1.07986
46	1	她	8.15034
46	2	评价	13.9358
46	3	了	0.704016
46	4	那	7.66291
46	5	个	4.80714
46	6	获	15.3811
46	7	奖	11.1002
46	8	的	0.348603
46	9	学生	9.26774
46	10	准备	13.6246
46	11	的	5.62165
46	12	报告	12.0482
46	13	。	1.12548
47	1	我	5.25122
47	2	在	5.70997
47	3	等	11.5278
47	4	那	8.64959
47	5	封	11.3056
47	6	依赖	20.2158
47	7	我	5.14558
47	8	的	0.651019
47	9	朋友	6.29084
47	10	写	9.7198
47	11	的	6.34989
47	12	信	13.1099
47	13	。	2.22617
48	1	我	5.25122
48	2	在	5.70997
48	3	等	11.5278
48	4	那	8.64959
48	5	个	5.19979
48	6	依赖	19.89
48	7	我	5.42284
48	8	的	0.686234
48	9	朋友	5.83944
48	10	写	9.8118
48	11	的	6.12072
48	12	信	13.2071
48	13	。	2.38922
49	1	他	5.65708
49	2	提到	10.9015
49	3	了	4.45262
49	4	那	8.2388
49	5	堂	17.1098
49	6	教	16.6917
49	7	过	9.10385
49	8	我	4.2555
49	9	的	1.12569
49	10	老师	9.48093
49	11	教	17.634
49	12	的	6.16797
49	13	课	11.7691
49	14	。	6.23549
50	1	他	5.65708
50	2	提到	10.9015
50	3	了	4.45262
50	4	那	8.2388
50	5	个	4.81485
50	6	教	17.827
50	7	过	8.5786
50	8	我	3.87077
50	9	的	0.788068
50	10	老师	10.0826
50	11	教	18.4157
50	12	的	6.21024
50	13	课	12.257
