sentence_id	token_id	token	surprisal
1	1	随着	8.36069
1	2	政府	8.59146
1	3	发展	7.11395
1	4	，	7.1433
1	5	经济	7.69671
1	6	变	14.7565
1	7	好	9.3256
1	8	了	6.26984
1	9	。	1.88282
2	1	随着	8.36069
2	2	政府	8.59146
2	3	发展	7.11395
2	4	。	19.5047
3	1	随着	8.36069
3	2	互联网	15.4527
3	3	的	1.23021
3	4	出现	8.30352
3	5	，	0.270001
3	6	生活	12.9617
3	7	质量	5.97017
3	8	提高	7.85351
3	9	了	1.70806
3	10	。	3.54602
4	1	随着	8.36069
4	2	互联网	15.4527
4	3	的	1.23021
4	4	出现	8.30352
4	5	。	14.7914
5	1	随着	8.36069
5	2	一阵	19.5003
5	3	铃声	17.2853
5	4	，	3.26128
5	5	火车	16.0257
5	6	开	11.1774
5	7	了	1.79127
5	8	。	8.72119
6	1	随着	8.36069
6	2	一阵	19.5003
6	3	铃声	17.2853
6	4	。	16.8581
7	1	随着	8.36069
7	2	他	10.3582
7	3	的	1.46176
7	4	年龄	13.1011
7	5	增长	7.77725
7	6	，	1.73392
7	7	他	5.69517
7	8	更	8.63821
7	9	有	4.77103
7	10	自信	11.0942
7	11	了	10.3598
7	12	。	0.350927
8	1	随着	8.36069
8	2	他	10.3582
8	3	的	1.46176
8	4	年龄	13.1011
8	5	增长	7.77725
8	6	。	14.8249
9	1	随着	8.36069
9	2	冬天	17.5458
9	3	的	0.394075
9	4	到来	5.51594
9	5	，	0.0884931
9	6	树木	15.8333
9	7	凋零	20.0659
9	8	了	3.06339
9	9	。	6.7938
10	1	随着	8.36069
10	2	冬天	17.5458
10	3	的	0.394075
10	4	到来	5.51594
10	5	。	14.0892
11	1	随着	8.36069
11	2	科技	7.83193
11	3	发展	5.14808
11	4	，	3.17473
11	5	电脑	12.9126
11	6	功能	12.7793
11	7	变得	11.5878
11	8	更	5.16535
11	9	多	4.91415
11	10	了	7.00282
11	11	。	0.247283
12	1	随着	8.36069
12	2	科技	7.83193
12	3	发展	5.14808
12	4	。	16.5058
13	1	自从	12.3775
13	2	见	16.7682
13	3	了	7.06332
13	4	他	6.03709
13	5	，	6.17896
13	6	她	11.0505
13	7	一直	10.0333
13	8	在	4.18753
13	9	写信	16.0127
13	10	。	17.7998
14	1	自从	12.3775
14	2	见	16.7682
14	3	了	7.06332
14	4	他	6.03709
14	5	。	15.567
15	1	自从	12.3775
15	2	修	18.6152
15	3	了	4.59782
15	4	公路	9.20884
15	5	，	4.05088
15	6	农村	16.3196
15	7	经济	6.30148
15	8	变	12.04
15	9	好	9.6928
15	10	了	7.85484
15	11	。	14.1794
16	1	自从	12.3775
16	2	修	18.6152
16	3	了	4.59782
16	4	公路	9.20884
16	5	。	16.6756
17	1	自从	12.3775
17	2	离开	14.4101
17	3	家乡	8.46235
17	4	，	7.03882
17	5	她	8.99883
17	6	一直	8.61054
17	7	想念	12.7602
17	8	父母	8.49491
17	9	。	15.398
18	1	自从	12.3775
18	2	离开	14.4101
18	3	家乡	8.46235
18	4	。	17.4061
19	1	自从	12.3775
19	2	他	6.08993
19	3	开始	6.44998
19	4	读书	14.6044
19	5	，	6.4131
19	6	他	12.1282
19	7	的	10.5559
19	8	成绩	12.1427
19	9	提高	12.1932
19	10	了	4.17156
19	11	。	15.9102
20	1	自从	12.3775
20	2	他	6.08993
20	3	开始	6.44998
20	4	读书	14.6044
20	5	。	19.1953
21	1	自从	12.3775
21	2	他	6.08993
21	3	获得	7.37207
21	4	大奖	9.58178
21	5	，	7.88894
21	6	他	7.11719
21	7	不	9.05658
21	8	学习	14.2931
21	9	了	6.87813
21	10	。	15.6502
22	1	自从	12.3775
22	2	他	6.08993
22	3	获得	7.37207
22	4	大奖	9.58178
22	5	。	18.9422
23	1	自从	12.3775
23	2	她	8.06985
23	3	认识	14.2587
23	4	了	6.60928
23	5	老师	14.7201
23	6	，	3.69786
23	7	她	11.7961
23	8	努力	12.3857
23	9	训练	10.0573
23	10	。	17.9558
24	1	自从	12.3775
24	2	她	8.06985
24	3	认识	14.2587
24	4	了	6.60928
24	5	老师	14.7201
24	6	。	16.8191
25	1	自从	12.3775
25	2	她	8.06985
25	3	参与	11.5997
25	4	了	4.98175
25	5	活动	10.0392
25	6	，	5.04271
25	7	她	7.68763
25	8	认识	14
25	9	了	4.19281
25	10	很多	9.17824
25	11	人	2.92083
25	12	。	15.7581
26	1	自从	12.3775
26	2	她	8.06985
26	3	参与	11.5997
26	4	了	4.98175
26	5	活动	10.0392
26	6	。	20.331
27	1	自从	12.3775
27	2	她	8.06985
27	3	学习	13.618
27	4	了	5.38288
27	5	外语	12.0347
27	6	，	4.03971
27	7	她	15.9971
27	8	看	9.16676
27	9	了	2.4134
27	10	很多	10.0065
27	11	电影	8.88919
27	12	。	15.683
28	1	自从	12.3775
28	2	她	8.06985
28	3	学习	13.618
28	4	了	5.38288
28	5	外语	12.0347
28	6	。	20.5968
29	1	因为	10.096
29	2	喝	15.3471
29	3	了	3.37028
29	4	酒	7.35544
29	5	，	0.457325
29	6	他	5.29388
29	7	摔	13.6742
29	8	了	3.08129
29	9	。	4.35406
30	1	因为	10.096
30	2	喝	15.3471
30	3	了	3.37028
30	4	酒	7.35544
30	5	。	7.82449
31	1	因为	10.096
31	2	他	5.29249
31	3	要	7.23635
31	4	迟到	18.7285
31	5	了	4.21128
31	6	，	3.49236
31	7	他	5.04536
31	8	结束	15.0846
31	9	了	0.645697
31	10	谈话	12.7494
31	11	。	2.085
32	1	因为	10.096
32	2	他	5.29249
32	3	要	7.23635
32	4	迟到	18.7285
32	5	了	4.21128
32	6	。	7.16332
33	1	因为	10.096
33	2	他	5.29249
33	3	没有	6.9517
33	4	练习	13.781
33	5	题目	18.691
33	6	，	0.544767
33	7	他	4.66328
33	8	没有	6.42529
33	9	成功	10.4836
33	10	。	1.17266
34	1	因为	10.096
34	2	他	5.29249
34	3	没有	6.9517
34	4	练习	13.781
34	5	题目	18.691
34	6	。	2.49093
35	1	因为	10.096
35	2	疾病	15.6596
35	3	，	4.4779
35	4	她	6.45277
35	5	拒绝	10.2941
35	6	了	3.58855
35	7	演出	13.9743
35	8	。	2.06196
36	1	因为	10.096
36	2	疾病	15.6596
36	3	。	16.126
37	1	因为	10.096
37	2	听	13.4629
37	3	着	7.17252
37	4	音乐	11.9619
37	5	，	1.96378
37	6	她	5.36672
37	7	错过	14.8119
37	8	了	0.496998
37	9	广播	15.2649
37	10	。	6.02137
38	1	因为	10.096
38	2	听	13.4629
38	3	着	7.17252
38	4	音乐	11.9619
38	5	。	9.68339
39	1	尽管	8.99878
39	2	领导	13.8926
39	3	已经	8.8812
39	4	离去	15.2359
39	5	，	0.159351
39	6	工人	17.64
39	7	还	6.58776
39	8	在	4.36767
39	9	工作	8.53549
39	10	。	4.4584
40	1	尽管	8.99878
40	2	领导	13.8926
40	3	已经	8.8812
40	4	离去	15.2359
40	5	。	10.0173
41	1	尽管	8.99878
41	2	他	5.64104
41	3	年纪	15.2123
41	4	小	5.06604
41	5	，	0.377653
41	6	他	8.26872
41	7	有	6.90113
41	8	能力	7.80316
41	9	。	6.88513
42	1	尽管	8.99878
42	2	他	5.64104
42	3	年纪	15.2123
42	4	小	5.06604
42	5	。	9.82165
43	1	尽管	8.99878
43	2	她	7.30047
43	3	会	9.35096
43	4	开车	15.1107
43	5	，	1.65799
43	6	她	8.97102
43	7	今天	7.96395
43	8	没有	7.25894
43	9	开车	13.3673
43	10	。	1.98887
44	1	尽管	8.99878
44	2	她	7.30047
44	3	会	9.35096
44	4	开车	15.1107
44	5	。	11.3551
45	1	尽管	8.99878
45	2	作家	15.0071
45	3	很	8.08679
45	4	年轻	7.53099
