sentence_id	token_id	token	surprisal
1	1	那	7.24113
1	2	家	10.6903
1	3	我	7.1017
1	4	采访	10.9306
1	5	过	4.97242
1	6	的	1.17651
1	7	老板	12.4942
1	8	在	5.62213
1	9	市中心	10.6042
1	10	投资	13.0027
1	11	的	9.30774
1	12	饭店	19.0681
1	13	很	11.512
1	14	受	8.78309
1	15	欢迎	2.54897
1	16	。	5.02924
2	1	那	7.24113
2	2	个	7.96088
2	3	我	8.45577
2	4	采访	11.2543
2	5	过	4.1988
2	6	的	1.99813
2	7	老板	14.49
2	8	在	5.76957
2	9	市中心	10.4041
2	10	投资	13.2245
2	11	的	8.97477
2	12	饭店	19.3732
2	13	很	10.1805
2	14	受	9.67756
2	15	欢迎	2.81135
2	16	。	5.75498
3	1	那	7.24113
3	2	幅	11.7531
3	3	我	9.56899
3	4	介绍	14.9106
3	5	的	1.07884
3	6	朋友	9.24491
3	7	非常	8.18686
3	8	喜欢	6.14202
3	9	的	10.3324
3	10	画	18.06
3	11	吸引	15.3772
3	12	了	8.12709
3	13	我	4.9676
3	14	。	1.85427
4	1	那	7.24113
4	2	个	7.96088
4	3	我	8.45577
4	4	介绍	15.2796
4	5	的	1.87412
4	6	朋友	8.94294
4	7	非常	7.93442
4	8	喜欢	5.99971
4	9	的	9.98166
4	10	画	18.7366
4	11	吸引	14.9683
4	12	了	8.10333
4	13	我	5.32533
4	14	。	1.68324
5	1	那	7.24113
5	2	件	8.19175
5	3	我	10.5395
5	4	喜欢	5.82254
5	5	的	0.500082
5	6	老师	12.1528
5	7	为	9.64616
5	8	他	4.92996
5	9	的	2.44202
5	10	学生	11.5304
5	11	收藏	16.9213
5	12	的	8.92307
5	13	艺术品	21.3633
5	14	获	17.8575
5	15	了	3.5415
5	16	奖	13.4758
5	17	。	1.14683
6	1	那	7.24113
6	2	个	7.96088
6	3	我	8.45577
6	4	喜欢	6.6634
6	5	的	0.633446
6	6	老师	10.4885
6	7	为	9.28462
6	8	他	4.9185
6	9	的	2.37743
6	10	学生	11.3621
6	11	收藏	16.7372
6	12	的	9.01472
6	13	艺术品	21.1432
6	14	获	18.3539
6	15	了	3.69984
6	16	奖	13.6543
6	17	。	2.03854
7	1	那	7.24113
7	2	只	6.86429
7	3	我	11.6541
7	4	认识	11.5117
7	5	的	4.0169
7	6	店长	24.094
7	7	特别	12.8645
7	8	喜欢	6.09089
7	9	的	11.359
7	10	宠物	20.2785
7	11	生病	16.2748
7	12	了	3.21548
7	13	。	0.530498
8	1	那	7.24113
8	2	个	7.96088
8	3	我	8.45577
8	4	认识	8.40444
8	5	的	0.300751
8	6	店长	23.1248
8	7	特别	12.8375
8	8	喜欢	7.0412
8	9	的	11.6392
8	10	宠物	20.2187
8	11	生病	16.0544
8	12	了	3.52388
8	13	。	2.64958
9	1	那	7.24113
9	2	首	13.238
9	3	我	6.34829
9	4	见	9.97141
9	5	过	2.21549
9	6	的	5.16918
9	7	明星	14.6021
9	8	在	5.39294
9	9	商场	13.1772
9	10	唱	14.0051
9	11	的	6.19905
9	12	歌	12.9863
9	13	很	9.56248
9	14	好听	13.3178
9	15	。	1.47407
10	1	那	7.24113
10	2	个	7.96088
10	3	我	8.45577
10	4	见	9.79447
10	5	过	2.75903
10	6	的	1.50897
10	7	明星	14.9062
10	8	在	5.35793
10	9	商场	14.1188
10	10	唱	13.6762
