sentence_id	token_id	token	surprisal
1	1	他	7.177459239959717
1	2	喜欢	10.378094673156738
1	3	那	9.50488567352295
1	4	家	5.913254261016846
1	5	亲切	20.50413703918457
1	6	的	2.223799228668213
1	7	老板	10.965031623840332
1	8	投资	15.449636459350586
1	9	的	3.914124011993408
1	10	饭店	13.232101440429688
1	11	。	5.3615312576293945
2	1	他	7.177459239959717
2	2	喜欢	10.378094673156738
2	3	那	9.50488567352295
2	4	个	2.4471733570098877
2	5	亲切	17.823305130004883
2	6	的	1.0243488550186157
2	7	老板	11.71965503692627
2	8	投资	15.780269622802734
2	9	的	4.008150577545166
2	10	饭店	15.052099227905273
2	11	。	5.323422431945801
3	1	她	8.506867408752441
3	2	在	3.4651739597320557
3	3	看	10.662949562072754
3	4	那	8.631366729736328
3	5	幅	8.774731636047363
3	6	聪明	11.543142318725586
3	7	的	0.17006151378154755
3	8	朋友	8.973440170288086
3	9	喜欢	11.174579620361328
3	10	的	5.819572925567627
3	11	画	15.17591381072998
3	12	。	4.732132911682129
4	1	她	8.506867408752441
4	2	在	3.4651739597320557
4	3	看	10.662949562072754
4	4	那	8.631366729736328
4	5	个	3.6470751762390137
4	6	聪明	12.150389671325684
4	7	的	0.4146287143230438
4	8	朋友	10.155094146728516
4	9	喜欢	11.893912315368652
4	10	的	5.885894298553467
4	11	画	16.012535095214844
4	12	。	4.766068458557129
5	1	我	5.6744384765625
5	2	欣赏	16.614933013916016
5	3	那	7.695425033569336
5	4	件	6.62889289855957
5	5	细心	16.673242568969727
5	6	的	0.38192322850227356
5	7	老师	15.72237491607666
5	8	收藏	22.366363525390625
5	9	的	3.0502233505249023
5	10	艺术品	18.094579696655273
5	11	。	2.8609120845794678
6	1	我	5.6744384765625
6	2	欣赏	16.614933013916016
6	3	那	7.695425033569336
6	4	个	2.5946879386901855
6	5	细心	13.943187713623047
6	6	的	0.48668909072875977
6	7	老师	11.348220825195312
6	8	收藏	21.396167755126953
6	9	的	2.7979888916015625
6	10	艺术品	17.426406860351562
6	11	。	3.120574951171875
7	1	他	7.177459239959717
7	2	打	10.94507122039795
7	3	了	2.9175939559936523
7	4	那	7.894772052764893
7	5	只	7.931005954742432
7	6	负责	16.33440399169922
7	7	的	2.3960232734680176
7	8	店长	18.856611251831055
7	9	喜欢	14.133105278015137
7	10	的	3.5803771018981934
7	11	宠物	16.05159568786621
7	12	。	5.835025787353516
8	1	他	7.177459239959717
8	2	打	10.94507122039795
8	3	了	2.9175939559936523
8	4	那	7.894772052764893
8	5	个	2.6920695304870605
8	6	负责	14.875880241394043
8	7	的	0.8871102333068848
8	8	店长	18.568784713745117
8	9	喜欢	14.457914352416992
8	10	的	3.353686809539795
8	11	宠物	15.371549606323242
8	12	。	6.52371072769165
9	1	我	5.6744384765625
9	2	在	4.572213649749756
9	3	思念	18.823843002319336
9	4	那	12.312321662902832
9	5	首	8.693426132202148
9	6	有名	15.306188583374023
9	7	的	0.28990814089775085
9	8	明星	13.199078559875488
9	9	唱	13.230537414550781
9	10	的	4.566431999206543
9	11	歌	8.552189826965332
9	12	。	6.326971530914307
10	1	我	5.6744384765625
10	2	在	4.572213649749756
10	3	思念	18.823843002319336
10	4	那	12.312321662902832
10	5	个	3.474783182144165
10	6	有名	11.552129745483398
10	7	的	0.21138526499271393
10	8	明星	11.084885597229004
10	9	唱	14.061222076416016
10	10	的	4.396754264831543
10	11	歌	8.66274642944336
10	12	。	5.923609256744385
11	1	她	8.506867408752441
11	2	拜访	13.639883995056152
11	3	了	2.766925811767578
11	4	那	9.316208839416504
11	5	所	7.572434425354004
11	6	富有	11.407506942749023
11	7	的	0.2014082819223404
11	8	老人	11.614938735961914
11	9	去	9.730240821838379
11	10	的	6.481903553009033
11	11	学校	6.518641948699951
11	12	。	2.616455316543579
12	1	她	8.506867408752441
12	2	拜访	13.639883995056152
12	3	了	2.766925811767578
12	4	那	9.316208839416504
12	5	个	2.5437800884246826
12	6	富有	13.078595161437988
12	7	的	2.2190542221069336
12	8	老人	10.825632095336914
12	9	去	11.657479286193848
12	10	的	6.068459987640381
12	11	学校	6.928096771240234
12	12	。	2.7546205520629883
13	1	他	7.177459239959717
13	2	检查	16.560197830200195
13	3	了	3.3025166988372803
13	4	那	8.543143272399902
13	5	件	6.069209098815918
13	6	紧张	14.53907585144043
13	7	的	0.46605852246284485
13	8	司机	14.196020126342773
13	9	带	15.787961959838867
13	10	的	7.958364486694336
13	11	行李	13.878623008728027
13	12	。	3.5370006561279297
14	1	他	7.177459239959717
14	2	检查	16.560197830200195
14	3	了	3.3025166988372803
14	4	那	8.543143272399902
14	5	个	3.0760602951049805
14	6	紧张	12.86776351928711
14	7	的	1.284961223602295
14	8	司机	14.457072257995605
14	9	带	15.031441688537598
14	10	的	8.8113374710083
14	11	行李	13.270838737487793
14	12	。	3.989788293838501
15	1	我	5.6744384765625
15	2	听说	10.76659870147705
15	3	过	2.7694971561431885
15	4	那	6.0590643882751465
15	5	本	6.737421035766602
15	6	有名	18.45856285095215
15	7	的	0.15166600048542023
15	8	作家	12.756511688232422
15	9	写	10.651810646057129
15	10	的	2.827481508255005
15	11	书	7.710990905761719
15	12	。	2.341378688812256
16	1	我	5.6744384765625
16	2	听说	10.76659870147705
16	3	过	2.7694971561431885
16	4	那	6.0590643882751465
16	5	个	2.5632576942443848
16	6	有名	14.262855529785156
16	7	的	0.10123017430305481
16	8	作家	12.793423652648926
16	9	写	12.25861930847168
16	10	的	2.8762292861938477
16	11	书	8.053577423095703
16	12	。	2.3864705562591553
17	1	她	8.506867408752441
17	2	撞	17.671226501464844
17	3	了	0.7958043813705444
17	4	那	8.88411808013916
17	5	辆	6.28615665435791
17	6	熟悉	18.155113220214844
17	7	的	0.32406994700431824
17	8	朋友	9.32942008972168
17	9	开	14.640641212463379
17	10	的	6.521425247192383
17	11	车	8.136456489562988
17	12	。	2.9306135177612305
18	1	她	8.506867408752441
18	2	撞	17.671226501464844
18	3	了	0.7958043813705444
18	4	那	8.88411808013916
18	5	个	2.6067073345184326
18	6	熟悉	14.987353324890137
18	7	的	0.49923446774482727
18	8	朋友	8.58233642578125
18	9	开	14.55467414855957
18	10	的	6.191857814788818
18	11	车	9.784835815429688
18	12	。	3.1584317684173584
19	1	我们	8.105215072631836
19	2	认可	16.922147750854492
19	3	了	1.7062913179397583
19	4	那	7.636828899383545
19	5	份	6.450756072998047
19	6	淘气	17.194076538085938
19	7	的	0.0797954648733139
19	8	孩子	7.678053379058838
19	9	做	11.540122985839844
19	10	的	3.860238552093506
19	11	作业	14.385454177856445
19	12	。	1.7489469051361084
20	1	我们	8.105215072631836
20	2	认可	16.922147750854492
20	3	了	1.7062913179397583
20	4	那	7.636828899383545
20	5	个	2.219205379486084
20	6	淘气	15.285234451293945
20	7	的	0.19596312940120697
20	8	孩子	6.879029273986816
20	9	做	11.940496444702148
20	10	的	3.642461061477661
20	11	作业	14.894913673400879
20	12	。	1.815138578414917
21	1	他们	8.76318645477295
21	2	接受	12.490856170654297
21	3	了	2.661752939224243
21	4	那	7.38897180557251
21	5	份	6.08635950088501
21	6	严格	15.856063842773438
21	7	的	0.7365979552268982
21	8	老板	19.679670333862305
21	9	制定	14.923176765441895
21	10	的	1.5377217531204224
21	11	合同	11.433701515197754
21	12	。	2.0987820625305176
22	1	他们	8.76318645477295
22	2	接受	12.490856170654297
22	3	了	2.661752939224243
22	4	那	7.38897180557251
22	5	个	3.758373260498047
22	6	严格	12.74764347076416
22	7	的	0.5539791584014893
22	8	老板	16.91671371459961
22	9	制定	15.083017349243164
22	10	的	1.9614285230636597
22	11	合同	11.147207260131836
22	12	。	2.356191635131836
23	1	他	7.177459239959717
23	2	离开	9.495527267456055
23	3	了	1.7580738067626953
23	4	那	7.084678649902344
23	5	间	9.924934387207031
23	6	负责	14.809747695922852
23	7	的	0.4010206162929535
23	8	朋友	10.21975326538086
23	9	开	12.741863250732422
23	10	的	5.864710330963135
23	11	工厂	12.725900650024414
23	12	。	3.41878604888916
24	1	他	7.177459239959717
24	2	离开	9.495527267456055
24	3	了	1.7580738067626953
24	4	那	7.084678649902344
24	5	个	1.3623937368392944
24	6	负责	15.843367576599121
24	7	的	0.6024192571640015
24	8	朋友	10.234664916992188
24	9	开	13.617010116577148
24	10	的	5.726828098297119
24	11	工厂	12.611204147338867
24	12	。	3.5100057125091553
25	1	她	8.506867408752441
25	2	找	14.709901809692383
25	3	了	2.7985095977783203
25	4	那	7.671947956085205
25	5	张	4.717886447906494
25	6	聪明	14.099115371704102
25	7	的	0.3136550188064575
25	8	孩子	10.045856475830078
25	9	照	18.34189796447754
25	10	的	3.780010938644409
25	11	照片	11.690376281738281
25	12	。	2.2159807682037354
26	1	她	8.506867408752441
26	2	找	14.709901809692383
26	3	了	2.7985095977783203
26	4	那	7.671947956085205
26	5	个	2.8293190002441406
26	6	聪明	12.562047958374023
26	7	的	0.6245044469833374
26	8	孩子	8.490142822265625
26	9	照	20.031091690063477
26	10	的	3.782925844192505
26	11	照片	12.116739273071289
26	12	。	2.377011775970459
27	1	我	5.6744384765625
27	2	需要	8.095977783203125
27	3	那	8.64283275604248
27	4	台	14.661518096923828
27	5	负责	14.364323616027832
27	6	的	2.1676769256591797
27	7	老师	11.43548583984375
27	8	用	10.852699279785156
27	9	的	6.768312454223633
27	10	手机	10.215851783752441
27	11	。	6.472504615783691
28	1	我	5.6744384765625
28	2	需要	8.095977783203125
28	3	那	8.64283275604248
28	4	个	2.7866525650024414
28	5	负责	12.393370628356934
28	6	的	0.9560909271240234
28	7	老师	12.89281177520752
28	8	用	11.485108375549316
28	9	的	6.442694187164307
28	10	手机	10.193384170532227
28	11	。	6.617878437042236
29	1	他	7.177459239959717
29	2	在	3.6564574241638184
29	3	画	14.745391845703125
29	4	那	12.23078727722168
29	5	朵	16.590564727783203
29	6	细心	16.02488136291504
29	7	的	0.13139557838439941
29	8	邻居	13.7069673538208
29	9	种	15.930956840515137
29	10	的	11.80003547668457
29	11	花	15.176599502563477
29	12	。	8.134692192077637
30	1	他	7.177459239959717
30	2	在	3.6564574241638184
30	3	画	14.745391845703125
30	4	那	12.23078727722168
30	5	个	3.2005367279052734
30	6	细心	14.961519241333008
30	7	的	1.015184760093689
30	8	邻居	12.052998542785645
30	9	种	17.303165435791016
30	10	的	12.677172660827637
30	11	花	15.725866317749023
30	12	。	8.348535537719727
31	1	她	8.506867408752441
31	2	在	3.4651739597320557
31	3	介绍	14.682531356811523
31	4	那	9.347579956054688
31	5	台	12.123226165771484
31	6	优秀	13.854170799255371
31	7	的	2.7197742462158203
31	8	科学家	11.52735710144043
31	9	做	11.255640983581543
31	10	的	4.617556095123291
31	11	电视	11.040964126586914
31	12	。	6.123937129974365
32	1	她	8.506867408752441
32	2	在	3.4651739597320557
32	3	介绍	14.682531356811523
32	4	那	9.347579956054688
32	5	个	3.614577531814575
32	6	优秀	14.192743301391602
32	7	的	0.9151980876922607
32	8	科学家	11.684288024902344
32	9	做	11.059028625488281
32	10	的	4.588481426239014
32	11	电视	11.482146263122559
32	12	。	5.166539669036865
33	1	我	5.6744384765625
33	2	见	9.74991226196289
33	3	过	2.7950639724731445
33	4	那	7.246325492858887
33	5	栋	9.262450218200684
33	6	富有	18.56654167175293
33	7	的	3.1444380283355713
33	8	男人	10.98023796081543
33	9	买	14.746956825256348
33	10	的	3.6671838760375977
33	11	房子	5.277060031890869
33	12	。	4.0574188232421875
34	1	我	5.6744384765625
34	2	见	9.74991226196289
34	3	过	2.7950639724731445
34	4	那	7.246325492858887
34	5	个	2.5327584743499756
34	6	富有	14.4368896484375
34	7	的	2.121490716934204
34	8	男人	12.256142616271973
34	9	买	16.099336624145508
34	10	的	3.6418042182922363
34	11	房子	6.230854511260986
34	12	。	3.3757715225219727
35	1	我	5.6744384765625
35	2	拒绝	10.389862060546875
35	3	了	5.240881443023682
35	4	那	7.889746189117432
35	5	条	4.748524188995361
35	6	紧张	14.937309265136719
35	7	的	0.8124800324440002
35	8	朋友	10.776899337768555
35	9	给	9.274157524108887
35	10	的	10.132177352905273
35	11	建议	11.94516372680664
35	12	。	1.7596136331558228
36	1	我	5.6744384765625
36	2	拒绝	10.389862060546875
36	3	了	5.240881443023682
36	4	那	7.889746189117432
36	5	个	2.865790367126465
36	6	紧张	14.134750366210938
36	7	的	1.0335544347763062
36	8	朋友	11.075679779052734
36	9	给	9.415253639221191
36	10	的	9.849689483642578
36	11	建议	12.919795036315918
36	12	。	1.8659409284591675
37	1	他	7.177459239959717
37	2	在	3.6564574241638184
37	3	看	10.743205070495605
37	4	那	8.459512710571289
37	5	支	10.0161771774292
37	6	负责	15.478309631347656
37	7	的	0.9568248391151428
37	8	老师	10.927329063415527
37	9	用	10.286027908325195
37	10	的	7.1985697746276855
37	11	笔	13.497207641601562
37	12	。	8.683366775512695
38	1	他	7.177459239959717
38	2	在	3.6564574241638184
38	3	看	10.743205070495605
38	4	那	8.459512710571289
38	5	个	3.6623244285583496
38	6	负责	13.948426246643066
38	7	的	0.8389648795127869
38	8	老师	12.182125091552734
38	9	用	12.426885604858398
38	10	的	6.356298446655273
38	11	笔	13.52934455871582
38	12	。	7.909753322601318
39	1	她	8.506867408752441
39	2	在	3.4651739597320557
39	3	找	14.541595458984375
39	4	那	11.833845138549805
39	5	只	10.457703590393066
39	6	内向	19.108531951904297
39	7	的	1.7221298217773438
39	8	女人	13.491524696350098
39	9	丢	16.3486270904541
39	10	的	6.878638744354248
39	11	鞋子	14.463211059570312
39	12	。	2.1057510375976562
40	1	她	8.506867408752441
40	2	在	3.4651739597320557
40	3	找	14.541595458984375
40	4	那	11.833845138549805
40	5	个	2.3297061920166016
40	6	内向	20.145977020263672
40	7	的	0.5998642444610596
40	8	女人	12.160505294799805
40	9	丢	17.639795303344727
40	10	的	7.531604766845703
40	11	鞋子	14.741729736328125
40	12	。	3.011481761932373
41	1	我	5.6744384765625
41	2	讨厌	13.035037994384766
41	3	那	8.112869262695312
41	4	条	5.088890075683594
41	5	孤独	16.137399673461914
41	6	的	0.425120085477829
41	7	邻居	13.145587921142578
41	8	养	14.214648246765137
41	9	的	6.5980305671691895
41	10	狗	10.245027542114258
41	11	。	3.5943105220794678
42	1	我	5.6744384765625
42	2	讨厌	13.035037994384766
42	3	那	8.112869262695312
42	4	个	3.434788703918457
42	5	孤独	15.830653190612793
42	6	的	0.38061246275901794
42	7	邻居	12.889780044555664
42	8	养	14.738821029663086
42	9	的	6.5156331062316895
42	10	狗	10.81100845336914
42	11	。	3.6211273670196533
43	1	他	7.177459239959717
43	2	发现	9.135040283203125
43	3	了	2.853956937789917
43	4	那	6.629220962524414
43	5	座	7.086400032043457
43	6	幽默	15.632894515991211
43	7	的	0.8504688143730164
43	8	老人	9.25444507598877
43	9	修	19.111608505249023
43	10	的	4.489654064178467
43	11	桥	14.336108207702637
43	12	。	3.7885074615478516
44	1	他	7.177459239959717
44	2	发现	9.135040283203125
44	3	了	2.853956937789917
44	4	那	6.629220962524414
44	5	个	3.2345776557922363
44	6	幽默	16.22640609741211
44	7	的	1.0135624408721924
44	8	老人	7.888988494873047
44	9	修	19.033544540405273
44	10	的	4.36074686050415
44	11	桥	15.528275489807129
44	12	。	3.9984233379364014
