sentence_id	token_id	token	surprisal
1	1	他	6.15281
1	2	喜欢	10.3653
1	3	那	9.33378
1	4	家	7.76704
1	5	老板	11.9615
1	6	投资	15.3662
1	7	的	6.25178
1	8	饭店	14.7424
1	9	。	2.3676
2	1	他	6.15281
2	2	喜欢	10.3653
2	3	那	9.33378
2	4	个	5.07369
2	5	老板	13.6593
2	6	投资	16.5774
2	7	的	9.94272
2	8	饭店	19.6439
2	9	。	3.14264
3	1	她	8.71203
3	2	在	4.73893
3	3	看	8.45577
3	4	那	7.38496
3	5	幅	7.78374
3	6	朋友	15.4167
3	7	喜欢	10.8369
3	8	的	1.19432
3	9	画	16.518
3	10	。	2.75542
4	1	她	8.71203
4	2	在	4.73893
4	3	看	8.45577
4	4	那	7.38496
4	5	个	6.17895
4	6	朋友	9.87559
4	7	喜欢	12.3317
4	8	的	4.93313
4	9	画	16.1634
4	10	。	2.28072
5	1	我	6.0542
5	2	欣赏	14.4595
5	3	那	7.27602
5	4	件	3.74852
5	5	老师	17.2227
5	6	收藏	18.0084
5	7	的	0.132932
5	8	艺术品	19.9623
5	9	。	2.60217
6	1	我	6.0542
6	2	欣赏	14.4595
6	3	那	7.27602
6	4	个	7.04332
6	5	老师	11.9728
6	6	收藏	20.1264
6	7	的	0.465264
6	8	艺术品	18.6105
6	9	。	2.19029
7	1	他	6.15281
7	2	打	11.0128
7	3	了	2.59783
7	4	那	8.32882
7	5	只	10.5593
7	6	店长	22.1532
7	7	喜欢	11.3594
7	8	的	0.570937
7	9	宠物	14.4843
7	10	。	3.9509
8	1	他	6.15281
8	2	打	11.0128
8	3	了	2.59783
8	4	那	8.32882
8	5	个	2.9571
8	6	店长	23.1168
8	7	喜欢	12.5115
8	8	的	0.506776
8	9	宠物	14.6832
8	10	。	8.97763
9	1	我	6.0542
9	2	在	5.79918
9	3	思念	22.6924
9	4	那	8.96088
9	5	首	11.1617
9	6	明星	16.4397
9	7	唱	18.7498
9	8	的	2.47503
9	9	歌	7.5432
9	10	。	1.34429
10	1	我	6.0542
10	2	在	5.79918
10	3	思念	22.6924
10	4	那	8.96088
10	5	个	6.76895
10	6	明星	14.8146
10	7	唱	20.8184
10	8	的	7.70806
10	9	歌	9.40224
10	10	。	1.38225
11	1	她	8.71203
11	2	拜访	12.3443
11	3	了	4.27645
11	4	那	7.90428
11	5	所	8.50918
11	6	老人	14.1617
11	7	去	10.2327
11	8	的	2.29642
11	9	学校	9.49404
11	10	。	3.43425
12	1	她	8.71203
12	2	拜访	12.3443
12	3	了	4.27645
12	4	那	7.90428
12	5	个	5.68469
12	6	老人	14.6315
12	7	去	10.3862
12	8	的	2.68083
12	9	学校	9.47467
12	10	。	3.16179
13	1	他	6.15281
13	2	检查	16.1615
13	3	了	2.33465
13	4	那	8.81844
13	5	件	3.91635
13	6	司机	20.0494
13	7	带	12.8567
13	8	的	3.66578
13	9	行李	15.4507
13	10	。	3.27173
14	1	他	6.15281
14	2	检查	16.1615
14	3	了	2.33465
14	4	那	8.81844
14	5	个	5.63162
14	6	司机	16.643
14	7	带	12.6131
14	8	的	3.65146
14	9	行李	15.3307
14	10	。	3.51277
15	1	我	6.0542
15	2	听说	9.88517
15	3	过	1.3142
15	4	那	6.37135
15	5	本	7.1659
15	6	作家	13.7133
15	7	写	9.80251
15	8	的	3.0161
15	9	书	4.17285
15	10	。	2.43351
16	1	我	6.0542
16	2	听说	9.88517
16	3	过	1.3142
16	4	那	6.37135
16	5	个	6.74202
16	6	作家	13.9824
16	7	写	9.63697
16	8	的	3.44725
16	9	书	4.90886
16	10	。	2.23489
17	1	她	8.71203
17	2	撞	18.2639
17	3	了	0.77793
17	4	那	9.26486
17	5	辆	5.99436
17	6	朋友	13.0178
17	7	开	12.2082
17	8	的	6.42276
17	9	车	6.45886
17	10	。	1.48215
18	1	她	8.71203
18	2	撞	18.2639
18	3	了	0.77793
