sentence_id	token_id	token	surprisal
1	1	记者	10.695026397705078
1	2	采访	9.785005569458008
1	3	了	4.757925987243652
1	4	。	3.444251775741577
2	1	记者	10.695026397705078
2	2	采访	9.785005569458008
2	3	了	4.757925987243652
2	4	科学家	19.512889862060547
2	5	。	6.914956092834473
3	1	他	5.994297027587891
3	2	认识	12.234529495239258
3	3	了	2.9799399375915527
3	4	。	7.357863426208496
4	1	他	5.994297027587891
4	2	认识	12.234529495239258
4	3	了	2.9799399375915527
4	4	老师	16.628398895263672
4	5	。	4.283867835998535
5	1	他	5.994297027587891
5	2	拍	14.673454284667969
5	3	下	10.334304809570312
5	4	了	5.055802345275879
5	5	。	7.493249893188477
6	1	他	5.994297027587891
6	2	拍	14.673454284667969
6	3	下	10.334304809570312
6	4	了	5.055802345275879
6	5	艺术品	21.018753051757812
6	6	。	4.978776454925537
7	1	我们	8.033720016479492
7	2	参加	10.225871086120605
7	3	了	2.139495372772217
7	4	。	8.314264297485352
8	1	我们	8.033720016479492
8	2	参加	10.225871086120605
8	3	了	2.139495372772217
8	4	活动	11.798882484436035
8	5	。	2.2206032276153564
9	1	他	5.994297027587891
9	2	想起	13.99108600616455
9	3	了	1.7176307439804077
9	4	。	10.20732307434082
10	1	他	5.994297027587891
10	2	想起	13.99108600616455
10	3	了	1.7176307439804077
10	4	同学	17.98435401916504
10	5	。	5.25853157043457
11	1	司机	16.75351333618164
11	2	启动	18.0870361328125
11	3	了	3.913236141204834
11	4	。	3.6683788299560547
12	1	司机	16.75351333618164
12	2	启动	18.0870361328125
12	3	了	3.913236141204834
12	4	车	15.82135009765625
12	5	。	4.291202068328857
13	1	爸爸	13.813397407531738
13	2	买	11.372758865356445
13	3	了	1.5423046350479126
13	4	。	6.9968390464782715
14	1	爸爸	13.813397407531738
14	2	买	11.372758865356445
14	3	了	1.5423046350479126
14	4	房子	9.68884563446045
14	5	。	4.794299602508545
15	1	他	5.994297027587891
15	2	损失	18.793903350830078
15	3	了	4.884591102600098
15	4	。	9.519046783447266
16	1	他	5.994297027587891
16	2	损失	18.793903350830078
16	3	了	4.884591102600098
16	4	现金	14.323811531066895
16	5	。	2.752647638320923
17	1	我	6.978171348571777
17	2	拜访	14.73717975616455
17	3	了	4.358330726623535
17	4	。	7.877618312835693
18	1	我	6.978171348571777
18	2	拜访	14.73717975616455
18	3	了	4.358330726623535
18	4	邻居	14.802055358886719
18	5	。	4.55615758895874
19	1	爷爷	15.848407745361328
19	2	中止	24.08856201171875
19	3	了	3.566786766052246
19	4	。	7.769606590270996
20	1	爷爷	15.848407745361328
20	2	中止	24.08856201171875
20	3	了	3.566786766052246
20	4	谈话	20.215290069580078
20	5	。	2.024927854537964
21	1	她	9.28139591217041
21	2	提到	11.759991645812988
21	3	了	2.4618306159973145
21	4	。	8.041285514831543
22	1	她	9.28139591217041
22	2	提到	11.759991645812988
22	3	了	2.4618306159973145
22	4	女儿	15.732660293579102
22	5	。	5.720738887786865
23	1	医生	13.350086212158203
23	2	表扬	18.181137084960938
23	3	了	1.0218275785446167
23	4	。	9.01911735534668
24	1	医生	13.350086212158203
24	2	表扬	18.181137084960938
24	3	了	1.0218275785446167
24	4	孩子	12.79578685760498
24	5	。	4.310970783233643
25	1	她	9.28139591217041
25	2	介绍	12.3578519821167
25	3	了	1.048175573348999
25	4	。	8.280837059020996
26	1	她	9.28139591217041
26	2	介绍	12.3578519821167
26	3	了	1.048175573348999
26	4	工厂	17.309354782104492
26	5	。	5.151144504547119
27	1	我	6.978171348571777
27	2	洗	17.05567169189453
27	3	了	2.415992498397827
27	4	。	6.810241222381592
28	1	我	6.978171348571777
28	2	洗	17.05567169189453
28	3	了	2.415992498397827
28	4	衣服	10.56761646270752
28	5	。	4.504541397094727
29	1	学生	14.00678825378418
29	2	们	12.99694538116455
29	3	写	10.466805458068848
29	4	着	4.530643463134766
29	5	。	8.199366569519043
30	1	学生	14.00678825378418
30	2	们	12.99694538116455
30	3	写	10.466805458068848
30	4	着	4.530643463134766
30	5	作业	16.35757064819336
30	6	。	5.1585469245910645
31	1	店长	17.863056182861328
31	2	拿	21.210275650024414
31	3	着	1.1754772663116455
31	4	。	15.461076736450195
32	1	店长	17.863056182861328
32	2	拿	21.210275650024414
32	3	着	1.1754772663116455
32	4	钥匙	15.812847137451172
32	5	。	6.313085556030273
33	1	有人	16.431238174438477
33	2	听	10.787467002868652
33	3	着	4.161524772644043
33	4	。	6.807580471038818
34	1	有人	16.431238174438477
34	2	听	10.787467002868652
34	3	着	4.161524772644043
34	4	音乐	14.831497192382812
34	5	。	4.562472343444824
35	1	我	6.978171348571777
35	2	观察	13.654504776000977
35	3	着	6.8341965675354
35	4	。	7.343736171722412
36	1	我	6.978171348571777
36	2	观察	13.654504776000977
36	3	着	6.8341965675354
36	4	男人	17.49525260925293
36	5	。	5.321749687194824
37	1	学生	14.00678825378418
37	2	们	12.99694538116455
37	3	读	13.332940101623535
37	4	着	5.642874717712402
37	5	。	8.793333053588867
38	1	学生	14.00678825378418
38	2	们	12.99694538116455
38	3	读	13.332940101623535
38	4	着	5.642874717712402
38	5	书	7.558319091796875
38	6	。	6.939998626708984
39	1	教练	18.673494338989258
39	2	创办	15.372790336608887
39	3	过	7.001706600189209
39	4	。	10.001534461975098
40	1	教练	18.673494338989258
40	2	创办	15.372790336608887
40	3	过	7.001706600189209
40	4	健身房	15.875934600830078
40	5	。	4.386557102203369
41	1	我	6.978171348571777
41	2	喜欢	9.28743839263916
41	3	过	7.4022626876831055
41	4	。	5.778450012207031
42	1	我	6.978171348571777
42	2	喜欢	9.28743839263916
42	3	过	7.4022626876831055
42	4	音乐	12.93927001953125
42	5	。	4.381820201873779
43	1	她	9.28139591217041
43	2	开	12.06081485748291
43	3	过	3.6779165267944336
43	4	。	10.112208366394043
44	1	她	9.28139591217041
44	2	开	12.06081485748291
44	3	过	3.6779165267944336
44	4	车	10.500238418579102
44	5	。	6.093250274658203
45	1	他	5.994297027587891
45	2	修理	20.012733459472656
45	3	过	5.383275508880615
45	4	。	7.446081161499023
46	1	他	5.994297027587891
46	2	修理	20.012733459472656
46	3	过	5.383275508880615
46	4	电脑	11.389717102050781
46	5	。	5.812564849853516
47	1	他	5.994297027587891
47	2	讲	10.613858222961426
47	3	过	3.614706516265869
47	4	。	7.3751325607299805
48	1	他	5.994297027587891
48	2	讲	10.613858222961426
48	3	过	3.614706516265869
48	4	课	15.776216506958008
48	5	。	6.980889797210693
49	1	我	6.978171348571777
49	2	邀请	16.178319931030273
49	3	过	6.433531761169434
49	4	。	8.014816284179688
50	1	我	6.978171348571777
50	2	邀请	16.178319931030273
50	3	过	6.433531761169434
50	4	朋友	8.763134002685547
50	5	。	4.703388214111328
51	1	她	9.28139591217041
51	2	申请	14.011594772338867
51	3	过	5.261634349822998
51	4	。	7.6292033195495605
52	1	她	9.28139591217041
52	2	申请	14.011594772338867
52	3	过	5.261634349822998
52	4	奖金	14.2540922164917
