sentence_id	token_id	token	surprisal
1	1	那	7.24457066948
1	2	家	10.2051002169
1	3	我	10.883198042
1	4	采访	13.1979512049
1	5	过	4.88745967
1	6	的	2.00548167761
1	7	老板	11.7742595336
1	8	投资	10.8347588193
1	9	的	3.6139455661
1	10	饭店	15.9505699155
1	11	很	7.14139094959
1	12	受	7.88365977466
1	13	欢迎	2.00548167761
1	14	。	3.26632149078
2	1	那	7.24457066948
2	2	个	8.62863496833
2	3	我	12.4942434398
2	4	采访	13.4520891608
2	5	过	4.88745967
2	6	的	2.00548167761
2	7	老板	11.7742595336
2	8	投资	10.8347588193
2	9	的	3.6139455661
2	10	饭店	15.9505699155
2	11	很	7.14139094959
2	12	受	7.88365977466
2	13	欢迎	2.00548167761
2	14	。	3.26632149078
3	1	那	7.24457066948
3	2	幅	17.636258726
3	3	我	9.99474647764
3	4	介绍	12.7651162233
3	5	的	5.77718554905
3	6	朋友	9.92965235423
3	7	喜欢	13.6675854527
3	8	的	4.32639958127
3	9	画	14.9661116404
3	10	吸引	12.6181521877
3	11	了	3.60824494767
3	12	我	7.50289957987
3	13	。	5.22787475546
4	1	那	7.24457066948
4	2	个	8.62863496833
4	3	我	12.4942434398
4	4	介绍	13.0192540311
4	5	的	5.77718554905
4	6	朋友	9.92965235423
4	7	喜欢	13.6675854527
4	8	的	4.32639958127
4	9	画	14.9661116404
4	10	吸引	12.6181521877
4	11	了	3.60824494767
4	12	我	7.50289957987
4	13	。	5.22787475546
5	1	那	7.24457066948
5	2	件	6.5059579462
5	3	我	11.4066535453
5	4	喜欢	8.24100262672
5	5	的	4.12084180903
5	6	老师	12.1919378051
5	7	收藏	15.5754754797
5	8	的	2.08446349643
5	9	艺术品	17.7975704594
5	10	获	13.3143761882
5	11	了	8.18321132897
5	12	奖	14.9595064281
5	13	。	3.60245496141
6	1	那	7.24457066948
6	2	个	8.62863496833
6	3	我	12.4942434398
6	4	喜欢	8.49514018127
6	5	的	4.12084180903
6	6	老师	12.1919378051
6	7	收藏	15.5754754797
6	8	的	2.08446349643
6	9	艺术品	17.7975704594
6	10	获	13.3143761882
6	11	了	8.18321132897
6	12	奖	14.9595064281
6	13	。	3.60245496141
7	1	那	7.24457066948
7	2	只	9.33001875113
7	3	我	10.9989962151
7	4	认识	9.83374448112
7	5	的	2.53587796965
7	6	店长	21.4289463008
7	7	喜欢	13.3003148145
7	8	的	4.32639958127
7	9	宠物	17.490738328
7	10	生病	16.290717467
7	11	了	3.63151868779
7	12	。	4.69008139407
8	1	那	7.24457066948
8	2	个	8.62863496833
8	3	我	12.4942434398
8	4	认识	10.0878820732
8	5	的	2.53587796965
8	6	店长	21.4289463008
8	7	喜欢	13.3003148145
8	8	的	4.32639958127
8	9	宠物	17.490738328
8	10	生病	16.290717467
8	11	了	3.63151868779
8	12	。	4.69008139407
9	1	那	7.24457066948
9	2	首	9.33001875113
9	3	我	11.6142717376
9	4	见	11.4536128311
9	5	过	3.70778008083
9	6	的	2.92928534671
9	7	明星	13.8311986882
9	8	唱	14.3592330507
9	9	的	3.24535121415
9	10	歌	13.6377679086
9	11	很	10.4709509036
9	12	好听	21.7687006388
9	13	。	6.32301456471
10	1	那	7.24457066948
10	2	个	8.62863496833
10	3	我	12.4942434398
10	4	见	11.7077502593
10	5	过	3.70778008083
10	6	的	2.92928534671
10	7	明星	13.8311986882
10	8	唱	14.3592330507
10	9	的	3.24535121415
10	10	歌	13.6377679086
10	11	很	10.4709509036
10	12	好听	21.7687006388
10	13	。	6.32301456471
11	1	那	7.24457066948
11	2	所	11.0382679487
11	3	我	10.3834306103
11	4	认识	9.83374448112
11	5	的	2.53587796965
11	6	老人	12.7408401389
11	7	去	10.910980808
11	8	的	6.47202296384
11	9	学校	11.3348167562
11	10	关闭	13.8748209697
11	11	了	3.21092082762
11	12	。	4.17262736145
12	1	那	7.24457066948
12	2	个	8.62863496833
12	3	我	12.4942434398
12	4	认识	10.0878820732
12	5	的	2.53587796965
12	6	老人	12.7408401389
12	7	去	10.910980808
12	8	的	6.47202296384
12	9	学校	11.3348167562
12	10	关闭	13.8748209697
12	11	了	3.21092082762
12	12	。	4.17262736145
13	1	那	7.24457066948
13	2	件	6.5059579462
13	3	我	11.4066535453
13	4	采访	13.1979512049
13	5	过	4.88745967
13	6	的	2.00548167761
13	7	司机	14.3199635637
13	8	带	12.4954717087
13	9	的	6.71063361748
13	10	行李	17.490738328
13	11	丢	14.7676927085
13	12	了	3.8939409722
13	13	。	4.17262736145
14	1	那	7.24457066948
14	2	个	8.62863496833
14	3	我	12.4942434398
14	4	采访	13.4520891608
14	5	过	4.88745967
14	6	的	2.00548167761
14	7	司机	14.3199635637
14	8	带	12.4954717087
14	9	的	6.71063361748
14	10	行李	17.490738328
14	11	丢	14.7676927085
14	12	了	3.8939409722
14	13	。	4.17262736145
15	1	那	7.24457066948
15	2	本	7.73204467269
15	3	我	11.8151861367
15	4	喜欢	8.24100262672
15	5	的	4.12084180903
15	6	作家	12.7408401389
15	7	写	8.44545809328
15	8	的	3.09589684315
15	9	书	11.164977714
15	10	很	10.9925262785
15	11	受	7.88365977466
15	12	欢迎	2.00548167761
15	13	。	3.26632149078
16	1	那	7.24457066948
16	2	个	8.62863496833
16	3	我	12.4942434398
16	4	喜欢	8.49514018127
16	5	的	4.12084180903
16	6	作家	12.7408401389
16	7	写	8.44545809328
16	8	的	3.09589684315
16	9	书	11.164977714
16	10	很	10.9925262785
16	11	受	7.88365977466
16	12	欢迎	2.00548167761
16	13	。	3.26632149078
17	1	那	7.24457066948
17	2	辆	7.44136298925
17	3	我	10.9032801158
17	4	介绍	12.7651162233
17	5	的	5.77718554905
17	6	朋友	9.92965235423
17	7	开	12.5761496348
17	8	的	5.0557054921
17	9	车	11.915772194
17	10	坏	14.3654344429
17	11	了	3.26280128515
17	12	。	4.25611537713
18	1	那	7.24457066948
18	2	个	8.62863496833
18	3	我	12.4942434398
18	4	介绍	13.0192540311
18	5	的	5.77718554905
18	6	朋友	9.92965235423
18	7	开	12.5761496348
18	8	的	5.0557054921
18	9	车	11.915772194
18	10	坏	14.3654344429
18	11	了	3.26280128515
18	12	。	4.25611537713
19	1	那	7.24457066948
19	2	份	7.73204467269
19	3	他	9.64419901485
19	4	教	13.3439497488
19	5	的	7.51336043387
19	6	孩子	9.86756417919
19	7	做	10.5022066054
19	8	的	3.80588651553
19	9	作业	13.8835695967
19	10	获	13.9046196014
19	11	了	8.18321132897
19	12	奖	14.9595064281
19	13	。	3.60245496141
20	1	那	7.24457066948
20	2	个	8.62863496833
20	3	他	14.2385812751
20	4	教	13.3439497488
20	5	的	7.51336043387
20	6	孩子	9.86756417919
20	7	做	10.5022066054
20	8	的	3.80588651553
20	9	作业	13.8835695967
20	10	获	13.9046196014
20	11	了	8.18321132897
20	12	奖	14.9595064281
20	13	。	3.60245496141
21	1	那	7.24457066948
21	2	份	7.73204467269
21	3	我	9.95312837276
21	4	采访	13.1979512049
21	5	过	4.88745967
21	6	的	2.00548167761
21	7	老板	11.7742595336
21	8	制定	13.047067108
21	9	的	3.45511393947
21	10	合同	12.98266291
21	11	到期	18.9653249114
21	12	了	7.75365762696
21	13	。	4.17262736145
22	1	那	7.24457066948
22	2	个	8.62863496833
22	3	我	12.4942434398
22	4	采访	13.4520891608
22	5	过	4.88745967
22	6	的	2.00548167761
22	7	老板	11.7742595336
22	8	制定	13.047067108
22	9	的	3.45511393947
22	10	合同	12.98266291
22	11	到期	18.9653249114
22	12	了	7.75365762696
22	13	。	4.17262736145
23	1	那	7.24457066948
23	2	间	13.1651628996
23	3	我	10.3344376406
23	4	尊敬	16.5618480485
23	5	的	2.14915450096
23	6	朋友	9.92965235423
23	7	开	12.5761496348
23	8	的	5.0557054921
23	9	工厂	12.98266291
23	10	倒闭	8.05392821617
23	11	了	5.05392831202
23	12	。	4.17262736145
24	1	那	7.24457066948
24	2	个	8.62863496833
24	3	我	12.4942434398
24	4	尊敬	16.815985928
24	5	的	2.14915450096
24	6	朋友	9.92965235423
24	7	开	12.5761496348
24	8	的	5.0557054921
24	9	工厂	12.98266291
24	10	倒闭	8.05392821617
24	11	了	5.05392831202
24	12	。	4.17262736145
25	1	那	7.24457066948
25	2	张	7.73204467269
25	3	我	10.3474433752
25	4	教	14.2460056783
25	5	的	7.51336043387
25	6	孩子	9.86756417919
25	7	照	16.5266954128
25	8	的	5.69244669146
25	9	照片	11.915772194
25	10	丢	15.0774601848
25	11	了	3.8939409722
25	12	。	4.17262736145
26	1	那	7.24457066948
26	2	个	8.62863496833
26	3	我	12.4942434398
26	4	教	14.5001441777
26	5	的	7.51336043387
26	6	孩子	9.86756417919
26	7	照	16.5266954128
26	8	的	5.69244669146
26	9	照片	11.915772194
26	10	丢	15.0774601848
26	11	了	3.8939409722
26	12	。	4.17262736145
27	1	那	7.24457066948
27	2	台	13.5749282137
27	3	我们	10.2220428806
27	4	欣赏	15.1121124122
27	5	的	4.34139792145
27	6	老师	12.1919378051
27	7	用	7.6760970468
27	8	的	4.72850241805
27	9	手机	12.4473538896
27	10	很	10.250245461
27	11	好用	19.6090808173
27	12	。	6.51464967892
28	1	那	7.24457066948
28	2	个	8.62863496833
28	3	我们	12.4942434398
28	4	欣赏	15.1121124122
28	5	的	4.34139792145
28	6	老师	12.1919378051
28	7	用	7.6760970468
28	8	的	4.72850241805
28	9	手机	12.4473538896
28	10	很	10.250245461
28	11	好用	19.6090808173
28	12	。	6.51464967892
29	1	那	7.24457066948
29	2	朵	22.4761455474
29	3	我	9.96749026993
29	4	关心	13.1979512049
29	5	的	2.63587405986
29	6	邻居	12.7428570936
29	7	种	12.4517002106
29	8	的	8.24261719333
29	9	花	14.1265325812
29	10	很	10.9297516927
29	11	好看	17.8741879641
29	12	。	3.30959112931
30	1	那	7.24457066948
30	2	个	8.62863496833
30	3	我	12.4942434398
30	4	关心	13.4520891608
30	5	的	2.63587405986
30	6	邻居	12.7428570936
30	7	种	12.4517002106
30	8	的	8.24261719333
30	9	花	14.1265325812
30	10	很	10.9297516927
30	11	好看	17.8741879641
30	12	。	3.30959112931
31	1	那	7.24457066948
31	2	台	13.5749282137
31	3	我	10.003483882
31	4	尊敬	16.5618480485
31	5	的	2.14915450096
31	6	科学家	13.2733456593
31	7	做	10.9066137171
31	8	的	3.80588651553
31	9	电视	12.2942952444
31	10	坏	14.6014720204
31	11	了	3.26280128515
31	12	。	4.25611537713
32	1	那	7.24457066948
32	2	个	8.62863496833
32	3	我	12.4942434398
32	4	尊敬	16.815985928
32	5	的	2.14915450096
32	6	科学家	13.2733456593
32	7	做	10.9066137171
32	8	的	3.80588651553
32	9	电视	12.2942952444
32	10	坏	14.6014720204
32	11	了	3.26280128515
32	12	。	4.25611537713
33	1	那	7.24457066948
33	2	栋	8.58523213677
33	3	他	7.9274966647
33	4	认识	11.5996117128
33	5	的	4.61789543888
33	6	男人	11.5808291254
33	7	买	12.193412792
33	8	的	4.34009268099
33	9	房子	4.12084180903
33	10	起火	16.191964536
33	11	了	8.34590649358
33	12	。	4.17262736145
34	1	那	7.24457066948
34	2	个	8.62863496833
34	3	他	14.2385812751
34	4	认识	11.5996117128
34	5	的	4.61789543888
34	6	男人	11.5808291254
34	7	买	12.193412792
34	8	的	4.34009268099
34	9	房子	4.12084180903
34	10	起火	16.191964536
34	11	了	8.34590649358
34	12	。	4.17262736145
35	1	那	7.24457066948
35	2	条	7.73204467269
35	3	我	10.1520688357
35	4	欣赏	15.2345838004
35	5	的	4.34139792145
35	6	朋友	9.92965235423
35	7	给	7.03808367918
35	8	的	7.85054191272
35	9	建议	10.8232832748
35	10	很	10.9525733169
35	11	真诚	12.1010533623
35	12	。	6.69653041078
36	1	那	7.24457066948
36	2	个	8.62863496833
36	3	我	12.4942434398
36	4	欣赏	15.4887225831
36	5	的	4.34139792145
36	6	朋友	9.92965235423
36	7	给	7.03808367918
