sentence_id	token_id	token	surprisal
1	1	那	9.873441696166992
1	2	位	7.394623279571533
1	3	教授	7.220829010009766
1	4	写	8.660386085510254
1	5	了	2.1856672763824463
1	6	精彩	14.061604499816895
1	7	的	0.16210193932056427
1	8	书	6.819190502166748
1	9	的	13.866372108459473
1	10	内容	9.089296340942383
1	11	。	2.5086185932159424
2	1	那	9.873441696166992
2	2	位	7.394623279571533
2	3	教授	7.220829010009766
2	4	打	12.50274658203125
2	5	了	1.8654061555862427
2	6	精彩	13.925298690795898
2	7	的	0.13072121143341064
2	8	书	11.886347770690918
2	9	的	13.388501167297363
2	10	内容	11.521324157714844
2	11	。	3.99914288520813
3	1	弟弟	18.16460418701172
3	2	启动	19.930526733398438
3	3	了	3.933917760848999
3	4	昂贵	12.987762451171875
3	5	的	0.44416171312332153
3	6	车	9.505769729614258
3	7	。	4.410321235656738
4	1	弟弟	18.16460418701172
4	2	认识	18.62335968017578
4	3	了	5.053560256958008
4	4	昂贵	14.479039192199707
4	5	的	0.16089576482772827
4	6	车	7.564816474914551
4	7	。	5.726906776428223
5	1	他	4.5236897468566895
5	2	拿	16.56277847290039
5	3	了	2.0602829456329346
5	4	桌子	13.940611839294434
5	5	上	6.0946879386901855
5	6	的	4.20728874206543
5	7	好看	17.64404296875
5	8	的	3.7505900859832764
5	9	筷子	14.72419261932373
5	10	。	6.143820762634277
6	1	他	4.5236897468566895
6	2	听	13.0455961227417
6	3	了	0.7623087763786316
6	4	桌子	14.940438270568848
6	5	上	4.98579740524292
6	6	的	2.0316429138183594
6	7	好看	19.344112396240234
6	8	的	2.844507932662964
6	9	筷子	15.22291088104248
6	10	。	3.9712812900543213
7	1	她	7.657495975494385
7	2	终于	11.520100593566895
7	3	实现	4.787520408630371
7	4	了	0.03623315319418907
7	5	重要	17.373159408569336
7	6	的	0.8303879499435425
7	7	理想	7.082061290740967
7	8	。	1.838773250579834
8	1	她	7.657495975494385
8	2	终于	11.520100593566895
8	3	购买	15.255125045776367
8	4	了	0.07322206348180771
8	5	重要	20.287416458129883
8	6	的	0.374785840511322
8	7	理想	16.00087547302246
8	8	。	8.320477485656738
9	1	我	7.963864326477051
9	2	修理	17.504356384277344
9	3	了	1.0377261638641357
9	4	这个	5.0368475914001465
9	5	新	6.330314636230469
9	6	的	1.8743942975997925
9	7	电脑	6.378524303436279
9	8	。	1.5926475524902344
10	1	我	7.963864326477051
10	2	阅读	15.424092292785645
10	3	了	1.5741475820541382
10	4	这个	6.994364261627197
10	5	新	6.0736870765686035
10	6	的	2.3319199085235596
10	7	电脑	11.094574928283691
10	8	。	3.271901845932007
11	1	我	7.963864326477051
11	2	邀请	16.02541732788086
11	3	过	9.386975288391113
11	4	我	6.0172271728515625
11	5	的	3.2682223320007324
11	6	优秀	12.848403930664062
11	7	的	7.742650508880615
11	8	朋友	3.574707269668579
11	9	。	3.353938579559326
12	1	我	7.963864326477051
12	2	打开	16.839452743530273
12	3	过	10.225327491760254
12	4	我	7.23313045501709
12	5	的	1.414829969406128
12	6	优秀	17.797725677490234
12	7	的	6.189120292663574
12	8	朋友	7.445721626281738
12	9	。	1.2105153799057007
13	1	记者	8.239975929260254
13	2	采访	7.785833835601807
13	3	了	1.3304505348205566
13	4	有名	15.663549423217773
13	5	的	0.020433368161320686
13	6	艺术家	13.190936088562012
13	7	。	4.337972164154053
14	1	记者	8.239975929260254
14	2	制作	19.581737518310547
14	3	了	2.8174145221710205
14	4	有名	15.529935836791992
14	5	的	0.06769300252199173
14	6	艺术家	17.666872024536133
14	7	。	8.255966186523438
15	1	他	4.5236897468566895
15	2	参与	16.19709587097168
15	3	了	1.342764139175415
15	4	危险	18.568655014038086
15	5	的	3.506312847137451
15	6	战争	11.998287200927734
15	7	。	4.060871124267578
16	1	他	4.5236897468566895
16	2	建造	18.774099349975586
16	3	了	5.0102152824401855
16	4	危险	18.407962799072266
16	5	的	3.3634250164031982
16	6	战争	15.336179733276367
16	7	。	8.595733642578125
17	1	她	7.657495975494385
17	2	批评	12.00682258605957
17	3	了	3.9045186042785645
17	4	淘气	23.29553985595703
17	5	的	0.48241209983825684
17	6	儿子	12.826278686523438
17	7	。	4.344199180603027
18	1	她	7.657495975494385
18	2	改正	22.389467239379883
18	3	了	4.308436870574951
18	4	淘气	21.80191993713379
18	5	的	1.4721931219100952
18	6	儿子	9.286060333251953
18	7	。	2.2656664848327637
19	1	我	7.963864326477051
19	2	结束	16.2003116607666
19	3	了	0.44045862555503845
19	4	很	9.09538745880127
19	5	长	1.2528045177459717
19	6	的	6.4742326736450195
19	7	谈话	11.700919151306152
19	8	。	1.5116854906082153
20	1	我	7.963864326477051
20	2	表扬	18.440242767333984
20	3	了	0.1197480708360672
20	4	很	11.928910255432129
20	5	长	4.998732089996338
20	6	的	7.155287265777588
20	7	谈话	14.86252212524414
20	8	。	1.9284555912017822
21	1	他	4.5236897468566895
21	2	买	14.936920166015625
21	3	了	1.0456745624542236
21	4	这些	10.75070858001709
21	5	红色	12.848407745361328
21	6	的	0.6901646852493286
21	7	笔	13.61101245880127
21	8	。	3.474781036376953
22	1	他	4.5236897468566895
22	2	种	18.157676696777344
22	3	了	6.74039888381958
22	4	这些	9.179436683654785
22	5	红色	13.536394119262695
22	6	的	0.4142358899116516
22	7	笔	14.825432777404785
22	8	。	3.9744694232940674
23	1	他	4.5236897468566895
23	2	提出	9.415934562683105
23	3	了	4.467825889587402
23	4	很多	11.675230979919434
23	5	重要	8.799647331237793
23	6	的	1.131833553314209
23	7	问题	7.147625923156738
23	8	。	2.2258503437042236
24	1	他	4.5236897468566895
24	2	申请	18.455150604248047
24	3	了	5.038050651550293
24	4	很多	10.710925102233887
24	5	重要	9.775105476379395
24	6	的	0.42348513007164
24	7	问题	10.892134666442871
24	8	。	2.639556646347046
25	1	这	6.30433988571167
25	2	款	14.767306327819824
25	3	药	14.511985778808594
25	4	治疗	10.599023818969727
25	5	了	7.390470027923584
25	6	他	13.332950592041016
25	7	的	2.122990131378174
25	8	严重	10.4057035446167
25	9	的	9.285704612731934
25	10	疾病	3.247735023498535
25	11	。	2.7390708923339844
26	1	这	6.30433988571167
26	2	款	14.767306327819824
26	3	药	14.511985778808594
26	4	缓解	18.92960548400879
26	5	了	0.016614826396107674
26	6	他	11.11466121673584
26	7	的	1.1874641180038452
26	8	严重	7.733177185058594
26	9	的	6.802128314971924
26	10	疾病	5.518660068511963
26	11	。	2.7413382530212402
27	1	我	7.963864326477051
27	2	看	7.318881034851074
27	3	着	7.241918087005615
27	4	奶奶	14.235623359680176
27	5	的	4.85630464553833
27	6	亲切	12.751190185546875
27	7	的	9.60427474975586
27	8	面容	13.553462982177734
27	9	。	2.3124380111694336
28	1	我	7.963864326477051
28	2	听	9.085068702697754
28	3	着	8.748635292053223
28	4	奶奶	14.279609680175781
28	5	的	4.537590026855469
28	6	亲切	10.924118995666504
28	7	的	10.379608154296875
28	8	面容	15.203527450561523
28	9	。	2.7452590465545654
29	1	学者	15.483504295349121
29	2	发现	8.72098445892334
29	3	了	7.752120018005371
29	4	这个	9.141483306884766
29	5	有趣	10.737102508544922
29	6	的	0.25087985396385193
29	7	规律	12.840606689453125
29	8	。	2.2131333351135254
30	1	学者	15.483504295349121
30	2	发明	10.981107711791992
30	3	了	4.648952484130859
