sentence_id	token_id	token	surprisal
1	1	那	10.5927
1	2	位	5.87243
1	3	教授	7.28893
1	4	写	11.1522
1	5	了	1.23967
1	6	令	11.7405
1	7	人	0.301069
1	8	感动	6.41254
1	9	的	0.0533183
1	10	书	8.68983
1	11	的	5.08199
1	12	内容	7.37839
1	13	。	7.34867
2	1	那	10.5927
2	2	位	5.87243
2	3	教授	7.28893
2	4	打	13.3719
2	5	了	1.66231
2	6	令	11.5288
2	7	人	0.159873
2	8	感动	6.24056
2	9	的	0.0532655
2	10	书	8.81343
2	11	的	7.66831
2	12	内容	9.58628
2	13	。	6.08835
3	1	弟弟	19.4423
3	2	启动	19.3705
3	3	了	2.20839
3	4	配备	17.5826
3	5	音响	13.6202
3	6	的	1.41337
3	7	车	10.9114
3	8	。	3.1158
4	1	弟弟	19.4423
4	2	认识	15.4307
4	3	了	3.92513
4	4	配备	19.1854
4	5	音响	15.4097
4	6	的	1.1885
4	7	车	11.0726
4	8	。	3.95992
5	1	他	4.12783
5	2	拿	15.7295
5	3	了	2.2226
5	4	桌子	13.4919
5	5	上	12.561
5	6	的	5.21303
5	7	吸引	15.7971
5	8	他	6.58637
5	9	目光	15.7049
5	10	的	9.56607
5	11	筷子	17.7139
5	12	。	2.79039
6	1	他	4.12783
6	2	听	14.7519
6	3	了	1.26445
6	4	桌子	16.378
6	5	上	13.5501
6	6	的	2.45323
6	7	吸引	16.4241
6	8	他	6.24454
6	9	目光	14.4204
6	10	的	8.2737
6	11	筷子	19.3105
6	12	。	0.472561
7	1	她	7.06943
7	2	终于	14.0456
7	3	实现	10.1213
7	4	了	0.491235
7	5	激励	16.0516
7	6	她	7.20582
7	7	学习	9.0885
7	8	的	3.30166
7	9	理想	7.01859
7	10	。	2.54578
8	1	她	7.06943
8	2	终于	14.0456
8	3	购买	14.2169
8	4	了	0.479659
8	5	激励	20.4317
8	6	她	6.1572
8	7	学习	8.62115
8	8	的	1.46654
8	9	理想	13.1364
8	10	。	2.76523
9	1	我	7.89858
9	2	修理	20.6808
9	3	了	2.18236
9	4	这个	7.65281
9	5	计算	15.6322
9	6	公式	13.5232
9	7	的	7.61866
9	8	电脑	9.98839
9	9	。	2.46282
10	1	我	7.89858
10	2	阅读	17.1506
10	3	了	1.92079
10	4	这个	6.08072
10	5	计算	13.6249
10	6	公式	15.6042
10	7	的	6.50249
10	8	电脑	11.3605
10	9	。	2.85957
11	1	我	7.89858
11	2	邀请	14.8274
11	3	过	8.20185
11	4	我	4.89226
11	5	的	2.38751
11	6	认识	17.033
11	7	明星	18.7599
11	8	的	4.636
11	9	朋友	4.07796
11	10	。	2.22273
12	1	我	7.89858
12	2	打开	16.7411
12	3	过	5.46882
12	4	我	5.39894
12	5	的	1.07983
12	6	认识	15.6593
12	7	明星	18.6112
12	8	的	2.61708
12	9	朋友	8.51023
12	10	。	8.73367
13	1	记者	8.41261
13	2	采访	7.25276
13	3	了	0.510523
13	4	获得	11.9227
13	5	大奖	8.59538
13	6	的	0.0440217
