sentence_id	token_id	token	surprisal
1	1	我	6.0542
1	2	很	6.60809
1	3	喜欢	3.012
1	4	一	6.34873
1	5	位	4.26029
1	6	明星	12.5725
1	7	。	2.13449
2	1	我	6.0542
2	2	很	6.60809
2	3	喜欢	3.012
2	4	一	6.34873
2	5	首	10.2168
2	6	明星	15.9547
2	7	。	2.49103
3	1	我	6.0542
3	2	很	6.60809
3	3	喜欢	3.012
3	4	一	6.34873
3	5	首	10.2168
3	6	歌曲	12.915
3	7	。	2.50051
4	1	我	6.0542
4	2	很	6.60809
4	3	喜欢	3.012
4	4	一	6.34873
4	5	位	4.26029
4	6	歌曲	14.4821
4	7	。	2.65387
5	1	她	8.71203
5	2	开车	13.5328
5	3	去	6.2328
5	4	了	3.81994
5	5	一	3.43019
5	6	家	4.38997
5	7	店	9.87391
5	8	。	0.677708
6	1	她	8.71203
6	2	开车	13.5328
6	3	去	6.2328
6	4	了	3.81994
6	5	一	3.43019
6	6	座	5.52531
6	7	店	10.8293
6	8	。	1.06834
7	1	她	8.71203
7	2	开车	13.5328
7	3	去	6.2328
7	4	了	3.81994
7	5	一	3.43019
7	6	座	5.52531
7	7	山	11.3254
7	8	。	1.02984
8	1	她	8.71203
8	2	开车	13.5328
8	3	去	6.2328
8	4	了	3.81994
8	5	一	3.43019
8	6	家	4.38997
8	7	山	12.1358
8	8	。	0.901185
9	1	他	6.15281
9	2	有	7.45602
9	3	一	2.98356
9	4	双	11.6097
9	5	手套	13.839
9	6	。	3.69274
10	1	他	6.15281
10	2	有	7.45602
10	3	一	2.98356
10	4	枚	10.6304
10	5	手套	13.2884
10	6	。	4.31037
11	1	他	6.15281
11	2	有	7.45602
11	3	一	2.98356
11	4	枚	10.6304
11	5	纽扣	14.9127
11	6	。	7.27775
12	1	他	6.15281
12	2	有	7.45602
12	3	一	2.98356
12	4	双	11.6097
12	5	纽扣	17.8546
12	6	。	6.43618
13	1	店长	19.3738
13	2	拿	16.2578
13	3	着	1.6856
13	4	一	4.29977
13	5	只	7.28335
13	6	兔子	18.7014
13	7	。	5.33931
14	1	店长	19.3738
14	2	拿	16.2578
14	3	着	1.6856
14	4	一	4.29977
14	5	根	7.75858
14	6	兔子	19.0819
14	7	。	4.80412
15	1	店长	19.3738
15	2	拿	16.2578
15	3	着	1.6856
15	4	一	4.29977
15	5	根	7.75858
15	6	萝卜	15.15
15	7	。	3.79717
16	1	店长	19.3738
16	2	拿	16.2578
16	3	着	1.6856
16	4	一	4.29977
16	5	只	7.28335
16	6	萝卜	19.214
16	7	。	4.69021
17	1	他	6.15281
17	2	认识	11.9949
17	3	了	3.50532
17	4	一	3.6251
17	5	名	5.3371
17	6	男孩	10.6758
17	7	。	3.96623
18	1	他	6.15281
18	2	认识	11.9949
18	3	了	3.50532
18	4	一	3.6251
18	5	本	9.19306
18	6	男孩	12.6675
18	7	。	4.50434
19	1	他	6.15281
19	2	认识	11.9949
19	3	了	3.50532
19	4	一	3.6251
19	5	本	9.19306
19	6	小说	14.6895
19	7	。	2.92484
20	1	他	6.15281
20	2	认识	11.9949
20	3	了	3.50532
20	4	一	3.6251
20	5	名	5.3371
20	6	小说	16.5078
20	7	。	3.75365
21	1	男人	16.7445
21	2	在	5.0411
21	3	扫描	19.515
21	4	一	5.91667
21	5	篇	9.97346
21	6	文章	3.64299
21	7	。	2.78527
22	1	男人	16.7445
22	2	在	5.0411
22	3	扫描	19.515
22	4	一	5.91667
22	5	张	6.41412
22	6	文章	16.7908
22	7	。	3.19616
23	1	男人	16.7445
23	2	在	5.0411
23	3	扫描	19.515
23	4	一	5.91667
23	5	张	6.41412
23	6	图片	7.38539
23	7	。	3.70539
24	1	男人	16.7445
24	2	在	5.0411
24	3	扫描	19.515
24	4	一	5.91667
24	5	篇	9.97346
24	6	图片	7.9566
24	7	。	3.73491
25	1	演员	16.6743
25	2	在	5.10175
25	3	看	11.9504
25	4	一	5.6522
25	5	张	6.96558
25	6	照片	7.76585
25	7	。	12.7393
26	1	演员	16.6743
26	2	在	5.10175
26	3	看	11.9504
26	4	一	5.6522
26	5	位	3.16398
26	6	照片	10.9492
26	7	。	13.956
27	1	演员	16.6743
27	2	在	5.10175
27	3	看	11.9504
27	4	一	5.6522
27	5	位	3.16398
27	6	老师	10.5706
27	7	。	14.7405
28	1	演员	16.6743
28	2	在	5.10175
28	3	看	11.9504
28	4	一	5.6522
28	5	张	6.96558
28	6	老师	10.4095
28	7	。	13.5308
29	1	他	6.15281
29	2	在	4.79368
29	3	修理	15.1885
29	4	一	5.21715
29	5	辆	5.7532
29	6	汽车	5.52253
29	7	。	2.23293
30	1	他	6.15281
30	2	在	4.79368
30	3	修理	15.1885
30	4	一	5.21715
30	5	套	5.73401
30	6	汽车	7.99775
30	7	。	2.74761
31	1	他	6.15281
31	2	在	4.79368
31	3	修理	15.1885
31	4	一	5.21715
31	5	套	5.73401
31	6	系统	13.9569
31	7	。	3.30975
32	1	他	6.15281
32	2	在	4.79368
32	3	修理	15.1885
32	4	一	5.21715
32	5	辆	5.7532
32	6	系统	16.6177
32	7	。	4.31344
33	1	学生	13.1673
33	2	们	20.5842
33	3	在	6.89175
33	4	写	14.3958
33	5	一	5.14421
33	6	部	4.13437
33	7	电影	7.2392
33	8	。	16.9745
34	1	学生	13.1673
34	2	们	20.5842
34	3	在	6.89175
34	4	写	14.3958
34	5	一	5.14421
34	6	首	4.98309
34	7	电影	8.44197
34	8	。	16.5344
35	1	学生	13.1673
35	2	们	20.5842
35	3	在	6.89175
35	4	写	14.3958
35	5	一	5.14421
35	6	首	4.98309
35	7	歌曲	8.33757
35	8	。	15.8821
36	1	学生	13.1673
36	2	们	20.5842
36	3	在	6.89175
36	4	写	14.3958
36	5	一	5.14421
36	6	部	4.13437
36	7	歌曲	7.46857
36	8	。	16.2354
37	1	我们	6.95907
37	2	在	5.24034
37	3	看	6.49912
37	4	一	4.74181
37	5	场	6.51043
37	6	表演	10.1208
37	7	。	2.97433
38	1	我们	6.95907
38	2	在	5.24034
38	3	看	6.49912
38	4	一	4.74181
38	5	块	10.175
38	6	表演	10.9116
38	7	。	3.32669
39	1	我们	6.95907
39	2	在	5.24034
39	3	看	6.49912
39	4	一	4.74181
39	5	块	10.175
39	6	地面	15.5831
39	7	。	6.95165
40	1	我们	6.95907
40	2	在	5.24034
40	3	看	6.49912
40	4	一	4.74181
40	5	场	6.51043
40	6	地面	14.0721
40	7	。	8.11732
41	1	他	6.15281
41	2	最	10.039
41	3	喜欢	4.65434
41	4	一	7.27135
41	5	道	10.8794
41	6	菜	9.87637
41	7	。	1.01713
42	1	他	6.15281
42	2	最	10.039
42	3	喜欢	4.65434
42	4	一	7.27135
42	5	瓶	12.1398
42	6	菜	8.49854
42	7	。	1.14581
43	1	他	6.15281
43	2	最	10.039
43	3	喜欢	4.65434
43	4	一	7.27135
43	5	瓶	12.1398
43	6	油	11.3902
43	7	。	2.06377
44	1	他	6.15281
44	2	最	10.039
44	3	喜欢	4.65434
44	4	一	7.27135
44	5	道	10.8794
44	6	油	15.0717
44	7	。	1.86763
45	1	她	8.71203
45	2	拿	11.6184
45	3	了	4.08125
45	4	一	2.33238
45	5	份	8.01793
45	6	饭	11.4534
45	7	。	6.19154
46	1	她	8.71203
46	2	拿	11.6184
46	3	了	4.08125
46	4	一	2.33238
46	5	卷	15.4745
46	6	饭	9.96155
46	7	。	3.06002
47	1	她	8.71203
47	2	拿	11.6184
47	3	了	4.08125
47	4	一	2.33238
47	5	卷	15.4745
47	6	纸	16.7031
47	7	。	7.53109
48	1	她	8.71203
48	2	拿	11.6184
48	3	了	4.08125
48	4	一	2.33238
48	5	份	8.01793
48	6	纸	16.6958
48	7	。	9.57599
49	1	学生	13.1673
49	2	们	20.5842
49	3	在	6.89175
49	4	写	14.3958
49	5	一	5.14421
49	6	部	4.13437
49	7	戏剧	12.2791
49	8	。	17.4999
50	1	学生	13.1673
50	2	们	20.5842
50	3	在	6.89175
50	4	写	14.3958
50	5	一	5.14421
50	6	篇	3.45206
50	7	戏剧	17.0557
50	8	。	17.7651
51	1	学生	13.1673
51	2	们	20.5842
51	3	在	6.89175
51	4	写	14.3958
51	5	一	5.14421
51	6	篇	3.45206
51	7	文章	1.57419
51	8	。	14.6313
52	1	学生	13.1673
52	2	们	20.5842
52	3	在	6.89175
52	4	写	14.3958
52	5	一	5.14421
52	6	部	4.13437
52	7	文章	5.91133
52	8	。	15.3518
53	1	这	6.33297
53	2	是	1.78418
53	3	一	2.88535
53	4	辆	10.5249
53	5	火车	13.3636
53	6	。	5.79072
54	1	这	6.33297
54	2	是	1.78418
54	3	一	2.88535
54	4	扇	13.1471
54	5	火车	13.8248
54	6	。	6.57218
55	1	这	6.33297
55	2	是	1.78418
55	3	一	2.88535
55	4	扇	13.1471
55	5	窗户	14.1091
55	6	。	4.32054
56	1	这	6.33297
56	2	是	1.78418
56	3	一	2.88535
56	4	辆	10.5249
56	5	窗户	12.9541
56	6	。	3.52836
57	1	老师	15.0866
57	2	在	5.60026
57	3	责备	13.4539
57	4	三	15.2361
57	5	名	6.89385
57	6	学生	3.49017
57	7	。	3.56572
58	1	老师	15.0866
58	2	在	5.60026
58	3	责备	13.4539
58	4	三	15.2361
58	5	只	5.83008
58	6	学生	11.5261
58	7	。	4.29643
59	1	老师	15.0866
59	2	在	5.60026
59	3	责备	13.4539
59	4	三	15.2361
59	5	只	5.83008
59	6	宠物	14.7675
59	7	。	8.36758
60	1	老师	15.0866
60	2	在	5.60026
60	3	责备	13.4539
60	4	三	15.2361
60	5	名	6.89385
60	6	宠物	17.1903
60	7	。	8.5216
61	1	她	8.71203
61	2	买	14.0178
61	3	过	4.01019
61	4	两	7.94203
61	5	杯	8.33996
61	6	咖啡	3.9406
61	7	。	3.78484
62	1	她	8.71203
62	2	买	14.0178
62	3	过	4.01019
62	4	两	7.94203
62	5	个	1.81802
62	6	咖啡	6.81114
62	7	。	3.0863
63	1	她	8.71203
63	2	买	14.0178
63	3	过	4.01019
63	4	两	7.94203
63	5	个	1.81802
63	6	杯子	17.5071
63	7	。	5.70312
64	1	她	8.71203
64	2	买	14.0178
64	3	过	4.01019
64	4	两	7.94203
64	5	杯	8.33996
64	6	杯子	17.1451
64	7	。	7.78437
65	1	孩子	13.5484
65	2	在	5.03681
65	3	卖	10.9828
65	4	五	11.1376
65	5	台	5.67531
65	6	桌子	11.8128
65	7	。	6.67384
66	1	孩子	13.5484
66	2	在	5.03681
66	3	卖	10.9828
66	4	五	11.1376
66	5	块	6.60635
66	6	桌子	11.9662
66	7	。	8.22759
67	1	孩子	13.5484
67	2	在	5.03681
67	3	卖	10.9828
67	4	五	11.1376
67	5	块	6.60635
67	6	蛋糕	14.3465
67	7	。	6.2245
