sentence_id	token_id	token	surprisal
1	1	他	6.15281
1	2	喜欢	10.3653
1	3	那	9.33378
1	4	家	7.76704
1	5	亲切	19.7281
1	6	的	3.72883
1	7	老板	12.0726
1	8	投资	17.8101
1	9	的	10.4948
1	10	饭店	19.3503
1	11	。	1.58392
2	1	他	6.15281
2	2	喜欢	10.3653
2	3	那	9.33378
2	4	个	5.07369
2	5	亲切	18.967
2	6	的	4.3228
2	7	老板	14.8037
2	8	投资	19.8584
2	9	的	5.95012
2	10	饭店	17.0977
2	11	。	2.40047
3	1	她	8.71203
3	2	在	4.73893
3	3	看	8.45577
3	4	那	7.38496
3	5	幅	7.78374
3	6	聪明	10.1291
3	7	的	2.64162
3	8	朋友	12.8194
3	9	喜欢	19.8897
3	10	的	4.33475
3	11	画	15.6932
3	12	。	2.60516
4	1	她	8.71203
4	2	在	4.73893
4	3	看	8.45577
4	4	那	7.38496
4	5	个	6.17895
4	6	聪明	13.8551
4	7	的	1.15288
4	8	朋友	11.9447
4	9	喜欢	19.7723
4	10	的	4.31738
4	11	画	15.0514
4	12	。	2.77412
5	1	我	6.0542
5	2	欣赏	14.4595
5	3	那	7.27602
5	4	件	3.74852
5	5	细心	13.0699
5	6	的	0.465996
5	7	老师	11.6287
5	8	收藏	21.6899
5	9	的	3.51426
5	10	艺术品	18.9914
5	11	。	1.90559
6	1	我	6.0542
6	2	欣赏	14.4595
6	3	那	7.27602
6	4	个	7.04332
6	5	细心	12.3739
6	6	的	0.64293
6	7	老师	9.93362
6	8	收藏	21.01
6	9	的	4.5268
6	10	艺术品	17.736
6	11	。	0.903598
7	1	他	6.15281
7	2	打	11.0128
7	3	了	2.59783
7	4	那	8.32882
7	5	只	10.5593
7	6	负责	14.4239
7	7	的	0.982659
7	8	店长	21.4653
7	9	喜欢	15.4712
7	10	的	5.67552
7	11	宠物	15.1514
7	12	。	4.76106
8	1	他	6.15281
8	2	打	11.0128
8	3	了	2.59783
8	4	那	8.32882
8	5	个	2.9571
8	6	负责	13.8584
8	7	的	0.263698
8	8	店长	21.8897
8	9	喜欢	15.7158
8	10	的	5.00047
8	11	宠物	15.3946
8	12	。	4.63415
9	1	我	6.0542
9	2	在	5.79918
9	3	思念	22.6924
9	4	那	8.96088
9	5	首	11.1617
9	6	有名	15.0241
9	7	的	0.0815283
9	8	明星	12.9678
9	9	唱	20.6715
9	10	的	8.32162
9	11	歌	10.7803
9	12	。	0.988523
10	1	我	6.0542
10	2	在	5.79918
10	3	思念	22.6924
10	4	那	8.96088
10	5	个	6.76895
10	6	有名	14.3592
10	7	的	0.0461701
10	8	明星	13.1932
10	9	唱	21.2202
10	10	的	8.1648
10	11	歌	11.3463
10	12	。	1.30979
11	1	她	8.71203
11	2	拜访	12.3443
11	3	了	4.27645
11	4	那	7.90428
11	5	所	8.50918
11	6	富有	14.1492
11	7	的	4.13709
11	8	老人	10.7436
11	9	去	15.9694
11	10	的	13.5364
11	11	学校	12.3526
11	12	。	1.67074
12	1	她	8.71203
12	2	拜访	12.3443
12	3	了	4.27645
12	4	那	7.90428
12	5	个	5.68469
12	6	富有	14.8699
12	7	的	4.60043
12	8	老人	10.3663
12	9	去	14.9976
12	10	的	13.0389
12	11	学校	12.2429
12	12	。	1.79479
13	1	他	6.15281
13	2	检查	16.1615
13	3	了	2.33465
13	4	那	8.81844
13	5	件	3.91635
13	6	紧张	14.751
13	7	的	2.20671
13	8	司机	13.6142
13	9	带	19.6973
13	10	的	12.338
13	11	行李	16.5579
13	12	。	3.34748
14	1	他	6.15281
14	2	检查	16.1615
14	3	了	2.33465
14	4	那	8.81844
14	5	个	5.63162
14	6	紧张	13.1875
14	7	的	2.70626
14	8	司机	12.5986
14	9	带	18.9988
14	10	的	5.13928
14	11	行李	15.7928
14	12	。	2.2172
15	1	我	6.0542
15	2	听说	9.88517
15	3	过	1.3142
15	4	那	6.37135
