sentence_id	token_id	token	surprisal
1	1	随着	9.27442432564
1	2	政府	10.6791850812
1	3	发展	12.3381752055
1	4	，	3.5790421299
1	5	经济	7.96214319288
1	6	变	13.9033539464
1	7	好	8.33933206447
1	8	了	4.37383654135
1	9	。	2.82746332873
2	1	随着	9.27442432564
2	2	政府	10.6791850812
2	3	发展	12.3381752055
2	4	。	4.32889434862
3	1	随着	9.27442432564
3	2	互联网	14.9652230124
3	3	的	3.39016365926
3	4	出现	13.5463525718
3	5	，	0.779954153988
3	6	生活	11.7199644626
3	7	质量	8.04129897152
3	8	提高	12.7215275227
3	9	了	3.99577114377
3	10	。	4.23881877466
4	1	随着	9.27442432564
4	2	互联网	14.9652230124
4	3	的	3.39016365926
4	4	出现	13.5463525718
4	5	。	5.43939177956
5	1	随着	9.27442432564
5	2	一阵	21.0289704269
5	3	铃声	18.5558607167
5	4	，	4.0539280724
5	5	火车	14.4340826606
5	6	开	12.1326412693
5	7	了	2.49234315486
5	8	。	4.58604273342
6	1	随着	9.27442432564
6	2	一阵	21.0289704269
6	3	铃声	18.5558607167
6	4	。	6.1404708152
7	1	随着	9.27442432564
7	2	他	9.90556115892
7	3	的	3.59319011978
7	4	年龄	11.9189976612
7	5	增长	8.717149872
7	6	，	3.78096883219
7	7	他	6.68400948846
7	8	更	10.4547423866
7	9	有	5.48306827621
7	10	自信	14.2103192387
7	11	了	8.32760013478
7	12	。	4.17262736145
8	1	随着	9.27442432564
8	2	他	9.90556115892
8	3	的	3.59319011978
8	4	年龄	11.9189976612
8	5	增长	8.717149872
8	6	。	4.46515971185
9	1	随着	9.27442432564
9	2	冬天	16.5821990452
9	3	的	5.86128323408
9	4	到来	12.3527626627
9	5	，	2.2663207967
9	6	树木	22.0748980169
9	7	凋零	21.4064358093
9	8	了	7.73303788958
9	9	。	4.17262736145
10	1	随着	9.27442432564
10	2	冬天	16.5821990452
10	3	的	5.86128323408
10	4	到来	12.3527626627
10	5	。	1.77995390627
11	1	随着	9.27442432564
11	2	科技	9.54753063821
11	3	发展	5.02447933505
11	4	，	3.81012854204
11	5	电脑	13.6508202516
11	6	功能	13.6814630922
11	7	变得	14.3983488053
11	8	更	3.3600970631
11	9	多	2.83380491876
11	10	了	5.67635996901
11	11	。	2.55363534705
12	1	随着	9.27442432564
12	2	科技	9.54753063821
12	3	发展	5.02447933505
12	4	。	4.55998078068
13	1	自从	10.8387067972
13	2	见	13.0700349624
13	3	了	5.91854343445
13	4	他	7.14389532528
13	5	，	5.5702655723
13	6	她	8.73856321483
13	7	一直	9.32699680864
13	8	在	2.88371403471
13	9	写信	17.9510650099
13	10	。	4.37585604748
14	1	自从	10.8387067972
14	2	见	13.0700349624
14	3	了	5.91854343445
14	4	他	7.14389532528
14	5	。	4.34473962741
15	1	自从	10.8387067972
15	2	修	14.9580730079
15	3	了	7.86254314688
15	4	公路	13.2063318445
15	5	，	4.11267987168
15	6	农村	14.4873388294
15	7	经济	4.60113621791
15	8	变	13.8848795494
15	9	好	8.33933206447
15	10	了	4.37383654135
15	11	。	2.82746332873
16	1	自从	10.8387067972
16	2	修	14.9580730079
16	3	了	7.86254314688
16	4	公路	13.2063318445
16	5	。	4.9034047866
17	1	自从	10.8387067972
17	2	离开	12.5034404191
17	3	家乡	8.96082130386
17	4	，	7.00812594034
17	5	她	8.54980230969
17	6	一直	9.32699680864
17	7	想念	18.2895999665
17	8	父母	13.3896154991
17	9	。	8.80881626947
18	1	自从	10.8387067972
18	2	离开	12.5034404191
18	3	家乡	8.96082130386
18	4	。	6.51085433286
19	1	自从	10.8387067972
19	2	他	7.57749113072
19	3	开始	9.97974272662
19	4	读书	11.3893205813
19	5	，	2.00387277025
19	6	他	6.73812591051
19	7	的	3.80003993313
19	8	成绩	11.3141183687
19	9	提高	12.8328753149
19	10	了	3.99577114377
19	11	。	4.23881877466
20	1	自从	10.8387067972
20	2	他	7.57749113072
20	3	开始	9.97974272662
20	4	读书	11.3893205813
20	5	。	5.21648333413
21	1	自从	10.8387067972
21	2	他	7.57749113072
21	3	获得	13.3439497488
21	4	大奖	10.0762981259
21	5	，	4.37585604748
21	6	他	6.63981365652
21	7	不	5.87496556736
21	8	学习	12.5055261074
21	9	了	8.03538263743
21	10	。	4.17262736145
22	1	自从	10.8387067972
22	2	他	7.57749113072
22	3	获得	13.3439497488
22	4	大奖	10.0762981259
22	5	。	4.37585604748
23	1	自从	10.8387067972
23	2	她	10.9324237322
23	3	认识	11.6463878581
23	4	了	4.98231772039
23	5	老师	12.9816975135
23	6	，	3.92505401294
23	7	她	8.61772980501
23	8	努力	11.9464205448
23	9	训练	13.6949888944
23	10	。	3.14477314003
24	1	自从	10.8387067972
24	2	她	10.9324237322
24	3	认识	11.6463878581
24	4	了	4.98231772039
24	5	老师	12.9816975135
24	6	。	5.00646110036
25	1	自从	10.8387067972
25	2	她	10.9324237322
25	3	参与	12.5843405355
25	4	了	5.47708226704
25	5	活动	11.8325374764
25	6	，	2.6023994129
25	7	她	8.64353883177
25	8	认识	11.9464205448
25	9	了	4.98231772039
25	10	很多	7.88410175108
25	11	人	4.66844501044
25	12	。	5.05477155224
26	1	自从	10.8387067972
26	2	她	10.9324237322
26	3	参与	12.5843405355
26	4	了	5.47708226704
26	5	活动	11.8325374764
26	6	。	2.62817130199
27	1	自从	10.8387067972
27	2	她	10.9324237322
27	3	学习	12.813593076
27	4	了	8.03538263743
27	5	外语	18.869558104
27	6	，	5.62753460131
27	7	她	8.54980230969
27	8	看	11.9464205448
27	9	了	4.42551580089
27	10	很多	7.9512783022
27	11	电影	12.6610078581
27	12	。	7.17597554642
28	1	自从	10.8387067972
28	2	她	10.9324237322
28	3	学习	12.813593076
28	4	了	8.03538263743
28	5	外语	18.869558104
28	6	。	6.34186827278
29	1	因为	7.71839355362
29	2	喝	13.9813304355
29	3	了	4.05893745147
29	4	酒	14.3143941175
29	5	，	2.5888358496
29	6	他	6.72246068766
29	7	摔	16.6767680531
29	8	了	3.89455513196
29	9	。	4.17262736145
30	1	因为	7.71839355362
30	2	喝	13.9813304355
30	3	了	4.05893745147
30	4	酒	14.3143941175
30	5	。	5.80144529844
31	1	因为	7.71839355362
31	2	他	5.81704455857
31	3	要	7.65366254726
31	4	迟到	21.6884513273
31	5	了	3.05392855165
31	6	，	4.0062784005
31	7	他	5.95480488093
31	8	结束	12.6267865001
31	9	了	2.8779067282
31	10	谈话	15.3120170479
31	11	。	3.89917624795
32	1	因为	7.71839355362
32	2	他	5.81704455857
32	3	要	7.65366254726
32	4	迟到	21.6884513273
32	5	了	3.05392855165
32	6	。	4.17262736145
33	1	因为	7.71839355362
33	2	他	5.81704455857
33	3	没有	8.39218047712
33	4	练习	15.7414555003
33	5	题目	18.0554394713
33	6	，	4.37585604748
33	7	他	6.63981365652
33	8	没有	8.60022219494
33	9	成功	10.9020494253
