sentence_id	token_id	token	surprisal
1	1	记者	10.2074
1	2	采访	8.35926
1	3	了	4.34739
1	4	研发	21.5485
1	5	帮助	18.0607
1	6	老人	13.8225
1	7	的	1.9953
1	8	产品	11.7747
1	9	。	1.16701
2	1	记者	10.2074
2	2	采访	8.35926
2	3	了	4.34739
2	4	研发	21.5485
2	5	帮助	18.0607
2	6	老人	13.8225
2	7	的	1.9953
2	8	产品	11.7747
2	9	的	6.16391
2	10	科学家	9.82444
2	11	。	0.172212
3	1	他	6.15281
3	2	认识	11.9949
3	3	了	3.50532
3	4	写	14.6867
3	5	介绍	12.3706
3	6	名人	15.4525
3	7	的	0.255586
3	8	书	8.26836
3	9	。	1.89862
4	1	他	6.15281
4	2	认识	11.9949
4	3	了	3.50532
4	4	写	14.6867
4	5	介绍	12.3706
4	6	名人	15.4525
4	7	的	0.255586
4	8	书	8.26836
4	9	的	13.6852
4	10	老师	13.791
4	11	。	5.5452
5	1	他	6.15281
5	2	拍	14.6284
5	3	下	13.8147
5	4	了	13.1164
5	5	获得	12.7399
5	6	代表	14.6458
5	7	实力	15.6893
5	8	的	0.312562
5	9	大奖	12.7236
5	10	。	0.191657
6	1	他	6.15281
6	2	拍	14.6284
6	3	下	13.8147
6	4	了	13.1164
6	5	获得	12.7399
6	6	代表	14.6458
6	7	实力	15.6893
6	8	的	0.312562
6	9	大奖	12.7236
6	10	的	15.2212
6	11	艺术品	25.2454
6	12	。	0.98757
7	1	我们	6.95907
7	2	参加	12.3451
7	3	了	2.19267
7	4	吸引	16.1205
7	5	学习	17.3748
7	6	历史	10.7565
7	7	的	1.69045
7	8	学生	10.3387
7	9	。	3.52729
8	1	我们	6.95907
8	2	参加	12.3451
8	3	了	2.19267
8	4	吸引	16.1205
8	5	学习	17.3748
8	6	历史	10.7565
8	7	的	1.69045
8	8	学生	10.3387
8	9	的	2.54181
8	10	活动	8.60967
8	11	。	0.294436
9	1	他	6.15281
9	2	想起	13.2858
9	3	了	1.1292
9	4	写	14.837
9	5	过	4.07852
9	6	宣传	15.8472
9	7	环保	14.9629
9	8	的	0.998031
9	9	歌	12.6659
9	10	。	1.60098
10	1	他	6.15281
10	2	想起	13.2858
10	3	了	1.1292
10	4	写	14.837
10	5	过	4.07852
10	6	宣传	15.8472
10	7	环保	14.9629
10	8	的	0.998031
10	9	歌	12.6659
10	10	的	14.2081
10	11	同学	15.3289
10	12	。	2.40528
11	1	司机	17.1132
11	2	启动	19.6963
11	3	了	2.0334
11	4	装有	16.7908
11	5	支持	14.818
11	6	互联网	15.0877
11	7	功能	12.7033
11	8	的	0.071725
11	9	音响	16.8478
11	10	。	9.69594
12	1	司机	17.1132
12	2	启动	19.6963
12	3	了	2.0334
12	4	装有	16.7908
12	5	支持	14.818
12	6	互联网	15.0877
12	7	功能	12.7033
12	8	的	0.071725
12	9	音响	16.8478
12	10	的	18.6782
12	11	车	9.73881
12	12	。	4.69218
13	1	爸爸	12.2864
13	2	买	11.2186
13	3	了	1.83183
13	4	带	12.388
13	5	配备	24.9254
13	6	保险	17.0071
13	7	的	1.42471
13	8	家具	14.4614
13	9	。	0.436967
14	1	爸爸	12.2864
14	2	买	11.2186
14	3	了	1.83183
14	4	带	12.388
14	5	配备	24.9254
14	6	保险	17.0071
14	7	的	1.42471
14	8	家具	14.4614
14	9	的	10.3444
14	10	房子	8.80946
14	11	。	0.268682
15	1	他	6.15281
15	2	损失	21.0138
15	3	了	3.72755
15	4	买	16.2321
15	5	治疗	14.8483
15	6	疾病	11.0871
15	7	的	0.706638
15	8	药	7.09925
15	9	。	2.01605
16	1	他	6.15281
16	2	损失	21.0138
16	3	了	3.72755
16	4	买	16.2321
16	5	治疗	14.8483
16	6	疾病	11.0871
16	7	的	0.706638
16	8	药	7.09925
16	9	的	5.17501
16	10	现金	14.1077
16	11	。	0.238803
17	1	我	6.0542
17	2	拜访	13.7329
17	3	了	4.88852
17	4	去	13.7442
17	5	过	5.90864
17	6	支持	14.5146
17	7	贸易	19.5116
17	8	的	2.14541
17	9	中国	8.32435
17	10	。	4.9331
18	1	我	6.0542
18	2	拜访	13.7329
18	3	了	4.88852
18	4	去	13.7442
18	5	过	5.90864
18	6	支持	14.5146
18	7	贸易	19.5116
18	8	的	2.14541
18	9	中国	8.32435
18	10	的	4.653
18	11	邻居	11.7858
18	12	。	3.37713
19	1	爷爷	16.1903
19	2	中止	22.573
19	3	了	1.75173
19	4	引发	15.5545
19	5	伤害	11.8725
19	6	亲情	21.7521
19	7	的	0.0931058
19	8	争吵	14.7723
19	9	。	2.01481
20	1	爷爷	16.1903
20	2	中止	22.573
20	3	了	1.75173
20	4	引发	15.5545
20	5	伤害	11.8725
20	6	亲情	21.7521
20	7	的	0.0931058
20	8	争吵	14.7723
20	9	的	15.1348
20	10	谈话	21.2741
20	11	。	0.807479
21	1	她	8.71203
21	2	提到	10.3747
21	3	了	2.63953
21	4	看	12.6664
21	5	着	4.14877
21	6	带来	20.3834
21	7	欢乐	12.1964
21	8	的	0.646333
21	9	电视	16.5486
21	10	。	6.81032
22	1	她	8.71203
22	2	提到	10.3747
22	3	了	2.63953
22	4	看	12.6664
22	5	着	4.14877
22	6	带来	20.3834
22	7	欢乐	12.1964
22	8	的	0.646333
22	9	电视	16.5486
22	10	的	7.13724
22	11	女儿	11.9752
22	12	。	0.303233
23	1	医生	13.5452
23	2	表扬	19.5833
23	3	了	0.473781
23	4	帮助	13.3228
23	5	种	19.9359
23	6	菜	13.4176
23	7	的	0.510742
23	8	老人	12.1318
23	9	。	1.16998
24	1	医生	13.5452
24	2	表扬	19.5833
24	3	了	0.473781
24	4	帮助	13.3228
24	5	种	19.9359
24	6	菜	13.4176
24	7	的	0.510742
24	8	老人	12.1318
24	9	的	4.65284
24	10	孩子	6.38575
24	11	。	0.951328
25	1	她	8.71203
25	2	介绍	11.0162
25	3	了	2.02796
25	4	生产	13.5067
25	5	装有	21.4633
25	6	音响	17.1241
25	7	的	4.55481
25	8	电视	16.6873
25	9	。	8.30938
26	1	她	8.71203
26	2	介绍	11.0162
26	3	了	2.02796
26	4	生产	13.5067
26	5	装有	21.4633
26	6	音响	17.1241
26	7	的	4.55481
26	8	电视	16.6873
26	9	的	4.78661
26	10	工厂	14.8761
26	11	。	0.884599
27	1	我	6.0542
27	2	洗	17.988
27	3	了	3.30796
27	4	陪伴	18.0973
27	5	过	7.04105
27	6	卖	17.1341
27	7	衣服	7.61769
27	8	的	0.170934
27	9	母亲	7.1204
27	10	。	2.78888
28	1	我	6.0542
28	2	洗	17.988
28	3	了	3.30796
28	4	陪伴	18.0973
28	5	过	7.04105
28	6	卖	17.1341
28	7	衣服	7.61769
28	8	的	0.170934
28	9	母亲	7.1204
28	10	的	0.713776
28	11	衣服	9.09024
28	12	。	1.21062
29	1	学生	13.1673
29	2	们	20.5842
29	3	写	13.5841
29	4	着	2.04548
29	5	困扰	16.8497
29	6	努力	18.4602
29	7	学习	11.6644
29	8	的	12.5196
29	9	他们	10.9188
29	10	。	3.08354
30	1	学生	13.1673
30	2	们	20.5842
30	3	写	13.5841
30	4	着	2.04548
30	5	困扰	16.8497
30	6	努力	18.4602
30	7	学习	11.6644
30	8	的	12.5196
30	9	他们	10.9188
30	10	的	2.12953
30	11	作业	14.7066
30	12	。	2.116
31	1	店长	19.3738
31	2	拿	16.2578
31	3	着	1.6856
31	4	开	13.9652
31	5	通往	19.0336
31	6	仓库	16.9843
31	7	的	0.314887
31	8	大门	10.7517
31	9	。	7.60036
32	1	店长	19.3738
32	2	拿	16.2578
32	3	着	1.6856
32	4	开	13.9652
32	5	通往	19.0336
32	6	仓库	16.9843
32	7	的	0.314887
32	8	大门	10.7517
32	9	的	6.64943
32	10	钥匙	11.7193
32	11	。	7.48555
33	1	有人	17.564
33	2	听	15.424
33	3	着	5.06323
33	4	打扰	18.8974
33	5	了	12.3493
33	6	写	12.9725
33	7	书	7.635
33	8	的	1.23651
33	9	邻居	15.3046
33	10	。	13.0668
34	1	有人	17.564
34	2	听	15.424
34	3	着	5.06323
34	4	打扰	18.8974
34	5	了	12.3493
34	6	写	12.9725
34	7	书	7.635
34	8	的	1.23651
34	9	邻居	15.3046
34	10	的	5.93004
34	11	音乐	11.3488
34	12	。	12.9083
35	1	我	6.0542
35	2	观察	14.6885
35	3	着	6.45839
35	4	经营	16.0958
35	5	卖	18.7225
35	6	食品	12.8729
35	7	的	1.01688
35	8	商店	14.4561
35	9	。	2.68465
36	1	我	6.0542
36	2	观察	14.6885
36	3	着	6.45839
36	4	经营	16.0958
36	5	卖	18.7225
36	6	食品	12.8729
36	7	的	1.01688
36	8	商店	14.4561
36	9	的	6.54043
36	10	男人	14.6016
36	11	。	1.56563
37	1	学生	13.1673
37	2	们	20.5842
37	3	读	18.0036
37	4	着	3.33736
37	5	描述	17.1369
37	6	启发	17.2845
37	7	读者	18.3021
37	8	的	2.15296
37	9	故事	8.97529
37	10	。	3.99291
38	1	学生	13.1673
38	2	们	20.5842
38	3	读	18.0036
38	4	着	3.33736
38	5	描述	17.1369
38	6	启发	17.2845
38	7	读者	18.3021
38	8	的	2.15296
38	9	故事	8.97529
38	10	的	13.197
38	11	书	16.8881
38	12	。	13.9119
39	1	教练	20.4169
39	2	创办	16.1594
39	3	过	13.5349
39	4	教	18.2648
39	5	治疗	19.725
39	6	失眠	16.5958
39	7	的	0.316419
39	8	动作	11.4922
39	9	。	4.67769
40	1	教练	20.4169
40	2	创办	16.1594
40	3	过	13.5349
40	4	教	18.2648
40	5	治疗	19.725
40	6	失眠	16.5958
40	7	的	0.316419
40	8	动作	11.4922
40	9	的	6.39814
40	10	健身房	14.9681
40	11	。	7.6578
41	1	我	6.0542
41	2	喜欢	7.61329
41	3	过	6.27556
41	4	给	10.7407
41	5	我	3.05949
41	6	克服	15.717
41	7	困难	10.758
41	8	的	3.41244
41	9	信心	16.1751
41	10	。	1.59392
42	1	我	6.0542
42	2	喜欢	7.61329
42	3	过	6.27556
42	4	给	10.7407
42	5	我	3.05949
42	6	克服	15.717
42	7	困难	10.758
42	8	的	3.41244
42	9	信心	16.1751
42	10	的	6.17084
42	11	音乐	13.1688
42	12	。	1.52419
43	1	她	8.71203
43	2	开	11.6634
43	3	过	4.92633
43	4	容纳	22.6071
43	5	很多	11.0531
43	6	学习	18.8539
43	7	舞蹈	11.3782
43	8	的	0.311759
43	9	人	5.26475
43	10	。	6.27327
44	1	她	8.71203
44	2	开	11.6634
44	3	过	4.92633
44	4	容纳	22.6071
44	5	很多	11.0531
44	6	学习	18.8539
44	7	舞蹈	11.3782
44	8	的	0.311759
44	9	人	5.26475
44	10	的	0.210019
44	11	车	7.6818
44	12	。	1.74231
45	1	他	6.15281
45	2	修理	17.8784
45	3	过	7.98394
45	4	丢失	19.0584
45	5	了	1.27933
45	6	处理	19.2841
45	7	程序	10.5937
45	8	的	4.45711
45	9	芯片	17.0649
45	10	。	1.47208
46	1	他	6.15281
46	2	修理	17.8784
46	3	过	7.98394
46	4	丢失	19.0584
46	5	了	1.27933
46	6	处理	19.2841
46	7	程序	10.5937
46	8	的	4.45711
46	9	芯片	17.0649
46	10	的	10.191
46	11	电脑	13.2603
46	12	。	1.30119
47	1	他	6.15281
47	2	讲	11.8363
47	3	过	3.15353
47	4	介绍	13.6209
47	5	写	17.1968
47	6	诗	16.5174
47	7	的	4.80521
47	8	画家	17.8212
47	9	。	0.645426
48	1	他	6.15281
48	2	讲	11.8363
48	3	过	3.15353
48	4	介绍	13.6209
48	5	写	17.1968
48	6	诗	16.5174
48	7	的	4.80521
48	8	画家	17.8212
48	9	的	6.38262
48	10	课	12.9056
48	11	。	0.20924
49	1	我	6.0542
49	2	邀请	15.1939
49	3	过	8.20926
