sentence_id	token_id	token	surprisal
1	1	他	4.12783
1	2	喜欢	13.7077
1	3	那	9.89946
1	4	家	8.41292
1	5	老板	9.60252
1	6	投资	11.3401
1	7	的	3.52089
1	8	饭店	12.5186
1	9	。	0.583536
2	1	他	4.12783
2	2	喜欢	13.7077
2	3	那	9.89946
2	4	个	4.06344
2	5	老板	14.2108
2	6	投资	12.8186
2	7	的	1.54582
2	8	饭店	13.4459
2	9	。	1.49633
3	1	她	7.06943
3	2	在	4.76832
3	3	看	12.1627
3	4	那	9.4158
3	5	幅	7.56511
3	6	朋友	18.1175
3	7	喜欢	11.2844
3	8	的	1.93135
3	9	画	10.1381
3	10	。	15.6159
4	1	她	7.06943
4	2	在	4.76832
4	3	看	12.1627
4	4	那	9.4158
4	5	个	3.9612
4	6	朋友	12.0945
4	7	喜欢	12.5192
4	8	的	1.80547
4	9	画	12.1784
4	10	。	14.9684
5	1	我	7.89858
5	2	欣赏	14.6452
5	3	那	10.1968
5	4	件	5.32389
5	5	老师	14.0308
5	6	收藏	13.8678
5	7	的	0.121919
5	8	艺术品	11.822
5	9	。	1.85624
6	1	我	7.89858
6	2	欣赏	14.6452
6	3	那	10.1968
6	4	个	3.59506
6	5	老师	12.4828
6	6	收藏	16.1695
6	7	的	0.346298
6	8	艺术品	11.6129
6	9	。	2.00324
7	1	他	4.12783
7	2	打	15.6963
7	3	了	2.33574
7	4	那	10.1738
7	5	只	9.53236
7	6	店长	22.3992
7	7	喜欢	16.6056
7	8	的	1.74965
7	9	宠物	14.498
7	10	。	5.85476
8	1	他	4.12783
8	2	打	15.6963
8	3	了	2.33574
8	4	那	10.1738
8	5	个	5.22573
8	6	店长	22.9159
8	7	喜欢	17.0447
8	8	的	0.979954
8	9	宠物	14.9002
8	10	。	5.9202
9	1	我	7.89858
9	2	在	5.69188
9	3	思念	17.337
9	4	那	9.00436
9	5	首	14.0993
9	6	明星	11.6136
9	7	唱	14.7864
9	8	的	9.12672
9	9	歌	9.32002
9	10	。	1.53522
10	1	我	7.89858
10	2	在	5.69188
10	3	思念	17.337
10	4	那	9.00436
10	5	个	3.07858
10	6	明星	12.8305
10	7	唱	15.3397
10	8	的	9.25114
10	9	歌	10.5576
10	10	。	1.83409
11	1	她	7.06943
11	2	拜访	17.2216
11	3	了	0.975564
11	4	那	9.67527
11	5	所	7.35335
11	6	老人	9.99315
11	7	去	11.5243
11	8	的	10.9383
11	9	学校	10.7596
11	10	。	1.6259
12	1	她	7.06943
12	2	拜访	17.2216
12	3	了	0.975564
12	4	那	9.67527
12	5	个	4.74409
12	6	老人	11.8248
12	7	去	11.667
12	8	的	7.84128
12	9	学校	8.8777
12	10	。	0.498489
13	1	他	4.12783
13	2	检查	20.0072
13	3	了	2.01603
13	4	那	11.5538
13	5	件	4.74896
13	6	司机	17.4692
13	7	带	8.85887
13	8	的	1.46606
13	9	行李	12.7907
13	10	。	3.55929
14	1	他	4.12783
14	2	检查	20.0072
14	3	了	2.01603
14	4	那	11.5538
14	5	个	4.54523
14	6	司机	16.0855
14	7	带	9.12133
14	8	的	1.55344
14	9	行李	12.5144
14	10	。	3.85053
15	1	我	7.89858
15	2	听说	10.662
15	3	过	5.476
15	4	那	7.81671
15	5	本	8.88454
15	6	作家	12.9065
15	7	写	11.9484
15	8	的	2.41475
15	9	书	6.75504
15	10	。	1.09906
