sentence_id	token_id	token	surprisal
1	1	那	7.49349
1	2	家	9.21012
1	3	认识	15.5227
1	4	我	5.93377
1	5	的	0.62488
1	6	老板	8.74214
1	7	投资	14.9936
1	8	的	8.30307
1	9	饭店	21.7405
1	10	很	8.46054
1	11	受	10.2061
1	12	欢迎	3.39914
1	13	。	3.14689
2	1	那	7.49349
2	2	个	6.91274
2	3	认识	13.653
2	4	我	5.8536
2	5	的	1.02434
2	6	老板	11.0887
2	7	投资	15.5275
2	8	的	7.90202
2	9	饭店	22.7141
2	10	很	8.34491
2	11	受	10.2829
2	12	欢迎	3.21233
2	13	。	4.0911
3	1	那	7.49349
3	2	幅	12.0445
3	3	帮助	12.4873
3	4	过	8.11961
3	5	我	4.04943
3	6	的	0.313225
3	7	朋友	4.55954
3	8	喜欢	11.3071
3	9	的	10.0508
3	10	画	17.4591
3	11	吸引	17.4928
3	12	了	3.68338
3	13	我	3.64722
3	14	。	1.88194
4	1	那	7.49349
4	2	个	6.91274
4	3	帮助	12.78
4	4	过	8.40764
4	5	我	4.61392
4	6	的	0.351646
4	7	朋友	5.37974
4	8	喜欢	11.3149
4	9	的	11.2784
4	10	画	17.6133
4	11	吸引	18.1878
4	12	了	5.37466
4	13	我	3.34627
4	14	。	2.58183
5	1	那	7.49349
5	2	件	8.19546
5	3	教	17.3231
5	4	过	8.13169
5	5	我	3.8563
5	6	的	0.680178
5	7	老师	8.89692
5	8	收藏	19.9476
5	9	的	3.98587
5	10	艺术品	21.6038
5	11	获	16.3034
5	12	了	2.34911
5	13	奖	10.145
5	14	。	0.760188
6	1	那	7.49349
6	2	个	6.91274
6	3	教	17.2819
6	4	过	8.21611
6	5	我	3.87069
6	6	的	1.31894
6	7	老师	8.59109
6	8	收藏	19.8111
6	9	的	4.29107
6	10	艺术品	21.8149
6	11	获	17.1397
6	12	了	2.34922
6	13	奖	10.0086
6	14	。	0.663091
7	1	那	7.49349
7	2	只	6.84145
7	3	认识	13.8005
7	4	我	5.94363
7	5	的	1.72369
7	6	店长	21.9082
7	7	喜欢	17.3493
7	8	的	11.9695
7	9	宠物	16.9617
7	10	生病	16.5686
7	11	了	4.87185
7	12	。	0.738035
8	1	那	7.49349
8	2	个	6.91274
8	3	认识	13.653
8	4	我	5.8536
8	5	的	1.02434
8	6	店长	21.3261
8	7	喜欢	12.5536
8	8	的	3.14107
8	9	宠物	16.9534
8	10	生病	17.2193
8	11	了	2.4394
8	12	。	2.15122
9	1	那	7.49349
9	2	首	11.3522
9	3	热爱	15.8832
9	4	艺术	8.16285
9	5	的	0.579361
