sentence_id	token_id	token	surprisal
1	1	那	10.5927
1	2	家	10.0624
1	3	亲切	16.2045
1	4	的	0.462418
1	5	老板	10.1145
1	6	投资	14.2401
1	7	的	9.63839
1	8	饭店	15.518
1	9	很	10.8598
1	10	受	8.41103
1	11	欢迎	2.78635
1	12	。	1.27613
2	1	那	10.5927
2	2	个	6.11826
2	3	亲切	14.4924
2	4	的	0.282438
2	5	老板	13.6142
2	6	投资	14.294
2	7	的	9.1266
2	8	饭店	16.8879
2	9	很	10.4108
2	10	受	8.67329
2	11	欢迎	3.10449
2	12	。	1.39071
3	1	那	10.5927
3	2	幅	9.73656
3	3	聪明	13.8313
3	4	的	0.469059
3	5	朋友	12.8639
3	6	喜欢	9.66596
3	7	的	12.4687
3	8	画	11.5082
3	9	吸引	16.8407
3	10	了	2.71242
3	11	我	7.51414
3	12	。	2.81323
4	1	那	10.5927
4	2	个	6.11826
4	3	聪明	13.4024
4	4	的	0.27919
4	5	朋友	5.95837
4	6	喜欢	9.18386
4	7	的	12.3209
4	8	画	13.3235
4	9	吸引	17.188
4	10	了	2.19332
4	11	我	5.85067
4	12	。	2.92925
5	1	那	10.5927
5	2	件	8.27094
5	3	细心	14.4557
5	4	的	0.170582
5	5	老师	11.9282
5	6	收藏	15.5753
5	7	的	9.67387
5	8	艺术品	16.6684
5	9	获	16.3873
5	10	了	3.73045
5	11	奖	8.02338
5	12	。	1.55346
6	1	那	10.5927
6	2	个	6.11826
6	3	细心	14.4585
6	4	的	0.234296
6	5	老师	10.0703
6	6	收藏	15.644
6	7	的	9.7667
6	8	艺术品	16.7849
6	9	获	16.4091
6	10	了	3.37374
6	11	奖	8.18707
6	12	。	0.825348
7	1	那	10.5927
7	2	只	7.59125
7	3	负责	14.2305
7	4	的	5.2226
7	5	店长	25.0805
7	6	喜欢	12.9249
7	7	的	5.62335
7	8	宠物	14.722
7	9	生病	17.0356
7	10	了	2.99338
7	11	。	1.5431
8	1	那	10.5927
8	2	个	6.11826
8	3	负责	13.3061
8	4	的	4.41099
8	5	店长	25.4776
8	6	喜欢	14.505
8	7	的	3.82445
8	8	宠物	14.9544
8	9	生病	17.4859
8	10	了	2.82257
8	11	。	1.59211
9	1	那	10.5927
9	2	首	14.6811
9	3	有名	14.4252
9	4	的	0.198283
9	5	明星	12.5895
9	6	唱	13.9425
9	7	的	9.18501
9	8	歌	10.1874
9	9	很	12.0939
9	10	好听	11.6608
9	11	。	1.19185
10	1	那	10.5927
10	2	个	6.11826
10	3	有名	13.2088
10	4	的	0.135147
10	5	明星	11.081
10	6	唱	13.8636
10	7	的	9.06482
10	8	歌	11.3814
10	9	很	11.9957
10	10	好听	11.9884
10	11	。	1.88612
11	1	那	10.5927
11	2	所	11.3402
11	3	富有	13.8744
11	4	的	4.17912
11	5	老人	12.6951
11	6	去	10.9468
11	7	的	10.7901
11	8	学校	11.5939
11	9	关闭	18.3477
11	10	了	3.27082
11	11	。	3.4816
12	1	那	10.5927
12	2	个	6.11826
12	3	富有	13.5169
12	4	的	6.28708
12	5	老人	11.8584
12	6	去	10.0832
12	7	的	10.8922
12	8	学校	11.4541
12	9	关闭	18.2163
12	10	了	3.19488
12	11	。	3.75658
13	1	那	10.5927
13	2	件	8.27094
13	3	紧张	16.6657
13	4	的	0.397345
13	5	司机	17.6734
13	6	带	10.8616
13	7	的	5.5182
13	8	行李	12.9169
13	9	丢	17.5769
13	10	了	1.17325
13	11	。	3.0888
14	1	那	10.5927
14	2	个	6.11826
14	3	紧张	14.8981
14	4	的	0.880893
14	5	司机	15.2989
14	6	带	10.7693
14	7	的	6.68625
14	8	行李	12.9737
14	9	丢	17.5669
14	10	了	1.10305
14	11	。	3.11943
15	1	那	10.5927
15	2	本	11.4316
15	3	有名	13.8981
15	4	的	0.118631
15	5	作家	8.9744
15	6	写	9.70969
15	7	的	8.2501
15	8	书	10.2969
15	9	很	8.45211
15	10	受	10.5986
15	11	欢迎	3.41244
15	12	。	1.39426
16	1	那	10.5927
16	2	个	6.11826
16	3	有名	13.2088
16	4	的	0.135147
16	5	作家	10.2116
16	6	写	9.93208
16	7	的	8.30662
16	8	书	10.4425
16	9	很	8.35044
16	10	受	10.7885
16	11	欢迎	3.38359
16	12	。	1.63392
17	1	那	10.5927
17	2	辆	9.87368
17	3	熟悉	14.8956
17	4	的	2.42947
17	5	朋友	11.4874
17	6	开	12.6845
17	7	的	4.77982
17	8	车	7.50967
17	9	坏	17.4931
17	10	了	1.7129
17	11	。	1.86487
18	1	那	10.5927
18	2	个	6.11826
18	3	熟悉	12.7135
18	4	的	2.31515
18	5	朋友	6.76944
18	6	开	14.1816
18	7	的	9.42145
18	8	车	11.8259
18	9	坏	16.3811
18	10	了	3.05453
18	11	。	3.00296
19	1	那	10.5927
19	2	份	7.8651
19	3	淘气	19.4927
19	4	的	0.624719
19	5	孩子	10.9954
19	6	做	11.5317
19	7	的	8.23696
19	8	作业	16.245
19	9	获	18.4913
19	10	了	2.81561
19	11	奖	9.16065
19	12	。	1.25001
20	1	那	10.5927
20	2	个	6.11826
20	3	淘气	18.4984
20	4	的	1.13299
20	5	孩子	6.73242
20	6	做	10.7327
20	7	的	8.23717
20	8	作业	16.0094
20	9	获	19.3259
20	10	了	2.58603
20	11	奖	9.33724
20	12	。	1.1701
21	1	那	10.5927
21	2	份	7.8651
21	3	严格	12.4203
21	4	的	0.3599
21	5	老板	18.8192
21	6	制定	13.8569
21	7	的	2.09563
21	8	合同	8.16764
21	9	到期	15.7304
21	10	了	5.82779
21	11	。	1.1746
22	1	那	10.5927
22	2	个	6.11826
22	3	严格	14.2823
22	4	的	0.605252
22	5	老板	13.6298
22	6	制定	14.0406
22	7	的	11.1086
22	8	合同	11.0271
22	9	到期	16.298
22	10	了	6.71935
22	11	。	4.35972
23	1	那	10.5927
23	2	间	12.7508
23	3	负责	13.5979
23	4	的	4.28997
23	5	朋友	11.8679
23	6	开	13.8397
23	7	的	9.38775
23	8	工厂	15.3751
23	9	倒闭	17.6552
23	10	了	6.57425
23	11	。	1.75827
24	1	那	10.5927
24	2	个	6.11826
24	3	负责	13.3061
24	4	的	4.41099
24	5	朋友	10.1617
24	6	开	14.239
24	7	的	9.27453
24	8	工厂	15.4236
24	9	倒闭	17.6675
24	10	了	6.54685
24	11	。	2.20545
25	1	那	10.5927
25	2	张	10.6257
25	3	聪明	14.8618
25	4	的	0.544128
25	5	孩子	8.99962
25	6	照	14.5958
25	7	的	9.4962
25	8	照片	13.9711
25	9	丢	19.6347
25	10	了	2.22738
25	11	。	2.64899
26	1	那	10.5927
26	2	个	6.11826
26	3	聪明	13.4024
26	4	的	0.27919
26	5	孩子	6.81834
26	6	照	14.578
26	7	的	9.35692
26	8	照片	14.732
26	9	丢	19.27
26	10	了	2.06328
26	11	。	2.81074
27	1	那	10.5927
27	2	台	10.3975
27	3	负责	13.187
27	4	的	4.88926
27	5	老师	12.9582
27	6	用	8.85861
27	7	的	8.44887
27	8	手机	12.6663
27	9	很	11.3414
27	10	好用	14.0082
27	11	。	1.38598
28	1	那	10.5927
28	2	个	6.11826
28	3	负责	13.3061
28	4	的	4.41099
28	5	老师	12.2504
28	6	用	8.79813
28	7	的	8.26858
28	8	手机	12.5865
28	9	很	10.9981
28	10	好用	14.383
28	11	。	2.20918
29	1	那	10.5927
29	2	朵	15.8775
29	3	细心	16.5701
29	4	的	0.412594
29	5	邻居	12.0542
29	6	种	15.7658
29	7	的	11.2691
29	8	花	11.4392
29	9	很	10.8925
29	10	好看	10.9054
29	11	。	1.96197
30	1	那	10.5927
30	2	个	6.11826
30	3	细心	14.4585
30	4	的	0.234296
30	5	邻居	10.5858
30	6	种	16.1042
30	7	的	10.2873
30	8	花	11.4633
30	9	很	10.9604
30	10	好看	11.5798
30	11	。	2.64851
31	1	那	10.5927
31	2	台	10.3975
31	3	优秀	10.4531
31	4	的	2.52901
31	5	科学家	8.86116
31	6	做	12.2965
31	7	的	9.12257
31	8	电视	11.572
31	9	坏	18.2107
31	10	了	4.11521
31	11	。	0.717678
32	1	那	10.5927
32	2	个	6.11826
32	3	优秀	12.194
32	4	的	0.972479
32	5	科学家	7.88218
32	6	做	11.0568
32	7	的	8.47683
32	8	电视	11.2276
32	9	坏	17.1958
32	10	了	4.03122
32	11	。	1.491
33	1	那	10.5927
33	2	栋	10.3343
33	3	富有	13.4384
33	4	的	8.8584
33	5	男人	12.4677
33	6	买	11.5858
33	7	的	10.1776
33	8	房子	8.52836
33	9	起火	16.8159
33	10	了	6.5461
33	11	。	0.889552
34	1	那	10.5927
34	2	个	6.11826
34	3	富有	13.5169
34	4	的	6.28708
34	5	男人	9.76831
34	6	买	12.3202
34	7	的	9.99631
34	8	房子	8.7189
34	9	起火	17.4924
34	10	了	6.87043
34	11	。	1.58856
35	1	那	10.5927
35	2	条	7.39212
35	3	紧张	15.1197
35	4	的	1.64697
35	5	朋友	15.5163
35	6	给	7.89193
35	7	的	11.5543
35	8	建议	15.7465
35	9	很	10.479
35	10	真诚	14.5563
35	11	。	0.636999
36	1	那	10.5927
36	2	个	6.11826
36	3	紧张	14.8981
36	4	的	0.880893
36	5	朋友	11.064
36	6	给	8.27534
36	7	的	11.0154
36	8	建议	15.2399
36	9	很	10.3548
36	10	真诚	14.5207
36	11	。	0.851875
37	1	那	10.5927
37	2	支	8.96282
37	3	负责	13.0981
37	4	的	5.09898
37	5	老师	13.5186
37	6	用	8.46249
37	7	的	8.83165
37	8	笔	14.5861
37	9	坏	16.5313
37	10	了	3.11065
37	11	。	2.57604
38	1	那	10.5927
38	2	个	6.11826
38	3	负责	13.3061
38	4	的	4.41099
38	5	老师	12.2504
38	6	用	8.79813
38	7	的	8.26858
38	8	笔	14.7201
38	9	坏	16.4985
38	10	了	3.08349
38	11	。	3.58353
39	1	那	10.5927
39	2	只	7.59125
39	3	内向	18.4391
39	4	的	3.54073
39	5	女人	8.91811
39	6	丢	16.6001
39	7	的	8.73171
39	8	鞋子	16.6645
39	9	被	11.1847
39	10	找到	12.0315
39	11	了	3.22748
39	12	。	3.08426
40	1	那	10.5927
40	2	个	6.11826
40	3	内向	18.4599
40	4	的	1.07649
40	5	女人	8.80215
40	6	丢	16.9961
40	7	的	8.44784
40	8	鞋子	16.7061
40	9	被	11.4738
40	10	找到	11.7584
40	11	了	3.3204
40	12	。	3.29149
41	1	那	10.5927
41	2	条	7.39212
41	3	孤独	16.1437
41	4	的	0.436638
41	5	邻居	10.6156
41	6	养	14.2992
41	7	的	9.40975
41	8	狗	10.1806
41	9	生病	15.9674
41	10	了	4.43254
41	11	。	0.997766
42	1	那	10.5927
42	2	个	6.11826
42	3	孤独	15.7408
42	4	的	0.352296
42	5	邻居	9.45912
42	6	养	14.5659
42	7	的	9.25577
42	8	狗	10.5032
42	9	生病	16.0436
42	10	了	4.36724
42	11	。	1.22719
43	1	那	10.5927
43	2	座	8.84893
43	3	幽默	15.5642
43	4	的	0.469373
43	5	老人	8.16958
43	6	修	16.1981
43	7	的	9.75909
43	8	桥	14.919
43	9	帮助	14.7792
43	10	了	5.87145
43	11	我	5.00216
43	12	。	2.77385
44	1	那	10.5927
44	2	个	6.11826
44	3	幽默	15.1784
44	4	的	0.343989
44	5	老人	10.8235
44	6	修	16.5825
44	7	的	9.60645
44	8	桥	16.0018
44	9	帮助	14.5428
44	10	了	5.56617
44	11	我	3.99252
44	12	。	2.98432
45	1	那	10.5927
45	2	篇	7.81793
45	3	认真	12.25
45	4	的	0.460789
45	5	学生	14.9067
45	6	准备	10.5069
45	7	的	10.9387
45	8	报告	14.319
45	9	感动	17.8481
45	10	了	4.64175
45	11	我	7.10779
45	12	。	1.50681
46	1	那	10.5927
46	2	个	6.11826
46	3	认真	14.3355
46	4	的	0.699852
46	5	学生	12.0741
46	6	准备	10.7855
46	7	的	11.1365
46	8	报告	14.9931
46	9	感动	18.1145
46	10	了	4.58505
46	11	我	6.83753
46	12	。	1.78839
47	1	那	10.5927
47	2	封	11.2251
47	3	亲切	13.545
47	4	的	0.807618
47	5	朋友	10.6355
