sentence_id	token_id	token	surprisal
1	1	他	5.4816460609436035
1	2	喜欢	10.53304672241211
1	3	那	8.251065254211426
1	4	家	6.738696575164795
1	5	老板	12.026824951171875
1	6	投资	15.028815269470215
1	7	的	3.2776455879211426
1	8	饭店	12.459012985229492
1	9	。	6.398228645324707
2	1	他	5.4816460609436035
2	2	喜欢	10.53304672241211
2	3	那	8.251065254211426
2	4	个	4.6428070068359375
2	5	老板	13.376158714294434
2	6	投资	15.362686157226562
2	7	的	2.046998977661133
2	8	饭店	13.252762794494629
2	9	。	6.275783061981201
3	1	她	8.275067329406738
3	2	在	4.42202615737915
3	3	看	9.103632926940918
3	4	那	6.670347690582275
3	5	幅	8.829201698303223
3	6	朋友	8.107665061950684
3	7	喜欢	11.93369197845459
3	8	的	3.3308918476104736
3	9	画	14.446873664855957
3	10	。	7.562060356140137
4	1	她	8.275067329406738
4	2	在	4.42202615737915
4	3	看	9.103632926940918
4	4	那	6.670347690582275
4	5	个	4.42800760269165
4	6	朋友	8.09701156616211
4	7	喜欢	11.768123626708984
4	8	的	3.8661887645721436
4	9	画	15.019899368286133
4	10	。	6.170086860656738
5	1	我	5.170108795166016
5	2	欣赏	15.401029586791992
5	3	那	6.022993564605713
5	4	件	4.933221340179443
5	5	老师	18.237979888916016
5	6	收藏	18.11445426940918
5	7	的	1.7879997491836548
5	8	艺术品	16.642799377441406
5	9	。	7.175105571746826
6	1	我	5.170108795166016
6	2	欣赏	15.401029586791992
6	3	那	6.022993564605713
6	4	个	6.511422634124756
6	5	老师	11.323677062988281
6	6	收藏	18.621158599853516
6	7	的	3.194782018661499
6	8	艺术品	16.35032081604004
6	9	。	6.416229724884033
7	1	他	5.4816460609436035
7	2	打	12.4287748336792
7	3	了	4.1950249671936035
7	4	那	7.4852986335754395
7	5	只	8.541102409362793
7	6	店长	18.30014991760254
7	7	喜欢	13.44385051727295
7	8	的	3.3795340061187744
7	9	宠物	15.468650817871094
7	10	。	8.123615264892578
8	1	他	5.4816460609436035
8	2	打	12.4287748336792
8	3	了	4.1950249671936035
8	4	那	7.4852986335754395
8	5	个	4.359043121337891
8	6	店长	17.62192726135254
8	7	喜欢	14.140154838562012
8	8	的	2.1389873027801514
8	9	宠物	15.618648529052734
8	10	。	8.336880683898926
9	1	我	5.170108795166016
9	2	在	5.624750137329102
9	3	思念	18.555328369140625
9	4	那	14.069263458251953
9	5	首	9.11050033569336
9	6	明星	16.594301223754883
9	7	唱	13.988874435424805
9	8	的	4.930510997772217
9	9	歌	9.276288032531738
9	10	。	5.235674858093262
10	1	我	5.170108795166016
10	2	在	5.624750137329102
10	3	思念	18.555328369140625
10	4	那	14.069263458251953
10	5	个	4.015878200531006
10	6	明星	12.782217979431152
10	7	唱	15.734786033630371
10	8	的	3.7400801181793213
10	9	歌	10.042793273925781
10	10	。	5.27998161315918
11	1	她	8.275067329406738
11	2	拜访	15.057050704956055
11	3	了	5.153831958770752
11	4	那	8.03122329711914
11	5	所	10.000438690185547
11	6	老人	14.70262336730957
11	7	去	13.421699523925781
11	8	的	1.772958517074585
11	9	学校	9.71195125579834
11	10	。	3.78874135017395
12	1	她	8.275067329406738
12	2	拜访	15.057050704956055
12	3	了	5.153831958770752
12	4	那	8.03122329711914
12	5	个	3.3333547115325928
12	6	老人	12.719449996948242
12	7	去	8.95067024230957
12	8	的	4.0817341804504395
12	9	学校	10.424448013305664
12	10	。	3.7060630321502686
13	1	他	5.4816460609436035
13	2	检查	17.654300689697266
13	3	了	5.838735103607178
13	4	那	9.245272636413574
13	5	件	4.687798976898193
13	6	司机	18.604169845581055
13	7	带	9.94159984588623
13	8	的	7.737797737121582
13	9	行李	15.097469329833984
13	10	。	8.93463134765625
14	1	他	5.4816460609436035
14	2	检查	17.654300689697266
14	3	了	5.838735103607178
14	4	那	9.245272636413574
14	5	个	3.8448054790496826
14	6	司机	16.9191951751709
14	7	带	10.12622356414795
14	8	的	7.871721267700195
14	9	行李	14.188844680786133
