sentence_id	token_id	token	surprisal
1	1	那	10.3126
1	2	家	9.37825
1	3	我	9.78636
1	4	采访	13.327
1	5	过	4.43677
1	6	的	1.94757
1	7	老板	8.78519
1	8	在	5.52853
1	9	市中心	12.2391
1	10	投资	11.1013
1	11	的	5.441
1	12	饭店	8.41754
1	13	很	18.172
1	14	受	10.0904
1	15	欢迎	1.92074
1	16	。	1.7762
2	1	那	10.3126
2	2	个	6.23213
2	3	我	8.32552
2	4	采访	13.3116
2	5	过	3.75992
2	6	的	2.77767
2	7	老板	11.2486
2	8	在	5.65557
2	9	市中心	12.471
2	10	投资	11.5867
2	11	的	5.48852
2	12	饭店	9.09675
2	13	很	17.9539
2	14	受	10.2938
2	15	欢迎	1.99715
2	16	。	2.18069
3	1	那	10.3126
3	2	幅	9.56725
3	3	我	11.4541
3	4	介绍	11.4862
3	5	的	0.888331
3	6	朋友	16.1965
3	7	非常	10.0046
3	8	喜欢	5.9136
3	9	的	12.1688
3	10	画	10.9696
3	11	吸引	16.9104
3	12	了	2.36764
3	13	我	6.23231
3	14	。	2.63254
4	1	那	10.3126
4	2	个	6.23213
4	3	我	8.32552
4	4	介绍	12.5827
4	5	的	0.952288
4	6	朋友	11.1592
4	7	非常	9.56248
4	8	喜欢	5.44756
4	9	的	11.7944
4	10	画	13.0986
4	11	吸引	17.4896
4	12	了	2.99376
4	13	我	4.80305
4	14	。	3.13355
5	1	那	10.3126
5	2	件	8.43134
5	3	我	8.78209
5	4	喜欢	7.75523
5	5	的	2.20353
5	6	老师	9.9641
5	7	为	9.61957
5	8	他	5.14848
5	9	的	2.08935
5	10	学生	8.43924
5	11	收藏	14.093
5	12	的	12.0934
5	13	艺术品	15.7448
5	14	获	16.8707
5	15	了	4.09627
5	16	奖	7.24814
5	17	。	1.05089
6	1	那	10.3126
6	2	个	6.23213
6	3	我	8.32552
6	4	喜欢	7.96844
6	5	的	2.37859
6	6	老师	8.71498
6	7	为	9.64603
6	8	他	5.02142
6	9	的	1.97189
6	10	学生	8.50755
6	11	收藏	14.2782
6	12	的	11.824
6	13	艺术品	15.9269
6	14	获	17.0615
6	15	了	3.85889
6	16	奖	7.25319
6	17	。	0.689393
7	1	那	10.3126
7	2	只	7.52895
7	3	我	12.4941
7	4	认识	12.6437
7	5	的	2.74173
7	6	店长	24.9564
7	7	特别	12.598
7	8	喜欢	6.22849
7	9	的	7.26812
7	10	宠物	14.2658
7	11	生病	18.7853
7	12	了	2.67865
7	13	。	2.12694
8	1	那	10.3126
8	2	个	6.23213
8	3	我	8.32552
8	4	认识	12.5733
8	5	的	2.17393
8	6	店长	25.1555
8	7	特别	12.7322
8	8	喜欢	6.73262
8	9	的	6.59342
8	10	宠物	14.5471
8	11	生病	18.9157
8	12	了	2.64842
8	13	。	2.23456
9	1	那	10.3126
9	2	首	14.5243
9	3	我	11.1193
9	4	见	12.2239
9	5	过	2.46446
9	6	的	3.31378
9	7	明星	11.9293
9	8	在	5.57799
9	9	商场	12.1207
9	10	唱	13.4201
9	11	的	6.06691
9	12	歌	10.1775
9	13	很	12.5368
9	14	好听	10.9058
9	15	。	0.902211
10	1	那	10.3126
10	2	个	6.23213
10	3	我	8.32552
10	4	见	13.1991
10	5	过	3.5346
10	6	的	1.54602
10	7	明星	11.4019
10	8	在	5.69753
10	9	商场	12.2579
10	10	唱	13.094
10	11	的	6.47956
10	12	歌	10.9485
10	13	很	12.3643
10	14	好听	11.0447
10	15	。	1.28644
11	1	那	10.3126
11	2	所	11.6129
11	3	我	10.5259
11	4	认识	11.444
11	5	的	2.68583
11	6	老人	12.8718
11	7	在	5.76975
11	8	冬天	13.6187
11	9	去	9.01464
11	10	的	11.8695
11	11	学校	11.1315
11	12	关闭	17.8283
11	13	了	2.98718
11	14	。	3.50018
12	1	那	10.3126
12	2	个	6.23213
12	3	我	8.32552
12	4	认识	12.5733
12	5	的	2.17393
12	6	老人	13.2671
12	7	在	5.69654
12	8	冬天	13.3464
12	9	去	8.76461
12	10	的	11.514
12	11	学校	11.2887
12	12	关闭	17.5847
12	13	了	2.94264
12	14	。	3.5794
13	1	那	10.3126
13	2	件	8.43134
13	3	我	8.78209
13	4	采访	12.4729
13	5	过	5.52311
13	6	的	1.2034
13	7	司机	16.4759
13	8	给	8.99495
13	9	朋友	10.7914
13	10	带	6.81599
13	11	的	10.9953
13	12	行李	17.6043
13	13	丢	17.3782
13	14	了	1.61019
13	15	。	3.12328
14	1	那	10.3126
14	2	个	6.23213
14	3	我	8.32552
14	4	采访	13.3116
14	5	过	3.75992
14	6	的	2.77767
14	7	司机	15.1661
14	8	给	9.02824
14	9	朋友	10.9802
14	10	带	6.71305
14	11	的	10.858
14	12	行李	17.8257
14	13	丢	17.5092
14	14	了	1.57691
14	15	。	3.05404
15	1	那	10.3126
15	2	本	11.3717
15	3	我	9.53614
15	4	喜欢	8.0581
15	5	的	2.94159
15	6	作家	9.99482
15	7	为	8.96889
15	8	我	4.91189
15	9	写	6.40924
15	10	的	9.63867
15	11	书	9.98258
15	12	很	9.70365
15	13	受	10.8815
15	14	欢迎	2.42357
15	15	。	0.854998
16	1	那	10.3126
16	2	个	6.23213
16	3	我	8.32552
16	4	喜欢	7.96844
16	5	的	2.37859
16	6	作家	10.1663
16	7	为	9.11198
16	8	我	4.56435
16	9	写	6.21839
16	10	的	9.42353
16	11	书	9.88096
16	12	很	9.71
16	13	受	10.935
16	14	欢迎	2.36414
16	15	。	0.957559
17	1	那	10.3126
17	2	辆	9.46734
17	3	我	10.5865
17	4	介绍	13.5253
17	5	的	0.971576
17	6	朋友	13.9228
17	7	昨天	11.0493
17	8	开	12.3782
17	9	的	8.65825
17	10	车	8.54305
17	11	坏	17.1858
17	12	了	2.35898
17	13	。	2.06653
18	1	那	10.3126
18	2	个	6.23213
18	3	我	8.32552
18	4	介绍	12.5827
18	5	的	0.952288
18	6	朋友	11.1592
18	7	昨天	11.1244
18	8	开	13.2726
18	9	的	8.54625
18	10	车	10.9819
18	11	坏	17.5519
18	12	了	2.3828
18	13	。	2.70744
19	1	那	10.3126
19	2	份	7.98595
19	3	他	9.05959
19	4	教	14.1835
19	5	的	3.23864
19	6	孩子	11.4868
19	7	在	5.69378
19	8	学校	7.7018
19	9	做	7.0241
19	10	的	7.6635
19	11	作业	14.7625
19	12	获	19.4547
19	13	了	3.15446
19	14	奖	8.5533
19	15	。	1.09424
20	1	那	10.3126
