sentence_id	token_id	token	surprisal
1	1	那	7.49349
1	2	家	9.21012
1	3	认识	15.5227
1	4	我	5.93377
1	5	的	0.62488
1	6	老板	8.74214
1	7	在	5.64168
1	8	市中心	11.8026
1	9	投资	13.2819
1	10	的	9.30741
1	11	饭店	20.1295
1	12	很	10.381
1	13	受	9.30763
1	14	欢迎	2.91575
1	15	。	3.77214
2	1	那	7.49349
2	2	个	6.91274
2	3	认识	13.653
2	4	我	5.8536
2	5	的	1.02434
2	6	老板	11.0887
2	7	在	5.64449
2	8	市中心	11.5561
2	9	投资	13.2818
2	10	的	9.0692
2	11	饭店	20.9394
2	12	很	10.9403
2	13	受	8.78036
2	14	欢迎	2.7418
2	15	。	4.56417
3	1	那	7.49349
3	2	幅	12.0445
3	3	帮助	12.4873
3	4	过	8.11961
3	5	我	4.04943
3	6	的	0.313225
3	7	朋友	4.55954
3	8	非常	9.76585
3	9	喜欢	5.89607
3	10	的	10.5347
3	11	画	16.7809
3	12	吸引	18.5508
3	13	了	5.60964
3	14	我	3.33165
3	15	。	3.32271
4	1	那	7.49349
4	2	个	6.91274
4	3	帮助	12.78
4	4	过	8.40764
4	5	我	4.61392
4	6	的	0.351646
4	7	朋友	5.37974
4	8	非常	9.47196
4	9	喜欢	6.1018
4	10	的	10.4239
4	11	画	17.9318
4	12	吸引	18.5868
4	13	了	5.42989
4	14	我	3.31154
4	15	。	2.77085
5	1	那	7.49349
5	2	件	8.19546
5	3	教	17.3231
5	4	过	8.13169
5	5	我	3.8563
5	6	的	0.680178
5	7	老师	8.89692
5	8	为	9.86574
5	9	他	4.25348
5	10	的	2.85817
5	11	学生	11.5704
5	12	收藏	17.3924
5	13	的	9.42638
5	14	艺术品	22.5756
5	15	获	18.3099
5	16	了	2.54287
5	17	奖	9.60047
5	18	。	0.832835
6	1	那	7.49349
6	2	个	6.91274
6	3	教	17.2819
6	4	过	8.21611
6	5	我	3.87069
6	6	的	1.31894
6	7	老师	8.59109
6	8	为	9.94807
6	9	他	4.1889
6	10	的	2.88776
6	11	学生	11.517
6	12	收藏	17.2517
6	13	的	9.5812
6	14	艺术品	22.6286
6	15	获	18.2708
6	16	了	2.57147
6	17	奖	9.5632
6	18	。	0.751572
7	1	那	7.49349
7	2	只	6.84145
7	3	认识	13.8005
7	4	我	5.94363
7	5	的	1.72369
7	6	店长	21.9082
7	7	特别	15.392
7	8	喜欢	10.4316
7	9	的	11.1073
7	10	宠物	17.2122
7	11	生病	16.6167
7	12	了	4.68292
7	13	。	0.835089
8	1	那	7.49349
8	2	个	6.91274
