sentence_id	token_id	token	surprisal
1	1	那	7.49349
1	2	位	6.18692
1	3	教授	10.0742
1	4	写	10.9118
1	5	了	2.05214
1	6	精彩	14.2453
1	7	的	0.232046
1	8	书	6.71745
1	9	的	12.9512
1	10	内容	11.1178
1	11	。	5.67377
2	1	那	7.49349
2	2	位	6.18692
2	3	教授	10.0742
2	4	打	12.5986
2	5	了	3.31262
2	6	精彩	14.9922
2	7	的	0.343151
2	8	书	6.06346
2	9	的	12.6139
2	10	内容	14.6486
2	11	。	3.62329
3	1	弟弟	16.6469
3	2	启动	21.7795
3	3	了	2.34953
3	4	昂贵	15.1304
3	5	的	0.140222
3	6	车	10.2422
3	7	。	3.18223
4	1	弟弟	16.6469
4	2	认识	12.8385
4	3	了	3.77788
4	4	昂贵	16.247
4	5	的	0.0898844
4	6	车	12.3918
4	7	。	7.44259
5	1	他	5.65708
5	2	拿	12.1141
5	3	了	2.96833
5	4	桌子	10.9635
5	5	上	8.66632
5	6	的	1.9663
5	7	好看	17.5767
5	8	的	3.14232
5	9	筷子	15.6575
5	10	。	9.83974
6	1	他	5.65708
6	2	听	11.3263
6	3	了	3.24255
6	4	桌子	15.3587
6	5	上	12.8602
6	6	的	9.30007
6	7	好看	12.2333
6	8	的	13.1125
6	9	筷子	21.3952
6	10	。	1.90169
7	1	她	8.15034
7	2	终于	11.7068
7	3	实现	14.4882
7	4	了	0.914535
7	5	重要	11.431
7	6	的	0.407654
7	7	理想	12.1595
7	8	。	1.66457
8	1	她	8.15034
8	2	终于	11.7068
8	3	购买	11.7876
8	4	了	1.19313
8	5	重要	14.0011
8	6	的	0.100507
8	7	理想	13.3628
8	8	。	1.83104
9	1	我	5.25122
9	2	修理	17.767
9	3	了	2.01254
9	4	这个	6.25931
9	5	新	8.79186
9	6	的	1.20067
9	7	电脑	12.0336
9	8	。	3.18865
10	1	我	5.25122
10	2	阅读	16.594
10	3	了	1.40237
10	4	这个	6.0873
10	5	新	7.87345
10	6	的	1.18245
10	7	电脑	12.318
10	8	。	4.10247
11	1	我	5.25122
11	2	邀请	16.1204
11	3	过	6.03472
11	4	我	3.97389
11	5	的	3.44479
11	6	优秀	15.3613
11	7	的	5.95046
11	8	朋友	5.23034
11	9	。	2.23804
12	1	我	5.25122
12	2	打开	15.503
12	3	过	5.54956
12	4	我	5.61556
12	5	的	1.09292
12	6	优秀	15.7139
12	7	的	5.52393
12	8	朋友	8.59089
12	9	。	2.71409
13	1	记者	9.97222
13	2	采访	7.48111
13	3	了	4.15997
13	4	有名	18.2643
13	5	的	0.0690429
13	6	艺术家	15.7167
13	7	。	1.58746
14	1	记者	9.97222
14	2	制作	11.9309
14	3	了	6.22511
14	4	有名	14.8074
14	5	的	0.135832
14	6	艺术家	14.7704
14	7	。	10.5024
15	1	他	5.65708
15	2	参与	12.8511
15	3	了	2.55793
15	4	危险	14.8466
15	5	的	0.419383
15	6	战争	8.46625
15	7	。	2.1678
16	1	他	5.65708
16	2	建造	16.3933
16	3	了	3.246
16	4	危险	15.1531
16	5	的	0.0212665
16	6	战争	10.9869
16	7	。	3.60776
17	1	她	8.15034
17	2	批评	10.9438
17	3	了	5.62523
17	4	淘气	21.1518
17	5	的	0.204871
17	6	儿子	9.98726
17	7	。	3.19028
18	1	她	8.15034
18	2	改正	18.8854
18	3	了	1.1815
18	4	淘气	19.7752
18	5	的	0.111672
18	6	儿子	9.97207
18	7	。	2.12193
19	1	我	5.25122
19	2	结束	17.8422
19	3	了	1.15026
19	4	很	9.33501
19	5	长	4.76277
19	6	的	1.48268
19	7	谈话	11.4935
19	8	。	4.19533
20	1	我	5.25122
20	2	表扬	19.4508
20	3	了	1.31558
20	4	很	10.0103
20	5	长	5.17513
20	6	的	0.959331
20	7	谈话	15.1894
20	8	。	3.64364
21	1	他	5.65708
21	2	买	14.1409
21	3	了	2.59685
21	4	这些	11.1779
21	5	红色	13.4434
21	6	的	0.774242
21	7	笔	13.8304
21	8	。	3.10322
22	1	他	5.65708
22	2	种	19.31
22	3	了	2.83492
22	4	这些	8.36262
22	5	红色	15.453
22	6	的	0.600929
22	7	笔	13.1318
22	8	。	10.7516
23	1	他	5.65708
23	2	提出	9.87401
23	3	了	2.36757
23	4	很多	8.92364
23	5	重要	9.03737
23	6	的	1.49716
23	7	问题	5.06212
23	8	。	0.93047
24	1	他	5.65708
24	2	申请	13.4158
24	3	了	3.69817
24	4	很多	8.572
24	5	重要	10.5532
24	6	的	0.529208
24	7	问题	7.7978
24	8	。	1.09204
25	1	这	5.80101
25	2	款	12.4076
25	3	药	11.4752
25	4	治疗	18.6186
25	5	了	3.80836
25	6	他	7.60597
25	7	的	1.13852
25	8	严重	11.63
25	9	的	4.31045
25	10	疾病	11.6054
25	11	。	1.62259
26	1	这	5.80101
26	2	款	12.4076
26	3	药	11.4752
26	4	缓解	16.1645
26	5	了	1.21245
26	6	他	7.24131
26	7	的	0.632443
26	8	严重	9.62918
26	9	的	5.20115
26	10	疾病	13.6276
26	11	。	1.60675
27	1	我	5.25122
27	2	看	7.92815
27	3	着	2.77788
27	4	奶奶	13.0697
27	5	的	11.9606
27	6	亲切	16.5763
27	7	的	5.75261
27	8	面容	17.3469
27	9	。	3.38501
28	1	我	5.25122
28	2	听	9.80413
28	3	着	3.60171
28	4	奶奶	13.2497
28	5	的	11.5223
28	6	亲切	15.6587
28	7	的	10.7077
28	8	面容	16.8174
28	9	。	3.23347
29	1	学者	15.322
29	2	发现	12.196
29	3	了	4.10037
29	4	这个	10.3491
29	5	有趣	12.9758
29	6	的	0.0391721
29	7	规律	16.5343
29	8	。	7.05614
30	1	学者	15.322
30	2	发明	15.7278
30	3	了	2.27579
30	4	这个	10.4184
30	5	有趣	13.0611
30	6	的	0.0477571
30	7	规律	15.0177
30	8	。	2.71218
31	1	母亲	13.1655
31	2	准备	12.0571
31	3	了	5.8249
31	4	美味	18.0577
31	5	的	5.86808
31	6	晚饭	13.0734
31	7	。	2.18278
32	1	母亲	13.1655
32	2	责备	18.975
32	3	了	3.86321
32	4	美味	18.9289
32	5	的	4.53394
32	6	晚饭	13.4955
32	7	。	6.25269
33	1	孩子	13.27
33	2	培养	14.3519
33	3	了	3.03135
33	4	这个	9.33359
33	5	流行	10.5662
33	6	的	13.6337
33	7	特长	19.5741
33	8	。	1.32625
34	1	孩子	13.27
34	2	改正	17.892
34	3	了	3.22267
34	4	这个	9.94785
34	5	流行	11.5792
34	6	的	4.71634
34	7	特长	15.3953
34	8	。	0.871317
35	1	政府	10.5339
35	2	设立	11.8589
35	3	了	1.79878
35	4	最新	12.4767
35	5	的	1.63366
35	6	项目	7.56223
35	7	。	7.35172
36	1	政府	10.5339
36	2	引发	17.8997
36	3	了	1.17559
36	4	最新	11.5564
36	5	的	0.876907
36	6	项目	13.7902
36	7	。	2.37246
37	1	我	5.25122
37	2	回忆	13.3822
37	3	了	3.8578
37	4	之前	16.1417
37	5	的	2.45623
37	6	可怕	12.0745
37	7	的	4.61954
37	8	经历	8.71565
37	9	。	2.28692
38	1	我	5.25122
38	2	帮助	15.8232
38	3	了	4.92016
38	4	之前	14.2287
38	5	的	6.61575
38	6	可怕	13.735
38	7	的	2.16196
38	8	经历	10.0796
38	9	。	2.4976
39	1	花园	19.194
39	2	长满	17.6651
39	3	了	3.34523
39	4	美丽	11.8674
39	5	的	0.105957
39	6	草	11.4904
39	7	。	4.24797
40	1	花园	19.194
40	2	吸引	15.7419
40	3	了	3.34259
40	4	美丽	14.4146
40	5	的	0.0786169
40	6	草	14.749
40	7	。	4.08853
41	1	雨水	17.883
41	2	清洗	18.6967
41	3	了	7.09079
41	4	高	10.5428
41	5	的	15.518
41	6	大楼	15.3143
41	7	。	1.61182
42	1	雨水	17.883
42	2	灌溉	16.3231
42	3	了	16.3576
42	4	高	11.1729
42	5	的	13.0329
42	6	大楼	15.0027
42	7	。	8.11477
43	1	我	5.25122
43	2	听从	17.6115
43	3	了	2.53879
43	4	老师	12.9292
43	5	的	2.36152
43	6	中肯	20.1721
43	7	的	8.0974
43	8	建议	10.0498
43	9	。	1.29573
44	1	我	5.25122
44	2	安装	17.1622
44	3	了	1.17664
44	4	老师	13.1044
44	5	的	2.37044
44	6	中肯	19.8035
44	7	的	7.9123
44	8	建议	11.3871
44	9	。	1.56578
45	1	警官	20.5775
45	2	疏散	16.495
45	3	了	6.82552
45	4	紧张	15.1174
45	5	的	3.74028
45	6	人群	11.2625
45	7	。	7.74805
46	1	警官	20.5775
46	2	解除	14.6821
46	3	了	1.59501
46	4	紧张	12.4795
46	5	的	1.9817
46	6	人群	15.019
46	7	。	7.33231
47	1	他	5.65708
47	2	卖	14.4543
47	3	过	7.12815
47	4	一些	6.36884
47	5	便宜	13.8869
47	6	的	0.265221
47	7	化肥	19.6363
47	8	。	1.55838
48	1	他	5.65708
48	2	摘	20.7523
48	3	过	5.3327
48	4	一些	6.54227
48	5	便宜	16.0046
48	6	的	0.241599
48	7	化肥	20.6689
48	8	。	2.68542
49	1	她	8.15034
49	2	戴	13.5595
49	3	过	7.54258
49	4	白色	16.9326
49	5	的	3.3817
49	6	耳机	15.0662
49	7	。	1.27477
50	1	她	8.15034
50	2	穿	12.8249
50	3	过	5.1914
50	4	白色	15.4796
50	5	的	3.78043
50	6	耳机	15.2253
50	7	。	0.765099
51	1	他	5.65708
51	2	在	4.84551
51	3	学校	10.7125
51	4	里	5.81237
51	5	吃	10.1658
51	6	过	4.38988
51	7	好吃	14.2474
51	8	的	0.0784145
51	9	饭	10.9301
51	10	。	1.45942
52	1	他	5.65708
52	2	在	4.84551
52	3	学校	10.7125
52	4	里	5.81237
52	5	讲	9.01416
52	6	过	2.53191
52	7	好吃	16.0791
52	8	的	0.153695
52	9	饭	12.5196
52	10	。	1.3044
53	1	他	5.65708
53	2	见	12.4318
53	3	过	3.14039
53	4	热心	16.6006
53	5	的	0.945638
53	6	店长	20.0704
53	7	。	2.68443
54	1	他	5.65708
54	2	去	10.3758
54	3	过	7.25953
54	4	热心	19.2653
54	5	的	0.439653
54	6	店长	20.6251
54	7	。	8.95974
55	1	我	5.25122
55	2	听	9.80413
55	3	过	1.60362
55	4	这些	8.27162
55	5	熟悉	15.0621
55	6	的	2.26052
55	7	声音	7.77863
55	8	。	3.10737
56	1	我	5.25122
56	2	见	11.1451
56	3	过	3.27636
56	4	这些	8.06754
56	5	熟悉	14.5538
56	6	的	1.70543
56	7	声音	7.77412
56	8	。	2.58839
57	1	爷爷	15.6413
57	2	安装	16.4815
57	3	过	6.08184
57	4	复杂	14.0789
57	5	的	0.363595
57	6	机器	9.9263
57	7	。	3.38466
58	1	爷爷	15.6413
58	2	种植	17.3228
58	3	过	9.30445
58	4	复杂	14.2074
58	5	的	0.637112
58	6	机器	8.933
58	7	。	2.96489
59	1	她	8.15034
59	2	说	2.48706
59	3	过	8.28141
59	4	这	5.47242
59	5	些	12.8587
59	6	真诚	15.9093
59	7	的	0.677147
59	8	话	6.71151
59	9	。	2.98977
60	1	她	8.15034
60	2	吃	13.0245
60	3	过	4.33575
60	4	这	7.51087
60	5	些	11.1056
60	6	真诚	15.0442
60	7	的	0.610333
60	8	话	7.12452
60	9	。	2.55099
61	1	母亲	13.1655
61	2	买	13.0866
61	3	了	3.47954
61	4	彩色	17.9756
61	5	的	12.8197
61	6	纸	16.7814
61	7	。	9.21055
62	1	母亲	13.1655
62	2	喝	13.0167
62	3	了	3.87501
62	4	彩色	18.1393
62	5	的	5.68734
62	6	纸	12.7192
62	7	。	11.589
