sentence_id	token_id	token	surprisal
1	1	那	7.49349
1	2	家	9.21012
1	3	老板	10.2027
1	4	在	4.60426
1	5	市中心	12.1941
1	6	投资	12.8779
1	7	的	9.44308
1	8	饭店	18.9222
1	9	很	10.2593
1	10	受	9.58004
1	11	欢迎	3.00141
1	12	。	4.65328
2	1	那	7.49349
2	2	个	6.91274
2	3	老板	15.0865
2	4	在	4.79293
2	5	市中心	11.7027
2	6	投资	12.748
2	7	的	2.01221
2	8	饭店	13.8373
2	9	很	7.94419
2	10	受	8.6946
2	11	欢迎	3.30839
2	12	。	5.15002
3	1	那	7.49349
3	2	幅	12.0445
3	3	朋友	10.1517
3	4	非常	10.0094
3	5	喜欢	6.22398
3	6	的	9.76334
3	7	画	16.3712
3	8	吸引	18.3511
3	9	了	5.8775
3	10	我	3.79151
3	11	。	3.48053
4	1	那	7.49349
4	2	个	6.91274
4	3	朋友	9.0025
4	4	非常	9.51911
4	5	喜欢	6.47513
4	6	的	9.95254
4	7	画	17.8918
4	8	吸引	18.5847
4	9	了	5.72919
4	10	我	3.68896
4	11	。	3.51696
5	1	那	7.49349
5	2	件	8.19546
5	3	老师	16.1937
5	4	为	8.7903
5	5	他	4.75624
5	6	的	2.76497
5	7	学生	11.7544
5	8	收藏	17.3328
5	9	的	9.13122
5	10	艺术品	22.0885
5	11	获	17.5874
5	12	了	2.50523
5	13	奖	9.05279
5	14	。	0.769531
6	1	那	7.49349
6	2	个	6.91274
6	3	老师	10.8728
6	4	为	9.28337
6	5	他	4.35305
6	6	的	2.72862
6	7	学生	11.4503
6	8	收藏	17.2106
6	9	的	9.4646
6	10	艺术品	22.3245
6	11	获	18.1512
6	12	了	2.58243
6	13	奖	9.20962
6	14	。	0.8276
7	1	那	7.49349
7	2	只	6.84145
7	3	店长	22.4287
7	4	特别	11.4377
7	5	喜欢	8.90852
7	6	的	6.42906
7	7	宠物	15.1535
7	8	生病	16.7058
7	9	了	2.22553
7	10	。	2.83588
8	1	那	7.49349
8	2	个	6.91274
8	3	店长	20.618
8	4	特别	11.0666
8	5	喜欢	9.11328
8	6	的	2.57761
8	7	宠物	16.395
8	8	生病	17.2126
8	9	了	2.37168
8	10	。	3.03228
9	1	那	7.49349
9	2	首	11.3522
9	3	明星	13.8419
9	4	在	4.4752
9	5	商场	13.8861
9	6	唱	10.3683
9	7	的	7.48657
9	8	歌	12.9625
9	9	很	9.44757
9	10	好听	9.78963
9	11	。	1.61516
10	1	那	7.49349
10	2	个	6.91274
10	3	明星	15.258
10	4	在	4.81024
10	5	商场	14.718
