sentence_id	token_id	token	surprisal
1	1	记者	7.99862
1	2	采访	9.03564
1	3	了	2.29515
1	4	研发	20.4167
1	5	产品	13.7176
1	6	。	3.00726
2	1	记者	7.99862
2	2	采访	9.03564
2	3	了	2.29515
2	4	研发	20.4167
2	5	产品	13.7176
2	6	的	1.30012
2	7	科学家	10.3667
2	8	。	0.702878
3	1	他	4.39796
3	2	认识	16.2428
3	3	了	4.17527
3	4	写	18.3517
3	5	书	8.23574
3	6	。	14.208
4	1	他	4.39796
4	2	认识	16.2428
4	3	了	4.17527
4	4	写	18.3517
4	5	书	8.23574
4	6	的	0.750712
4	7	老师	12.9437
4	8	。	4.41702
5	1	他	4.39796
5	2	拍	18.088
5	3	下	14.3113
5	4	了	2.28973
5	5	获得	15.7285
5	6	大奖	11.9757
5	7	。	2.81029
6	1	他	4.39796
6	2	拍	18.088
6	3	下	14.3113
6	4	了	2.28973
6	5	获得	15.7285
6	6	大奖	11.9757
6	7	的	0.309359
6	8	艺术品	14.1238
6	9	。	0.624357
7	1	我们	7.55796
7	2	参加	11.1383
7	3	了	1.3105
7	4	吸引	13.8826
7	5	学生	9.31801
7	6	。	7.97558
8	1	我们	7.55796
8	2	参加	11.1383
8	3	了	1.3105
8	4	吸引	13.8826
8	5	学生	9.31801
8	6	的	2.17503
8	7	活动	2.14914
8	8	。	1.57753
9	1	他	4.39796
9	2	想起	17.5533
9	3	了	2.41813
9	4	写	13.4184
9	5	过	5.0555
9	6	歌	11.477
9	7	。	14.1246
10	1	他	4.39796
10	2	想起	17.5533
10	3	了	2.41813
10	4	写	13.4184
10	5	过	5.0555
10	6	歌	11.477
10	7	的	0.192095
10	8	同学	11.603
10	9	。	5.35499
11	1	司机	18.432
11	2	启动	15.9617
11	3	了	2.47582
11	4	装有	13.6897
11	5	音响	12.7881
11	6	。	19.1131
12	1	司机	18.432
12	2	启动	15.9617
12	3	了	2.47582
12	4	装有	13.6897
12	5	音响	12.7881
12	6	的	1.85374
12	7	车	11.2545
12	8	。	3.02253
13	1	爸爸	14.651
13	2	买	8.78743
13	3	了	1.22429
13	4	带	14.3935
13	5	家具	14.6882
13	6	。	13.2825
14	1	爸爸	14.651
14	2	买	8.78743
14	3	了	1.22429
14	4	带	14.3935
14	5	家具	14.6882
14	6	的	0.739673
14	7	房子	5.93183
14	8	。	1.62213
