sentence_id	token_id	token	surprisal
1	1	他	4.12783
1	2	喜欢	13.7077
1	3	那	9.89946
1	4	家	8.41292
1	5	认识	16.8
1	6	我	5.82798
1	7	的	0.494411
1	8	老板	10.8089
1	9	投资	12.7553
1	10	的	9.26871
1	11	饭店	16.3099
1	12	。	1.05712
2	1	他	4.12783
2	2	喜欢	13.7077
2	3	那	9.89946
2	4	个	4.06344
2	5	认识	14.9793
2	6	我	5.88955
2	7	的	0.472929
2	8	老板	12.9302
2	9	投资	13.6634
2	10	的	9.12299
2	11	饭店	16.9074
2	12	。	1.23167
3	1	她	7.06943
3	2	在	4.76832
3	3	看	12.1627
3	4	那	9.4158
3	5	幅	7.56511
3	6	帮助	17.6033
3	7	过	9.24004
3	8	我	5.33501
3	9	的	0.669445
3	10	朋友	9.00665
3	11	喜欢	13.6441
3	12	的	2.81018
3	13	画	10.6973
3	14	。	16.2119
4	1	她	7.06943
4	2	在	4.76832
4	3	看	12.1627
4	4	那	9.4158
4	5	个	3.9612
4	6	帮助	13.7331
4	7	过	9.56205
4	8	我	4.26378
4	9	的	0.633935
4	10	朋友	7.10069
4	11	喜欢	15.7499
4	12	的	3.44827
4	13	画	12.7417
4	14	。	15.3108
5	1	我	7.89858
5	2	欣赏	14.6452
5	3	那	10.1968
5	4	件	5.32389
5	5	教	14.4476
5	6	过	5.97302
5	7	我	4.23107
5	8	的	0.516178
5	9	老师	11.1021
5	10	收藏	18.5496
5	11	的	3.07503
5	12	艺术品	11.9025
5	13	。	0.910505
6	1	我	7.89858
6	2	欣赏	14.6452
6	3	那	10.1968
6	4	个	3.59506
6	5	教	14.4354
6	6	过	6.68145
6	7	我	3.67161
6	8	的	0.472374
6	9	老师	10.7522
6	10	收藏	18.7249
6	11	的	3.0534
6	12	艺术品	11.5826
6	13	。	1.7881
7	1	他	4.12783
7	2	打	15.6963
7	3	了	2.33574
7	4	那	10.1738
7	5	只	9.53236
7	6	认识	15.9753
7	7	我	5.60729
7	8	的	0.632063
7	9	店长	26.3028
7	10	喜欢	16.0632
7	11	的	2.2178
7	12	宠物	14.7703
7	13	。	11.3802
8	1	他	4.12783
8	2	打	15.6963
8	3	了	2.33574
8	4	那	10.1738
8	5	个	5.22573
8	6	认识	17.0469
8	7	我	6.28142
8	8	的	0.480656
8	9	店长	26.2441
8	10	喜欢	16.2643
8	11	的	1.57914
8	12	宠物	14.9581
8	13	。	11.4317
9	1	我	7.89858
9	2	在	5.69188
9	3	思念	17.337
9	4	那	9.00436
9	5	首	14.0993
9	6	热爱	12.594
9	7	艺术	9.92218
9	8	的	0.563885
9	9	明星	10.8703
9	10	唱	14.0866
9	11	的	9.50036
9	12	歌	9.08304
9	13	。	1.01168
10	1	我	7.89858
10	2	在	5.69188
10	3	思念	17.337
10	4	那	9.00436
10	5	个	3.07858
10	6	热爱	12.4681
10	7	艺术	10.255
10	8	的	0.605628
10	9	明星	10.1681
10	10	唱	14.6392
10	11	的	9.62247
10	12	歌	9.84421
10	13	。	1.17659
11	1	她	7.06943
11	2	拜访	17.2216
11	3	了	0.975564
11	4	那	9.67527
11	5	所	7.35335
11	6	学习	11.5561
11	7	历史	7.83367
11	8	的	0.775047
11	9	老人	9.17814
11	10	去	12.4406
11	11	的	10.9485
11	12	学校	11.6112
11	13	。	1.31704
12	1	她	7.06943
12	2	拜访	17.2216
