sentence_id	token_id	token	surprisal
1	1	我	5.40226247496
1	2	很	6.28605761094
1	3	喜欢	8.13388799678
1	4	一	8.49010947045
1	5	位	5.51778529981
1	6	国内	11.9746302554
1	7	的	3.61746988035
1	8	明星	13.7324667416
1	9	。	7.20830866626
2	1	我	5.40226247496
2	2	很	6.28605761094
2	3	喜欢	8.13388799678
2	4	一	8.49010947045
2	5	首	8.88461920932
2	6	国内	13.4064330524
2	7	的	3.61746988035
2	8	明星	13.7324667416
2	9	。	7.20830866626
3	1	我	5.40226247496
3	2	很	6.28605761094
3	3	喜欢	8.13388799678
3	4	一	8.49010947045
3	5	首	8.88461920932
3	6	国内	13.4064330524
3	7	的	3.61746988035
3	8	歌曲	13.7324667416
3	9	。	6.69778414236
4	1	我	5.40226247496
4	2	很	6.28605761094
4	3	喜欢	8.13388799678
4	4	一	8.49010947045
4	5	位	5.51778529981
4	6	国内	11.9746302554
4	7	的	3.61746988035
4	8	歌曲	13.7324667416
4	9	。	6.69778414236
5	1	她	8.22619364393
5	2	开车	14.9915653649
5	3	去	5.26378785094
5	4	了	4.4452548595
5	5	一	5.53587713298
5	6	家	5.34548409576
5	7	郊外	21.1765849762
5	8	的	5.62947732821
5	9	店	17.490738328
5	10	。	6.00436561505
6	1	她	8.22619364393
6	2	开车	14.9915653649
6	3	去	5.26378785094
6	4	了	4.4452548595
6	5	一	5.53587713298
6	6	座	8.40920527323
6	7	郊外	20.9884243888
6	8	的	5.62947732821
6	9	店	17.490738328
6	10	。	6.00436561505
7	1	她	8.22619364393
7	2	开车	14.9915653649
7	3	去	5.26378785094
7	4	了	4.4452548595
7	5	一	5.53587713298
7	6	座	8.40920527323
7	7	郊外	20.9884243888
7	8	的	5.62947732821
7	9	山	15.7464005526
7	10	。	6.43767435193
8	1	她	8.22619364393
8	2	开车	14.9915653649
8	3	去	5.26378785094
8	4	了	4.4452548595
8	5	一	5.53587713298
8	6	家	5.34548409576
8	7	郊外	21.1765849762
8	8	的	5.62947732821
8	9	山	15.7464005526
8	10	。	6.43767435193
9	1	他	5.68454970002
9	2	有	8.23336268209
9	3	一	4.17540763486
9	4	双	10.0427929058
9	5	蓝色	19.2437096911
9	6	的	2.89455363003
9	7	手套	17.2745165078
9	8	。	6.37891988292
10	1	他	5.68454970002
10	2	有	8.23336268209
10	3	一	4.17540763486
10	4	枚	8.98602524017
10	5	蓝色	18.8475533026
10	6	的	2.89455363003
10	7	手套	17.2745165078
10	8	。	6.37891988292
11	1	他	5.68454970002
11	2	有	8.23336268209
11	3	一	4.17540763486
11	4	枚	8.98602524017
11	5	蓝色	18.8475533026
11	6	的	2.89455363003
11	7	纽扣	20.7859693641
11	8	。	6.16825140755
12	1	他	5.68454970002
12	2	有	8.23336268209
12	3	一	4.17540763486
12	4	双	10.0427929058
12	5	蓝色	19.2437096911
12	6	的	2.89455363003
12	7	纽扣	20.7859693641
12	8	。	6.16825140755
13	1	店长	22.5755365723
13	2	拿	12.2764393165
13	3	着	3.25712937998
13	4	一	3.81283610729
13	5	只	7.82901967555
13	6	便宜	15.2073641614
13	7	的	2.69634805554
13	8	兔子	18.626351539
13	9	。	6.17793186143
14	1	店长	22.5755365723
14	2	拿	12.2764393165
14	3	着	3.25712937998
14	4	一	3.81283610729
14	5	根	6.20830119905
14	6	便宜	14.0420156905
14	7	的	2.69634805554
14	8	兔子	18.626351539
14	9	。	6.17793186143
15	1	店长	22.5755365723
15	2	拿	12.2764393165
15	3	着	3.25712937998
15	4	一	3.81283610729
15	5	根	6.20830119905
15	6	便宜	14.0420156905
15	7	的	2.69634805554
15	8	萝卜	21.4289463008
15	9	。	6.18342499868
16	1	店长	22.5755365723
16	2	拿	12.2764393165
16	3	着	3.25712937998
16	4	一	3.81283610729
16	5	只	7.82901967555
16	6	便宜	15.2073641614
16	7	的	2.69634805554
16	8	萝卜	21.4289463008
16	9	。	6.18342499868
17	1	他	5.68454970002
17	2	认识	12.5855903505
17	3	了	4.98231772039
17	4	一	4.55472553908
17	5	名	5.46583701395
17	6	幸运	15.5565374813
17	7	的	1.79377989525
17	8	男孩	15.8860530812
17	9	。	6.21024184077
18	1	他	5.68454970002
18	2	认识	12.5855903505
18	3	了	4.98231772039
18	4	一	4.55472553908
18	5	本	7.1836762426
18	6	幸运	16.181818718
18	7	的	1.79377989525
18	8	男孩	15.8860530812
18	9	。	6.21024184077
19	1	他	5.68454970002
