sentence_id	token_id	token	surprisal
1	1	记者	9.64333460554
1	2	采访	7.13665706478
1	3	了	6.25045097294
1	4	研发	14.9595064281
1	5	产品	11.999109894
1	6	并且	12.9578402116
1	7	获	13.2393994568
1	8	了	8.18321132897
1	9	奖	14.9595064281
1	10	。	3.60245496141
2	1	记者	9.64333460554
2	2	采访	7.13665706478
2	3	了	6.25045097294
2	4	研发	14.9595064281
2	5	产品	11.999109894
2	6	并且	12.9578402116
2	7	获	13.2393994568
2	8	了	8.18321132897
2	9	奖	14.9595064281
2	10	的	4.23235238772
2	11	科学家	13.3587207275
2	12	。	6.51324156174
3	1	他	5.68454970002
3	2	认识	12.5855903505
3	3	了	4.98231772039
3	4	写	12.4763523298
3	5	书	13.7603977777
3	6	并且	12.964464534
3	7	教	13.6811414754
3	8	课	15.1184533516
3	9	。	5.30959055714
4	1	他	5.68454970002
4	2	认识	12.5855903505
4	3	了	4.98231772039
4	4	写	12.4763523298
4	5	书	13.7603977777
4	6	并且	12.964464534
4	7	教	13.6811414754
4	8	课	15.1184533516
4	9	的	3.68972224239
4	10	老师	12.1919378051
4	11	。	5.20304109414
5	1	他	5.68454970002
5	2	拍	15.0857162592
5	3	下	7.60851718766
5	4	了	5.68841616097
5	5	获得	12.101393121
5	6	大奖	10.0762981259
5	7	并且	12.3940884492
5	8	吸引	12.3984234203
5	9	游客	9.18321049029
5	10	。	7.98466631454
6	1	他	5.68454970002
6	2	拍	15.0857162592
6	3	下	7.60851718766
6	4	了	5.68841616097
6	5	获得	12.101393121
6	6	大奖	10.0762981259
6	7	并且	12.3940884492
6	8	吸引	12.3984234203
6	9	游客	9.18321049029
6	10	的	3.76727264749
6	11	艺术品	17.7975704594
6	12	。	6.13356363377
7	1	我们	6.54306553283
7	2	参加	13.6201900675
7	3	了	2.99178277205
7	4	吸引	13.1708592654
7	5	学生	9.18321049029
7	6	并且	12.6893090586
7	7	受到	10.4289672569
7	8	好评	16.8479987845
7	9	。	0.836536305022
8	1	我们	6.54306553283
8	2	参加	13.6201900675
8	3	了	2.99178277205
8	4	吸引	13.1708592654
