sentence_id	token_id	token	surprisal
1	1	那	7.49349
1	2	位	6.18692
1	3	教授	10.0742
1	4	写	10.9118
1	5	了	2.05214
1	6	令	12.4386
1	7	人	0.627698
1	8	感动	5.98113
1	9	的	0.0668327
1	10	书	7.30479
1	11	的	6.87979
1	12	内容	7.66264
1	13	。	2.15499
2	1	那	7.49349
2	2	位	6.18692
2	3	教授	10.0742
2	4	打	12.5986
2	5	了	3.31262
2	6	令	13.5264
2	7	人	0.66278
2	8	感动	5.79352
2	9	的	0.112723
2	10	书	6.82323
2	11	的	14.0186
2	12	内容	13.927
2	13	。	6.51983
3	1	弟弟	16.6469
3	2	启动	21.7795
3	3	了	2.34953
3	4	配备	20.7055
3	5	音响	15.513
3	6	的	3.68166
3	7	车	10.313
3	8	。	2.91945
4	1	弟弟	16.6469
4	2	认识	12.8385
4	3	了	3.77788
4	4	配备	21.1158
4	5	音响	16.0089
4	6	的	3.07521
4	7	车	12.0111
4	8	。	8.21715
5	1	他	5.65708
5	2	拿	12.1141
5	3	了	2.96833
5	4	桌子	10.9635
5	5	上	8.66632
5	6	的	1.9663
5	7	吸引	18.0519
5	8	他	5.93997
5	9	目光	15.6595
5	10	的	0.632756
5	11	筷子	15.6474
5	12	。	10.1714
6	1	他	5.65708
6	2	听	11.3263
6	3	了	3.24255
6	4	桌子	15.3587
6	5	上	12.8602
6	6	的	9.30007
6	7	吸引	14.0393
6	8	他	5.19313
6	9	目光	17.9996
6	10	的	11.6599
6	11	筷子	18.7283
6	12	。	1.97906
7	1	她	8.15034
7	2	终于	11.7068
7	3	实现	14.4882
7	4	了	0.914535
7	5	激励	19.0371
7	6	她	7.46159
7	7	学习	9.68616
7	8	的	1.56813
7	9	理想	11.4531
7	10	。	1.56157
8	1	她	8.15034
8	2	终于	11.7068
8	3	购买	11.7876
8	4	了	1.19313
8	5	激励	22.2872
8	6	她	5.59013
8	7	学习	10.088
8	8	的	0.651955
8	9	理想	12.829
8	10	。	1.73715
9	1	我	5.25122
9	2	修理	17.767
9	3	了	2.01254
9	4	这个	6.25931
9	5	计算	13.5516
9	6	公式	13.2442
9	7	的	4.3493
9	8	电脑	13.1495
9	9	。	2.09251
10	1	我	5.25122
10	2	阅读	16.594
10	3	了	1.40237
10	4	这个	6.0873
10	5	计算	15.7157
10	6	公式	14.0087
10	7	的	3.50652
10	8	电脑	13.51
10	9	。	2.70935
11	1	我	5.25122
11	2	邀请	16.1204
11	3	过	6.03472
11	4	我	3.97389
11	5	的	3.44479
11	6	认识	10.8568
11	7	明星	18.4188
11	8	的	5.86987
11	9	朋友	9.36159
11	10	。	1.88936
12	1	我	5.25122
12	2	打开	15.503
12	3	过	5.54956
12	4	我	5.61556
12	5	的	1.09292
12	6	认识	10.5244
12	7	明星	18.8153
12	8	的	12.1811
12	9	朋友	14.3036
12	10	。	2.62768
13	1	记者	9.97222
13	2	采访	7.48111
13	3	了	4.15997
13	4	获得	12.5525
13	5	大奖	13.5105
13	6	的	0.0786503
13	7	艺术家	14.3256
13	8	。	1.92554
14	1	记者	9.97222
14	2	制作	11.9309
14	3	了	6.22511
14	4	获得	11.938
14	5	大奖	11.8587
14	6	的	0.136278
14	7	艺术家	13.7972
14	8	。	10.0574
15	1	他	5.65708
15	2	参与	12.8511
15	3	了	2.55793
15	4	伤害	19.6266
15	5	了	7.70685
15	6	很多	8.27211
15	7	家庭	6.65273
15	8	的	0.477888
15	9	战争	9.61714
15	10	。	1.86132
16	1	他	5.65708
16	2	建造	16.3933
16	3	了	3.246
16	4	伤害	21.0565
16	5	了	6.00878
16	6	很多	6.78316
16	7	家庭	7.04785
16	8	的	2.58802
16	9	战争	12.7853
16	10	。	2.15571
17	1	她	8.15034
17	2	批评	10.9438
17	3	了	5.62523
17	4	打	14.7643
17	5	游戏	13.2043
17	6	的	0.495826
17	7	儿子	7.36766
17	8	。	2.85655
18	1	她	8.15034
18	2	改正	18.8854
18	3	了	1.1815
18	4	打	14.106
18	5	游戏	13.6807
18	6	的	0.990105
18	7	儿子	7.56347
18	8	。	2.14042
19	1	我	5.25122
19	2	结束	17.8422
19	3	了	1.15026
19	4	令	12.2245
19	5	人	0.46103
19	6	开心	7.30976
19	7	的	0.0148032
19	8	谈话	8.27647
19	9	。	2.23449
20	1	我	5.25122
20	2	表扬	19.4508
20	3	了	1.31558
20	4	令	12.0835
20	5	人	0.506749
20	6	开心	6.84133
20	7	的	0.0203012
20	8	谈话	13.1996
20	9	。	2.16868
21	1	他	5.65708
21	2	买	14.1409
21	3	了	2.59685
21	4	这些	11.1779
21	5	可以	10.9322
21	6	带来	10.8397
21	7	好运	11.2717
21	8	的	0.471641
21	9	笔	13.5869
21	10	。	2.64718
22	1	他	5.65708
22	2	种	19.31
22	3	了	2.83492
22	4	这些	8.36262
22	5	可以	10.1431
22	6	带来	9.60998
22	7	好运	11.3851
22	8	的	0.554722
22	9	笔	14.1511
22	10	。	10.6362
23	1	他	5.65708
23	2	提出	9.87401
23	3	了	2.36757
23	4	很多	8.92364
23	5	引	15.1193
23	6	人	0.285367
23	7	思考	11.4953
23	8	的	0.247876
23	9	问题	5.08411
23	10	。	1.3537
24	1	他	5.65708
24	2	申请	13.4158
24	3	了	3.69817
24	4	很多	8.572
24	5	引	15.4422
24	6	人	0.261736
24	7	思考	12.1649
24	8	的	0.238703
24	9	问题	6.9415
24	10	。	1.25244
25	1	这	5.80101
25	2	款	12.4076
25	3	药	11.4752
25	4	治疗	18.6186
25	5	了	3.80836
25	6	困扰	15.2883
25	7	了	8.65308
25	8	他	6.2606
25	9	的	1.22403
25	10	疾病	11.8328
25	11	。	2.749
26	1	这	5.80101
26	2	款	12.4076
26	3	药	11.4752
26	4	缓解	16.1645
26	5	了	1.21245
26	6	困扰	15.2721
26	7	了	7.97958
26	8	他	7.66746
26	9	的	1.11912
26	10	疾病	12.659
26	11	。	2.75028
27	1	我	5.25122
27	2	看	7.92815
27	3	着	2.77788
27	4	奶奶	13.0697
27	5	的	11.9606
27	6	令	14.8158
27	7	我	2.22379
27	8	熟悉	11.3736
27	9	的	0.719256
27	10	面容	17.6395
27	11	。	2.66841
28	1	我	5.25122
28	2	听	9.80413
28	3	着	3.60171
28	4	奶奶	13.2497
28	5	的	11.5223
28	6	令	15.4323
28	7	我	1.92709
28	8	熟悉	11.3862
28	9	的	0.575469
28	10	面容	17.5986
28	11	。	3.23793
29	1	学者	15.322
29	2	发现	12.196
29	3	了	4.10037
29	4	这个	10.3491
29	5	解开	19.804
29	6	难题	16.7461
29	7	的	2.25034
29	8	规律	15.7774
29	9	。	6.49623
30	1	学者	15.322
30	2	发明	15.7278
30	3	了	2.27579
30	4	这个	10.4184
30	5	解开	19.9513
30	6	难题	16.971
30	7	的	1.22305
30	8	规律	14.4627
30	9	。	2.17106
31	1	母亲	13.1655
31	2	准备	12.0571
31	3	了	5.8249
31	4	符合	17.3806
31	5	孩子	7.47533
31	6	胃口	16.2526
31	7	的	0.266773
31	8	晚饭	14.6635
31	9	。	2.92258
32	1	母亲	13.1655
32	2	责备	18.975
32	3	了	3.86321
32	4	符合	17.9206
32	5	孩子	6.29418
32	6	胃口	16.4815
32	7	的	0.103587
32	8	晚饭	15.042
32	9	。	4.1891
33	1	孩子	13.27
33	2	培养	14.3519
33	3	了	3.03135
33	4	这个	9.33359
33	5	可以	10.5943
33	6	锻炼	14.3389
33	7	身体	12.3045
33	8	的	0.996652
33	9	特长	16.0898
33	10	。	1.81751
34	1	孩子	13.27
34	2	改正	17.892
34	3	了	3.22267
34	4	这个	9.94785
34	5	可以	11.2875
34	6	锻炼	14.3721
34	7	身体	12.219
34	8	的	1.18335
34	9	特长	16.4512
34	10	。	0.855019
35	1	政府	10.5339
35	2	设立	11.8589
35	3	了	1.79878
35	4	帮助	13.3373
35	5	老人	14.4079
35	6	的	3.67511
35	7	项目	10.9054
35	8	。	6.93633
36	1	政府	10.5339
36	2	引发	17.8997
36	3	了	1.17559
36	4	帮助	13.0303
36	5	老人	11.8374
36	6	的	2.92641
36	7	项目	16.5091
36	8	。	2.32659
37	1	我	5.25122
37	2	回忆	13.3822
37	3	了	3.8578
37	4	之前	16.1417
37	5	的	2.45623
37	6	令	14.9123
37	7	我	4.18015
37	8	难过	10.1417
37	9	的	0.0266183
37	10	经历	9.66124
37	11	。	2.58182
38	1	我	5.25122
38	2	帮助	15.8232
38	3	了	4.92016
38	4	之前	14.2287
38	5	的	6.61575
38	6	令	15.1845
38	7	我	3.34878
38	8	难过	10.777
38	9	的	0.0457208
38	10	经历	12.1209
38	11	。	2.63639
39	1	花园	19.194
39	2	长满	17.6651
39	3	了	3.34523
39	4	影响	17.2943
39	5	花朵	14.5924
39	6	成长	15.9368
39	7	的	0.33143
39	8	草	13.3437
39	9	。	4.62085
40	1	花园	19.194
40	2	吸引	15.7419
40	3	了	3.34259
40	4	影响	14.6701
40	5	花朵	17.8178
40	6	成长	13.6126
40	7	的	0.567706
40	8	草	16.096
40	9	。	3.94658
41	1	雨水	17.883
41	2	清洗	18.6967
41	3	了	7.09079
41	4	位于	15.0977
41	5	市中心	13.9529
41	6	的	0.363909
41	7	大楼	12.6757
41	8	。	1.20292
42	1	雨水	17.883
42	2	灌溉	16.3231
42	3	了	16.3576
42	4	位于	13.4061
42	5	市中心	15.2793
42	6	的	3.93417
42	7	大楼	11.7828
42	8	。	1.66679
43	1	我	5.25122
43	2	听从	17.6115
43	3	了	2.53879
43	4	老师	12.9292
43	5	的	2.36152
43	6	给	17.1074
43	7	了	5.46938
43	8	我	3.00627
43	9	信心	13.1515
43	10	的	3.11969
43	11	建议	12.0057
43	12	。	1.09721
44	1	我	5.25122
44	2	安装	17.1622
44	3	了	1.17664
44	4	老师	13.1044
44	5	的	2.37044
44	6	给	17.0953
44	7	了	5.13818
44	8	我	2.98327
44	9	信心	13.3939
44	10	的	2.69313
44	11	建议	11.9061
44	12	。	0.991121
45	1	警官	20.5775
45	2	疏散	16.495
45	3	了	6.82552
45	4	破坏	15.2472
45	5	了	2.27056
45	6	现场	13.8428
45	7	的	1.6887
45	8	人群	12.6963
45	9	。	2.63614
46	1	警官	20.5775
46	2	解除	14.6821
46	3	了	1.59501
46	4	破坏	16.3848
46	5	了	7.41895
46	6	现场	18.4022
46	7	的	2.56045
46	8	人群	12.7209
46	9	。	7.46544
47	1	他	5.65708
47	2	卖	14.4543
47	3	过	7.12815
47	4	一些	6.36884
47	5	帮助	10.5907
47	6	蔬菜	19.2166
47	7	成熟	15.6925
47	8	的	0.161094
47	9	化肥	17.938
47	10	。	1.24801
48	1	他	5.65708
48	2	摘	20.7523
48	3	过	5.3327
48	4	一些	6.54227
48	5	帮助	11.5381
48	6	蔬菜	19.0229
48	7	成熟	15.2964
48	8	的	0.257366
48	9	化肥	18.78
48	10	。	2.32617
49	1	她	8.15034
49	2	戴	13.5595
49	3	过	7.54258
49	4	导致	18.0265
49	5	她	6.48757
49	6	头痛	13.3048
49	7	的	0.0450653
49	8	耳机	15.0578
49	9	。	1.44902
50	1	她	8.15034
50	2	穿	12.8249
50	3	过	5.1914
50	4	导致	16.7712
50	5	她	6.22476
50	6	头痛	14.2253
50	7	的	0.0568157
50	8	耳机	15.1401
50	9	。	1.20461
51	1	他	5.65708
51	2	在	4.84551
51	3	学校	10.7125
51	4	里	5.81237
51	5	吃	10.1658
51	6	过	4.38988
51	7	满足	23.2176
51	8	他	6.53324
51	9	要求	16.6668
51	10	的	0.307455
51	11	饭	12.6577
51	12	。	1.58144
52	1	他	5.65708
52	2	在	4.84551
52	3	学校	10.7125
52	4	里	5.81237
52	5	讲	9.01416
52	6	过	2.53191
52	7	满足	21.2308
52	8	他	6.28826
52	9	要求	12.977
52	10	的	3.88487
52	11	饭	15.6457
52	12	。	1.53507
53	1	他	5.65708
53	2	见	12.4318
53	3	过	3.14039
53	4	经营	15.9216
53	5	超市	17.2173
53	6	的	2.30838
53	7	店长	20.1806
53	8	。	1.64913
54	1	他	5.65708
54	2	去	10.3758
54	3	过	7.25953
54	4	经营	18.2023
54	5	超市	16.0687
54	6	的	2.37155
54	7	店长	20.0702
54	8	。	9.07005
55	1	我	5.25122
55	2	听	9.80413
55	3	过	1.60362
55	4	这些	8.27162
55	5	打扰	18.4489
55	6	了	8.25211
55	7	邻居	17.2964
55	8	的	0.903234
55	9	声音	8.22778
55	10	。	1.93775
56	1	我	5.25122
56	2	见	11.1451
56	3	过	3.27636
56	4	这些	8.06754
56	5	打扰	17.9343
56	6	了	4.36966
56	7	邻居	19.9145
56	8	的	2.19401
56	9	声音	7.93225
56	10	。	2.01704
57	1	爷爷	15.6413
57	2	安装	16.4815
57	3	过	6.08184
57	4	打印	23.9211
57	5	文件	16.5113
57	6	的	2.72367
57	7	机器	15.0724
57	8	。	3.17015
58	1	爷爷	15.6413
58	2	种植	17.3228
58	3	过	9.30445
58	4	打印	24.1682
58	5	文件	18.3354
58	6	的	12.8383
58	7	机器	17.3399
58	8	。	4.29628
59	1	她	8.15034
59	2	说	2.48706
59	3	过	8.28141
59	4	这	5.47242
59	5	些	12.8587
59	6	伤害	11.295
59	7	彼此	16.2232
59	8	感情	15.4804
59	9	的	12.4736
59	10	话	15.2544
59	11	。	11.6674
60	1	她	8.15034
60	2	吃	13.0245
60	3	过	4.33575
60	4	这	7.51087
60	5	些	11.1056
60	6	伤害	13.2278
60	7	彼此	18.1581
60	8	感情	15.5324
60	9	的	1.33528
60	10	话	9.17027
60	11	。	2.11855
61	1	母亲	13.1655
61	2	买	13.0866
61	3	了	3.47954
61	4	包装	19.735
61	5	礼物	13.5779
61	6	的	13.3361
61	7	纸	19.1301
61	8	。	11.6831
62	1	母亲	13.1655
62	2	喝	13.0167
62	3	了	3.87501
62	4	包装	20.5743
62	5	礼物	13.5807
62	6	的	13.2895
62	7	纸	20.001
62	8	。	8.57467
