sentence_id	token_id	token	surprisal
1	1	那	7.49349
1	2	家	9.21012
1	3	老板	10.2027
1	4	投资	13.5748
1	5	的	4.5062
1	6	饭店	14.6865
1	7	很	8.16327
1	8	受	8.51483
1	9	欢迎	3.69553
1	10	。	3.26455
2	1	那	7.49349
2	2	个	6.91274
2	3	老板	15.0865
2	4	投资	14.4263
2	5	的	1.97205
2	6	饭店	15.4389
2	7	很	7.68711
2	8	受	8.62436
2	9	欢迎	3.51937
2	10	。	4.7485
3	1	那	7.49349
3	2	幅	12.0445
3	3	朋友	10.1517
3	4	喜欢	11.2692
3	5	的	8.04524
3	6	画	15.6273
3	7	吸引	15.2286
3	8	了	3.02001
3	9	我	3.84578
3	10	。	2.05828
4	1	那	7.49349
4	2	个	6.91274
4	3	朋友	9.0025
4	4	喜欢	11.4015
4	5	的	6.27326
4	6	画	17.2076
4	7	吸引	14.8291
4	8	了	2.9572
4	9	我	3.86268
4	10	。	2.79069
5	1	那	7.49349
5	2	件	8.19546
5	3	老师	16.1937
5	4	收藏	18.7284
5	5	的	0.894038
5	6	艺术品	17.7811
5	7	获	16.1967
5	8	了	2.59156
5	9	奖	10.255
5	10	。	1.13897
6	1	那	7.49349
6	2	个	6.91274
6	3	老师	10.8728
6	4	收藏	18.4691
6	5	的	0.964997
6	6	艺术品	17.9853
6	7	获	16.0005
6	8	了	2.59653
6	9	奖	10.1171
6	10	。	1.13898
7	1	那	7.49349
7	2	只	6.84145
7	3	店长	22.4287
7	4	喜欢	12.2278
7	5	的	3.55308
7	6	宠物	14.7387
7	7	生病	16.2972
7	8	了	2.0861
7	9	。	2.69264
8	1	那	7.49349
8	2	个	6.91274
8	3	店长	20.618
8	4	喜欢	10.8175
8	5	的	1.21654
8	6	宠物	16.2594
8	7	生病	16.8374
8	8	了	2.21697
8	9	。	2.90877
9	1	那	7.49349
9	2	首	11.3522
9	3	明星	13.8419
9	4	唱	13.2624
9	5	的	7.87194
9	6	歌	13.3607
9	7	很	8.79385
9	8	好听	9.7215
9	9	。	1.73916
10	1	那	7.49349
10	2	个	6.91274
10	3	明星	15.258
10	4	唱	14.9706
10	5	的	7.26228
10	6	歌	14.786
10	7	很	8.43161
10	8	好听	10.0038
10	9	。	2.44089
11	1	那	7.49349
11	2	所	13.5124
11	3	老人	14.8772
11	4	去	10.1872
11	5	的	8.10067
11	6	学校	9.31651
11	7	关闭	14.8724
11	8	了	1.84157
11	9	。	2.57998
12	1	那	7.49349
12	2	个	6.91274
12	3	老人	15.1558
12	4	去	9.02068
12	5	的	5.54768
12	6	学校	8.25603
