sentence_id	token_id	token	surprisal
1	1	那	7.49349
1	2	位	6.18692
1	3	教授	10.0742
1	4	写	10.9118
1	5	了	2.05214
1	6	读者	16.0235
1	7	喜欢	16.6387
1	8	的	3.29541
1	9	书	6.25426
1	10	的	13.2143
1	11	内容	13.2377
1	12	。	3.02889
2	1	那	7.49349
2	2	位	6.18692
2	3	教授	10.0742
2	4	打	12.5986
2	5	了	3.31262
2	6	读者	17.2455
2	7	喜欢	15.3829
2	8	的	5.17665
2	9	书	6.04484
2	10	的	13.1028
2	11	内容	14.3855
2	12	。	5.70676
3	1	弟弟	16.6469
3	2	启动	21.7795
3	3	了	2.34953
3	4	父亲	11.337
3	5	买	13.1433
3	6	的	1.94404
3	7	车	8.78245
3	8	。	3.1396
4	1	弟弟	16.6469
4	2	认识	12.8385
4	3	了	3.77788
4	4	父亲	9.64113
4	5	买	13.8174
4	6	的	2.98264
4	7	车	11.5743
4	8	。	9.37942
5	1	他	5.65708
5	2	拿	12.1141
5	3	了	2.96833
5	4	桌子	10.9635
5	5	上	8.66632
5	6	的	1.9663
5	7	妈妈	12.8974
5	8	放	15.1995
5	9	的	5.82696
5	10	筷子	17.1457
5	11	。	1.72277
6	1	他	5.65708
6	2	听	11.3263
6	3	了	3.24255
6	4	桌子	15.3587
6	5	上	12.8602
6	6	的	9.30007
6	7	妈妈	14.6035
6	8	放	12.5616
6	9	的	5.1492
6	10	筷子	17.6973
6	11	。	1.72939
7	1	她	8.15034
7	2	终于	11.7068
7	3	实现	14.4882
7	4	了	0.914535
7	5	她	7.37094
7	6	设立	14.2003
7	7	的	1.8011
7	8	理想	14.0601
7	9	。	1.66853
8	1	她	8.15034
8	2	终于	11.7068
8	3	购买	11.7876
8	4	了	1.19313
8	5	她	7.64966
8	6	设立	15.7942
8	7	的	0.85475
8	8	理想	15.5132
8	9	。	1.92067
9	1	我	5.25122
9	2	修理	17.767
9	3	了	2.01254
9	4	这个	6.25931
9	5	父亲	14.881
9	6	使用	13.5732
9	7	的	0.513288
9	8	电脑	11.6735
9	9	。	2.91133
10	1	我	5.25122
10	2	阅读	16.594
10	3	了	1.40237
10	4	这个	6.0873
10	5	父亲	13.9241
10	6	使用	13.6614
10	7	的	0.440704
10	8	电脑	11.9308
10	9	。	3.52684
11	1	我	5.25122
11	2	邀请	16.1204
11	3	过	6.03472
11	4	母亲	10.6369
11	5	认识	11.1436
11	6	的	4.14434
11	7	我	7.73594
11	8	的	2.47974
11	9	朋友	4.13997
11	10	。	2.70058
12	1	我	5.25122
12	2	打开	15.503
12	3	过	5.54956
12	4	母亲	11.703
12	5	认识	13.7258
12	6	的	1.24595
12	7	我	9.9435
12	8	的	0.92114
12	9	朋友	7.05653
12	10	。	3.20994
13	1	记者	9.97222
13	2	采访	7.48111
13	3	了	4.15997
13	4	人民	10.5179
13	5	喜爱	20.6377
13	6	的	1.34088
13	7	艺术家	17.0592
13	8	。	1.22453
14	1	记者	9.97222
14	2	制作	11.9309
14	3	了	6.22511
14	4	人民	12.8846
14	5	喜爱	14.3476
14	6	的	0.162568
14	7	艺术家	14.0057
14	8	。	10.8458
15	1	他	5.65708
15	2	参与	12.8511
15	3	了	2.55793
15	4	宗教	13.2441
15	5	引发	20.6907
15	6	的	4.91326
15	7	战争	7.92337
15	8	。	2.30393
16	1	他	5.65708
16	2	建造	16.3933
16	3	了	3.246
16	4	宗教	14.9208
16	5	引发	20.4595
16	6	的	3.75207
16	7	战争	9.16518
16	8	。	3.83009
17	1	她	8.15034
17	2	批评	10.9438
17	3	了	5.62523
17	4	她	5.66017
17	5	爱	11.3816
17	6	的	3.26792
17	7	儿子	6.08201
17	8	。	2.29353
18	1	她	8.15034
18	2	改正	18.8854
18	3	了	1.1815
18	4	她	5.83545
18	5	爱	11.8245
18	6	的	1.75328
18	7	儿子	6.07436
18	8	。	0.719501
19	1	我	5.25122
19	2	结束	17.8422
19	3	了	1.15026
19	4	我	5.4935
19	5	正在	9.56275
19	6	进行	7.41318
19	7	的	0.240299
19	8	谈话	8.55688
19	9	。	5.43976
20	1	我	5.25122
20	2	表扬	19.4508
20	3	了	1.31558
20	4	我	4.42072
20	5	正在	10.0512
20	6	进行	7.94503
20	7	的	0.84293
20	8	谈话	12.4938
20	9	。	5.20417
21	1	他	5.65708
21	2	买	14.1409
21	3	了	2.59685
21	4	这些	11.1779
21	5	我	10.5014
21	6	喜欢	7.39032
21	7	的	1.13199
21	8	笔	15.1979
21	9	。	2.93018
22	1	他	5.65708
22	2	种	19.31
22	3	了	2.83492
22	4	这些	8.36262
22	5	我	10.7191
22	6	喜欢	7.25006
22	7	的	1.30273
22	8	笔	14.535
22	9	。	9.77568
23	1	他	5.65708
23	2	提出	9.87401
23	3	了	2.36757
23	4	很多	8.92364
23	5	他	10.217
23	6	不	5.96131
23	7	理解	9.60681
23	8	的	0.467197
23	9	问题	4.98943
23	10	。	1.56882
24	1	他	5.65708
24	2	申请	13.4158
24	3	了	3.69817
24	4	很多	8.572
24	5	他	10.5409
24	6	不	6.63602
24	7	理解	10.5679
24	8	的	0.417294
24	9	问题	7.21597
24	10	。	1.43458
25	1	这	5.80101
25	2	款	12.4076
25	3	药	11.4752
25	4	治疗	18.6186
25	5	了	3.80836
25	6	医生	16.0437
25	7	诊断	17.2785
25	8	的	6.35874
25	9	他	9.39377
25	10	的	2.35514
25	11	疾病	11.7398
25	12	。	1.718
26	1	这	5.80101
26	2	款	12.4076
26	3	药	11.4752
26	4	缓解	16.1645
26	5	了	1.21245
26	6	医生	16.6436
26	7	诊断	16.2708
26	8	的	4.15789
26	9	他	11.1396
26	10	的	1.81822
26	11	疾病	12.2111
26	12	。	1.92564
27	1	我	5.25122
27	2	看	7.92815
27	3	着	2.77788
27	4	我	4.48134
27	5	想念	11.7519
27	6	的	9.84329
27	7	奶奶	11.0853
27	8	的	9.55602
27	9	面容	17.8336
27	10	。	2.44088
28	1	我	5.25122
28	2	听	9.80413
28	3	着	3.60171
28	4	我	4.46091
28	5	想念	11.6152
28	6	的	8.83217
28	7	奶奶	12.7038
28	8	的	8.06065
28	9	面容	18.2125
28	10	。	2.69885
29	1	学者	15.322
29	2	发现	12.196
29	3	了	4.10037
29	4	这个	10.3491
29	5	古人	17.01
29	6	留下	13.9957
29	7	的	0.192252
29	8	规律	15.4293
29	9	。	5.77228
30	1	学者	15.322
30	2	发明	15.7278
30	3	了	2.27579
30	4	这个	10.4184
30	5	古人	17.0768
30	6	留下	14.0356
30	7	的	0.142671
30	8	规律	14.2559
30	9	。	5.79742
31	1	母亲	13.1655
31	2	准备	12.0571
31	3	了	5.8249
31	4	儿子	11.9753
31	5	喜欢	13.4073
31	6	的	4.18936
31	7	晚饭	11.7567
31	8	。	2.5576
32	1	母亲	13.1655
32	2	责备	18.975
32	3	了	3.86321
32	4	儿子	10.4606
32	5	喜欢	15.0328
32	6	的	3.51706
32	7	晚饭	11.6565
32	8	。	3.98993
33	1	孩子	13.27
33	2	培养	14.3519
33	3	了	3.03135
33	4	这个	9.33359
33	5	母亲	11.014
33	6	欣赏	16.9463
33	7	的	4.45034
33	8	特长	17.8503
33	9	。	0.927293
34	1	孩子	13.27
34	2	改正	17.892
34	3	了	3.22267
34	4	这个	9.94785
34	5	母亲	8.95465
34	6	欣赏	17.004
34	7	的	4.11418
34	8	特长	19.5943
34	9	。	0.829267
35	1	政府	10.5339
35	2	设立	11.8589
35	3	了	1.79878
35	4	媒体	10.5585
35	5	提倡	17.7745
35	6	的	8.77987
35	7	项目	12.858
35	8	。	6.53885
36	1	政府	10.5339
36	2	引发	17.8997
36	3	了	1.17559
36	4	媒体	11.9068
36	5	提倡	12.6866
36	6	的	1.1666
36	7	项目	15.4839
36	8	。	2.03768
37	1	我	5.25122
37	2	回忆	13.3822
37	3	了	3.8578
37	4	同学	15.6333
37	5	提到	11.239
37	6	的	1.10858
37	7	之前	21.0196
37	8	的	3.0189
37	9	经历	9.25875
37	10	。	1.60421
38	1	我	5.25122
38	2	帮助	15.8232
38	3	了	4.92016
38	4	同学	13.5582
38	5	提到	12.1485
38	6	的	8.08578
38	7	之前	17.0691
38	8	的	8.47287
38	9	经历	15.002
38	10	。	6.82904
39	1	花园	19.194
39	2	长满	17.6651
39	3	了	3.34523
39	4	爷爷	18.5847
39	5	种	15.7366
39	6	的	1.01
39	7	草	12.6978
39	8	。	3.43395
40	1	花园	19.194
40	2	吸引	15.7419
40	3	了	3.34259
40	4	爷爷	18.6608
40	5	种	15.6189
40	6	的	3.00734
40	7	草	15.2687
40	8	。	7.61505
41	1	雨水	17.883
41	2	清洗	18.6967
41	3	了	7.09079
41	4	父亲	15.8683
41	5	建造	17.1858
41	6	的	0.745839
41	7	大楼	13.6194
41	8	。	0.70714
42	1	雨水	17.883
42	2	灌溉	16.3231
42	3	了	16.3576
42	4	父亲	17.4869
42	5	建造	17.5958
42	6	的	4.02641
42	7	大楼	11.3756
42	8	。	2.55341
43	1	我	5.25122
43	2	听从	17.6115
43	3	了	2.53879
43	4	母亲	11.0077
43	5	认同	16.4658
43	6	的	1.61033
43	7	老师	11.2704
43	8	的	7.76229
43	9	建议	9.61673
43	10	。	1.68747
44	1	我	5.25122
44	2	安装	17.1622
44	3	了	1.17664
44	4	母亲	11.0663
44	5	认同	17.1197
44	6	的	0.742343
44	7	老师	11.5775
44	8	的	8.31562
44	9	建议	10.7685
44	10	。	1.25925
45	1	警官	20.5775
45	2	疏散	16.495
45	3	了	6.82552
45	4	他	8.73542
45	5	看到	12.6476
45	6	的	9.13482
45	7	人群	14.3393
45	8	。	4.1161
46	1	警官	20.5775
46	2	解除	14.6821
46	3	了	1.59501
46	4	他	8.114
46	5	看到	12.5247
46	6	的	0.311605
46	7	人群	11.7853
46	8	。	6.4092
47	1	他	5.65708
47	2	卖	14.4543
47	3	过	7.12815
47	4	一些	6.36884
47	5	奶奶	14.3133
47	6	买	13.748
47	7	了	4.07507
47	8	的	3.90824
47	9	化肥	24.5529
47	10	。	1.40883
48	1	他	5.65708
48	2	摘	20.7523
48	3	过	5.3327
48	4	一些	6.54227
48	5	奶奶	12.9204
48	6	买	14.0361
48	7	了	2.93008
48	8	的	7.25809
48	9	化肥	26.2211
48	10	。	2.2174
49	1	她	8.15034
49	2	戴	13.5595
49	3	过	7.54258
49	4	我	9.35499
49	5	买	9.60653
49	6	的	8.61766
49	7	耳机	15.5736
49	8	。	2.24622
50	1	她	8.15034
50	2	穿	12.8249
50	3	过	5.1914
50	4	我	7.66746
50	5	买	11.5472
50	6	的	2.12021
50	7	耳机	14.0023
50	8	。	1.30228
51	1	他	5.65708
51	2	在	4.84551
51	3	学校	10.7125
51	4	里	5.81237
51	5	吃	10.1658
51	6	过	4.38988
51	7	厨师	20.9449
51	8	做	8.62322
51	9	的	7.81213
51	10	饭	12.1078
51	11	。	1.391
52	1	他	5.65708
52	2	在	4.84551
52	3	学校	10.7125
52	4	里	5.81237
52	5	讲	9.01416
52	6	过	2.53191
52	7	厨师	21.0091
52	8	做	11.9163
52	9	的	2.819
52	10	饭	12.1655
52	11	。	1.27963
53	1	他	5.65708
53	2	见	12.4318
53	3	过	3.14039
53	4	我	6.74401
53	5	认识	9.38785
53	6	的	7.87189
53	7	店长	26.2557
53	8	。	2.17516
54	1	他	5.65708
54	2	去	10.3758
54	3	过	7.25953
54	4	我	6.32164
54	5	认识	10.5107
54	6	的	11.9144
54	7	店长	22.1154
54	8	。	2.97375
55	1	我	5.25122
55	2	听	9.80413
55	3	过	1.60362
55	4	这些	8.27162
55	5	孩子	7.97013
55	6	制造	16.2306
55	7	的	2.49739
55	8	声音	6.66631
55	9	。	1.70997
56	1	我	5.25122
56	2	见	11.1451
56	3	过	3.27636
56	4	这些	8.06754
56	5	孩子	6.99871
56	6	制造	15.6177
56	7	的	9.07091
56	8	声音	13.742
56	9	。	1.38245
57	1	爷爷	15.6413
57	2	安装	16.4815
57	3	过	6.08184
57	4	他	7.55056
57	5	设计	15.9446
57	6	的	0.427684
57	7	机器	10.2348
57	8	。	2.2079
58	1	爷爷	15.6413
58	2	种植	17.3228
58	3	过	9.30445
58	4	他	7.95799
58	5	设计	15.5734
58	6	的	0.531844
58	7	机器	9.19078
58	8	。	2.10415
59	1	她	8.15034
59	2	说	2.48706
59	3	过	8.28141
59	4	这	5.47242
59	5	些	12.8587
59	6	我	10.1572
59	7	听	9.47147
59	8	过	3.37704
59	9	的	2.43308
59	10	话	3.82968
59	11	。	2.47489
60	1	她	8.15034
60	2	吃	13.0245
60	3	过	4.33575
60	4	这	7.51087
60	5	些	11.1056
60	6	我	10.8891
60	7	听	8.64717
60	8	过	4.81694
60	9	的	0.624822
60	10	话	4.46663
60	11	。	2.22406
61	1	母亲	13.1655
61	2	买	13.0866
61	3	了	3.47954
61	4	她	9.65796
61	5	用	11.4701
61	6	过	7.14346
61	7	的	11.8743
61	8	纸	16.7831
61	9	。	7.0598
62	1	母亲	13.1655
62	2	喝	13.0167
62	3	了	3.87501
62	4	她	11.3747
62	5	用	12.0318
62	6	过	7.98497
62	7	的	1.51624
62	8	纸	14.4327
62	9	。	10.9237
