sentence_id	token_id	token	surprisal
1	1	记者	10.2074
1	2	采访	8.35926
1	3	了	4.34739
1	4	研发	21.5485
1	5	产品	13.283
1	6	并且	12.0229
1	7	获	9.80696
1	8	了	6.46835
1	9	奖	12.0411
1	10	。	0.938401
2	1	记者	10.2074
2	2	采访	8.35926
2	3	了	4.34739
2	4	研发	21.5485
2	5	产品	13.283
2	6	并且	12.0229
2	7	获	9.80696
2	8	了	6.46835
2	9	奖	12.0411
2	10	的	1.49729
2	11	科学家	7.80023
2	12	。	0.727938
3	1	他	6.15281
3	2	认识	11.9949
3	3	了	3.50532
3	4	写	14.6867
3	5	书	8.52766
3	6	并且	12.5066
3	7	教	10.1053
3	8	课	18.7509
3	9	。	15.834
4	1	他	6.15281
4	2	认识	11.9949
4	3	了	3.50532
4	4	写	14.6867
4	5	书	8.52766
4	6	并且	12.5066
4	7	教	10.1053
4	8	课	18.7509
4	9	的	1.95166
4	10	老师	7.55383
4	11	。	1.64083
5	1	他	6.15281
5	2	拍	14.6284
5	3	下	13.8147
5	4	了	13.1164
5	5	获得	12.7399
5	6	大奖	14.765
5	7	并且	13.6542
5	8	吸引	12.944
5	9	游客	7.65642
5	10	。	0.905319
6	1	他	6.15281
6	2	拍	14.6284
6	3	下	13.8147
6	4	了	13.1164
6	5	获得	12.7399
6	6	大奖	14.765
6	7	并且	13.6542
6	8	吸引	12.944
6	9	游客	7.65642
6	10	的	7.68031
6	11	艺术品	15.7473
6	12	。	1.25485
7	1	我们	6.95907
7	2	参加	12.3451
7	3	了	2.19267
7	4	吸引	16.1205
7	5	学生	8.8301
7	6	并且	15.9304
7	7	受到	10.4637
7	8	好评	9.6164
7	9	。	15.6708
8	1	我们	6.95907
8	2	参加	12.3451
8	3	了	2.19267
8	4	吸引	16.1205
8	5	学生	8.8301
8	6	并且	15.9304
8	7	受到	10.4637
8	8	好评	9.6164
8	9	的	0.0448332
8	10	活动	8.37185
8	11	。	0.405933
9	1	他	6.15281
9	2	想起	13.2858
9	3	了	1.1292
9	4	写	14.837
9	5	过	4.07852
9	6	歌	16.4761
9	7	而且	13.863
9	8	写	6.89629
9	9	过	2.87697
9	10	书	7.86472
9	11	。	12.6369
10	1	他	6.15281
10	2	想起	13.2858
10	3	了	1.1292
10	4	写	14.837
10	5	过	4.07852
10	6	歌	16.4761
10	7	而且	13.863
10	8	写	6.89629
10	9	过	2.87697
10	10	书	7.86472
10	11	的	0.25097
10	12	同学	11.4219
10	13	。	2.30073
11	1	司机	17.1132
11	2	启动	19.6963
11	3	了	2.0334
11	4	装有	16.7908
11	5	音响	14.1889
11	6	并且	17.133
11	7	配备	15.3501
11	8	屏幕	15.7057
11	9	。	17.2234
12	1	司机	17.1132
12	2	启动	19.6963
12	3	了	2.0334
12	4	装有	16.7908
12	5	音响	14.1889
12	6	并且	17.133
12	7	配备	15.3501
12	8	屏幕	15.7057
12	9	的	0.653845
12	10	车	9.81121
12	11	。	6.07268
13	1	爸爸	12.2864
13	2	买	11.2186
13	3	了	1.83183
13	4	带	12.388
13	5	家具	18.6698
13	6	还	10.8993
13	7	配	15.9875
13	8	保险	18.359
13	9	。	2.23597
14	1	爸爸	12.2864
14	2	买	11.2186
14	3	了	1.83183
14	4	带	12.388
14	5	家具	18.6698
14	6	还	10.8993
14	7	配	15.9875
14	8	保险	18.359
14	9	的	1.88752
14	10	房子	5.83572
14	11	。	0.413476
15	1	他	6.15281
15	2	损失	21.0138
15	3	了	3.72755
15	4	买	16.2321
15	5	药	9.13592
15	6	和	6.6749
15	7	买	7.87715
15	8	菜	7.49467
15	9	。	2.59434
16	1	他	6.15281
16	2	损失	21.0138
16	3	了	3.72755
16	4	买	16.2321
16	5	药	9.13592
16	6	和	6.6749
16	7	买	7.87715
16	8	菜	7.49467
16	9	的	0.589131
16	10	现金	11.3553
16	11	。	1.79923
17	1	我	6.0542
17	2	拜访	13.7329
17	3	了	4.88852
17	4	去	13.7442
17	5	过	5.90864
17	6	中国	5.66783
17	7	并且	12.1534
17	8	去	5.66908
17	9	过	7.679
17	10	美国	7.67536
17	11	。	5.82913
18	1	我	6.0542
18	2	拜访	13.7329
18	3	了	4.88852
18	4	去	13.7442
18	5	过	5.90864
18	6	中国	5.66783
18	7	并且	12.1534
18	8	去	5.66908
18	9	过	7.679
18	10	美国	7.67536
18	11	的	1.12514
18	12	邻居	12.171
18	13	。	5.93537
19	1	爷爷	16.1903
19	2	中止	22.573
19	3	了	1.75173
19	4	引发	15.5545
19	5	争吵	15.3914
19	6	并且	15.7195
19	7	伤害	10.1084
19	8	亲情	21.1688
19	9	。	4.31655
20	1	爷爷	16.1903
20	2	中止	22.573
20	3	了	1.75173
20	4	引发	15.5545
20	5	争吵	15.3914
20	6	并且	15.7195
20	7	伤害	10.1084
20	8	亲情	21.1688
20	9	的	0.274229
20	10	谈话	15.8906
20	11	。	1.68352
21	1	她	8.71203
21	2	提到	10.3747
21	3	了	2.63953
21	4	看	12.6664
21	5	着	4.14877
21	6	电视	9.19761
21	7	和	6.63374
21	8	听	14.6701
21	9	着	8.19238
21	10	歌	14.8142
21	11	。	13.2809
22	1	她	8.71203
22	2	提到	10.3747
22	3	了	2.63953
22	4	看	12.6664
22	5	着	4.14877
22	6	电视	9.19761
22	7	和	6.63374
22	8	听	14.6701
22	9	着	8.19238
22	10	歌	14.8142
22	11	的	0.198583
22	12	女儿	9.97625
22	13	。	2.20851
23	1	医生	13.5452
23	2	表扬	19.5833
23	3	了	0.473781
23	4	帮助	13.3228
23	5	老人	12.322
23	6	并且	11.8075
23	7	关心	9.73515
23	8	同学	15.2711
23	9	。	4.04394
24	1	医生	13.5452
24	2	表扬	19.5833
24	3	了	0.473781
24	4	帮助	13.3228
24	5	老人	12.322
24	6	并且	11.8075
24	7	关心	9.73515
24	8	同学	15.2711
24	9	的	0.890394
24	10	孩子	4.87003
24	11	。	0.620983
25	1	她	8.71203
25	2	介绍	11.0162
25	3	了	2.02796
25	4	生产	13.5067
25	5	电视	14.4488
25	6	并且	11.9543
25	7	安装	11.4753
25	8	电视	13.3939
25	9	。	4.35029
26	1	她	8.71203
26	2	介绍	11.0162
26	3	了	2.02796
26	4	生产	13.5067
26	5	电视	14.4488
26	6	并且	11.9543
26	7	安装	11.4753
26	8	电视	13.3939
26	9	的	3.92509
26	10	工厂	14.2101
26	11	。	0.722145
27	1	我	6.0542
27	2	洗	17.988
27	3	了	3.30796
27	4	陪伴	18.0973
27	5	过	7.04105
27	6	母亲	9.4404
27	7	也	11.5471
27	8	陪伴	11.312
27	9	过	4.30587
27	10	我	4.81395
27	11	。	6.15876
28	1	我	6.0542
28	2	洗	17.988
28	3	了	3.30796
28	4	陪伴	18.0973
28	5	过	7.04105
28	6	母亲	9.4404
28	7	也	11.5471
28	8	陪伴	11.312
28	9	过	4.30587
28	10	我	4.81395
28	11	的	0.490328
28	12	衣服	10.937
28	13	。	0.974299
29	1	学生	13.1673
29	2	们	20.5842
29	3	写	13.5841
29	4	着	2.04548
29	5	困扰	16.8497
29	6	他们	7.49264
29	7	还	15.9945
29	8	困扰	14.7384
29	9	家长	11.5295
29	10	。	19.9177
30	1	学生	13.1673
30	2	们	20.5842
30	3	写	13.5841
30	4	着	2.04548
30	5	困扰	16.8497
30	6	他们	7.49264
30	7	还	15.9945
30	8	困扰	14.7384
30	9	家长	11.5295
30	10	的	0.582408
30	11	作业	12.4857
30	12	。	3.80661
31	1	店长	19.3738
31	2	拿	16.2578
31	3	着	1.6856
31	4	开	13.9652
31	5	大门	15.9394
31	6	和	8.54565
31	7	开	10.6287
31	8	仓库	13.8718
31	9	。	12.5467
32	1	店长	19.3738
32	2	拿	16.2578
32	3	着	1.6856
32	4	开	13.9652
32	5	大门	15.9394
32	6	和	8.54565
32	7	开	10.6287
32	8	仓库	13.8718
32	9	的	0.489445
32	10	钥匙	12.7115
32	11	。	7.55576
33	1	有人	17.564
33	2	听	15.424
33	3	着	5.06323
33	4	打扰	18.8974
33	5	了	12.3493
33	6	邻居	14.7313
33	7	而且	18.1293
33	8	触发	16.0908
33	9	了	4.884
33	10	警报	15.9036
33	11	。	5.41649
34	1	有人	17.564
34	2	听	15.424
34	3	着	5.06323
34	4	打扰	18.8974
34	5	了	12.3493
34	6	邻居	14.7313
34	7	而且	18.1293
34	8	触发	16.0908
34	9	了	4.884
34	10	警报	15.9036
34	11	的	1.46253
34	12	音乐	10.9758
34	13	。	13.9185
35	1	我	6.0542
35	2	观察	14.6885
35	3	着	6.45839
35	4	经营	16.0958
35	5	商店	14.1273
35	6	还	11.1728
35	7	经营	13.3116
35	8	餐厅	15.9582
35	9	。	1.57765
36	1	我	6.0542
36	2	观察	14.6885
36	3	着	6.45839
36	4	经营	16.0958
36	5	商店	14.1273
36	6	还	11.1728
36	7	经营	13.3116
36	8	餐厅	15.9582
36	9	的	3.88548
36	10	男人	15.242
36	11	。	1.13469
37	1	学生	13.1673
37	2	们	20.5842
37	3	读	18.0036
37	4	着	3.33736
37	5	描述	17.1369
37	6	故事	8.63255
37	7	并且	16.0384
37	8	带来	13.6204
37	9	乐趣	13.0216
37	10	。	18.5896
38	1	学生	13.1673
38	2	们	20.5842
38	3	读	18.0036
38	4	着	3.33736
38	5	描述	17.1369
38	6	故事	8.63255
38	7	并且	16.0384
38	8	带来	13.6204
38	9	乐趣	13.0216
38	10	的	0.0578669
38	11	书	11.2746
38	12	。	6.93228
39	1	教练	20.4169
39	2	创办	16.1594
39	3	过	13.5349
39	4	教	18.2648
39	5	动作	15.6941
39	6	并且	14.112
39	7	辅导	17.4325
39	8	孩子	10.0117
39	9	。	3.6242
40	1	教练	20.4169
40	2	创办	16.1594
40	3	过	13.5349
40	4	教	18.2648
40	5	动作	15.6941
40	6	并且	14.112
40	7	辅导	17.4325
40	8	孩子	10.0117
40	9	的	4.84625
40	10	健身房	20.0028
40	11	。	4.03803
41	1	我	6.0542
41	2	喜欢	7.61329
41	3	过	6.27556
41	4	给	10.7407
41	5	我	3.05949
41	6	信心	10.6037
41	7	并且	17.8446
41	8	帮助	11.7463
41	9	过	8.69307
41	10	我	3.77781
41	11	。	2.23136
42	1	我	6.0542
42	2	喜欢	7.61329
42	3	过	6.27556
42	4	给	10.7407
42	5	我	3.05949
42	6	信心	10.6037
42	7	并且	17.8446
42	8	帮助	11.7463
42	9	过	8.69307
42	10	我	3.77781
42	11	的	3.78642
42	12	音乐	13.3637
42	13	。	1.68766
43	1	她	8.71203
43	2	开	11.6634
43	3	过	4.92633
43	4	容纳	22.6071
43	5	很多	11.0531
43	6	人	1.64371
43	7	并且	20.243
43	8	通过	11.4323
43	9	安全	9.91948
43	10	测试	12.4986
43	11	。	15.5335
44	1	她	8.71203
44	2	开	11.6634
44	3	过	4.92633
44	4	容纳	22.6071
44	5	很多	11.0531
44	6	人	1.64371
44	7	并且	20.243
44	8	通过	11.4323
44	9	安全	9.91948
44	10	测试	12.4986
44	11	的	0.465317
44	12	车	7.92214
44	13	。	2.75387
45	1	他	6.15281
45	2	修理	17.8784
45	3	过	7.98394
45	4	丢失	19.0584
45	5	了	1.27933
45	6	芯片	20.7682
45	7	还	13.0905
45	8	丢失	16.9231
45	9	了	0.15305
45	10	屏幕	14.3327
45	11	。	0.671244
46	1	他	6.15281
46	2	修理	17.8784
46	3	过	7.98394
46	4	丢失	19.0584
46	5	了	1.27933
46	6	芯片	20.7682
46	7	还	13.0905
46	8	丢失	16.9231
46	9	了	0.15305
46	10	屏幕	14.3327
46	11	的	14.7702
46	12	电脑	19.2867
46	13	。	4.36844
47	1	他	6.15281
47	2	讲	11.8363
47	3	过	3.15353
47	4	介绍	13.6209
47	5	画家	21.454
47	6	并且	11.9209
47	7	介绍	10.539
47	8	博物馆	14.5736
