sentence_id	token_id	token	surprisal
1	1	我	5.25122
1	2	很	6.98119
1	3	喜欢	3.03657
1	4	一	6.3016
1	5	位	3.54712
1	6	国内	14.3169
1	7	的	2.85216
1	8	明星	10.6333
1	9	。	1.56485
2	1	我	5.25122
2	2	很	6.98119
2	3	喜欢	3.03657
2	4	一	6.3016
2	5	首	8.72512
2	6	国内	15.2046
2	7	的	2.95623
2	8	明星	10.6356
2	9	。	1.11631
3	1	我	5.25122
3	2	很	6.98119
3	3	喜欢	3.03657
3	4	一	6.3016
3	5	首	8.72512
3	6	国内	15.2046
3	7	的	2.95623
3	8	歌曲	11.023
3	9	。	1.19442
4	1	我	5.25122
4	2	很	6.98119
4	3	喜欢	3.03657
4	4	一	6.3016
4	5	位	3.54712
4	6	国内	14.3169
4	7	的	2.85216
4	8	歌曲	11.2096
4	9	。	1.62455
5	1	她	8.15034
5	2	开车	12.3517
5	3	去	6.87651
5	4	了	2.47022
5	5	一	3.86148
5	6	家	3.0463
5	7	郊外	14.5484
5	8	的	5.24945
5	9	店	11.5027
5	10	。	0.904742
6	1	她	8.15034
6	2	开车	12.3517
6	3	去	6.87651
6	4	了	2.47022
6	5	一	3.86148
6	6	座	6.81041
6	7	郊外	14.6695
6	8	的	4.95765
6	9	店	12.3584
6	10	。	0.893361
7	1	她	8.15034
7	2	开车	12.3517
7	3	去	6.87651
7	4	了	2.47022
7	5	一	3.86148
7	6	座	6.81041
7	7	郊外	14.6695
7	8	的	4.95765
7	9	山	14.1487
7	10	。	0.737634
8	1	她	8.15034
8	2	开车	12.3517
8	3	去	6.87651
8	4	了	2.47022
8	5	一	3.86148
8	6	家	3.0463
8	7	郊外	14.5484
8	8	的	5.24945
8	9	山	14.8121
8	10	。	0.831249
9	1	他	5.65708
9	2	有	7.84527
9	3	一	2.67904
9	4	双	15.6784
9	5	蓝色	14.773
9	6	的	0.455655
9	7	手套	11.8396
9	8	。	2.21254
10	1	他	5.65708
10	2	有	7.84527
10	3	一	2.67904
10	4	枚	10.3324
10	5	蓝色	13.0337
10	6	的	0.390526
10	7	手套	13.4434
10	8	。	3.21158
11	1	他	5.65708
11	2	有	7.84527
11	3	一	2.67904
11	4	枚	10.3324
11	5	蓝色	13.0337
11	6	的	0.390526
11	7	纽扣	17.4295
11	8	。	3.29062
12	1	他	5.65708
12	2	有	7.84527
12	3	一	2.67904
12	4	双	15.6784
12	5	蓝色	14.773
12	6	的	0.455655
12	7	纽扣	18.1128
12	8	。	2.4408
13	1	店长	19.448
13	2	拿	13.1185
13	3	着	1.68681
13	4	一	3.44215
13	5	只	7.02352
13	6	便宜	13.1221
13	7	的	0.311908
13	8	兔子	15.2132
13	9	。	4.25171
14	1	店长	19.448
14	2	拿	13.1185
14	3	着	1.68681
14	4	一	3.44215
14	5	根	7.06059
14	6	便宜	11.1723
14	7	的	0.448864
14	8	兔子	14.9579
14	9	。	4.62415
15	1	店长	19.448
15	2	拿	13.1185
15	3	着	1.68681
15	4	一	3.44215
15	5	根	7.06059
15	6	便宜	11.1723
15	7	的	0.448864
15	8	萝卜	17.1374
15	9	。	4.38235
16	1	店长	19.448
16	2	拿	13.1185
16	3	着	1.68681
16	4	一	3.44215
16	5	只	7.02352
16	6	便宜	13.1221
16	7	的	0.311908
16	8	萝卜	17.2632
