sentence_id	token_id	token	surprisal
1	1	那	7.24457066948
1	2	家	10.2051002169
1	3	亲切	17.0379972509
1	4	的	5.86128323408
1	5	老板	11.5808291254
1	6	投资	10.8347588193
1	7	的	3.6139455661
1	8	饭店	15.9505699155
1	9	很	7.14139094959
1	10	受	7.88365977466
1	11	欢迎	2.00548167761
1	12	。	3.26632149078
2	1	那	7.24457066948
2	2	个	8.62863496833
2	3	亲切	16.3202923001
2	4	的	5.86128323408
2	5	老板	11.5808291254
2	6	投资	10.8347588193
2	7	的	3.6139455661
2	8	饭店	15.9505699155
2	9	很	7.14139094959
2	10	受	7.88365977466
2	11	欢迎	2.00548167761
2	12	。	3.26632149078
3	1	那	7.24457066948
3	2	幅	17.636258726
3	3	聪明	15.6521960816
3	4	的	2.20095779958
3	5	朋友	9.92965235423
3	6	喜欢	13.6675854527
3	7	的	4.32639958127
3	8	画	14.9661116404
3	9	吸引	12.6181521877
3	10	了	3.60824494767
3	11	我	7.50289957987
3	12	。	5.22787475546
4	1	那	7.24457066948
4	2	个	8.62863496833
4	3	聪明	14.2385812751
4	4	的	2.20095779958
4	5	朋友	9.92965235423
4	6	喜欢	13.6675854527
4	7	的	4.32639958127
4	8	画	14.9661116404
4	9	吸引	12.6181521877
4	10	了	3.60824494767
4	11	我	7.50289957987
4	12	。	5.22787475546
5	1	那	7.24457066948
5	2	件	6.5059579462
5	3	细心	19.145133631
5	4	的	2.24186332025
5	5	老师	12.1919378051
5	6	收藏	15.5754754797
5	7	的	2.08446349643
5	8	艺术品	17.7975704594
5	9	获	13.3143761882
5	10	了	8.18321132897
5	11	奖	14.9595064281
5	12	。	3.60245496141
6	1	那	7.24457066948
6	2	个	8.62863496833
6	3	细心	14.2385812751
6	4	的	2.24186332025
6	5	老师	12.1919378051
6	6	收藏	15.5754754797
6	7	的	2.08446349643
6	8	艺术品	17.7975704594
6	9	获	13.3143761882
6	10	了	8.18321132897
6	11	奖	14.9595064281
6	12	。	3.60245496141
7	1	那	7.24457066948
7	2	只	9.33001875113
7	3	负责	13.6051085208
7	4	的	3.69764468105
7	5	店长	21.4970604323
7	6	喜欢	13.3003148145
7	7	的	4.32639958127
7	8	宠物	17.490738328
7	9	生病	16.290717467
7	10	了	3.63151868779
7	11	。	4.69008139407
8	1	那	7.24457066948
8	2	个	8.62863496833
8	3	负责	14.2385812751
8	4	的	3.69764468105
8	5	店长	21.4970604323
8	6	喜欢	13.3003148145
8	7	的	4.32639958127
8	8	宠物	17.490738328
8	9	生病	16.290717467
8	10	了	3.63151868779
8	11	。	4.69008139407
9	1	那	7.24457066948
9	2	首	9.33001875113
9	3	有名	16.6088933519
9	4	的	0.680394550715
9	5	明星	13.6933732748
9	6	唱	14.3592330507
9	7	的	3.24535121415
9	8	歌	13.6377679086
9	9	很	10.4709509036
9	10	好听	21.7687006388
9	11	。	6.32301456471
10	1	那	7.24457066948
10	2	个	8.62863496833
10	3	有名	14.2385812751
10	4	的	0.680394550715
10	5	明星	13.6933732748
10	6	唱	14.3592330507
10	7	的	3.24535121415
10	8	歌	13.6377679086
10	9	很	10.4709509036
10	10	好听	21.7687006388
10	11	。	6.32301456471
11	1	那	7.24457066948
11	2	所	11.0382679487
11	3	富有	15.3780532365
11	4	的	6.44624741216
11	5	老人	12.7408401389
11	6	去	10.910980808
11	7	的	6.47202296384
11	8	学校	11.3348167562
11	9	关闭	13.8748209697
11	10	了	3.21092082762
11	11	。	4.17262736145
12	1	那	7.24457066948
12	2	个	8.62863496833
12	3	富有	14.2385812751
12	4	的	6.44624741216
12	5	老人	12.7408401389
12	6	去	10.910980808
12	7	的	6.47202296384
12	8	学校	11.3348167562
12	9	关闭	13.8748209697
12	10	了	3.21092082762
12	11	。	4.17262736145
13	1	那	7.24457066948
13	2	件	6.5059579462
13	3	紧张	15.5098086941
13	4	的	2.93237670132
13	5	司机	14.2631385134
13	6	带	12.4954717087
13	7	的	6.71063361748
13	8	行李	17.490738328
13	9	丢	14.7676927085
13	10	了	3.8939409722
13	11	。	4.17262736145
14	1	那	7.24457066948
14	2	个	8.62863496833
14	3	紧张	13.4501377076
14	4	的	2.93237670132
14	5	司机	14.2631385134
14	6	带	12.4954717087
14	7	的	6.71063361748
14	8	行李	17.490738328
14	9	丢	14.7676927085
14	10	了	3.8939409722
14	11	。	4.17262736145
15	1	那	7.24457066948
15	2	本	7.73204467269
15	3	有名	16.8098081342
15	4	的	0.680394550715
15	5	作家	12.7964452005
15	6	写	8.44545809328
15	7	的	3.09589684315
15	8	书	11.164977714
15	9	很	10.9925262785
15	10	受	7.88365977466
15	11	欢迎	2.00548167761
15	12	。	3.26632149078
16	1	那	7.24457066948
16	2	个	8.62863496833
16	3	有名	14.2385812751
16	4	的	0.680394550715
16	5	作家	12.7964452005
16	6	写	8.44545809328
16	7	的	3.09589684315
16	8	书	11.164977714
16	9	很	10.9925262785
16	10	受	7.88365977466
16	11	欢迎	2.00548167761
16	12	。	3.26632149078
17	1	那	7.24457066948
17	2	辆	7.44136298925
17	3	熟悉	15.2073183135
17	4	的	1.9250545608
17	5	朋友	9.92965235423
17	6	开	12.5761496348
17	7	的	5.0557054921
17	8	车	11.915772194
17	9	坏	14.3654344429
17	10	了	3.26280128515
17	11	。	4.25611537713
18	1	那	7.24457066948
18	2	个	8.62863496833
18	3	熟悉	14.2385812751
18	4	的	1.9250545608
18	5	朋友	9.92965235423
18	6	开	12.5761496348
18	7	的	5.0557054921
18	8	车	11.915772194
18	9	坏	14.3654344429
18	10	了	3.26280128515
18	11	。	4.25611537713
19	1	那	7.24457066948
19	2	份	7.73204467269
19	3	淘气	21.4105841879
19	4	的	3.05392855165
19	5	孩子	9.86756417919
19	6	做	10.5022066054
19	7	的	3.80588651553
19	8	作业	13.8835695967
19	9	获	13.9046196014
19	10	了	8.18321132897
19	11	奖	14.9595064281
19	12	。	3.60245496141
20	1	那	7.24457066948
20	2	个	8.62863496833
20	3	淘气	14.2385812751
20	4	的	3.05392855165
20	5	孩子	9.86756417919
20	6	做	10.5022066054
20	7	的	3.80588651553
20	8	作业	13.8835695967
20	9	获	13.9046196014
20	10	了	8.18321132897
20	11	奖	14.9595064281
20	12	。	3.60245496141
21	1	那	7.24457066948
21	2	份	7.73204467269
21	3	严格	13.5376118714
21	4	的	2.19135629659
21	5	老板	11.5808291254
21	6	制定	13.047067108
21	7	的	3.45511393947
21	8	合同	12.98266291
21	9	到期	18.9653249114
21	10	了	7.75365762696
21	11	。	4.17262736145
22	1	那	7.24457066948
22	2	个	8.62863496833
22	3	严格	14.2385812751
22	4	的	2.19135629659
22	5	老板	11.5808291254
22	6	制定	13.047067108
22	7	的	3.45511393947
22	8	合同	12.98266291
22	9	到期	18.9653249114
22	10	了	7.75365762696
22	11	。	4.17262736145
23	1	那	7.24457066948
23	2	间	13.1651628996
23	3	负责	12.9405501954
23	4	的	3.69764468105
23	5	朋友	9.99776802001
23	6	开	12.5761496348
23	7	的	5.0557054921
23	8	工厂	12.98266291
23	9	倒闭	8.05392821617
23	10	了	5.05392831202
23	11	。	4.17262736145
24	1	那	7.24457066948
24	2	个	8.62863496833
24	3	负责	14.2385812751
24	4	的	3.69764468105
24	5	朋友	9.99776802001
24	6	开	12.5761496348
24	7	的	5.0557054921
24	8	工厂	12.98266291
24	9	倒闭	8.05392821617
24	10	了	5.05392831202
24	11	。	4.17262736145
25	1	那	7.24457066948
25	2	张	7.73204467269
25	3	聪明	16.0048935203
25	4	的	2.20095779958
25	5	孩子	9.86756417919
25	6	照	16.5266954128
25	7	的	5.69244669146
25	8	照片	11.915772194
25	9	丢	15.0774601848
25	10	了	3.8939409722
25	11	。	4.17262736145
26	1	那	7.24457066948
26	2	个	8.62863496833
26	3	聪明	14.2385812751
26	4	的	2.20095779958
26	5	孩子	9.86756417919
26	6	照	16.5266954128
26	7	的	5.69244669146
26	8	照片	11.915772194
26	9	丢	15.0774601848
26	10	了	3.8939409722
26	11	。	4.17262736145
27	1	那	7.24457066948
27	2	台	13.5749282137
27	3	负责	12.6095962926
27	4	的	3.69764468105
27	5	老师	12.2600543931
27	6	用	7.6760970468
27	7	的	4.72850241805
27	8	手机	12.4473538896
27	9	很	10.250245461
27	10	好用	19.6090808173
27	11	。	6.51464967892
28	1	那	7.24457066948
28	2	个	8.62863496833
28	3	负责	14.2385812751
28	4	的	3.69764468105
28	5	老师	12.2600543931
28	6	用	7.6760970468
28	7	的	4.72850241805
28	8	手机	12.4473538896
28	9	很	10.250245461
28	10	好用	19.6090808173
28	11	。	6.51464967892
29	1	那	7.24457066948
29	2	朵	22.4761455474
29	3	细心	16.8874582953
29	4	的	2.24186332025
29	5	邻居	12.1919378051
29	6	种	12.4517002106
29	7	的	8.24261719333
29	8	花	14.1265325812
29	9	很	10.9297516927
29	10	好看	17.8741879641
29	11	。	3.30959112931
30	1	那	7.24457066948
30	2	个	8.62863496833
30	3	细心	14.2385812751
30	4	的	2.24186332025
30	5	邻居	12.1919378051
30	6	种	12.4517002106
30	7	的	8.24261719333
30	8	花	14.1265325812
30	9	很	10.9297516927
30	10	好看	17.8741879641
30	11	。	3.30959112931
31	1	那	7.24457066948
31	2	台	13.5749282137
31	3	优秀	14.3634750358
31	4	的	2.07705747162
31	5	科学家	13.2733456593
31	6	做	10.9066137171
31	7	的	3.80588651553
31	8	电视	12.2942952444
31	9	坏	14.6014720204
31	10	了	3.26280128515
31	11	。	4.25611537713
32	1	那	7.24457066948
32	2	个	8.62863496833
32	3	优秀	14.5254853636
32	4	的	2.07705747162
32	5	科学家	13.2733456593
32	6	做	10.9066137171
32	7	的	3.80588651553
32	8	电视	12.2942952444
32	9	坏	14.6014720204
32	10	了	3.26280128515
32	11	。	4.25611537713
33	1	那	7.24457066948
33	2	栋	8.58523213677
33	3	富有	15.252546827
33	4	的	6.44624741216
33	5	男人	11.5808291254
33	6	买	12.193412792
33	7	的	4.34009268099
33	8	房子	4.12084180903
33	9	起火	16.191964536
33	10	了	8.34590649358
33	11	。	4.17262736145
34	1	那	7.24457066948
34	2	个	8.62863496833
34	3	富有	14.2385812751
34	4	的	6.44624741216
34	5	男人	11.5808291254
34	6	买	12.193412792
34	7	的	4.34009268099
34	8	房子	4.12084180903
34	9	起火	16.191964536
34	10	了	8.34590649358
34	11	。	4.17262736145
35	1	那	7.24457066948
35	2	条	7.73204467269
35	3	紧张	13.4292650216
35	4	的	2.93237670132
35	5	朋友	10.0662578087
35	6	给	7.03808367918
35	7	的	7.85054191272
35	8	建议	10.8232832748
35	9	很	10.9525733169
35	10	真诚	12.1010533623
35	11	。	6.69653041078
36	1	那	7.24457066948
36	2	个	8.62863496833
36	3	紧张	13.4501377076
36	4	的	2.93237670132
36	5	朋友	10.0662578087
36	6	给	7.03808367918
36	7	的	7.85054191272
36	8	建议	10.8232832748
36	9	很	10.9525733169
36	10	真诚	12.1010533623
36	11	。	6.69653041078
37	1	那	7.24457066948
37	2	支	15.6964979166
37	3	负责	12.459853529
37	4	的	3.69764468105
37	5	老师	12.2600543931
37	6	用	7.6760970468
37	7	的	4.72850241805
37	8	笔	16.0018163848
37	9	坏	14.1180897987
37	10	了	3.26280128515
37	11	。	4.25611537713
38	1	那	7.24457066948
38	2	个	8.62863496833
38	3	负责	14.2385812751
38	4	的	3.69764468105
38	5	老师	12.2600543931
38	6	用	7.6760970468
38	7	的	4.72850241805
38	8	笔	16.0018163848
38	9	坏	14.1180897987
38	10	了	3.26280128515
38	11	。	4.25611537713
39	1	那	7.24457066948
39	2	只	9.33001875113
39	3	内向	20.2041955935
39	4	的	3.05392855165
39	5	女人	12.1919378051
39	6	丢	15.3403265985
39	7	的	5.84814326096
39	8	鞋子	15.7464005526
39	9	被	9.66276343422
39	10	找到	12.6677181821
39	11	了	3.04482767829
39	12	。	5.44277002941
40	1	那	7.24457066948
40	2	个	8.62863496833
40	3	内向	19.3706932156
40	4	的	3.05392855165
