sentence_id	token_id	token	surprisal
1	1	随着	8.91679
1	2	支持	16.4666
1	3	国际	8.28548
1	4	贸易	4.81549
1	5	的	2.44765
1	6	政府	12.069
1	7	发展	6.27253
1	8	，	1.15024
1	9	经济	8.34754
1	10	变	15.3269
1	11	好	10.2089
1	12	了	5.26839
1	13	。	2.14561
2	1	随着	8.91679
2	2	支持	16.4666
2	3	国际	8.28548
2	4	贸易	4.81549
2	5	的	2.44765
2	6	政府	12.069
2	7	发展	6.27253
2	8	。	11.7786
3	1	随着	8.91679
3	2	缩短	18.5909
3	3	人们	11.777
3	4	距离	13.2556
3	5	的	4.24493
3	6	互联网	17.9573
3	7	的	9.33186
3	8	出现	8.23124
3	9	，	0.636974
3	10	生活	11.2625
3	11	质量	5.31208
3	12	提高	9.22846
3	13	了	2.20992
3	14	。	4.27633
4	1	随着	8.91679
4	2	缩短	18.5909
4	3	人们	11.777
4	4	距离	13.2556
4	5	的	4.24493
4	6	互联网	17.9573
4	7	的	9.33186
4	8	出现	8.23124
4	9	。	11.192
5	1	随着	8.91679
5	2	一阵	19.1148
5	3	提醒	18.8008
5	4	乘客	15.9104
5	5	的	2.22485
5	6	铃声	17.1411
5	7	，	0.139058
5	8	火车	16.4628
5	9	开	13.2418
5	10	了	1.06575
5	11	。	9.65439
6	1	随着	8.91679
6	2	一阵	19.1148
6	3	提醒	18.8008
6	4	乘客	15.9104
6	5	的	2.22485
6	6	铃声	17.1411
6	7	。	9.76553
7	1	随着	8.91679
7	2	不	13.9338
7	3	敢	9.57875
7	4	说话	12.7081
7	5	的	0.13097
7	6	他	9.43075
7	7	的	2.42435
7	8	年龄	12.615
7	9	增长	10.9612
7	10	，	0.935455
7	11	他	4.842
7	12	更	6.60319
7	13	有	5.18024
7	14	自信	11.2604
7	15	了	8.54111
7	16	。	0.195424
8	1	随着	8.91679
8	2	不	13.9338
8	3	敢	9.57875
8	4	说话	12.7081
8	5	的	0.13097
8	6	他	9.43075
8	7	的	2.42435
8	8	年龄	12.615
8	9	增长	10.9612
8	10	。	8.93517
9	1	随着	8.91679
9	2	下	13.7868
9	3	很多	22.7862
9	4	雪	19.1889
9	5	的	1.44568
9	6	冬天	15.8497
9	7	的	3.56013
9	8	到来	8.19358
9	9	，	0.054694
9	10	树木	15.7187
9	11	凋零	20.4567
9	12	了	2.73591
9	13	。	4.52075
10	1	随着	8.91679
10	2	下	13.7868
10	3	很多	22.7862
10	4	雪	19.1889
10	5	的	1.44568
10	6	冬天	15.8497
10	7	的	3.56013
10	8	到来	8.19358
10	9	。	11.5234
11	1	随着	8.91679
11	2	提高	13.9412
11	3	人们	9.55233
11	4	生活	6.20788
11	5	质量	3.46624
11	6	的	1.17785
11	7	科技	12.5447
11	8	发展	7.71446
11	9	，	1.19938
11	10	电脑	13.9539
11	11	功能	11.8277
11	12	变得	11.6928
11	13	更	4.78954
11	14	多	3.1765
11	15	了	7.24577
11	16	。	0.59099
12	1	随着	8.91679
12	2	提高	13.9412
12	3	人们	9.55233
12	4	生活	6.20788
12	5	质量	3.46624
12	6	的	1.17785
12	7	科技	12.5447
12	8	发展	7.71446
12	9	。	11.6937
13	1	自从	11.9389
13	2	见	18.5349
13	3	了	5.99815
13	4	学习	13.3556
13	5	文学	10.4438
13	6	的	2.92314
13	7	他	12.868
13	8	，	9.51355
13	9	她	8.05307
13	10	一直	8.3112
13	11	在	4.29805
13	12	写	8.46881
13	13	信	13.0019
13	14	。	2.21797
14	1	自从	11.9389
14	2	见	18.5349
14	3	了	5.99815
14	4	学习	13.3556
14	5	文学	10.4438
14	6	的	2.92314
14	7	他	12.868
14	8	。	12.2745
15	1	自从	11.9389
15	2	修	20.4919
15	3	了	4.54706
15	4	通往	16.828
15	5	城市	9.64605
15	6	的	0.520103
15	7	公路	4.78994
15	8	，	2.7402
15	9	农村	10.652
15	10	经济	4.1093
15	11	变	14.6679
15	12	好	10.1385
15	13	了	4.30804
15	14	。	2.496
16	1	自从	11.9389
16	2	修	20.4919
16	3	了	4.54706
16	4	通往	16.828
16	5	城市	9.64605
16	6	的	0.520103
16	7	公路	4.78994
16	8	。	12.0178
17	1	自从	11.9389
17	2	离开	14.6156
17	3	培养	22.0261
17	4	了	6.94603
17	5	她	10.226
17	6	的	0.881873
17	7	家乡	10.8009
17	8	，	9.04272
17	9	她	11.0617
17	10	一直	11.7982
17	11	想念	14.0431
17	12	父母	7.4106
17	13	。	13.7753
18	1	自从	11.9389
18	2	离开	14.6156
18	3	培养	22.0261
18	4	了	6.94603
18	5	她	10.226
18	6	的	0.881873
18	7	家乡	10.8009
18	8	。	14.6016
19	1	自从	11.9389
19	2	打	12.5853
19	3	游戏	12.7282
19	4	的	9.79254
19	5	他	12.9401
19	6	开始	10.4769
19	7	读书	13.4738
19	8	，	7.47364
19	9	他	10.2585
19	10	的	4.24727
19	11	成绩	10.6711
19	12	提高	14.4406
19	13	了	3.17963
19	14	。	16.238
20	1	自从	11.9389
20	2	打	12.5853
20	3	游戏	12.7282
20	4	的	9.79254
20	5	他	12.9401
20	6	开始	10.4769
20	7	读书	13.4738
20	8	。	14.4415
21	1	自从	11.9389
21	2	认识	18.115
21	3	科学家	15.046
21	4	的	1.68969
21	5	他	16.0689
21	6	获得	12.4261
21	7	大奖	10.4597
21	8	，	8.67749
21	9	他	11.9419
21	10	不	8.05106
21	11	学习	12.1188
21	12	了	7.20064
21	13	。	10.0452
22	1	自从	11.9389
22	2	认识	18.115
22	3	科学家	15.046
22	4	的	1.68969
22	5	他	16.0689
22	6	获得	12.4261
22	7	大奖	10.4597
22	8	。	17.1991
23	1	自从	11.9389
23	2	热爱	20.0761
23	3	艺术	11.601
23	4	的	2.40872
23	5	她	9.33359
23	6	认识	12.1286
23	7	了	7.36547
23	8	老师	13.6795
23	9	，	6.0052
23	10	她	11.394
23	11	努力	12.793
23	12	训练	10.6535
23	13	。	15.6355
24	1	自从	11.9389
24	2	热爱	20.0761
24	3	艺术	11.601
24	4	的	2.40872
24	5	她	9.33359
24	6	认识	12.1286
24	7	了	7.36547
24	8	老师	13.6795
24	9	。	17.6743
25	1	自从	11.9389
25	2	设立	14.4615
25	3	了	4.75335
25	4	目标	16.0617
25	5	的	5.59321
