sentence_id	token_id	token	surprisal
1	1	那	7.244570669477668
1	2	家	10.2051002169278
1	3	老板	12.259815227114204
1	4	在	6.84874907680331
1	5	市中心	13.6329271146234
1	6	投资	10.93107019300799
1	7	的	3.6139455660964055
1	8	饭店	15.950569915494793
1	9	很	7.141390949594229
1	10	受	7.883659774656071
1	11	欢迎	2.005481677612571
1	12	。	3.2663214907757383
2	1	那	7.244570669477668
2	2	个	8.628634968332754
2	3	老板	13.592282752691606
2	4	在	6.84874907680331
2	5	市中心	13.6329271146234
2	6	投资	10.93107019300799
2	7	的	3.6139455660964055
2	8	饭店	15.950569915494793
2	9	很	7.141390949594229
2	10	受	7.883659774656071
2	11	欢迎	2.005481677612571
2	12	。	3.2663214907757383
3	1	那	7.244570669477668
3	2	幅	17.63625872598741
3	3	朋友	12.921567566495053
3	4	非常	11.64826023944584
3	5	喜欢	8.182699405288211
3	6	的	4.326399581265754
3	7	画	14.96611164044961
3	8	吸引	12.618152187708771
3	9	了	3.6082449476658303
3	10	我	7.502899579865009
3	11	。	5.227874755460674
4	1	那	7.244570669477668
4	2	个	8.628634968332754
4	3	朋友	11.619161600444375
4	4	非常	11.64826023944584
4	5	喜欢	8.182699405288211
4	6	的	4.326399581265754
4	7	画	14.96611164044961
4	8	吸引	12.618152187708771
4	9	了	3.6082449476658303
4	10	我	7.502899579865009
4	11	。	5.227874755460674
5	1	那	7.244570669477668
5	2	件	6.505957946202351
5	3	老师	14.992165662528395
5	4	为	9.223854847053993
5	5	他	6.818788955023756
5	6	的	2.4757565503396726
5	7	学生	10.419990630576212
5	8	收藏	15.64972049440981
5	9	的	2.084463496427797
5	10	艺术品	17.79757045935374
5	11	获	13.314376188190742
5	12	了	8.18321132896842
5	13	奖	14.95950642810952
5	14	。	3.602454961408842
6	1	那	7.244570669477668
6	2	个	8.628634968332754
6	3	老师	12.494243439796364
6	4	为	9.223854847053993
6	5	他	6.818788955023756
6	6	的	2.4757565503396726
6	7	学生	10.419990630576212
6	8	收藏	15.64972049440981
6	9	的	2.084463496427797
6	10	艺术品	17.79757045935374
6	11	获	13.314376188190742
6	12	了	8.18321132896842
6	13	奖	14.95950642810952
6	14	。	3.602454961408842
7	1	那	7.244570669477668
7	2	只	9.33001875113259
7	3	店长	22.4564529645635
7	4	特别	11.768612358557583
7	5	喜欢	7.3887052506050335
7	6	的	4.326399581265754
7	7	宠物	17.49073832801889
7	8	生病	16.29071746696888
7	9	了	3.6315186877889243
7	10	。	4.690081394065324
8	1	那	7.244570669477668
8	2	个	8.628634968332754
8	3	店长	21.622950471587803
8	4	特别	11.768612358557583
8	5	喜欢	7.3887052506050335
8	6	的	4.326399581265754
8	7	宠物	17.49073832801889
8	8	生病	16.29071746696888
8	9	了	3.6315186877889243
8	10	。	4.690081394065324
9	1	那	7.244570669477668
9	2	首	9.33001875113259
9	3	明星	16.093127027938525
9	4	在	7.762607565080812
9	5	商场	15.294835496988552
9	6	唱	14.211968373960639
9	7	的	3.2453512141512766
9	8	歌	13.637767908579976
9	9	很	10.470950903648378
9	10	好听	21.768700638758734
9	11	。	6.3230145647127145
10	1	那	7.244570669477668
10	2	个	8.628634968332754
10	3	明星	14.238581275059124
10	4	在	7.762607565080812
10	5	商场	15.294835496988552
10	6	唱	14.211968373960639
10	7	的	3.2453512141512766
10	8	歌	13.637767908579976
10	9	很	10.470950903648378
10	10	好听	21.768700638758734
10	11	。	6.3230145647127145
11	1	那	7.244570669477668
11	2	所	11.03826794868159
11	3	老人	14.262702868383414
11	4	在	6.375680534324854
11	5	冬天	15.377264601303624
11	6	去	10.592413364664829
11	7	的	6.472022963838252
11	8	学校	11.334816756239649
11	9	关闭	13.874820969736927
11	10	了	3.2109208276163432
11	11	。	4.172627361448557
12	1	那	7.244570669477668
12	2	个	8.628634968332754
12	3	老人	14.238581275059124
12	4	在	6.375680534324854
12	5	冬天	15.377264601303624
12	6	去	10.592413364664829
12	7	的	6.472022963838252
12	8	学校	11.334816756239649
12	9	关闭	13.874820969736927
12	10	了	3.2109208276163432
12	11	。	4.172627361448557
13	1	那	7.244570669477668
13	2	件	6.505957946202351
13	3	司机	17.052700044279323
13	4	给	7.223854847053993
13	5	朋友	9.644981931002794
13	6	带	9.52966189874483
13	7	的	6.710633617479938
13	8	行李	17.49073832801889
13	9	丢	14.767692708532282
13	10	了	3.89394097219855
13	11	。	4.172627361448557
14	1	那	7.244570669477668
14	2	个	8.628634968332754
14	3	司机	14.993029175260325
14	4	给	7.223854847053993
14	5	朋友	9.644981931002794
14	6	带	9.52966189874483
14	7	的	6.710633617479938
14	8	行李	17.49073832801889
14	9	丢	14.767692708532282
14	10	了	3.89394097219855
14	11	。	4.172627361448557
15	1	那	7.244570669477668
15	2	本	7.732044672686124
15	3	作家	15.50328746433767
15	4	为	9.208847260967305
15	5	我	8.478955633089253
15	6	写	10.76798832546406
15	7	的	2.120840052035761
15	8	书	11.164977713955926
15	9	很	10.992526278502298
15	10	受	7.883659774656071
15	11	欢迎	2.005481677612571
15	12	。	3.2663214907757383
16	1	那	7.244570669477668
16	2	个	8.628634968332754
16	3	作家	14.238581275059124
16	4	为	9.208847260967305
16	5	我	8.478955633089253
16	6	写	10.76798832546406
