sentence_id	token_id	token	surprisal
1	1	随着	8.38126427827
1	2	支持	13.0339009659
1	3	国际	7.49791402025
1	4	贸易	6.74524691858
1	5	的	3.92924952144
1	6	政府	11.0371654889
1	7	发展	11.3445126747
1	8	，	4.87038852785
1	9	经济	8.93798689782
1	10	变	16.5138983011
1	11	好	9.20380719427
1	12	了	5.04477600799
1	13	。	2.83152637426
2	1	随着	8.38126427827
2	2	支持	13.0339009659
2	3	国际	7.49791402025
2	4	贸易	6.74524691858
2	5	的	3.92924952144
2	6	政府	11.0371654889
2	7	发展	11.3445126747
2	8	。	5.07571023093
3	1	随着	8.38126427827
3	2	缩短	15.4054966268
3	3	人们	13.6395228927
3	4	距离	10.3675080832
3	5	的	4.98756256587
3	6	互联网	19.6297842848
3	7	的	3.20425432714
3	8	出现	11.9261253508
3	9	，	0.978011510263
3	10	生活	11.8800398506
3	11	质量	5.44228505584
3	12	提高	6.88973542191
3	13	了	5.31589410744
3	14	。	5.88159412981
4	1	随着	8.38126427827
4	2	缩短	15.4054966268
4	3	人们	13.6395228927
4	4	距离	10.3675080832
4	5	的	4.98756256587
4	6	互联网	19.6297842848
4	7	的	3.20425432714
4	8	出现	11.9261253508
4	9	。	4.8177958863
5	1	随着	8.38126427827
5	2	一阵	12.4998378126
5	3	提醒	15.0603463793
5	4	乘客	15.4996107133
5	5	的	3.56888380271
5	6	铃声	19.6297842848
5	7	，	5.77084703078
5	8	火车	15.8853735172
5	9	开	13.6142198154
5	10	了	2.56482545965
5	11	。	6.20394055384
6	1	随着	8.38126427827
6	2	一阵	12.4998378126
6	3	提醒	15.0603463793
6	4	乘客	15.4996107133
6	5	的	3.56888380271
6	6	铃声	19.6297842848
6	7	。	5.77084703078
7	1	随着	8.38126427827
7	2	不	12.4998378126
7	3	敢	7.18182942602
7	4	说话	16.2852111845
7	5	的	3.07352077531
7	6	他	12.4354370191
7	7	的	4.50246558162
7	8	年龄	12.9685673291
7	9	增长	10.5405716449
7	10	，	5.28702444568
7	11	他	7.98804094119
7	12	更	9.8171182503
7	13	有	5.40534628086
7	14	自信	16.3059614125
7	15	了	7.67131174584
7	16	。	5.65840603608
8	1	随着	8.38126427827
8	2	不	12.4998378126
8	3	敢	7.18182942602
8	4	说话	16.2852111845
8	5	的	3.07352077531
8	6	他	12.4354370191
8	7	的	4.50246558162
8	8	年龄	12.9685673291
8	9	增长	10.5405716449
8	10	。	5.64514509203
9	1	随着	8.38126427827
9	2	下	12.4998378126
9	3	很多	13.7085623603
9	4	雪	16.8745708458
9	5	的	5.59995319493
9	6	冬天	15.0579910829
9	7	的	4.25290929106
9	8	到来	11.7316714956
