sentence_id	token_id	token	surprisal
1	1	随着	9.35645
1	2	政府	8.17344
1	3	发展	8.72849
1	4	，	2.85634
1	5	经济	6.97276
1	6	变	12.0888
1	7	好	10.4646
1	8	了	8.43586
1	9	。	1.00422
2	1	随着	9.35645
2	2	政府	8.17344
2	3	发展	8.72849
2	4	。	13.7588
3	1	随着	9.35645
3	2	互联网	10.8369
3	3	的	2.83008
3	4	出现	10.6098
3	5	，	0.393437
3	6	生活	11.737
3	7	质量	7.74091
3	8	提高	9.70694
3	9	了	1.11524
3	10	。	6.87428
4	1	随着	9.35645
4	2	互联网	10.8369
4	3	的	2.83008
4	4	出现	10.6098
4	5	。	10.8445
5	1	随着	9.35645
5	2	一阵	19.9024
5	3	铃声	21.8162
5	4	，	7.1345
5	5	火车	17.3797
5	6	开	13.9334
5	7	了	1.97141
5	8	。	11.0588
6	1	随着	9.35645
6	2	一阵	19.9024
6	3	铃声	21.8162
6	4	。	15.2665
7	1	随着	9.35645
7	2	他	9.78413
7	3	的	0.518592
7	4	年龄	15.2689
7	5	增长	13.1581
7	6	，	1.6024
7	7	他	6.12385
7	8	更	8.14506
7	9	有	5.32028
7	10	自信	9.65481
7	11	了	9.98956
7	12	。	0.19736
8	1	随着	9.35645
8	2	他	9.78413
8	3	的	0.518592
8	4	年龄	15.2689
8	5	增长	13.1581
8	6	。	11.037
9	1	随着	9.35645
9	2	冬天	15.5359
9	3	的	1.26622
9	4	到来	5.82049
9	5	，	0.0946117
9	6	树木	20.3478
9	7	凋零	21.8386
9	8	了	2.27948
9	9	。	4.78747
10	1	随着	9.35645
10	2	冬天	15.5359
10	3	的	1.26622
10	4	到来	5.82049
10	5	。	11.2409
11	1	随着	9.35645
11	2	科技	8.90466
11	3	发展	4.19151
11	4	，	2.63499
11	5	电脑	13.3819
11	6	功能	12.3056
11	7	变得	10.853
11	8	更	5.61988
11	9	多	2.97813
11	10	了	6.3702
11	11	。	1.1368
12	1	随着	9.35645
12	2	科技	8.90466
12	3	发展	4.19151
12	4	。	14.9247
13	1	自从	11.0014
13	2	见	16.2598
13	3	了	3.25284
13	4	他	5.92857
13	5	，	9.64865
13	6	她	7.96281
13	7	一直	10.0675
13	8	在	3.70411
13	9	写信	15.4253
13	10	。	12.1685
14	1	自从	11.0014
14	2	见	16.2598
14	3	了	3.25284
14	4	他	5.92857
14	5	。	16.7193
15	1	自从	11.0014
15	2	修	15.8489
15	3	了	4.45839
15	4	公路	11.849
15	5	，	5.29505
15	6	农村	16.8016
15	7	经济	9.44539
15	8	变	14.2731
15	9	好	10.5287
15	10	了	5.68809
15	11	。	13.013
16	1	自从	11.0014
16	2	修	15.8489
16	3	了	4.45839
16	4	公路	11.849
16	5	。	14.5072
17	1	自从	11.0014
17	2	离开	12.7802
17	3	家乡	10.1551
17	4	，	3.66488
17	5	她	12.6754
17	6	一直	12.1518
17	7	想念	14.1659
17	8	父母	8.3384
17	9	。	11.3012
18	1	自从	11.0014
18	2	离开	12.7802
18	3	家乡	10.1551
18	4	。	13.0118
19	1	自从	11.0014
19	2	他	5.21937
19	3	开始	5.79006
19	4	读书	12.4513
19	5	，	5.21748
19	6	他	13.1015
19	7	的	2.23066
19	8	成绩	13.0973
19	9	提高	17.1475
19	10	了	2.18927
19	11	。	16.7166
20	1	自从	11.0014
20	2	他	5.21937
20	3	开始	5.79006
20	4	读书	12.4513
20	5	。	15.1159
21	1	自从	11.0014
21	2	他	5.21937
21	3	获得	6.76279
21	4	大奖	10.5273
21	5	，	7.74086
21	6	他	11.4117
