sentence_id	token_id	token	surprisal
1	1	那	7.24457066948
1	2	位	6.65064052038
1	3	教授	11.5179245634
1	4	写	12.5124376002
1	5	了	3.01986762614
1	6	精彩	15.6260773244
1	7	的	2.09698271469
1	8	书	11.1409932997
1	9	的	4.1857367086
1	10	内容	10.2123336098
1	11	。	2.65837579704
2	1	那	7.24457066948
2	2	位	6.65064052038
2	3	教授	11.5179245634
2	4	打	12.001687051
2	5	了	3.56029950947
2	6	精彩	15.5227453181
2	7	的	2.09698271469
2	8	书	11.1409932997
2	9	的	4.1857367086
2	10	内容	10.2123336098
2	11	。	2.65837579704
3	1	弟弟	17.2728785911
3	2	启动	14.0541555884
3	3	了	3.76727264749
3	4	昂贵	14.8230938759
3	5	的	1.25430417673
3	6	车	11.915772194
3	7	。	3.668444827
4	1	弟弟	17.2728785911
4	2	认识	13.0392601243
4	3	了	4.98231772039
4	4	昂贵	14.8230938759
4	5	的	1.25430417673
4	6	车	11.915772194
4	7	。	3.668444827
5	1	他	5.68454970002
5	2	拿	13.5627153789
5	3	了	3.56792024225
5	4	桌子	17.6982160987
5	5	上	4.86128323408
5	6	的	3.50829144202
5	7	好看	16.9775952889
5	8	的	2.43450888563
5	9	筷子	20.7859693641
5	10	。	6.17905515912
6	1	他	5.68454970002
6	2	听	14.3299285021
6	3	了	4.47395587466
6	4	桌子	17.7608608777
6	5	上	4.86128323408
6	6	的	3.50829144202
6	7	好看	16.9775952889
6	8	的	2.43450888563
6	9	筷子	20.7859693641
6	10	。	6.17905515912
7	1	她	8.22619364393
7	2	终于	14.027357381
7	3	实现	12.0570211709
7	4	了	3.0838823351
7	5	重要	10.1672864482
7	6	的	3.99530952553
7	7	理想	12.1511305076
7	8	。	4.34323163671
8	1	她	8.22619364393
8	2	终于	14.027357381
8	3	购买	12.883523154
8	4	了	4.18970872955
8	5	重要	10.2965290652
8	6	的	3.99530952553
8	7	理想	12.1511305076
8	8	。	4.34323163671
9	1	我	5.40226247496
9	2	修理	13.9707443616
9	3	了	5.75437018677
9	4	这个	7.49686763544
9	5	新	8.63511058836
9	6	的	3.0214200934
9	7	电脑	11.4290088249
9	8	。	7.35262844145
10	1	我	5.40226247496
10	2	阅读	16.0073774489
10	3	了	7.78033094833
10	4	这个	7.49686763544
10	5	新	8.63511058836
10	6	的	3.0214200934
10	7	电脑	11.4290088249
10	8	。	7.35262844145
11	1	我	5.40226247496
11	2	邀请	14.7313793023
11	3	过	10.4577686722
11	4	我	8.99675134104
11	5	的	4.34338098842
11	6	优秀	13.1376791878
11	7	的	2.19731343469
11	8	朋友	9.92965235423
11	9	。	4.40927822999
12	1	我	5.40226247496
12	2	打开	13.9707443616
12	3	过	10.6524627297
12	4	我	8.99675134104
12	5	的	4.34338098842
12	6	优秀	13.1376791878
12	7	的	2.19731343469
12	8	朋友	9.92965235423
12	9	。	4.40927822999
13	1	记者	9.64333460554
13	2	采访	7.13665706478
13	3	了	6.25045097294
13	4	有名	15.2093189653
13	5	的	0.680394550715
13	6	艺术家	13.6933732748
13	7	。	6.14210828359
14	1	记者	9.64333460554
14	2	制作	13.9887388168
14	3	了	4.83031262038
14	4	有名	15.2093189653
14	5	的	0.680394550715
14	6	艺术家	13.6933732748
14	7	。	6.14210828359
15	1	他	5.68454970002
15	2	参与	13.6929217451
15	3	了	5.47708226704
15	4	危险	14.1457452495
15	5	的	2.44592948204
15	6	战争	11.148069025
15	7	。	5.40041620357
16	1	他	5.68454970002
16	2	建造	12.5855903505
16	3	了	6.16757094434
16	4	危险	13.9762520457
16	5	的	2.44592948204
16	6	战争	11.148069025
16	7	。	5.40041620357
17	1	她	8.22619364393
17	2	批评	13.9453478821
17	3	了	8.30185723924
17	4	淘气	21.6721531307
17	5	的	3.05392855165
17	6	儿子	10.8834569266
17	7	。	6.92255563404
18	1	她	8.22619364393
18	2	改正	19.3423880297
18	3	了	4.0539280724
18	4	淘气	21.6721531307
18	5	的	3.05392855165
18	6	儿子	10.8834569266
18	7	。	6.92255563404
19	1	我	5.40226247496
19	2	结束	13.0991658634
19	3	了	2.8779067282
19	4	很	8.64456155152
19	5	长	4.50798284844
19	6	的	1.68447596724
19	7	谈话	11.9993768534
19	8	。	4.34323163671
20	1	我	5.40226247496
20	2	表扬	19.0059237936
20	3	了	2.6315199394
20	4	很	8.29205058741
20	5	长	4.50798284844
20	6	的	1.68447596724
20	7	谈话	11.9993768534
20	8	。	4.34323163671
21	1	他	5.68454970002
21	2	买	12.5855903505
21	3	了	3.54232813615
21	4	这些	10.0061228734
21	5	红色	15.631385527
21	6	的	3.52197145391
21	7	笔	15.7464005526
21	8	。	7.86128323408
