sentence_id	token_id	token	surprisal
1	1	那	7.24113
1	2	位	8.13966
1	3	教授	12.4233
1	4	写	11.4801
1	5	了	1.83023
1	6	书	11.3855
1	7	的	10.7528
1	8	序言	22.494
1	9	和	6.53839
1	10	内容	7.46493
1	11	。	2.27296
2	1	那	7.24113
2	2	位	8.13966
2	3	教授	12.4233
2	4	写	11.4801
2	5	了	1.83023
2	6	书	11.3855
2	7	的	10.7528
2	8	序言	22.494
2	9	和	6.53839
2	10	作者	10.0326
2	11	。	2.74533
3	1	弟弟	18.5377
3	2	开	11.8469
3	3	了	1.7357
3	4	父亲	11.2263
3	5	的	1.34911
3	6	瓶子	16.7781
3	7	和	6.81604
3	8	车	11.8849
3	9	。	8.10167
4	1	弟弟	18.5377
4	2	开	11.8469
4	3	了	1.7357
4	4	父亲	11.2263
4	5	的	1.34911
4	6	瓶子	16.7781
4	7	和	6.81604
4	8	诗	16.5141
4	9	。	9.44018
5	1	他	6.15281
5	2	读	12.9178
5	3	了	1.9538
5	4	桌子	10.6105
5	5	上	9.592
5	6	的	11.1426
5	7	书	12.4799
5	8	和	7.31226
5	9	报纸	15.1743
5	10	。	3.70764
6	1	他	6.15281
6	2	读	12.9178
6	3	了	1.9538
6	4	桌子	10.6105
6	5	上	9.592
6	6	的	11.1426
6	7	书	12.4799
6	8	和	7.31226
6	9	筷子	15.9024
6	10	。	3.07984
7	1	她	8.71203
7	2	终于	11.9394
7	3	实现	16.7702
7	4	了	0.578987
7	5	她	9.39583
7	6	的	1.30666
7	7	目标	9.23662
7	8	和	6.99104
7	9	理想	10.8997
7	10	。	0.652329
8	1	她	8.71203
8	2	终于	11.9394
8	3	实现	16.7702
8	4	了	0.578987
8	5	她	9.39583
8	6	的	1.30666
8	7	目标	9.23662
8	8	和	6.99104
8	9	任务	8.83786
8	10	。	0.39083
9	1	我	6.0542
9	2	修理	17.7299
9	3	了	3.28386
9	4	这个	7.98381
9	5	电视	12.2237
9	6	和	5.88107
9	7	电脑	11.9522
9	8	。	1.37658
10	1	我	6.0542
10	2	修理	17.7299
10	3	了	3.28386
10	4	这个	7.98381
10	5	电视	12.2237
10	6	和	5.88107
10	7	故事	13.5268
10	8	。	1.42046
11	1	他	6.15281
11	2	承担	16.9142
11	3	了	2.68663
11	4	我	8.25132
11	5	的	1.74084
11	6	义务	10.9049
11	7	和	4.29124
11	8	责任	8.02005
11	9	。	0.662322
12	1	他	6.15281
12	2	承担	16.9142
12	3	了	2.68663
12	4	我	8.25132
12	5	的	1.74084
12	6	义务	10.9049
12	7	和	4.29124
12	8	爱好	16.2265
12	9	。	0.731119
13	1	我	6.0542
13	2	邀请	15.1939
13	3	过	8.20926
13	4	我	2.84836
13	5	的	4.61674
13	6	老师	10.4406
13	7	和	6.13913
13	8	朋友	4.69726
13	9	。	2.82506
14	1	我	6.0542
14	2	邀请	15.1939
14	3	过	8.20926
14	4	我	2.84836
14	5	的	4.61674
14	6	老师	10.4406
14	7	和	6.13913
14	8	音响	17.846
14	9	。	2.10885
15	1	老师	15.0866
15	2	拿出	14.1965
15	3	了	4.78335
15	4	他	6.90996
15	5	的	0.618862
15	6	笔	13.7673
15	7	和	4.15643
15	8	篮子	20.5994
15	9	。	8.53205
16	1	老师	15.0866
16	2	拿出	14.1965
16	3	了	4.78335
16	4	他	6.90996
16	5	的	0.618862
16	6	笔	13.7673
16	7	和	4.15643
16	8	梦想	11.8668
16	9	。	4.04589
17	1	记者	10.2074
17	2	采访	8.35926
17	3	了	4.34739
17	4	作家	12.3371
17	5	和	4.84563
17	6	艺术家	16.52
17	7	。	3.56576
18	1	记者	10.2074
18	2	采访	8.35926
18	3	了	4.34739
18	4	作家	12.3371
18	5	和	4.84563
18	6	艺术品	21.4042
18	7	。	1.17615
19	1	他	6.15281
19	2	参与	12.2045
19	3	了	2.72693
19	4	活动	13.8088
19	5	和	6.63
19	6	战争	10.4921
19	7	。	2.1817
20	1	他	6.15281
20	2	参与	12.2045
20	3	了	2.72693
20	4	活动	13.8088
20	5	和	6.63
20	6	医院	12.1511
20	7	。	1.88557
21	1	她	8.71203
21	2	增大	20.5787
21	3	了	1.69662
21	4	学习	14.6204
21	5	频率	14.0129
21	6	和	6.26818
21	7	力度	13.4275
21	8	。	0.95248
22	1	她	8.71203
22	2	增大	20.5787
22	3	了	1.69662
22	4	学习	14.6204
22	5	频率	14.0129
22	6	和	6.26818
22	7	效率	13.6681
22	8	。	1.31401
23	1	我	6.0542
23	2	结束	16.6171
23	3	了	1.26523
23	4	争吵	16.4626
23	5	和	8.08466
23	6	谈话	17.277
23	7	。	1.76121
24	1	我	6.0542
24	2	结束	16.6171
24	3	了	1.26523
24	4	争吵	16.4626
