sentence_id	token_id	token	surprisal
1	1	记者	7.99862
1	2	采访	9.03564
1	3	了	2.29515
1	4	。	11.7505
2	1	记者	7.99862
2	2	采访	9.03564
2	3	了	2.29515
2	4	科学家	13.9273
2	5	。	0.980895
3	1	他	4.39796
3	2	认识	16.2428
3	3	了	4.17527
3	4	。	11.1295
4	1	他	4.39796
4	2	认识	16.2428
4	3	了	4.17527
4	4	老师	16.994
4	5	。	6.54939
5	1	他	4.39796
5	2	拍	18.088
5	3	下	14.3113
5	4	了	2.28973
5	5	。	4.7772
6	1	他	4.39796
6	2	拍	18.088
6	3	下	14.3113
6	4	了	2.28973
6	5	艺术品	17.9584
6	6	。	2.67069
7	1	我们	7.55796
7	2	参加	11.1383
7	3	了	1.3105
7	4	。	11.6805
8	1	我们	7.55796
8	2	参加	11.1383
8	3	了	1.3105
8	4	活动	9.72039
8	5	。	1.7205
9	1	他	4.39796
9	2	想起	17.5533
9	3	了	2.41813
9	4	。	14.4679
10	1	他	4.39796
10	2	想起	17.5533
10	3	了	2.41813
10	4	同学	14.2784
10	5	。	13.742
11	1	司机	18.432
11	2	启动	15.9617
11	3	了	2.47582
11	4	。	9.67848
12	1	司机	18.432
12	2	启动	15.9617
12	3	了	2.47582
12	4	车	13.2868
12	5	。	3.96792
13	1	爸爸	14.651
13	2	买	8.78743
13	3	了	1.22429
13	4	。	8.91535
14	1	爸爸	14.651
14	2	买	8.78743
14	3	了	1.22429
14	4	房子	7.20364
14	5	。	4.02757
15	1	他	4.39796
15	2	损失	21.1476
15	3	了	2.94388
15	4	。	8.87974
16	1	他	4.39796
16	2	损失	21.1476
16	3	了	2.94388
16	4	现金	12.1243
16	5	。	2.97408
17	1	我	7.44964
17	2	拜访	17.1298
17	3	了	1.3493
17	4	。	11.189
18	1	我	7.44964
18	2	拜访	17.1298
18	3	了	1.3493
18	4	邻居	11.6772
18	5	。	4.91809
19	1	爷爷	19.327
19	2	中止	20.7579
19	3	了	1.69382
19	4	。	8.70492
20	1	爷爷	19.327
20	2	中止	20.7579
20	3	了	1.69382
20	4	谈话	16.211
20	5	。	1.60173
21	1	她	7.66365
21	2	提到	13.6713
21	3	了	3.01379
21	4	。	11.8327
22	1	她	7.66365
22	2	提到	13.6713
22	3	了	3.01379
22	4	女儿	17.1218
22	5	。	13.3806
23	1	医生	15.1498
