sentence_id	token_id	token	surprisal
1	1	我	7.44964
1	2	很	5.37567
1	3	喜欢	5.00038
1	4	一	7.04284
1	5	位	3.81954
1	6	新闻	10.4353
1	7	提到	15.3652
1	8	的	5.93373
1	9	明星	11.6064
1	10	。	1.92059
2	1	我	7.44964
2	2	很	5.37567
2	3	喜欢	5.00038
2	4	一	7.04284
2	5	首	8.52336
2	6	新闻	10.7688
2	7	提到	15.319
2	8	的	5.74229
2	9	明星	12.2747
2	10	。	1.72787
3	1	我	7.44964
3	2	很	5.37567
3	3	喜欢	5.00038
3	4	一	7.04284
3	5	首	8.52336
3	6	新闻	10.7688
3	7	提到	15.319
3	8	的	5.74229
3	9	歌曲	8.50959
3	10	。	1.13102
4	1	我	7.44964
4	2	很	5.37567
4	3	喜欢	5.00038
4	4	一	7.04284
4	5	位	3.81954
4	6	新闻	10.4353
4	7	提到	15.3652
4	8	的	5.93373
4	9	歌曲	10.0206
4	10	。	1.23945
5	1	她	7.66365
5	2	开车	18.642
5	3	去	7.2042
5	4	了	3.34224
5	5	一	5.0853
5	6	家	3.25643
5	7	我	10.2921
5	8	推荐	15.3725
5	9	过	6.21443
5	10	的	0.563031
5	11	店	10.3372
5	12	。	2.00106
6	1	她	7.66365
6	2	开车	18.642
6	3	去	7.2042
6	4	了	3.34224
6	5	一	5.0853
6	6	座	6.1718
6	7	我	12.6417
6	8	推荐	15.0478
6	9	过	6.26934
6	10	的	0.491465
6	11	店	10.2831
6	12	。	1.93597
7	1	她	7.66365
7	2	开车	18.642
7	3	去	7.2042
7	4	了	3.34224
7	5	一	5.0853
7	6	座	6.1718
7	7	我	12.6417
7	8	推荐	15.0478
7	9	过	6.26934
7	10	的	0.491465
7	11	山	12.9319
7	12	。	2.45321
8	1	她	7.66365
8	2	开车	18.642
8	3	去	7.2042
8	4	了	3.34224
8	5	一	5.0853
8	6	家	3.25643
8	7	我	10.2921
8	8	推荐	15.3725
8	9	过	6.21443
8	10	的	0.563031
8	11	山	13.7412
8	12	。	2.55741
9	1	他	4.39796
9	2	有	9.82054
9	3	一	4.53491
9	4	双	11.4255
9	5	我	12.1737
9	6	穿	11.2685
9	7	坏	15.375
9	8	了	7.89891
9	9	的	3.59383
9	10	手套	13.9073
9	11	。	9.43412
10	1	他	4.39796
10	2	有	9.82054
10	3	一	4.53491
10	4	枚	6.73731
10	5	我	12.3528
10	6	穿	10.9704
10	7	坏	16.0551
10	8	了	10.8194
10	9	的	3.52927
10	10	手套	14.2308
10	11	。	9.17213
11	1	他	4.39796
11	2	有	9.82054
11	3	一	4.53491
11	4	枚	6.73731
11	5	我	12.3528
11	6	穿	10.9704
11	7	坏	16.0551
11	8	了	10.8194
11	9	的	3.52927
11	10	纽扣	22.3021
11	11	。	8.81413
12	1	他	4.39796
12	2	有	9.82054
12	3	一	4.53491
12	4	双	11.4255
12	5	我	12.1737
12	6	穿	11.2685
12	7	坏	15.375
12	8	了	7.89891
12	9	的	3.59383
12	10	纽扣	22.0001
12	11	。	9.26821
13	1	店长	21.3537
13	2	拿	15.5044
13	3	着	2.17403
13	4	一	3.52945
13	5	只	6.91408
13	6	他	9.66068
13	7	买	10.3348
13	8	的	0.6843
13	9	兔子	17.0234
13	10	。	4.27059
14	1	店长	21.3537
14	2	拿	15.5044
14	3	着	2.17403
14	4	一	3.52945
14	5	根	7.45858
14	6	他	9.4666
14	7	买	10.4833
14	8	的	0.669817
14	9	兔子	16.5765
14	10	。	5.20339
15	1	店长	21.3537
15	2	拿	15.5044
15	3	着	2.17403
15	4	一	3.52945
15	5	根	7.45858
15	6	他	9.4666
15	7	买	10.4833
15	8	的	0.669817
15	9	萝卜	12.9044
15	10	。	4.00209
16	1	店长	21.3537
16	2	拿	15.5044
16	3	着	2.17403
16	4	一	3.52945
16	5	只	6.91408
16	6	他	9.66068
16	7	买	10.3348
16	8	的	0.6843
16	9	萝卜	13.1911
16	10	。	3.96855
17	1	他	4.39796
17	2	认识	16.2428
17	3	了	4.17527
17	4	一	8.01626
17	5	名	5.61435
17	6	我	11.3853
17	7	知道	8.3179
17	8	的	0.324075
17	9	男孩	11.8262
17	10	。	4.03232
18	1	他	4.39796
18	2	认识	16.2428
18	3	了	4.17527
18	4	一	8.01626
18	5	本	6.67803
18	6	我	11.3458
18	7	知道	7.75711
18	8	的	0.297694
18	9	男孩	13.4031
18	10	。	3.98741
19	1	他	4.39796
19	2	认识	16.2428
19	3	了	4.17527
19	4	一	8.01626
19	5	本	6.67803
19	6	我	11.3458
19	7	知道	7.75711
19	8	的	0.297694
19	9	小说	12.9152
19	10	。	3.42625
20	1	他	4.39796
20	2	认识	16.2428
20	3	了	4.17527
20	4	一	8.01626
20	5	名	5.61435
20	6	我	11.3853
20	7	知道	8.3179
20	8	的	0.324075
20	9	小说	13.7295
20	10	。	3.82521
21	1	男人	17.4355
21	2	在	4.84963
21	3	扫描	18.4138
21	4	一	7.91784
21	5	篇	7.916
21	6	我	12.5747
21	7	发	13.3462
21	8	的	0.521734
21	9	文章	6.74277
21	10	。	12.5118
22	1	男人	17.4355
22	2	在	4.84963
22	3	扫描	18.4138
22	4	一	7.91784
22	5	张	5.0461
22	6	我	12.3472
22	7	发	13.4878
22	8	的	0.605084
22	9	文章	7.95049
22	10	。	12.5821
23	1	男人	17.4355
23	2	在	4.84963
23	3	扫描	18.4138
23	4	一	7.91784
23	5	张	5.0461
23	6	我	12.3472
23	7	发	13.4878
23	8	的	0.605084
23	9	图片	9.80487
23	10	。	13.3459
24	1	男人	17.4355
24	2	在	4.84963
24	3	扫描	18.4138
24	4	一	7.91784
24	5	篇	7.916
24	6	我	12.5747
24	7	发	13.3462
24	8	的	0.521734
24	9	图片	7.98175
24	10	。	13.501
25	1	演员	15.5973
25	2	在	3.92632
25	3	看	11.0375
25	4	一	5.88898
25	5	张	4.90418
25	6	她	10.036
25	7	以前	11.175
25	8	拍	9.82927
25	9	过	5.98583
25	10	的	0.25256
25	11	照片	6.07821
25	12	。	12.6697
26	1	演员	15.5973
26	2	在	3.92632
26	3	看	11.0375
26	4	一	5.88898
26	5	位	4.02096
26	6	她	9.74898
26	7	以前	9.8263
26	8	拍	10.1489
26	9	过	5.57337
26	10	的	0.348332
26	11	照片	7.34105
26	12	。	12.5263
27	1	演员	15.5973
27	2	在	3.92632
27	3	看	11.0375
27	4	一	5.88898
27	5	位	4.02096
27	6	她	9.74898
27	7	以前	9.8263
27	8	拍	10.1489
27	9	过	5.57337
27	10	的	0.348332
27	11	老师	8.3054
27	12	。	11.0955
28	1	演员	15.5973
28	2	在	3.92632
28	3	看	11.0375
28	4	一	5.88898
28	5	张	4.90418
28	6	她	10.036
28	7	以前	11.175
28	8	拍	9.82927
28	9	过	5.98583
28	10	的	0.25256
28	11	老师	11.2122
28	12	。	11.5169
29	1	他	4.39796
29	2	在	5.49197
29	3	修理	19.2174
29	4	一	7.8293
29	5	辆	4.32125
29	6	我	17.3429
29	7	使用	11.2049
29	8	过	6.94436
29	9	的	0.782095
29	10	汽车	5.89251
29	11	。	14.4274
30	1	他	4.39796
30	2	在	5.49197
30	3	修理	19.2174
30	4	一	7.8293
30	5	套	6.81657
30	6	我	15.5381
30	7	使用	10.6025
30	8	过	7.17473
30	9	的	0.864862
30	10	汽车	7.04815
30	11	。	14.5656
31	1	他	4.39796
31	2	在	5.49197
31	3	修理	19.2174
31	4	一	7.8293
31	5	套	6.81657
31	6	我	15.5381
31	7	使用	10.6025
31	8	过	7.17473
31	9	的	0.864862
31	10	系统	9.76535
31	11	。	14.0696
32	1	他	4.39796
32	2	在	5.49197
32	3	修理	19.2174
32	4	一	7.8293
32	5	辆	4.32125
32	6	我	17.3429
32	7	使用	11.2049
32	8	过	6.94436
32	9	的	0.782095
32	10	系统	12.0282
32	11	。	14.0116
33	1	学生	14.6754
33	2	们	20.7314
33	3	在	5.17801
33	4	写	10.8751
33	5	一	3.85321
33	6	部	4.06583
33	7	他	10.4526
33	8	要	7.32026
33	9	评价	14.3654
33	10	的	0.378968
33	11	电影	7.8036
33	12	。	13.218
34	1	学生	14.6754
34	2	们	20.7314
34	3	在	5.17801
34	4	写	10.8751
34	5	一	3.85321
34	6	首	7.15035
34	7	他	10.2717
34	8	要	7.60809
34	9	评价	14.8538
34	10	的	0.388681
34	11	电影	7.89888
34	12	。	13.101
35	1	学生	14.6754
35	2	们	20.7314
35	3	在	5.17801
35	4	写	10.8751
35	5	一	3.85321
35	6	首	7.15035
35	7	他	10.2717
35	8	要	7.60809
35	9	评价	14.8538
35	10	的	0.388681
35	11	戏曲	15.4943
35	12	。	13.92
36	1	学生	14.6754
36	2	们	20.7314
36	3	在	5.17801
36	4	写	10.8751
36	5	一	3.85321
36	6	部	4.06583
36	7	他	10.4526
36	8	要	7.32026
36	9	评价	14.3654
36	10	的	0.378968
36	11	戏曲	15.6463
36	12	。	14.2168
37	1	我们	7.55796
37	2	在	5.06328
37	3	看	10.636
37	4	一	6.29143
37	5	场	4.87806
37	6	很多	15.5462
37	7	人	3.79788
37	8	看	10.8908
37	9	的	1.67351
37	10	表演	9.64012
37	11	。	13.775
38	1	我们	7.55796
38	2	在	5.06328
38	3	看	10.636
38	4	一	6.29143
38	5	块	8.47736
38	6	很多	15.162
38	7	人	3.09489
38	8	看	9.83283
38	9	的	1.78112
38	10	表演	13.4811
38	11	。	13.0715
39	1	我们	7.55796
39	2	在	5.06328
39	3	看	10.636
39	4	一	6.29143
39	5	块	8.47736
39	6	很多	15.162
39	7	人	3.09489
39	8	看	9.83283
39	9	的	1.78112
39	10	场地	13.7947
39	11	。	13.4382
40	1	我们	7.55796
40	2	在	5.06328
40	3	看	10.636
40	4	一	6.29143
40	5	场	4.87806
40	6	很多	15.5462
40	7	人	3.79788
40	8	看	10.8908
40	9	的	1.67351
40	10	场地	13.5046
40	11	。	13.8042
41	1	他	4.39796
41	2	最	13.7007
41	3	喜欢	7.58274
41	4	一	8.73517
41	5	道	8.53719
41	6	妈妈	13.1081
41	7	做	12.78
41	8	的	1.67419
41	9	菜	14.3116
41	10	。	9.8878
42	1	他	4.39796
42	2	最	13.7007
42	3	喜欢	7.58274
42	4	一	8.73517
42	5	瓶	10.4501
42	6	妈妈	11.2014
42	7	做	12.7783
42	8	的	1.87114
42	9	菜	14.0349
42	10	。	11.4746
43	1	他	4.39796
43	2	最	13.7007
43	3	喜欢	7.58274
43	4	一	8.73517
43	5	瓶	10.4501
43	6	妈妈	11.2014
43	7	做	12.7783
43	8	的	1.87114
43	9	醋	18.2399
43	10	。	11.753
44	1	他	4.39796
44	2	最	13.7007
44	3	喜欢	7.58274
44	4	一	8.73517
44	5	道	8.53719
44	6	妈妈	13.1081
44	7	做	12.78
44	8	的	1.67419
44	9	醋	18.5031
44	10	。	10.618
45	1	她	7.66365
45	2	拿	13.0732
45	3	了	1.88841
45	4	一	2.94584
45	5	份	4.44864
45	6	她	9.06837
45	7	准备	10.863
45	8	的	0.78352
45	9	饭	11.8086
45	10	。	5.86141
46	1	她	7.66365
46	2	拿	13.0732
46	3	了	1.88841
46	4	一	2.94584
46	5	卷	14.1516
46	6	她	10.9099
46	7	准备	11.5075
46	8	的	0.831932
46	9	饭	11.5055
46	10	。	11.0519
47	1	她	7.66365
47	2	拿	13.0732
47	3	了	1.88841
47	4	一	2.94584
47	5	卷	14.1516
47	6	她	10.9099
47	7	准备	11.5075
47	8	的	0.831932
47	9	纸	13.5945
47	10	。	11.6973
48	1	她	7.66365
48	2	拿	13.0732
48	3	了	1.88841
48	4	一	2.94584
48	5	份	4.44864
48	6	她	9.06837
48	7	准备	10.863
48	8	的	0.78352
48	9	纸	13.6324
48	10	。	6.63248
49	1	学生	14.6754
49	2	们	20.7314
49	3	在	5.17801
49	4	写	10.8751
49	5	一	3.85321
49	6	部	4.06583
49	7	老师	12.9932
49	8	需要	14.383
49	9	的	1.23887
49	10	戏剧	10.1016
49	11	。	13.4419
50	1	学生	14.6754
50	2	们	20.7314
50	3	在	5.17801
50	4	写	10.8751
50	5	一	3.85321
50	6	篇	1.718
50	7	老师	13.7508
50	8	需要	14.9371
50	9	的	0.975494
50	10	戏剧	11.3407
50	11	。	13.6662
51	1	学生	14.6754
51	2	们	20.7314
51	3	在	5.17801
51	4	写	10.8751
51	5	一	3.85321
51	6	篇	1.718
51	7	老师	13.7508
51	8	需要	14.9371
51	9	的	0.975494
51	10	文章	5.33813
51	11	。	12.6338
52	1	学生	14.6754
52	2	们	20.7314
52	3	在	5.17801
52	4	写	10.8751
52	5	一	3.85321
52	6	部	4.06583
52	7	老师	12.9932
52	8	需要	14.383
52	9	的	1.23887
52	10	文章	6.23034
52	11	。	12.5537
53	1	这	6.14517
53	2	是	4.47615
53	3	一	4.13448
53	4	辆	11.3309
53	5	她	11.6388
53	6	设计	9.25306
53	7	的	0.153319
53	8	火车	11.4308
53	9	。	1.88818
54	1	这	6.14517
54	2	是	4.47615
54	3	一	4.13448
54	4	扇	10.8838
54	5	她	10.803
54	6	设计	11.188
54	7	的	0.197692
54	8	火车	14.1691
54	9	。	1.65593
55	1	这	6.14517
55	2	是	4.47615
55	3	一	4.13448
55	4	扇	10.8838
55	5	她	10.803
55	6	设计	11.188
55	7	的	0.197692
55	8	窗户	15.8586
55	9	。	1.87601
56	1	这	6.14517
56	2	是	4.47615
56	3	一	4.13448
56	4	辆	11.3309
56	5	她	11.6388
56	6	设计	9.25306
56	7	的	0.153319
56	8	窗户	15.2508
56	9	。	2.00186
57	1	老师	15.9226
57	2	在	5.05645
57	3	责备	17.7189
57	4	三	11.3272
57	5	名	2.4035
57	6	他	10.2318
57	7	责备	15.8689
57	8	过	8.68574
57	9	的	1.21425
57	10	学生	4.91489
57	11	。	2.12957
58	1	老师	15.9226
58	2	在	5.05645
58	3	责备	17.7189
58	4	三	11.3272
58	5	只	7.42308
58	6	他	11.1227
58	7	责备	15.0055
58	8	过	8.47434
58	9	的	1.03831
58	10	学生	5.66965
58	11	。	2.19112
