sentence_id	token_id	token	surprisal
1	1	他	5.68454970002
1	2	喜欢	12.5855903505
1	3	那	9.07629828166
1	4	家	9.7421319104
1	5	我	10.883198042
1	6	采访	13.1979512049
1	7	过	4.88745967
1	8	的	2.00548167761
1	9	老板	11.7742595336
1	10	投资	10.8347588193
1	11	的	3.6139455661
1	12	饭店	15.9505699155
1	13	。	7.14139094959
2	1	他	5.68454970002
2	2	喜欢	12.5855903505
2	3	那	9.07629828166
2	4	个	4.81901829075
2	5	我	12.0730292598
2	6	采访	13.4520891608
2	7	过	4.88745967
2	8	的	2.00548167761
2	9	老板	11.7742595336
2	10	投资	10.8347588193
2	11	的	3.6139455661
2	12	饭店	15.9505699155
2	13	。	7.14139094959
3	1	她	8.22619364393
3	2	在	4.95084212345
3	3	看	11.1945653303
3	4	那	11.3113179471
3	5	幅	17.1732897003
3	6	我	9.99474647764
3	7	介绍	12.7651162233
3	8	的	5.77718554905
3	9	朋友	9.92965235423
3	10	喜欢	13.6675854527
3	11	的	4.32639958127
3	12	画	14.9661116404
3	13	。	6.27831593576
4	1	她	8.22619364393
4	2	在	4.95084212345
4	3	看	11.1945653303
4	4	那	11.3113179471
4	5	个	4.81901829075
4	6	我	12.0730292598
4	7	介绍	13.0192540311
4	8	的	5.77718554905
4	9	朋友	9.92965235423
4	10	喜欢	13.6675854527
4	11	的	4.32639958127
4	12	画	14.9661116404
4	13	。	6.27831593576
5	1	我	5.40226247496
5	2	欣赏	16.0073774489
5	3	那	11.1127739175
5	4	件	6.04298892645
5	5	我	11.4066535453
5	6	喜欢	8.24100262672
5	7	的	4.12084180903
5	8	老师	12.1919378051
5	9	收藏	15.5754754797
5	10	的	2.08446349643
5	11	艺术品	17.7975704594
5	12	。	6.13356363377
6	1	我	5.40226247496
6	2	欣赏	16.0073774489
6	3	那	11.1127739175
6	4	个	4.81901829075
6	5	我	12.0730292598
6	6	喜欢	8.49514018127
6	7	的	4.12084180903
6	8	老师	12.1919378051
6	9	收藏	15.5754754797
6	10	的	2.08446349643
6	11	艺术品	17.7975704594
6	12	。	6.13356363377
7	1	他	5.68454970002
7	2	打	11.710507874
7	3	了	3.56029950947
7	4	那	10.07926504
7	5	只	8.93421335004
7	6	我	10.9989962151
7	7	认识	9.83374448112
7	8	的	2.53587796965
7	9	店长	21.4289463008
7	10	喜欢	13.3003148145
7	11	的	4.32639958127
7	12	宠物	17.490738328
7	13	。	6.13941172792
8	1	他	5.68454970002
8	2	打	11.710507874
8	3	了	3.56029950947
8	4	那	10.07926504
8	5	个	4.88618174333
8	6	我	12.0730292598
8	7	认识	10.0878820732
8	8	的	2.53587796965
8	9	店长	21.4289463008
8	10	喜欢	13.3003148145
8	11	的	4.32639958127
8	12	宠物	17.490738328
8	13	。	6.13941172792
9	1	我	5.40226247496
9	2	在	5.6442782398
9	3	思念	21.1068091871
9	4	那	11.0606080904
9	5	首	8.86705010653
9	6	我	11.6142717376
9	7	见	11.4536128311
9	8	过	3.70778008083
9	9	的	2.92928534671
9	10	明星	13.8311986882
9	11	唱	14.3592330507
9	12	的	3.24535121415
9	13	歌	13.6377679086
9	14	。	6.80881675471
10	1	我	5.40226247496
10	2	在	5.6442782398
10	3	思念	21.1068091871
10	4	那	11.0606080904
10	5	个	4.81901829075
10	6	我	12.0730292598
10	7	见	11.7077502593
10	8	过	3.70778008083
10	9	的	2.92928534671
10	10	明星	13.8311986882
10	11	唱	14.3592330507
10	12	的	3.24535121415
10	13	歌	13.6377679086
10	14	。	6.80881675471
11	1	她	8.22619364393
11	2	拜访	16.0886993262
11	3	了	7.88473206578
11	4	那	9.51602537009
11	5	所	10.6424628731
11	6	我	10.3834306103
11	7	认识	9.83374448112
11	8	的	2.53587796965
11	9	老人	12.7408401389
11	10	去	10.910980808
11	11	的	6.47202296384
