sentence_id	token_id	token	surprisal
1	1	我	5.25122
1	2	很	6.98119
1	3	喜欢	3.03657
1	4	一	6.3016
1	5	位	3.54712
1	6	新闻	8.8658
1	7	提到	12.1049
1	8	的	4.09168
1	9	明星	12.0248
1	10	。	2.15489
2	1	我	5.25122
2	2	很	6.98119
2	3	喜欢	3.03657
2	4	一	6.3016
2	5	首	8.72512
2	6	新闻	11.436
2	7	提到	11.42
2	8	的	2.48535
2	9	明星	11.5648
2	10	。	1.60968
3	1	我	5.25122
3	2	很	6.98119
3	3	喜欢	3.03657
3	4	一	6.3016
3	5	首	8.72512
3	6	新闻	11.436
3	7	提到	11.42
3	8	的	2.48535
3	9	歌曲	10.5213
3	10	。	2.04136
4	1	我	5.25122
4	2	很	6.98119
4	3	喜欢	3.03657
4	4	一	6.3016
4	5	位	3.54712
4	6	新闻	8.8658
4	7	提到	12.1049
4	8	的	4.09168
4	9	歌曲	10.6392
4	10	。	2.74791
5	1	她	8.15034
5	2	开车	12.3517
5	3	去	6.87651
5	4	了	2.47022
5	5	一	3.86148
5	6	家	3.0463
5	7	我	8.67891
5	8	推荐	14.9359
5	9	过	6.01764
5	10	的	0.846579
5	11	店	14.1302
5	12	。	0.976082
6	1	她	8.15034
6	2	开车	12.3517
6	3	去	6.87651
6	4	了	2.47022
6	5	一	3.86148
6	6	座	6.81041
6	7	我	9.36993
6	8	推荐	14.9513
6	9	过	5.97084
6	10	的	0.8545
6	11	店	14.1143
6	12	。	0.980579
7	1	她	8.15034
7	2	开车	12.3517
7	3	去	6.87651
7	4	了	2.47022
7	5	一	3.86148
7	6	座	6.81041
7	7	我	9.36993
7	8	推荐	14.9513
7	9	过	5.97084
7	10	的	0.8545
7	11	山	15.5266
7	12	。	0.731871
8	1	她	8.15034
8	2	开车	12.3517
8	3	去	6.87651
8	4	了	2.47022
8	5	一	3.86148
8	6	家	3.0463
8	7	我	8.67891
8	8	推荐	14.9359
8	9	过	6.01764
8	10	的	0.846579
8	11	山	16.08
8	12	。	0.755023
9	1	他	5.65708
9	2	有	7.84527
9	3	一	2.67904
9	4	双	15.6784
9	5	我	10.6487
9	6	穿	9.06643
9	7	坏	15.8099
9	8	了	2.3985
9	9	的	12.0068
9	10	手套	13.8474
9	11	。	2.24513
10	1	他	5.65708
10	2	有	7.84527
10	3	一	2.67904
10	4	枚	10.3324
10	5	我	11.7268
10	6	穿	9.15629
10	7	坏	16.4458
10	8	了	6.62981
10	9	的	0.723219
10	10	手套	13.6553
10	11	。	3.37267
11	1	他	5.65708
11	2	有	7.84527
11	3	一	2.67904
11	4	枚	10.3324
11	5	我	11.7268
11	6	穿	9.15629
11	7	坏	16.4458
11	8	了	6.62981
11	9	的	0.723219
11	10	纽扣	20.0272
11	11	。	3.09382
12	1	他	5.65708
12	2	有	7.84527
12	3	一	2.67904
12	4	双	15.6784
12	5	我	10.6487
12	6	穿	9.06643
12	7	坏	15.8099
12	8	了	2.3985
12	9	的	12.0068
12	10	纽扣	21.6253
12	11	。	2.19691
13	1	店长	19.448
13	2	拿	13.1185
13	3	着	1.68681
13	4	一	3.44215
13	5	只	7.02352
13	6	他	12.1307
13	7	买	9.6708
13	8	的	1.46376
13	9	兔子	16.2393
13	10	。	4.16312
14	1	店长	19.448
14	2	拿	13.1185
14	3	着	1.68681
