sentence_id	token_id	token	surprisal
1	1	那	7.24113
1	2	位	8.13966
1	3	教授	12.4233
1	4	写	11.4801
1	5	了	1.83023
1	6	书	11.3855
1	7	。	5.85381
2	1	那	7.24113
2	2	位	8.13966
2	3	教授	12.4233
2	4	写	11.4801
2	5	了	1.83023
2	6	笔	17.857
2	7	。	3.72924
3	1	弟弟	18.5377
3	2	开	11.8469
3	3	了	1.7357
3	4	父亲	11.2263
3	5	的	1.34911
3	6	车	7.11455
3	7	。	8.24862
4	1	弟弟	18.5377
4	2	开	11.8469
4	3	了	1.7357
4	4	父亲	11.2263
4	5	的	1.34911
4	6	钱	9.4087
4	7	。	8.12464
5	1	他	6.15281
5	2	读	12.9178
5	3	了	1.9538
5	4	桌子	10.6105
5	5	上	9.592
5	6	的	11.1426
5	7	报纸	15.5847
5	8	。	4.09689
6	1	他	6.15281
6	2	读	12.9178
6	3	了	1.9538
6	4	桌子	10.6105
6	5	上	9.592
6	6	的	11.1426
6	7	筷子	17.3514
6	8	。	3.89932
7	1	她	8.71203
7	2	终于	11.9394
7	3	实现	16.7702
7	4	了	0.578987
7	5	她	9.39583
7	6	的	1.30666
7	7	理想	13.4305
7	8	。	1.72145
8	1	她	8.71203
8	2	终于	11.9394
8	3	实现	16.7702
8	4	了	0.578987
8	5	她	9.39583
8	6	的	1.30666
8	7	手机	11.2306
8	8	。	2.46847
9	1	我	6.0542
9	2	修理	17.7299
9	3	了	3.28386
9	4	这个	7.98381
9	5	电脑	11.5824
9	6	。	2.34541
10	1	我	6.0542
10	2	修理	17.7299
10	3	了	3.28386
10	4	这个	7.98381
10	5	想法	10.5242
10	6	。	0.805439
11	1	他	6.15281
11	2	承担	16.9142
11	3	了	2.68663
11	4	我	8.25132
11	5	的	1.74084
11	6	责任	6.89162
11	7	。	1.63604
12	1	他	6.15281
12	2	承担	16.9142
12	3	了	2.68663
12	4	我	8.25132
12	5	的	1.74084
12	6	学校	13.6734
12	7	。	2.1506
13	1	我	6.0542
13	2	邀请	15.1939
13	3	过	8.20926
13	4	我	2.84836
13	5	的	4.61674
13	6	朋友	5.38891
13	7	。	4.57889
14	1	我	6.0542
14	2	邀请	15.1939
14	3	过	8.20926
14	4	我	2.84836
14	5	的	4.61674
14	6	音响	21.7646
14	7	。	5.14604
15	1	老师	15.0866
15	2	拿出	14.1965
15	3	了	4.78335
15	4	他	6.90996
15	5	的	0.618862
15	6	手机	11.1321
15	7	。	5.26703
16	1	老师	15.0866
16	2	拿出	14.1965
16	3	了	4.78335
16	4	他	6.90996
16	5	的	0.618862
16	6	梦想	11.0898
16	7	。	4.04022
17	1	记者	10.2074
17	2	采访	8.35926
17	3	了	4.34739
17	4	艺术家	18.4807
17	5	。	2.35015
18	1	记者	10.2074
18	2	采访	8.35926
18	3	了	4.34739
18	4	健身房	18.7345
18	5	。	2.04456
19	1	他	6.15281
19	2	参与	12.2045
19	3	了	2.72693
19	4	战争	12.3877
19	5	。	3.34706
20	1	他	6.15281
20	2	参与	12.2045
20	3	了	2.72693
20	4	城市	11.2123
20	5	。	4.28329
21	1	她	8.71203
21	2	增大	20.5787
21	3	了	1.69662
21	4	学习	14.6204
21	5	力度	8.62223
21	6	。	0.619813
22	1	她	8.71203
22	2	增大	20.5787
22	3	了	1.69662
22	4	学习	14.6204
22	5	效率	10.2303
22	6	。	1.05503
23	1	我	6.0542
23	2	结束	16.6171
23	3	了	1.26523
23	4	谈话	12.2086
23	5	。	3.68682
24	1	我	6.0542
24	2	结束	16.6171
24	3	了	1.26523
24	4	对方	15.4413
24	5	。	7.45052
25	1	他	6.15281
25	2	种	19.3123
25	3	了	2.94426
25	4	很多	7.87977
25	5	花	14.3601
25	6	。	4.5668
26	1	他	6.15281
26	2	种	19.3123
26	3	了	2.94426
26	4	很多	7.87977
26	5	水	13.277
26	6	。	3.53267
27	1	他	6.15281
27	2	申请	14.5287
27	3	了	5.41725
27	4	很多	10.0952
27	5	工作	6.99291
27	6	。	1.44522
28	1	他	6.15281
28	2	申请	14.5287
28	3	了	5.41725
28	4	很多	10.0952
28	5	问题	10.463
28	6	。	1.39846
29	1	这	6.33297
29	2	款	14.301
29	3	药	9.86967
29	4	缓解	16.8729
29	5	了	1.54767
29	6	他	9.09333
29	7	的	1.64985
29	8	症状	9.99808
29	9	。	1.01972
30	1	这	6.33297
30	2	款	14.301
30	3	药	9.86967
30	4	缓解	16.8729
30	5	了	1.54767
30	6	他	9.09333
30	7	的	1.64985
30	8	疾病	11.2819
30	9	。	4.90769
31	1	我	6.0542
31	2	听	10.696
31	3	着	6.03396
31	4	奶奶	14.3905
31	5	的	3.09889
31	6	磁带	22.5909
31	7	。	5.14446
32	1	我	6.0542
