sentence_id	token_id	token	surprisal
1	1	我	7.44964
1	2	很	5.37567
1	3	喜欢	5.00038
1	4	一	7.04284
1	5	位	3.81954
1	6	明星	14.1251
1	7	。	2.65215
2	1	我	7.44964
2	2	很	5.37567
2	3	喜欢	5.00038
2	4	一	7.04284
2	5	首	8.52336
2	6	明星	11.7158
2	7	。	2.40944
3	1	我	7.44964
3	2	很	5.37567
3	3	喜欢	5.00038
3	4	一	7.04284
3	5	首	8.52336
3	6	歌曲	10.9016
3	7	。	2.39882
4	1	我	7.44964
4	2	很	5.37567
4	3	喜欢	5.00038
4	4	一	7.04284
4	5	位	3.81954
4	6	歌曲	12.8979
4	7	。	2.34185
5	1	她	7.66365
5	2	开车	18.642
5	3	去	7.2042
5	4	了	3.34224
5	5	一	5.0853
5	6	家	3.25643
5	7	店	8.80157
5	8	。	2.68265
6	1	她	7.66365
6	2	开车	18.642
6	3	去	7.2042
6	4	了	3.34224
6	5	一	5.0853
6	6	座	6.1718
6	7	店	11.6035
6	8	。	2.59269
7	1	她	7.66365
7	2	开车	18.642
7	3	去	7.2042
7	4	了	3.34224
7	5	一	5.0853
7	6	座	6.1718
7	7	山	11.6685
7	8	。	3.12275
8	1	她	7.66365
8	2	开车	18.642
8	3	去	7.2042
8	4	了	3.34224
8	5	一	5.0853
8	6	家	3.25643
8	7	山	12.9489
8	8	。	3.25237
9	1	他	4.39796
9	2	有	9.82054
9	3	一	4.53491
9	4	双	11.4255
9	5	手套	14.4371
9	6	。	10.7413
10	1	他	4.39796
10	2	有	9.82054
10	3	一	4.53491
10	4	枚	6.73731
10	5	手套	16.5215
10	6	。	3.88311
11	1	他	4.39796
11	2	有	9.82054
11	3	一	4.53491
11	4	枚	6.73731
11	5	纽扣	20.5497
11	6	。	4.38075
12	1	他	4.39796
12	2	有	9.82054
12	3	一	4.53491
12	4	双	11.4255
12	5	纽扣	20.7352
12	6	。	11.3106
13	1	店长	21.3537
13	2	拿	15.5044
13	3	着	2.17403
13	4	一	3.52945
13	5	只	6.91408
13	6	兔子	17.3494
13	7	。	10.043
14	1	店长	21.3537
14	2	拿	15.5044
14	3	着	2.17403
14	4	一	3.52945
14	5	根	7.45858
14	6	兔子	15.6737
14	7	。	10.0784
15	1	店长	21.3537
15	2	拿	15.5044
15	3	着	2.17403
15	4	一	3.52945
15	5	根	7.45858
15	6	萝卜	13.2997
15	7	。	5.37202
16	1	店长	21.3537
16	2	拿	15.5044
16	3	着	2.17403
16	4	一	3.52945
16	5	只	6.91408
16	6	萝卜	13.7944
16	7	。	5.39831
17	1	他	4.39796
17	2	认识	16.2428
17	3	了	4.17527
17	4	一	8.01626
17	5	名	5.61435
17	6	男孩	15.085
17	7	。	12.4407
18	1	他	4.39796
18	2	认识	16.2428
18	3	了	4.17527
18	4	一	8.01626
18	5	本	6.67803
18	6	男孩	16.9881
18	7	。	12.1073
19	1	他	4.39796
19	2	认识	16.2428
19	3	了	4.17527
19	4	一	8.01626
19	5	本	6.67803
19	6	小说	15.1255
19	7	。	3.71556
20	1	他	4.39796
20	2	认识	16.2428
20	3	了	4.17527
20	4	一	8.01626
20	5	名	5.61435
20	6	小说	17.9243
20	7	。	12.7184
21	1	男人	17.4355
21	2	在	4.84963
21	3	扫描	18.4138
21	4	一	7.91784
21	5	篇	7.916
21	6	文章	4.55505
21	7	。	11.8087
22	1	男人	17.4355
22	2	在	4.84963
22	3	扫描	18.4138
22	4	一	7.91784
22	5	张	5.0461
22	6	文章	8.81663
22	7	。	12.0424
23	1	男人	17.4355
23	2	在	4.84963
23	3	扫描	18.4138
23	4	一	7.91784
23	5	张	5.0461
23	6	图片	9.68075
23	7	。	12.5685
24	1	男人	17.4355
24	2	在	4.84963
24	3	扫描	18.4138
24	4	一	7.91784
24	5	篇	7.916
24	6	图片	7.42284
24	7	。	12.6217
25	1	演员	15.5973
25	2	在	3.92632
25	3	看	11.0375
25	4	一	5.88898
25	5	张	4.90418
25	6	照片	6.31221
25	7	。	12.5092
26	1	演员	15.5973
26	2	在	3.92632
26	3	看	11.0375
26	4	一	5.88898
26	5	位	4.02096
26	6	照片	10.4957
26	7	。	12.3671
27	1	演员	15.5973
27	2	在	3.92632
27	3	看	11.0375
27	4	一	5.88898
27	5	位	4.02096
27	6	老师	8.62927
27	7	。	10.9345
28	1	演员	15.5973
28	2	在	3.92632
28	3	看	11.0375
28	4	一	5.88898
28	5	张	4.90418
28	6	老师	10.7407
28	7	。	11.3105
29	1	他	4.39796
29	2	在	5.49197
29	3	修理	19.2174
29	4	一	7.8293
29	5	辆	4.32125
29	6	汽车	3.85099
29	7	。	14.1772
30	1	他	4.39796
30	2	在	5.49197
30	3	修理	19.2174
30	4	一	7.8293
30	5	套	6.81657
30	6	汽车	6.96667
30	7	。	14.9128
31	1	他	4.39796
31	2	在	5.49197
31	3	修理	19.2174
31	4	一	7.8293
31	5	套	6.81657
31	6	系统	12.0279
31	7	。	14.4275
32	1	他	4.39796
32	2	在	5.49197
32	3	修理	19.2174
32	4	一	7.8293
32	5	辆	4.32125
32	6	系统	17.7491
32	7	。	15.1448
33	1	学生	14.6754
33	2	们	20.7314
33	3	在	5.17801
33	4	写	10.8751
33	5	一	3.85321
33	6	部	4.06583
33	7	电影	8.29649
33	8	。	12.3418
34	1	学生	14.6754
34	2	们	20.7314
34	3	在	5.17801
34	4	写	10.8751
34	5	一	3.85321
34	6	首	7.15035
34	7	电影	8.40148
34	8	。	12.0688
35	1	学生	14.6754
35	2	们	20.7314
35	3	在	5.17801
35	4	写	10.8751
35	5	一	3.85321
35	6	首	7.15035
35	7	歌曲	9.12775
35	8	。	12.7313
36	1	学生	14.6754
36	2	们	20.7314
36	3	在	5.17801
36	4	写	10.8751
36	5	一	3.85321
36	6	部	4.06583
36	7	歌曲	11.0293
36	8	。	12.9084
37	1	我们	7.55796
37	2	在	5.06328
37	3	看	10.636
37	4	一	6.29143
37	5	场	4.87806
37	6	表演	11.0563
37	7	。	4.91915
38	1	我们	7.55796
38	2	在	5.06328
38	3	看	10.636
38	4	一	6.29143
38	5	块	8.47736
38	6	表演	15.8822
38	7	。	5.59785
39	1	我们	7.55796
39	2	在	5.06328
39	3	看	10.636
39	4	一	6.29143
39	5	块	8.47736
39	6	地面	16.0153
39	7	。	12.0993
40	1	我们	7.55796
40	2	在	5.06328
40	3	看	10.636
40	4	一	6.29143
40	5	场	4.87806
40	6	地面	15.541
40	7	。	12.795
41	1	他	4.39796
41	2	最	13.7007
41	3	喜欢	7.58274
41	4	一	8.73517
41	5	道	8.53719
41	6	菜	12.0524
41	7	。	3.93611
42	1	他	4.39796
42	2	最	13.7007
42	3	喜欢	7.58274
42	4	一	8.73517
42	5	瓶	10.4501
42	6	菜	10.1515
42	7	。	4.74497
43	1	他	4.39796
43	2	最	13.7007
43	3	喜欢	7.58274
43	4	一	8.73517
43	5	瓶	10.4501
43	6	油	14.8622
43	7	。	4.99819
44	1	他	4.39796
44	2	最	13.7007
44	3	喜欢	7.58274
44	4	一	8.73517
44	5	道	8.53719
44	6	油	15.1994
44	7	。	4.111
45	1	她	7.66365
45	2	拿	13.0732
45	3	了	1.88841
45	4	一	2.94584
45	5	份	4.44864
45	6	饭	10.8634
45	7	。	7.10167
46	1	她	7.66365
46	2	拿	13.0732
46	3	了	1.88841
46	4	一	2.94584
46	5	卷	14.1516
46	6	饭	9.95925
46	7	。	7.08069
47	1	她	7.66365
47	2	拿	13.0732
47	3	了	1.88841
47	4	一	2.94584
47	5	卷	14.1516
47	6	纸	14.076
47	7	。	11.7463
48	1	她	7.66365
48	2	拿	13.0732
48	3	了	1.88841
48	4	一	2.94584
48	5	份	4.44864
48	6	纸	13.8734
48	7	。	7.71135
49	1	学生	14.6754
49	2	们	20.7314
49	3	在	5.17801
49	4	写	10.8751
49	5	一	3.85321
49	6	部	4.06583
49	7	戏剧	12.745
49	8	。	12.8777
50	1	学生	14.6754
50	2	们	20.7314
50	3	在	5.17801
50	4	写	10.8751
50	5	一	3.85321
50	6	篇	1.718
50	7	戏剧	15.2053
50	8	。	13.2355
51	1	学生	14.6754
51	2	们	20.7314
51	3	在	5.17801
51	4	写	10.8751
51	5	一	3.85321
51	6	篇	1.718
51	7	文章	2.92683
51	8	。	12.1333
52	1	学生	14.6754
52	2	们	20.7314
52	3	在	5.17801
52	4	写	10.8751
52	5	一	3.85321
52	6	部	4.06583
52	7	文章	5.08691
52	8	。	12.0264
53	1	这	6.14517
53	2	是	4.47615
53	3	一	4.13448
53	4	辆	11.3309
53	5	火车	10.7739
53	6	。	2.46256
54	1	这	6.14517
54	2	是	4.47615
54	3	一	4.13448
54	4	扇	10.8838
54	5	火车	14.9558
54	6	。	2.18068
55	1	这	6.14517
55	2	是	4.47615
55	3	一	4.13448
55	4	扇	10.8838
55	5	窗户	15.0804
55	6	。	2.73387
56	1	这	6.14517
56	2	是	4.47615
56	3	一	4.13448
56	4	辆	11.3309
56	5	窗户	15.6221
56	6	。	2.66936
57	1	老师	15.9226
57	2	在	5.05645
57	3	责备	17.7189
57	4	三	11.3272
57	5	名	2.4035
57	6	学生	3.82359
57	7	。	3.03482
58	1	老师	15.9226
58	2	在	5.05645
58	3	责备	17.7189
58	4	三	11.3272
58	5	只	7.42308
58	6	学生	5.09353
58	7	。	3.48101
59	1	老师	15.9226
59	2	在	5.05645
59	3	责备	17.7189
59	4	三	11.3272
59	5	只	7.42308
59	6	宠物	16.7133
59	7	。	5.98464
60	1	老师	15.9226
60	2	在	5.05645
60	3	责备	17.7189
60	4	三	11.3272
60	5	名	2.4035
60	6	宠物	19.6698
60	7	。	7.68908
61	1	她	7.66365
61	2	买	15.9826
61	3	过	5.34889
61	4	两	6.09871
61	5	杯	15.2869
61	6	咖啡	9.81947
61	7	。	4.36629
62	1	她	7.66365
62	2	买	15.9826
62	3	过	5.34889
62	4	两	6.09871
62	5	个	2.42025
62	6	咖啡	10.1994
62	7	。	4.16855
63	1	她	7.66365
63	2	买	15.9826
63	3	过	5.34889
63	4	两	6.09871
63	5	个	2.42025
63	6	杯子	16.6687
63	7	。	3.15243
64	1	她	7.66365
64	2	买	15.9826
64	3	过	5.34889
64	4	两	6.09871
64	5	杯	15.2869
64	6	杯子	16.4195
64	7	。	3.22286
65	1	孩子	15.698
65	2	在	5.01106
65	3	卖	12.9365
65	4	五	12.4109
65	5	台	9.96497
65	6	桌子	9.74834
65	7	。	3.4227
66	1	孩子	15.698
66	2	在	5.01106
66	3	卖	12.9365
66	4	五	12.4109
66	5	块	7.49948
66	6	桌子	9.30074
66	7	。	4.93061
67	1	孩子	15.698
67	2	在	5.01106
67	3	卖	12.9365
67	4	五	12.4109
67	5	块	7.49948
67	6	蛋糕	13.3708
67	7	。	4.28122
68	1	孩子	15.698
68	2	在	5.01106
68	3	卖	12.9365
68	4	五	12.4109
68	5	台	9.96497
68	6	蛋糕	13.0146
68	7	。	3.07627
69	1	妈妈	16.4916
69	2	在	4.71677
69	3	做	10.713
69	4	一	3.9665
69	5	张	5.15495
69	6	地图	10.5451
69	7	。	3.65631
70	1	妈妈	16.4916
70	2	在	4.71677
70	3	做	10.713
70	4	一	3.9665
70	5	面	9.37925
70	6	地图	12.8713
70	7	。	4.07609
71	1	妈妈	16.4916
71	2	在	4.71677
71	3	做	10.713
71	4	一	3.9665
71	5	面	9.37925
71	6	镜子	12.9113
71	7	。	4.1556
72	1	妈妈	16.4916
72	2	在	4.71677
72	3	做	10.713
72	4	一	3.9665
72	5	张	5.15495
72	6	镜子	14.1835
72	7	。	3.61417
73	1	爸爸	14.651
73	2	买	8.78743
73	3	了	1.22429
73	4	一	2.60054
73	5	栋	8.40983
73	6	房子	8.55505
73	7	。	2.56038
74	1	爸爸	14.651
74	2	买	8.78743
74	3	了	1.22429
74	4	一	2.60054
74	5	条	5.75236
74	6	房子	8.60727
74	7	。	2.87979
75	1	爸爸	14.651
75	2	买	8.78743
75	3	了	1.22429
75	4	一	2.60054
75	5	条	5.75236
75	6	香烟	13.6254
75	7	。	2.92431
76	1	爸爸	14.651
76	2	买	8.78743
76	3	了	1.22429
76	4	一	2.60054
76	5	栋	8.40983
76	6	香烟	12.738
76	7	。	2.80104
77	1	我	7.44964
77	2	想	5.02788
77	3	采	17.3091
77	4	一	4.38088
77	5	朵	11.7899
77	6	鲜花	12.2954
77	7	。	3.16499
78	1	我	7.44964
78	2	想	5.02788
78	3	采	17.3091
78	4	一	4.38088
78	5	颗	8.85568
78	6	鲜花	14.5475
78	7	。	3.04935
79	1	我	7.44964
79	2	想	5.02788
79	3	采	17.3091
79	4	一	4.38088
79	5	颗	8.85568
79	6	苹果	13.144
79	7	。	3.26394
80	1	我	7.44964
80	2	想	5.02788
80	3	采	17.3091
80	4	一	4.38088
80	5	朵	11.7899
80	6	苹果	12.7083
80	7	。	3.56497
81	1	我	7.44964
81	2	经常	9.89497
81	3	去	6.29062
81	4	一	8.3319
81	5	家	4.01652
81	6	医院	9.54936
81	7	。	5.26153
82	1	我	7.44964
82	2	经常	9.89497
82	3	去	6.29062
82	4	一	8.3319
82	5	座	7.43687
82	6	医院	9.09952
82	7	。	4.44726
83	1	我	7.44964
83	2	经常	9.89497
83	3	去	6.29062
83	4	一	8.3319
83	5	座	7.43687
83	6	城市	6.39988
83	7	。	4.55217
84	1	我	7.44964
84	2	经常	9.89497
84	3	去	6.29062
84	4	一	8.3319
84	5	家	4.01652
84	6	城市	8.23547
84	7	。	5.15043
85	1	我	7.44964
85	2	拜访	17.1298
85	3	了	1.3493
85	4	这	6.01815
85	5	一	1.67504
85	6	所	9.22206
85	7	高中	13.1646
85	8	。	4.24725
86	1	我	7.44964
86	2	拜访	17.1298
86	3	了	1.3493
86	4	这	6.01815
86	5	一	1.67504
86	6	位	5.42429
86	7	高中	13.7412
86	8	。	4.74301
87	1	我	7.44964
87	2	拜访	17.1298
87	3	了	1.3493
87	4	这	6.01815
87	5	一	1.67504
87	6	位	5.42429
